ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
54,91,2,2,2,1.137
54,91,2,2,2,1.137
54,91,2,2,2,1.137
54,91,2,2,2,1.137
54,148,2,2,4,2.754
54,148,2,2,4,2.754
54,148,2,2,4,2.754
54,148,2,2,4,2.754
54,290,2,2,6,3.042
54,290,2,2,6,3.042
54,290,2,2,6,3.042
54,290,2,2,6,3.042
91,54,2,2,2,1.137
91,54,2,2,2,1.137
91,54,2,2,2,1.137
91,54,2,2,2,1.137
148,54,2,2,4,2.754
148,54,2,2,4,2.754
148,54,2,2,4,2.754
148,54,2,2,4,2.754
148,213,2,2,4,1.864
148,213,2,2,4,1.864
148,213,2,2,4,1.864
148,213,2,2,4,1.864
213,148,2,2,4,1.864
213,148,2,2,4,1.864
213,148,2,2,4,1.864
213,148,2,2,4,1.864
273,421,2,2,4,4.635
273,421,2,2,4,4.635
273,421,2,2,4,4.635
273,421,2,2,4,4.635
279,421,2,2,2,0.924
279,421,2,2,2,0.924
279,421,2,2,2,0.924
279,421,2,2,2,0.924
290,54,2,2,4,3.042
290,54,2,2,4,3.042
290,54,2,2,4,3.042
290,54,2,2,4,3.042
421,273,2,2,4,4.635
421,273,2,2,4,4.635
421,273,2,2,4,4.635
421,273,2,2,4,4.635
421,279,2,2,2,0.924
421,279,2,2,2,0.924
421,279,2,2,2,0.924
421,279,2,2,2,0.924
1,328,5,5,1,0.636
1,328,5,5,1,0.636
1,373,5,5,1,0.193
2,32,5,5,1,0.266
2,163,5,5,1,0.333
3,4,5,5,1,0.201
4,3,5,5,1,0.201
4,5,5,5,1,0.161
5,4,5,5,1,0.161
5,89,5,5,1,0.153
6,7,5,5,1,0.219
6,249,5,5,1,0.598
7,6,5,5,1,0.219
7,11,5,5,1,0.175
8,9,5,5,1,0.131
8,10,5,5,1,0.362
9,8,5,5,1,0.131
9,565,5,5,1,0.086
9,712,5,5,1,0.21
10,8,5,5,1,0.362
10,328,5,5,1,0.617
10,328,5,5,1,0.617
11,7,5,5,1,0.175
11,327,5,5,1,0.109
11,472,5,5,1,0.187
11,561,5,5,1,0.243
12,14,5,5,1,0.29
12,615,5,5,1,0.262
13,12,5,5,1,0.999
13,228,5,5,1,0.386
13,546,5,5,1,0.402
14,12,5,5,1,0.29
14,15,5,5,1,0.394
15,14,5,5,1,0.394
15,15,5,5,1,0.0
15,65,5,5,1,0.381
15,97,5,5,1,0.51
15,729,5,5,1,0.812
16,311,5,5,1,0.207
16,428,5,5,1,0.359
16,699,5,5,1,0.268
17,310,5,5,1,0.193
17,313,5,5,1,0.189
18,77,5,5,1,0.171
18,177,5,5,1,0.209
18,371,5,5,1,0.272
19,20,5,5,1,0.443
19,186,5,5,1,0.109
19,187,5,5,1,0.398
20,19,5,5,1,0.443
20,120,5,5,1,0.082
20,405,5,5,1,0.31
21,153,5,5,1,0.142
21,705,5,5,1,0.112
22,213,5,5,1,0.617
22,213,5,5,1,0.617
22,458,5,5,1,0.185
23,23,5,5,1,0.0
23,277,5,5,1,0.282
24,230,5,5,1,0.311
24,610,5,5,2,0.579
25,333,5,5,1,0.208
25,393,5,5,1,0.418
25,646,5,5,1,0.236
26,144,5,5,1,0.617
26,560,5,5,1,0.484
27,28,5,5,1,0.187
27,275,5,5,1,0.255
28,27,5,5,1,0.187
28,330,5,5,1,0.215
29,235,5,5,1,0.399
29,734,5,5,1,0.307
30,31,5,5,1,0.191
30,357,5,5,1,0.352
31,30,5,5,1,0.191
31,725,5,5,1,0.186
32,2,5,5,1,0.266
32,273,5,5,1,0.647
32,273,5,5,1,0.647
33,34,5,5,1,0.335
33,270,5,5,1,0.152
34,33,5,5,1,0.335
35,164,5,5,1,0.244
35,229,5,5,1,0.307
36,359,5,5,1,0.464
36,385,5,5,1,0.918
