nodeid,lat,lon,layer
1,53.69138,-1.29372,5
2,53.81266,-1.44722,5
3,53.67551,-1.3186,5
4,53.67695,-1.32047,5
5,53.67831,-1.32135,5
6,53.6852,-1.32569,5
7,53.68645,-1.3231,5
8,53.69842,-1.31144,5
9,53.6996,-1.31123,5
10,53.69517,-1.31095,5
11,53.68735,-1.3209,5
12,53.88369,-1.44013,5
13,53.87494,-1.44373,5
14,53.88629,-1.44066,5
15,53.88982,-1.44132,5
16,53.79187,-1.4324,5
17,53.79186,-1.4432,5
18,53.72867,-1.30892,5
19,53.73718,-1.41043,5
20,53.73829,-1.40394,5
21,53.68419,-1.30742,5
22,53.71916,-1.35902,5
23,53.73048,-1.40738,5
24,53.80063,-1.36707,5
25,53.76084,-1.39144,5
26,53.8313,-1.3848,5
27,53.7178,-1.36374,5
28,53.71949,-1.36361,5
29,53.83281,-1.43946,5
30,53.70352,-1.23719,5
31,53.70333,-1.2343,5
32,53.81028,-1.44769,5
33,53.82827,-1.45968,5
34,53.83069,-1.46275,5
35,53.68459,-1.32071,5
36,53.8993,-1.42833,5
37,53.70521,-1.24199,5
38,53.75367,-1.39344,5
39,53.8075,-1.4323,5
40,53.80765,-1.43914,5
41,53.74734,-1.35765,5
42,53.74972,-1.37818,5
43,53.7466,-1.36841,5
44,53.75404,-1.38486,5
45,53.75598,-1.38716,5
46,53.75121,-1.38154,5
47,53.83824,-1.46136,5
48,53.77407,-1.42287,5
49,53.76883,-1.41801,5
50,53.76834,-1.41796,5
51,53.93391,-1.40225,5
52,53.93268,-1.3986,5
53,53.93315,-1.37797,5
54,53.699,-1.30369,2
54,53.699,-1.30369,5
55,53.74377,-1.36532,5
56,53.82046,-1.45204,5
57,53.82193,-1.45057,5
58,53.82006,-1.42478,5
59,53.68127,-1.30828,5
60,53.79217,-1.39651,5
61,53.67871,-1.29955,5
62,53.70982,-1.27805,5
63,53.7681,-1.4265,5
64,53.90343,-1.44955,5
65,53.89004,-1.44714,5
66,53.892,-1.45127,5
67,53.89543,-1.45307,5
68,53.88939,-1.452,5
69,53.79216,-1.38664,5
70,53.69051,-1.35702,5
71,53.81988,-1.43808,5
72,53.8247,-1.44549,5
73,53.77295,-1.37565,5
74,53.79622,-1.43705,5
75,53.79723,-1.43971,5
76,53.82506,-1.45041,5
77,53.73003,-1.31015,5
78,53.72491,-1.31071,5
79,53.72625,-1.30958,5
80,53.72807,-1.30956,5
81,53.81624,-1.43991,5
82,53.86122,-1.41875,5
83,53.67736,-1.31079,5
84,53.76421,-1.3779,5
85,53.7669,-1.37093,5
86,53.76476,-1.37412,5
87,53.77372,-1.37886,5
88,53.70754,-1.22592,5
89,53.67933,-1.31978,5
90,53.70721,-1.21994,5
91,53.69414,-1.31892,2
91,53.69414,-1.31892,5
92,53.72426,-1.37842,5
93,53.71839,-1.37499,5
94,53.71616,-1.3676,5
95,53.93183,-1.37829,5
96,53.9282,-1.3792,5
97,53.89295,-1.4356,5
98,53.70168,-1.27437,5
99,53.77019,-1.36357,5
100,53.77154,-1.36793,5
101,53.79068,-1.39703,5
102,53.79059,-1.39957,5
103,53.68739,-1.32789,5
104,53.76275,-1.31031,5
105,53.71093,-1.39146,5
106,53.71384,-1.38586,5
107,53.8083,-1.45794,5
108,53.81058,-1.43907,5
109,53.72918,-1.31427,5
110,53.73195,-1.3155,5
111,53.76853,-1.37072,5
112,53.71343,-1.36582,5
113,53.70697,-1.36792,5
114,53.76344,-1.38013,5
115,53.71657,-1.34723,5
116,53.93764,-1.38564,5
117,53.82458,-1.41005,5
118,53.74047,-1.39652,5
119,53.7396,-1.40196,5
120,53.73883,-1.40307,5
121,53.85028,-1.43409,5
122,53.84771,-1.43716,5
123,53.73043,-1.35166,5
124,53.74607,-1.35529,5
125,53.90532,-1.42861,5
126,53.90821,-1.41676,5
127,53.90923,-1.40411,5
128,53.8218,-1.45917,5
129,53.8533,-1.46287,5
130,53.83615,-1.45328,5
131,53.8297,-1.43042,5
132,53.82305,-1.42478,5
133,53.82312,-1.42282,5
134,53.82696,-1.42969,5
135,53.82402,-1.4275,5
136,53.79122,-1.38874,5
137,53.8388,-1.4594,5
138,53.77842,-1.38316,5
139,53.90972,-1.41415,5
140,53.91278,-1.40995,5
141,53.92442,-1.40333,5
142,53.6868,-1.29631,5
143,53.69018,-1.29204,5
144,53.83162,-1.39421,5
145,53.82913,-1.39434,5
146,53.82631,-1.40632,5
147,53.68878,-1.32736,5
148,53.70906,-1.34201,5
148,53.70906,-1.34201,2
149,53.76598,-1.4225,5
150,53.81879,-1.45873,5
151,53.71758,-1.31722,5
152,53.68649,-1.3082,5
153,53.68491,-1.30922,5
154,53.79739,-1.45537,5
155,53.7114,-1.26499,5
156,53.71853,-1.34859,5
157,53.77007,-1.40264,5
158,53.84313,-1.43841,5
159,53.70276,-1.3274,5
160,53.71508,-1.39627,5
161,53.71334,-1.39858,5
162,53.70537,-1.25035,5
163,53.81559,-1.4461,5
164,53.68606,-1.31794,5
165,53.68735,-1.31959,5
166,53.71354,-1.26818,5
167,53.76752,-1.3645,5
168,53.80877,-1.431,5
169,53.82217,-1.41903,5
170,53.81116,-1.4356,5
171,53.81403,-1.43582,5
172,53.8635,-1.45172,5
173,53.86614,-1.45007,5
174,53.78577,-1.38991,5
175,53.93405,-1.38338,5
176,53.93205,-1.38356,5
177,53.72905,-1.3058,5
178,53.71474,-1.35228,5
179,53.67449,-1.28984,5
180,53.7238,-1.33014,5
181,53.72298,-1.33921,5
182,53.72477,-1.34405,5
183,53.71214,-1.27375,5
184,53.71105,-1.27705,5
185,53.73399,-1.40693,5
186,53.73668,-1.41186,5
187,53.73915,-1.41551,5
188,53.73481,-1.39347,5
189,53.73056,-1.3931,5
190,53.73002,-1.39934,5
191,53.73743,-1.39411,5
192,53.81677,-1.45796,5
193,53.69977,-1.29258,5
194,53.70531,-1.26718,5
195,53.71447,-1.35617,5
196,53.71543,-1.34836,5
197,53.71575,-1.34521,5
198,53.71642,-1.35799,5
199,53.71611,-1.35614,5
200,53.71543,-1.3543,5
201,53.71602,-1.34276,5
202,53.79251,-1.38945,5
203,53.69323,-1.35908,5
204,53.79028,-1.39784,5
205,53.76246,-1.43022,5
206,53.76061,-1.43499,5
207,53.7212,-1.36649,5
208,53.72012,-1.37171,5
209,53.72068,-1.36857,5
210,53.71912,-1.37519,5
211,53.71411,-1.38695,5
212,53.8121,-1.45257,5
213,53.72409,-1.35466,5
213,53.72409,-1.35466,2
214,53.81439,-1.45445,5
215,53.82382,-1.4572,5
216,53.81668,-1.4603,5
217,53.83274,-1.45648,5
218,53.74214,-1.42636,5
219,53.74133,-1.42274,5
220,53.74043,-1.41869,5
221,53.8104,-1.4293,5
222,53.71587,-1.33048,5
223,53.71509,-1.3336,5
224,53.71711,-1.32456,5
225,53.71644,-1.32785,5
226,53.84033,-1.46082,5
227,53.83987,-1.44847,5
228,53.87179,-1.44623,5
229,53.68225,-1.31822,5
230,53.79839,-1.36993,5
231,53.79707,-1.45612,5
232,53.71419,-1.27552,5
233,53.70384,-1.24573,5
234,53.83243,-1.36226,5
235,53.83509,-1.43475,5
236,53.76649,-1.41688,5
237,53.76463,-1.41658,5
238,53.75313,-1.38705,5
239,53.93204,-1.38208,5
240,53.86019,-1.42421,5
241,53.68273,-1.31058,5
242,53.68319,-1.31252,5
243,53.79239,-1.39372,5
244,53.80774,-1.44084,5
245,53.81306,-1.43799,5
246,53.82334,-1.41981,5
247,53.82775,-1.39688,5
248,53.82692,-1.40356,5
249,53.68168,-1.33258,5
250,53.78681,-1.41907,5
251,53.81645,-1.4568,5
252,53.82754,-1.45406,5
253,53.82981,-1.45535,5
254,53.72436,-1.32429,5
255,53.71668,-1.30586,5
256,53.71745,-1.30807,5
257,53.71794,-1.31423,5
258,53.71807,-1.32097,5
259,53.71957,-1.3219,5
260,53.72726,-1.31334,5
261,53.93922,-1.39678,5
262,53.68306,-1.31312,5
263,53.70253,-1.29644,5
264,53.82601,-1.46093,5
265,53.69779,-1.23601,5
266,53.70131,-1.23653,5
267,53.70716,-1.24305,5
268,53.76659,-1.36804,5
269,53.76609,-1.36621,5
270,53.82708,-1.45851,5
271,53.71586,-1.2944,5
272,53.71394,-1.3151,5
273,53.80492,-1.45159,5
273,53.80492,-1.45159,2
274,53.92848,-1.40193,5
275,53.71555,-1.36458,5
276,53.73501,-1.40937,5
277,53.73062,-1.40309,5
278,53.80031,-1.389,5
279,53.792,-1.37054,5
279,53.792,-1.37054,2
280,53.83,-1.45914,5
281,53.83561,-1.46143,5
282,53.83279,-1.46042,5
283,53.77173,-1.37197,5
284,53.71387,-1.33436,5
285,53.75185,-1.34378,5
286,53.78884,-1.37708,5
287,53.78627,-1.37781,5
288,53.7817,-1.36895,5
289,53.75328,-1.34343,5
290,53.70655,-1.25918,2
290,53.70655,-1.25918,5
291,53.80729,-1.44454,5
292,53.69592,-1.36119,5
293,53.77439,-1.37504,5
294,53.82029,-1.44639,5
295,53.81879,-1.45206,5
296,53.92949,-1.39619,5
297,53.80767,-1.43485,5
298,53.72582,-1.30423,5
299,53.7239,-1.30487,5
300,53.72227,-1.31057,5
301,53.72474,-1.31892,5
302,53.72596,-1.3191,5
303,53.7273,-1.31966,5
304,53.72777,-1.32218,5
305,53.72841,-1.32484,5
306,53.70452,-1.29513,5
307,53.70602,-1.28943,5
308,53.68943,-1.31274,5
309,53.8388,-1.42715,5
310,53.79353,-1.44405,5
311,53.79101,-1.43521,5
312,53.79084,-1.43808,5
313,53.79123,-1.44052,5
314,53.86371,-1.41061,5
315,53.73055,-1.38581,5
316,53.72537,-1.37235,5
317,53.72506,-1.37728,5
318,53.68462,-1.30219,5
319,53.70904,-1.25242,5
320,53.68978,-1.28793,5
321,53.82526,-1.39209,5
322,53.8272,-1.39341,5
323,53.74849,-1.37548,5
324,53.74722,-1.37224,5
325,53.78383,-1.37828,5
326,53.70944,-1.24455,5
327,53.68808,-1.32203,5
328,53.6919,-1.30336,5
328,53.6919,-1.30336,2
329,53.77974,-1.35263,5
330,53.72143,-1.36382,5
331,53.78754,-1.41013,5
332,53.70095,-1.28014,5
333,53.75897,-1.39168,5
334,53.72181,-1.36431,5
335,53.71804,-1.37743,5
336,53.70041,-1.28604,5
337,53.84045,-1.46293,5
338,53.71051,-1.33293,5
339,53.90664,-1.42314,5
340,53.90843,-1.4095,5
341,53.71578,-1.33778,5
342,53.71809,-1.34138,5
343,53.72315,-1.34518,5
344,53.72606,-1.34752,5
345,53.71453,-1.36173,5
346,53.81689,-1.45003,5
347,53.7012,-1.25802,5
348,53.90506,-1.4347,5
349,53.70807,-1.28536,5
350,53.78616,-1.37596,5
351,53.78355,-1.38562,5
352,53.79814,-1.44255,5
353,53.82387,-1.45499,5
354,53.72372,-1.31461,5
355,53.72108,-1.32015,5
356,53.74045,-1.3946,5
357,53.70639,-1.23947,5
358,53.70741,-1.23329,5
359,53.89551,-1.43135,5
360,53.73948,-1.3895,5
361,53.73971,-1.38607,5
362,53.85972,-1.45508,5
363,53.85708,-1.45892,5
364,53.68475,-1.3126,5
365,53.79135,-1.40106,5
366,53.78883,-1.39975,5
367,53.79528,-1.44298,5
368,53.79641,-1.4418,5
369,53.73444,-1.31617,5
370,53.72826,-1.34803,5
371,53.72945,-1.31286,5
372,53.93994,-1.3875,5
373,53.69064,-1.29106,5
374,53.93801,-1.38874,5
375,53.9398,-1.39383,5
376,53.93816,-1.39107,5
377,53.94134,-1.39109,5
378,53.71568,-1.4045,5
379,53.93391,-1.37892,5
380,53.93581,-1.37884,5
381,53.92728,-1.38218,5
382,53.92652,-1.37964,5
383,53.85484,-1.43023,5
384,53.83954,-1.4398,5
385,53.90454,-1.41747,5
386,53.90614,-1.41463,5
387,53.82104,-1.4221,5
388,53.81155,-1.43119,5
389,53.81639,-1.43493,5
390,53.77064,-1.35085,5
391,53.82164,-1.44388,5
392,53.92655,-1.37881,5
393,53.76359,-1.39581,5
394,53.67619,-1.29349,5
395,53.72006,-1.34875,5
396,53.69811,-1.32337,5
397,53.83399,-1.45371,5
398,53.79318,-1.38833,5
399,53.78672,-1.39378,5
400,53.7865,-1.39665,5
401,53.7323,-1.32443,5
402,53.73362,-1.31619,5
403,53.73023,-1.34174,5
404,53.73915,-1.39535,5
405,53.7387,-1.39926,5
406,53.7282,-1.30415,5
407,53.7223,-1.30637,5
408,53.77189,-1.42129,5
409,53.76941,-1.41993,5
410,53.76708,-1.4203,5
411,53.76477,-1.42562,5
412,53.79772,-1.44948,5
413,53.76494,-1.35213,5
414,53.89792,-1.44996,5
415,53.71066,-1.31233,5
416,53.85749,-1.42808,5
417,53.82274,-1.44127,5
418,53.77551,-1.37992,5
419,53.77732,-1.38061,5
420,53.8231,-1.45907,5
421,53.79659,-1.38231,5
421,53.79659,-1.38231,2
422,53.78726,-1.40341,5
423,53.78899,-1.39247,5
424,53.91548,-1.40745,5
425,53.83155,-1.37066,5
426,53.78558,-1.41987,5
427,53.7893,-1.41882,5
428,53.79496,-1.43403,5
429,53.77822,-1.4241,5
430,53.78091,-1.42228,5
431,53.79539,-1.39188,5
432,53.79215,-1.40044,5
433,53.79352,-1.39683,5
434,53.79469,-1.39373,5
435,53.78949,-1.40355,5
436,53.69774,-1.36347,5
437,53.72611,-1.36466,5
438,53.68794,-1.32477,5
439,53.84016,-1.45772,5
440,53.83722,-1.45586,5
441,53.71187,-1.19968,5
442,53.71041,-1.19892,5
443,53.72099,-1.18908,5
444,53.7211,-1.18912,5
445,53.72128,-1.19621,5
446,53.72088,-1.19653,5
447,53.72129,-1.19247,5
448,53.90834,-1.41311,5
449,53.92745,-1.38675,5
450,53.92991,-1.39183,5
451,53.83524,-1.45724,5
452,53.83607,-1.46084,5
453,53.68469,-1.29925,5
454,53.68569,-1.29748,5
455,53.77663,-1.37916,5
456,53.92119,-1.40505,5
457,53.67399,-1.3091,5
458,53.71749,-1.3588,5
459,53.83733,-1.45543,5
460,53.92375,-1.3468,5
461,53.73865,-1.39463,5
462,53.74332,-1.36014,5
463,53.77135,-1.36533,5
464,53.79449,-1.38842,5
465,53.72691,-1.26572,5
466,53.72762,-1.27128,5
467,53.72891,-1.27258,5
468,53.94184,-1.3889,5
469,53.92981,-1.39189,5
470,53.72297,-1.33429,5
471,53.71349,-1.27463,5
472,53.68815,-1.31839,5
473,53.68608,-1.3132,5
474,53.72585,-1.36739,5
475,53.72513,-1.37413,5
476,53.78788,-1.39156,5
477,53.70024,-1.31079,5
478,53.71611,-1.31705,5
479,53.71441,-1.36012,5
480,53.7447,-1.28591,5
481,53.74297,-1.28485,5
482,53.73009,-1.27256,5
483,53.74146,-1.28213,5
484,53.67792,-1.29653,5
485,53.68097,-1.30485,5
486,53.75741,-1.33271,5
487,53.93492,-1.36629,5
488,53.69318,-1.30773,5
489,53.79292,-1.42958,5
490,53.74479,-1.28348,5
491,53.74343,-1.28275,5
492,53.74148,-1.28117,5
493,53.74484,-1.28328,5
494,53.74437,-1.28285,5
495,53.74661,-1.28407,5
496,53.72175,-1.26858,5
497,53.75853,-1.31839,5
498,53.92999,-1.37776,5
499,53.9271,-1.38692,4
499,53.9271,-1.38692,5
500,53.71189,-1.34599,5
501,53.68151,-1.31313,5
502,53.82882,-1.45892,5
503,53.81538,-1.43875,5
504,53.68361,-1.30591,5
505,53.93796,-1.3942,5
506,53.93556,-1.36176,5
507,53.76133,-1.38794,5
508,53.935,-1.36639,5
509,53.70841,-1.20741,5
510,53.73069,-1.30149,5
511,53.67006,-1.30679,5
512,53.79658,-1.4256,5
513,53.79687,-1.42568,5
514,53.77022,-1.35054,5
515,53.79517,-1.43621,5
516,53.70516,-1.2399,5
517,53.70569,-1.24415,5
518,53.70562,-1.25011,5
519,53.70588,-1.24713,5
520,53.93506,-1.40796,5
521,53.93001,-1.37763,5
522,53.93757,-1.38189,5
523,53.79952,-1.44393,5
524,53.69788,-1.26542,4
525,53.71788,-1.31061,5
526,53.95888,-1.40496,5
527,53.72247,-1.33628,5
528,53.6986,-1.25362,5
529,53.69679,-1.2531,5
530,53.69976,-1.25606,5
531,53.69924,-1.25682,5
532,53.73125,-1.33451,5
533,53.79724,-1.45289,5
534,53.92464,-1.38563,5
535,53.70311,-1.23699,5
536,53.75715,-1.3891,5
537,53.75249,-1.3832,5
538,53.74301,-1.35625,5
539,53.74287,-1.35645,5
540,53.71567,-1.3768,5
541,53.71594,-1.39203,5
542,53.68806,-1.3246,5
543,53.6901,-1.32313,5
544,53.68955,-1.32478,5
545,53.68035,-1.30114,5
546,53.87176,-1.44667,5
547,53.70874,-1.27437,5
548,53.68052,-1.31997,5
549,53.70962,-1.24702,5
550,53.70851,-1.23284,5
551,53.71117,-1.23678,5
552,53.71096,-1.23969,5
553,53.7108,-1.24288,5
554,53.69736,-1.25683,5
555,53.70347,-1.24821,5
556,53.73369,-1.29872,5
557,53.82671,-1.45316,5
558,53.69462,-1.30248,5
559,53.69633,-1.29254,5
560,53.83136,-1.37741,5
561,53.68556,-1.31877,5
562,53.67655,-1.30063,5
563,53.75721,-1.38894,5
