ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
169,207,4,4,20,8.149
169,207,4,4,20,8.149
169,207,4,4,20,8.149
169,207,4,4,20,8.149
169,207,4,4,20,8.149
169,207,4,4,20,8.149
207,169,4,4,20,8.149
207,169,4,4,20,8.149
207,169,4,4,20,8.149
207,169,4,4,20,8.149
207,169,4,4,20,8.149
207,169,4,4,20,8.149
1,1,5,5,1,0.0
1,40,5,5,1,0.388
1,173,5,5,1,0.421
1,322,5,5,1,0.273
2,92,5,5,1,0.406
3,68,5,5,1,0.332
3,94,5,5,1,0.843
3,234,5,5,1,0.234
3,254,5,5,5,1.731
4,130,5,5,1,0.514
4,152,5,5,1,0.399
5,6,5,5,1,0.813
5,187,5,5,1,0.41
6,5,5,5,1,0.813
6,8,5,5,1,0.561
7,12,5,5,1,0.598
8,6,5,5,1,0.561
8,186,5,5,2,0.76
9,150,5,5,2,0.629
9,186,5,5,1,0.344
10,11,5,5,1,0.407
10,60,5,5,1,0.494
11,10,5,5,1,0.407
12,7,5,5,1,0.598
13,14,5,5,1,0.321
13,15,5,5,1,0.327
13,46,5,5,1,0.478
13,114,5,5,1,0.617
13,115,5,5,1,0.311
14,13,5,5,1,0.321
14,20,5,5,1,0.382
15,13,5,5,1,0.327
15,41,5,5,1,0.335
15,46,5,5,1,0.193
15,115,5,5,2,0.433
15,334,5,5,4,0.737
16,18,5,5,1,0.252
16,165,5,5,1,0.208
16,249,5,5,1,0.545
16,353,5,5,1,0.196
17,18,5,5,1,0.19
17,171,5,5,1,0.429
18,16,5,5,1,0.252
18,17,5,5,1,0.19
19,21,5,5,1,0.368
19,161,5,5,1,0.095
19,171,5,5,1,0.34
20,14,5,5,1,0.382
20,22,5,5,1,0.437
20,171,5,5,1,0.305
21,19,5,5,1,0.368
21,365,5,5,1,0.35
22,20,5,5,1,0.437
22,35,5,5,4,1.887
22,166,5,5,1,0.451
23,67,5,5,1,0.322
23,225,5,5,1,0.133
24,152,5,5,1,0.314
24,347,5,5,1,0.779
25,26,5,5,1,0.203
25,197,5,5,1,0.362
26,25,5,5,1,0.203
26,119,5,5,1,0.18
27,31,5,5,1,0.268
27,275,5,5,2,0.32
27,303,5,5,1,0.126
28,29,5,5,1,0.29
28,275,5,5,1,0.079
29,28,5,5,1,0.29
29,30,5,5,1,0.336
30,29,5,5,1,0.336
30,34,5,5,1,0.127
31,27,5,5,1,0.268
31,194,5,5,1,0.195
32,33,5,5,1,0.226
32,285,5,5,1,0.239
33,32,5,5,1,0.226
33,34,5,5,1,0.225
34,30,5,5,1,0.127
34,33,5,5,1,0.225
35,22,5,5,4,1.887
35,124,5,5,1,0.266
35,126,5,5,1,0.357
36,262,5,5,1,0.211
36,267,5,5,1,0.251
37,139,5,5,1,0.337
37,140,5,5,1,0.254
38,42,5,5,1,0.308
38,138,5,5,1,0.451
39,173,5,5,1,0.169
39,323,5,5,1,0.157
40,1,5,5,1,0.388
40,180,5,5,1,0.259
41,15,5,5,1,0.335
41,293,5,5,1,0.254
42,38,5,5,1,0.308
42,235,5,5,6,2.293
42,251,5,5,1,0.168
43,51,5,5,1,0.445
43,151,5,5,1,0.886
44,89,5,5,1,0.299
44,308,5,5,1,0.266
45,156,5,5,1,0.822
45,250,5,5,1,0.556
46,13,5,5,1,0.478
46,15,5,5,1,0.193
46,47,5,5,3,0.873
46,50,5,5,1,0.471
46,311,5,5,1,0.104
47,48,5,5,2,0.307
47,84,5,5,1,0.264
48,46,5,5,3,1.153
48,47,5,5,1,0.307
48,49,5,5,1,0.365
49,22,5,5,1,0.148
49,48,5,5,2,0.365
50,46,5,5,1,0.471
50,51,5,5,1,0.344
50,166,5,5,3,2.286
51,43,5,5,1,0.445
51,50,5,5,1,0.344
51,81,5,5,1,0.646
51,105,5,5,3,1.998
52,305,5,5,1,0.463
53,321,5,5,1,0.177
53,330,5,5,1,0.163
54,244,5,5,1,0.466
54,245,5,5,1,0.465
55,244,5,5,1,0.357
56,73,5,5,1,0.152
57,214,5,5,1,0.197
57,224,5,5,1,0.222
58,59,5,5,1,0.285
58,96,5,5,1,0.258
58,147,5,5,2,0.664
59,58,5,5,1,0.285
59,96,5,5,1,0.235
59,253,5,5,1,0.35
60,10,5,5,1,0.494
60,192,5,5,1,0.528
61,216,5,5,1,0.283
61,247,5,5,2,0.842
62,207,5,5,1,0.347
62,207,5,5,1,0.347
62,209,5,5,1,1.039
63,63,5,5,1,0.0
63,131,5,5,1,0.417
63,230,5,5,1,0.275
63,333,5,5,1,0.4
63,356,5,5,1,0.477
64,63,5,5,1,0.117
64,317,5,5,1,0.29
65,66,5,5,1,0.213
65,145,5,5,1,0.332
66,65,5,5,1,0.213
66,67,5,5,1,0.258
67,23,5,5,1,0.322
67,66,5,5,1,0.258
68,95,5,5,3,0.614
68,225,5,5,1,0.256
68,336,5,5,1,0.439
69,64,5,5,1,0.464
69,72,5,5,1,0.315
70,71,5,5,1,0.317
70,72,5,5,1,0.239
71,70,5,5,1,0.317
71,174,5,5,1,0.389
72,69,5,5,1,0.315
72,70,5,5,1,0.239
72,145,5,5,1,0.384
72,146,5,5,1,0.278
73,56,5,5,1,0.152
73,74,5,5,1,0.365
74,73,5,5,1,0.365
74,133,5,5,1,0.74
75,77,5,5,1,0.185
75,349,5,5,1,0.155
76,77,5,5,1,0.481
76,78,5,5,1,0.398
77,75,5,5,1,0.185
77,76,5,5,1,0.481
78,76,5,5,1,0.398
78,80,5,5,2,1.23
79,80,5,5,1,0.701
79,191,5,5,5,2.342
79,255,5,5,1,0.308
80,79,5,5,1,0.701
80,361,5,5,1,0.516
81,50,5,5,1,0.653
81,300,5,5,1,0.453
82,91,5,5,6,0.949
82,97,5,5,1,0.759
82,104,5,5,5,5.183
83,150,5,5,2,0.857
83,185,5,5,1,0.936
84,47,5,5,1,0.264
84,352,5,5,2,0.479
85,86,5,5,1,0.286
85,204,5,5,1,0.199
85,252,5,5,2,0.596
86,85,5,5,1,0.286
86,87,5,5,1,0.451
86,252,5,5,1,0.346
87,86,5,5,1,0.451
87,88,5,5,1,0.339
87,252,5,5,1,0.265
88,87,5,5,1,0.339
88,213,5,5,2,0.668
88,331,5,5,1,0.575
89,44,5,5,1,0.299
89,243,5,5,1,0.451
90,265,5,5,1,0.361
