nodeid,lat,lon,layer
1,51.72566,0.46226,5
2,51.65105,0.4368,5
3,51.75746,0.49232,5
4,51.7308,0.5779,5
5,51.71372,0.53921,5
6,51.71111,0.55026,5
7,51.64933,0.59397,5
8,51.71288,0.5579,5
9,51.71292,0.57387,5
10,51.66472,0.59895,5
11,51.66105,0.59894,5
12,51.65295,0.6004,5
13,51.7194,0.49787,5
14,51.72074,0.49373,5
15,51.71776,0.50182,5
16,51.71262,0.48796,5
17,51.71591,0.48433,5
18,51.71455,0.48601,5
19,51.72011,0.48193,5
20,51.72199,0.48855,5
21,51.71888,0.47695,5
22,51.7246,0.48378,5
23,51.75432,0.48645,5
24,51.73715,0.57674,5
25,51.75518,0.46178,5
26,51.75698,0.46231,5
27,51.74426,0.46336,5
28,51.74266,0.46578,5
29,51.74265,0.46155,5
30,51.74361,0.45691,5
31,51.74543,0.45995,5
32,51.74698,0.45267,5
33,51.74591,0.45547,5
34,51.74457,0.45793,5
35,51.73876,0.49897,5
36,51.73418,0.48507,5
37,51.72736,0.44658,5
38,51.74035,0.45209,5
39,51.72932,0.4685,5
40,51.72624,0.45669,5
41,51.71511,0.49949,5
42,51.7408,0.44766,5
43,51.72092,0.52208,5
44,51.75512,0.44274,5
45,51.74246,0.42213,5
46,51.71819,0.50454,5
47,51.72344,0.49508,5
48,51.72408,0.49073,5
49,51.72518,0.48572,5
50,51.72006,0.51069,5
51,51.7203,0.51568,5
52,51.71927,0.45213,5
53,51.72071,0.45989,5
54,51.80394,0.46065,5
55,51.81006,0.4539,5
56,51.69298,0.42351,5
57,51.7397,0.51236,5
58,51.79023,0.4757,5
59,51.78783,0.4742,5
60,51.66907,0.5974,5
61,51.70947,0.46648,5
62,51.66665,0.44852,5
63,51.73745,0.48496,5
64,51.7385,0.4847,5
65,51.74933,0.48138,5
66,51.75125,0.48156,5
67,51.7515,0.4853,5
68,51.75448,0.49185,5
69,51.74263,0.4836,5
70,51.74414,0.49034,5
71,51.74296,0.49455,5
72,51.74459,0.48693,5
73,51.692,0.42196,5
74,51.68995,0.4178,5
75,51.69953,0.53027,5
76,51.69788,0.53944,5
77,51.69864,0.53255,5
78,51.69684,0.54498,5
79,51.68224,0.55944,5
80,51.68671,0.55224,5
81,51.71456,0.51407,5
82,51.65585,0.54773,5
83,51.70942,0.57612,5
84,51.72255,0.49864,5
85,51.76892,0.4727,5
86,51.77147,0.47334,5
87,51.77552,0.47395,5
88,51.77856,0.47339,5
89,51.75313,0.4398,5
