ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,5,2,2,1,1.985
1,5,2,2,1,1.985
1,5,2,2,1,1.985
1,5,2,2,1,1.985
1,152,2,2,2,1.575
1,152,2,2,2,1.575
1,152,2,2,2,1.575
1,152,2,2,2,1.575
5,1,2,2,2,1.985
5,1,2,2,2,1.985
5,1,2,2,2,1.985
5,1,2,2,2,1.985
5,123,2,2,4,4.967
5,123,2,2,4,4.967
5,123,2,2,4,4.967
5,123,2,2,4,4.967
5,152,2,2,3,3.561
5,152,2,2,3,3.561
5,152,2,2,3,3.561
5,152,2,2,3,3.561
5,186,2,2,2,1.377
5,186,2,2,2,1.377
5,186,2,2,2,1.377
5,186,2,2,2,1.377
123,1,2,2,6,6.947
123,1,2,2,6,6.947
123,1,2,2,6,6.947
123,1,2,2,6,6.947
123,5,2,2,4,4.967
123,5,2,2,4,4.967
123,5,2,2,4,4.967
123,5,2,2,4,4.967
123,194,2,2,3,2.75
123,194,2,2,3,2.75
123,194,2,2,3,2.75
123,194,2,2,3,2.75
152,1,2,2,3,1.575
152,1,2,2,3,1.575
152,1,2,2,3,1.575
152,1,2,2,3,1.575
152,5,2,2,3,3.561
152,5,2,2,3,3.561
152,5,2,2,3,3.561
152,5,2,2,3,3.561
163,194,2,2,3,2.066
163,194,2,2,3,2.066
163,194,2,2,3,2.066
163,194,2,2,3,2.066
186,5,2,2,3,1.377
186,5,2,2,3,1.377
186,5,2,2,3,1.377
186,5,2,2,3,1.377
194,123,2,2,4,2.75
194,123,2,2,4,2.75
194,123,2,2,4,2.75
194,123,2,2,4,2.75
194,163,2,2,3,2.066
194,163,2,2,3,2.066
194,163,2,2,3,2.066
194,163,2,2,3,2.066
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,65,5,5,1,0.879
1,65,5,5,1,0.879
1,186,5,5,1,0.998
1,186,5,5,1,0.998
1,186,5,5,1,0.998
1,186,5,5,1,0.998
1,231,5,5,1,0.57
1,231,5,5,1,0.57
1,235,5,5,3,0.664
1,235,5,5,3,0.664
2,64,5,5,1,0.323
3,64,5,5,1,0.918
4,149,5,5,1,0.248
4,224,5,5,1,0.268
5,5,5,5,2,0.0
5,5,5,5,2,0.0
5,5,5,5,2,0.0
5,5,5,5,2,0.0
5,157,5,5,3,0.753
5,157,5,5,3,0.753
5,158,5,5,2,0.724
5,158,5,5,2,0.724
6,7,5,5,1,0.379
6,160,5,5,1,0.495
7,6,5,5,1,0.379
7,102,5,5,2,0.604
7,158,5,5,1,0.399
8,52,5,5,1,0.349
8,92,5,5,1,0.459
9,10,5,5,1,0.229
9,148,5,5,1,0.229
10,9,5,5,1,0.229
10,11,5,5,1,0.233
11,10,5,5,1,0.233
11,12,5,5,1,0.143
12,11,5,5,1,0.143
12,71,5,5,3,1.214
13,35,5,5,1,0.302
14,89,5,5,1,0.489
14,91,5,5,1,0.438
14,244,5,5,1,0.413
15,15,5,5,1,0.0
15,58,5,5,2,0.452
15,145,5,5,2,1.159
16,17,5,5,1,0.152
16,90,5,5,2,0.733
16,90,5,5,2,0.733
17,16,5,5,1,0.152
17,75,5,5,2,0.365
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,95,5,5,1,0.638
18,95,5,5,1,0.638
18,107,5,5,1,0.783
18,107,5,5,1,0.783
