nodeid,lat,lon,layer
1,51.68507,-0.02655,5
1,51.68507,-0.02655,2
2,51.78639,0.01592,5
3,51.78227,0.02233,5
4,51.65964,0.08151,5
5,51.70288,-0.02395,2
5,51.70288,-0.02395,5
6,51.7103,-0.03495,5
7,51.70711,-0.03692,5
8,51.70637,-0.04927,5
9,51.65697,0.0855,5
10,51.65491,0.08573,5
11,51.65317,0.08383,5
12,51.65193,0.08444,5
13,51.64951,0.07889,5
14,51.681,-0.04127,5
15,51.67481,-0.01934,5
16,51.69556,-0.18222,5
17,51.69538,-0.18002,5
18,51.70872,-0.10978,5
18,51.70872,-0.10978,2
19,51.72695,-0.02604,5
20,51.72256,-0.02574,5
21,51.74451,-0.01979,5
22,51.74128,-0.02219,5
23,51.73726,-0.02248,5
24,51.73374,-0.02334,5
25,51.73094,-0.02496,5
26,51.68376,0.00191,5
27,51.76803,-0.02037,5
28,51.77043,-0.02906,5
29,51.77269,-0.03421,5
30,51.77772,-0.03718,5
31,51.78042,-0.0417,5
32,51.78367,-0.04593,5
33,51.64871,0.07102,5
34,51.64823,0.06828,5
35,51.65163,0.07613,5
36,51.65069,0.07376,5
37,51.64884,0.06357,5
38,51.64822,0.07292,5
39,51.64493,0.06381,5
40,51.64917,0.0586,5
41,51.64353,0.05963,5
42,51.68653,0.00488,5
43,51.66307,-0.00216,5
44,51.66585,-0.00033,5
45,51.67258,0.00396,5
46,51.67679,0.00331,5
47,51.77297,-0.00279,5
48,51.76736,-0.00673,5
49,51.77207,-0.01416,5
50,51.77009,-0.01415,5
51,51.76666,-0.01202,5
52,51.70952,-0.04927,5
53,51.71224,-0.04458,5
54,51.7128,-0.05057,5
55,51.7144,-0.05703,5
56,51.71153,-0.06095,5
57,51.66784,-0.01553,5
58,51.67083,-0.01793,5
59,51.67567,-0.03627,5
60,51.77579,-0.01248,5
61,51.77714,-0.00773,5
62,51.78033,-0.00145,5
63,51.77359,-0.0085,5
64,51.78695,0.0113,5
65,51.68641,-0.01395,5
66,51.65514,0.07027,5
67,51.65404,0.07205,5
68,51.65142,0.05961,5
69,51.65387,0.0638,5
70,51.65582,0.06656,5
71,51.65587,0.06799,5
72,51.64678,0.05443,5
73,51.64922,0.05678,5
74,51.70153,-0.18821,5
75,51.69712,-0.17551,5
76,51.70071,-0.17518,5
77,51.67082,-0.01632,5
78,51.70931,0.00596,5
79,51.72591,0.03668,5
80,51.7364,0.01268,5
81,51.72672,0.04283,5
82,51.72645,0.03769,5
83,51.73086,0.03103,5
84,51.73202,0.02643,5
85,51.68311,0.07557,5
86,51.67877,0.06872,5
87,51.67594,0.05311,5
88,51.67588,0.06241,5
89,51.68024,-0.04828,5
90,51.69707,-0.1926,2
90,51.69707,-0.1926,5
91,51.68017,-0.03504,5
92,51.70229,-0.04816,5
93,51.69961,-0.12438,5
94,51.69982,-0.13309,5
95,51.70418,-0.11547,5
96,51.70239,-0.11787,5
97,51.76105,-0.00886,5
98,51.76193,-0.01156,5
99,51.74787,-0.01906,5
100,51.7515,-0.01648,5
101,51.75514,-0.01334,5
102,51.71065,-0.0436,5
103,51.67752,-0.05195,5
104,51.71161,-0.08868,5
105,51.71452,-0.09192,5
106,51.70859,-0.07943,5
107,51.70917,-0.09841,5
108,51.70962,-0.0935,5
109,51.71001,-0.08675,5
110,51.70656,-0.07008,5
111,51.70703,-0.07526,5
112,51.69036,0.04607,5
113,51.66225,0.06613,5
114,51.65921,0.06711,5
115,51.66806,0.06437,5
116,51.68773,0.02824,5
117,51.691,0.02115,5
118,51.68777,0.00125,5
119,51.68594,0.0015,5
120,51.68918,0.02388,5
121,51.68944,0.02551,5
122,51.68664,0.02666,5
123,51.74691,-0.01108,5
123,51.74691,-0.01108,2
124,51.77456,-0.01153,5
125,51.76565,-0.01249,5
126,51.77997,-0.01363,5
127,51.76715,-0.00249,5
128,51.70086,-0.0541,5
129,51.7083,-0.06105,5
130,51.70648,-0.06379,5
131,51.7067,-0.05444,5
132,51.6988,-0.05273,5
133,51.73649,0.00122,5
134,51.73562,0.00804,5
135,51.74053,-0.00355,5
