ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
8,61,2,2,8,10.692
8,61,2,2,8,10.692
8,61,2,2,8,10.692
8,61,2,2,8,10.692
8,218,2,2,3,1.637
8,218,2,2,3,1.637
8,218,2,2,3,1.637
8,218,2,2,3,1.637
61,8,2,2,9,10.692
61,8,2,2,9,10.692
61,8,2,2,9,10.692
61,8,2,2,9,10.692
61,96,2,2,5,3.098
61,96,2,2,5,3.098
61,96,2,2,5,3.098
61,96,2,2,5,3.098
61,714,2,2,2,0.662
61,714,2,2,2,0.662
85,96,2,2,4,2.942
85,96,2,2,4,2.942
85,96,2,2,4,2.942
85,96,2,2,4,2.942
96,61,2,2,4,3.098
96,61,2,2,4,3.098
96,61,2,2,4,3.098
96,61,2,2,4,3.098
96,85,2,2,5,2.942
96,85,2,2,5,2.942
96,85,2,2,5,2.942
96,85,2,2,5,2.942
218,8,2,2,3,1.637
218,8,2,2,3,1.637
218,8,2,2,3,1.637
218,8,2,2,3,1.637
714,61,2,2,2,0.662
714,61,2,2,2,0.662
391,452,4,4,15,4.083
391,452,4,4,15,4.083
391,452,4,4,15,4.083
391,452,4,4,15,4.083
391,452,4,4,15,4.083
391,452,4,4,15,4.083
391,452,4,4,15,4.083
391,452,4,4,15,4.083
452,391,4,4,10,4.083
452,391,4,4,10,4.083
452,391,4,4,10,4.083
452,391,4,4,10,4.083
452,391,4,4,10,4.083
452,391,4,4,10,4.083
452,391,4,4,10,4.083
452,391,4,4,10,4.083
1,177,5,5,1,0.759
1,255,5,5,1,0.897
2,70,5,5,1,0.408
2,90,5,5,1,0.489
3,4,5,5,1,0.16
3,70,5,5,1,0.189
4,3,5,5,1,0.16
4,5,5,5,1,0.096
5,4,5,5,1,0.096
5,105,5,5,1,0.194
6,36,5,5,1,0.637
6,237,5,5,1,0.437
7,62,5,5,1,0.355
7,93,5,5,2,1.152
7,178,5,5,4,2.272
7,435,5,5,2,1.423
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,45,5,5,1,0.629
8,45,5,5,1,0.629
8,73,5,5,2,1.06
8,73,5,5,2,1.06
8,75,5,5,3,0.744
8,75,5,5,3,0.744
8,175,5,5,2,0.572
8,175,5,5,2,0.572
8,186,5,5,1,0.638
8,186,5,5,1,0.638
8,222,5,5,1,0.692
8,222,5,5,1,0.692
8,266,5,5,1,0.256
8,266,5,5,1,0.256
8,352,5,5,2,0.604
8,352,5,5,2,0.604
8,424,5,5,1,0.482
8,424,5,5,1,0.482
8,517,5,5,1,0.583
8,517,5,5,1,0.583
8,518,5,5,1,0.807
8,518,5,5,1,0.807
8,669,5,5,10,11.694
8,669,5,5,10,11.694
9,11,5,5,1,0.285
