nodeid,lat,lon,layer
1,53.14969,-2.94533,5
2,53.16954,-2.90886,5
3,53.17378,-2.90365,5
4,53.17467,-2.90174,5
5,53.17533,-2.90268,5
6,53.15921,-2.91085,5
7,53.23561,-2.90217,5
8,53.19671,-2.8796,5
8,53.19671,-2.8796,2
9,53.2038,-2.86685,5
10,53.2108,-2.86484,5
11,53.20552,-2.86365,5
12,53.20761,-2.85643,5
13,53.20924,-2.86168,5
14,53.20251,-2.88342,5
15,53.20506,-2.88082,5
16,53.20245,-2.87046,5
17,53.20153,-2.85803,5
18,53.16895,-2.91785,5
19,53.1685,-2.91989,5
20,53.1807,-2.89388,5
21,53.17987,-2.89851,5
22,53.17944,-2.90223,5
23,53.17882,-2.90825,5
24,53.17768,-2.91288,5
25,53.17592,-2.91435,5
26,53.17129,-2.91784,5
27,53.19262,-2.8633,5
28,53.18609,-2.89408,5
29,53.19338,-2.85593,5
30,53.19744,-2.85454,5
31,53.20888,-2.83053,5
32,53.18183,-2.91262,5
33,53.18771,-2.8944,5
34,53.19861,-2.89606,5
35,53.12744,-2.93163,5
36,53.1539,-2.91451,5
37,53.14019,-2.9215,5
38,53.14881,-2.91723,5
39,53.13274,-2.92792,5
40,53.13597,-2.92562,5
41,53.19499,-2.90741,5
42,53.20103,-2.88987,5
43,53.20294,-2.89997,5
44,53.20098,-2.89818,5
45,53.2012,-2.87382,5
46,53.19402,-2.90417,5
47,53.19864,-2.93248,5
48,53.152,-2.9627,5
49,53.21808,-2.91905,5
50,53.19208,-2.87189,5
51,53.18404,-2.88763,5
52,53.18609,-2.88175,5
53,53.18491,-2.88069,5
54,53.1817,-2.88329,5
55,53.18165,-2.8988,5
56,53.20474,-2.8618,5
57,53.2042,-2.8605,5
58,53.20333,-2.85752,5
59,53.18377,-2.90492,5
60,53.18377,-2.85668,5
61,53.21305,-3.03807,5
61,53.21305,-3.03807,2
62,53.23847,-2.90458,5
63,53.1537,-2.81228,5
64,53.24924,-2.79492,5
65,53.20351,-2.85379,5
66,53.19838,-2.86609,5
67,53.14422,-2.95551,5
68,53.17993,-2.88258,5
69,53.19843,-2.81377,5
70,53.17216,-2.90456,5
71,53.19169,-2.88423,5
72,53.17574,-2.86557,5
73,53.19218,-2.89364,5
74,53.20453,-2.90202,5
75,53.19134,-2.8863,5
76,53.18285,-2.83471,5
77,53.20886,-2.88465,5
78,53.20265,-2.8848,5
79,53.19712,-2.89256,5
80,53.21398,-2.87272,5
81,53.2089,-2.8717,5
82,53.2108,-2.87162,5
83,53.18961,-2.86326,5
84,53.16835,-2.9014,5
85,53.16305,-3.05594,5
85,53.16305,-3.05594,2
86,53.18507,-2.88472,5
87,53.18025,-2.88727,5
88,53.20301,-2.8941,5
89,53.22749,-2.92519,5
90,53.16774,-2.91558,5
91,53.22595,-2.82814,5
92,53.22121,-2.83249,5
93,53.22635,-2.89433,5
94,53.15243,-2.98023,5
95,53.2221,-2.92119,5
