ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
85,218,2,2,7,7.801
85,218,2,2,7,7.801
85,218,2,2,7,7.801
85,218,2,2,7,7.801
138,218,2,2,7,1.789
138,218,2,2,7,1.789
138,218,2,2,7,1.789
138,218,2,2,7,1.789
138,218,2,2,7,1.789
138,218,2,2,7,1.789
138,220,2,2,7,4.842
138,220,2,2,7,4.842
138,220,2,2,7,4.842
138,220,2,2,7,4.842
138,220,2,2,7,4.842
138,220,2,2,7,4.842
138,227,2,2,4,1.563
138,227,2,2,4,1.563
138,227,2,2,4,1.563
138,227,2,2,4,1.563
138,227,2,2,4,1.563
138,227,2,2,4,1.563
218,85,2,2,6,7.801
218,85,2,2,6,7.801
218,85,2,2,6,7.801
218,85,2,2,6,7.801
218,138,2,2,7,1.789
218,138,2,2,7,1.789
218,138,2,2,7,1.789
218,138,2,2,7,1.789
218,138,2,2,7,1.789
218,138,2,2,7,1.789
218,220,2,2,7,6.56
218,220,2,2,7,6.56
218,220,2,2,7,6.56
218,220,2,2,7,6.56
218,227,2,2,4,2.921
218,227,2,2,4,2.921
218,227,2,2,4,2.921
218,227,2,2,4,2.921
220,218,2,2,9,6.56
220,218,2,2,9,6.56
220,218,2,2,9,6.56
220,218,2,2,9,6.56
220,227,2,2,4,3.78
220,227,2,2,4,3.78
220,227,2,2,4,3.78
220,227,2,2,4,3.78
227,138,2,2,4,1.563
227,138,2,2,4,1.563
227,138,2,2,4,1.563
227,138,2,2,4,1.563
227,138,2,2,4,1.563
227,138,2,2,4,1.563
227,218,2,2,7,2.921
227,218,2,2,7,2.921
227,218,2,2,7,2.921
227,218,2,2,7,2.921
227,220,2,2,4,3.78
227,220,2,2,4,3.78
227,220,2,2,4,3.78
227,220,2,2,4,3.78
112,138,4,4,10,2.831
112,138,4,4,10,2.831
112,138,4,4,10,2.831
112,138,4,4,10,2.831
112,138,4,4,10,2.831
112,138,4,4,10,2.831
138,112,4,4,5,2.831
138,112,4,4,5,2.831
138,112,4,4,5,2.831
138,112,4,4,5,2.831
138,112,4,4,5,2.831
138,112,4,4,5,2.831
1,3,5,5,1,0.419
1,200,5,5,1,0.232
2,32,5,5,1,0.775
3,1,5,5,1,0.419
3,32,5,5,1,0.343
4,9,5,5,1,0.287
4,53,5,5,1,0.299
4,124,5,5,1,0.412
5,6,5,5,1,0.224
5,53,5,5,1,0.278
6,5,5,5,1,0.224
6,33,5,5,2,0.251
7,33,5,5,1,0.374
7,126,5,5,1,0.791
7,266,5,5,2,0.829
8,7,5,5,1,0.304
8,9,5,5,1,0.415
8,33,5,5,1,0.106
8,124,5,5,1,0.262
9,4,5,5,1,0.287
9,8,5,5,1,0.415
9,124,5,5,2,0.278
9,146,5,5,1,0.245
10,105,5,5,2,0.723
10,270,5,5,3,1.829
11,12,5,5,1,0.275
11,288,5,5,1,0.266
12,11,5,5,1,0.275
12,19,5,5,1,0.263
13,14,5,5,2,0.636
13,252,5,5,1,0.433
13,356,5,5,1,0.438
14,253,5,5,2,0.853
14,288,5,5,1,0.33
15,18,5,5,1,0.232
15,151,5,5,1,0.209
16,248,5,5,1,0.115
16,280,5,5,1,0.766
17,18,5,5,1,0.244
17,279,5,5,1,0.355
18,15,5,5,1,0.232
18,17,5,5,1,0.244
19,12,5,5,1,0.263
19,20,5,5,1,0.222
20,19,5,5,1,0.222
20,241,5,5,1,0.251
20,242,5,5,1,0.263
20,365,5,5,1,0.173
21,213,5,5,1,0.241
21,399,5,5,1,0.316
22,210,5,5,1,0.221
22,354,5,5,1,0.215
23,85,5,5,1,0.922
23,85,5,5,1,0.922
23,155,5,5,1,0.56
23,226,5,5,1,0.494
24,25,5,5,1,0.246
24,27,5,5,1,0.274
24,29,5,5,1,0.213
24,149,5,5,1,0.225
25,24,5,5,1,0.246
25,30,5,5,1,0.15
26,27,5,5,1,0.202
26,75,5,5,1,0.203
26,143,5,5,1,0.466
27,24,5,5,1,0.274
27,26,5,5,1,0.202
28,28,5,5,1,0.0
28,30,5,5,1,0.309
28,147,5,5,1,0.105
29,24,5,5,1,0.213
29,355,5,5,1,0.126
30,25,5,5,1,0.15
30,28,5,5,1,0.309
31,29,5,5,1,0.18
31,147,5,5,1,0.158
32,2,5,5,1,0.775
32,3,5,5,1,0.343
32,32,5,5,1,0.0
32,262,5,5,1,0.398
33,6,5,5,1,0.251
33,7,5,5,1,0.374
33,8,5,5,1,0.106
34,39,5,5,2,1.607
34,133,5,5,1,1.334
34,196,5,5,2,0.858
35,80,5,5,1,0.108
35,206,5,5,1,0.186
36,181,5,5,1,0.328
36,224,5,5,1,0.151
37,93,5,5,1,0.234
37,282,5,5,1,0.257
37,297,5,5,1,0.212
37,302,5,5,1,0.394
38,138,5,5,1,0.582
38,138,5,5,1,0.582
38,138,5,5,1,0.582
38,235,5,5,1,0.381
38,389,5,5,1,0.235
39,34,5,5,2,1.607
39,133,5,5,1,0.279
39,135,5,5,1,0.311
40,159,5,5,1,0.411
40,162,5,5,2,0.335
40,235,5,5,1,0.231
41,42,5,5,1,0.268
41,44,5,5,1,0.301
41,164,5,5,1,0.189
41,401,5,5,1,0.123
42,41,5,5,1,0.268
42,168,5,5,1,0.336
43,44,5,5,1,0.272
43,168,5,5,1,0.352
44,41,5,5,1,0.301
44,43,5,5,1,0.272
45,50,5,5,1,0.222
45,314,5,5,1,0.607
46,118,5,5,1,0.151
46,225,5,5,2,0.873
47,52,5,5,1,0.815
47,314,5,5,1,1.207
48,49,5,5,1,0.296
48,51,5,5,1,0.138
49,48,5,5,1,0.296
49,51,5,5,1,0.434
49,197,5,5,1,0.49
50,45,5,5,1,0.222
50,51,5,5,1,0.338
51,48,5,5,1,0.138
51,50,5,5,1,0.338
52,47,5,5,1,0.815
52,52,5,5,1,0.0
52,190,5,5,2,0.876
52,257,5,5,2,0.789
52,284,5,5,1,0.336
53,4,5,5,1,0.299
53,5,5,5,1,0.278
53,33,5,5,3,0.352
54,55,5,5,1,0.223
54,255,5,5,1,0.339
55,54,5,5,1,0.223
55,56,5,5,1,0.282
56,55,5,5,1,0.282
56,57,5,5,1,0.173
57,56,5,5,1,0.173
58,59,5,5,2,0.272
58,177,5,5,1,0.254
59,58,5,5,1,0.272
59,193,5,5,2,0.457
60,159,5,5,1,0.177
60,193,5,5,2,0.469
61,62,5,5,1,0.347
61,157,5,5,1,0.215
62,61,5,5,1,0.347
62,183,5,5,1,0.194
63,161,5,5,1,0.222
63,180,5,5,1,0.098
64,65,5,5,1,0.198
64,66,5,5,1,0.321
65,64,5,5,1,0.198
65,260,5,5,1,0.284
66,64,5,5,1,0.321
66,263,5,5,1,0.367
66,342,5,5,1,0.159
67,194,5,5,1,0.292
67,208,5,5,1,0.286
68,69,5,5,1,0.247
68,120,5,5,1,0.298
69,68,5,5,1,0.247
69,291,5,5,1,0.473
70,23,5,5,1,0.134
70,71,5,5,1,0.257
71,70,5,5,1,0.257
71,226,5,5,1,0.169
72,79,5,5,1,0.293
72,378,5,5,1,0.12
73,227,5,5,1,0.712
73,227,5,5,1,0.712
73,390,5,5,1,0.111
73,398,5,5,1,0.186
74,75,5,5,1,0.313
74,267,5,5,1,0.277
74,287,5,5,1,0.125
75,26,5,5,1,0.203
75,74,5,5,1,0.313
75,77,5,5,1,0.484
75,83,5,5,1,0.314
75,143,5,5,1,0.346
76,83,5,5,1,0.29
77,75,5,5,1,0.484
77,78,5,5,1,0.226
77,392,5,5,1,0.613
78,77,5,5,1,0.226
78,400,5,5,1,0.186
79,72,5,5,1,0.293
79,84,5,5,2,0.251
79,114,5,5,1,0.255
80,35,5,5,1,0.108
80,173,5,5,1,0.209
81,205,5,5,1,0.129
81,330,5,5,1,0.135
82,207,5,5,1,0.291
82,341,5,5,1,0.271
83,75,5,5,1,0.314
83,76,5,5,1,0.29
83,392,5,5,1,0.194
84,78,5,5,1,0.456
84,79,5,5,2,0.251
85,23,5,5,1,0.922
85,23,5,5,1,0.922
85,70,5,5,2,1.027
85,70,5,5,2,1.027
85,85,5,5,1,0.0
85,85,5,5,1,0.0
85,85,5,5,1,0.0
85,85,5,5,1,0.0
85,107,5,5,1,1.038
85,107,5,5,1,1.038
85,195,5,5,1,0.987
85,195,5,5,1,0.987
85,218,5,5,10,7.801
85,218,5,5,10,7.801
85,218,5,5,10,7.801
85,218,5,5,10,7.801
85,325,5,5,10,11.7
85,325,5,5,10,11.7
85,356,5,5,7,3.736
85,356,5,5,7,3.736
86,87,5,5,1,0.451
86,88,5,5,1,0.573
87,86,5,5,1,0.451
87,195,5,5,1,0.387
88,86,5,5,1,0.573
88,252,5,5,1,0.634
89,90,5,5,1,0.365
89,96,5,5,1,0.219
89,212,5,5,1,0.287
90,89,5,5,1,0.365
90,91,5,5,1,0.208
91,90,5,5,1,0.208
91,92,5,5,1,0.187
92,91,5,5,1,0.187
92,97,5,5,1,0.25
92,215,5,5,1,0.138
93,37,5,5,1,0.234
93,94,5,5,1,0.325
94,93,5,5,1,0.325
94,95,5,5,1,0.361
95,94,5,5,1,0.361
95,96,5,5,1,0.347
96,89,5,5,1,0.219
96,95,5,5,1,0.347
97,92,5,5,1,0.25
97,216,5,5,1,0.205
97,339,5,5,1,0.141
98,197,5,5,1,0.242
98,236,5,5,1,0.251
99,104,5,5,1,0.424
99,119,5,5,1,0.402
99,356,5,5,1,1.027
100,101,5,5,1,0.244
100,106,5,5,1,0.32
101,100,5,5,1,0.244
101,245,5,5,1,0.152
101,357,5,5,1,0.312
102,103,5,5,1,0.612
102,104,5,5,1,0.468
103,102,5,5,1,0.612
103,106,5,5,1,0.198
103,397,5,5,1,0.176
104,99,5,5,1,0.424
104,396,5,5,1,0.32
105,10,5,5,1,0.723
105,352,5,5,1,0.229
105,353,5,5,1,0.268
105,358,5,5,1,0.234
105,369,5,5,1,0.09
106,100,5,5,1,0.32
106,105,5,5,1,0.467
107,85,5,5,1,1.038
107,85,5,5,1,1.038
107,356,5,5,9,4.598
108,109,5,5,1,0.806
108,111,5,5,2,1.151
108,112,5,5,1,0.433
108,112,5,5,1,0.433
108,227,5,5,5,1.917
108,227,5,5,5,1.917
109,108,5,5,2,0.806
109,113,5,5,1,0.277
110,112,5,5,1,0.266
110,112,5,5,1,0.266
110,227,5,5,2,1.271
110,227,5,5,2,1.271
111,108,5,5,3,1.151
111,232,5,5,1,0.206
112,108,5,5,1,0.433
112,108,5,5,1,0.433
112,110,5,5,1,0.266
112,110,5,5,1,0.266
112,121,5,5,7,3.677
112,121,5,5,7,3.677
112,138,5,5,10,2.831
112,138,5,5,10,2.831
112,138,5,5,10,2.831
112,138,5,5,10,2.831
112,138,5,5,10,2.831
112,138,5,5,10,2.831
113,109,5,5,1,0.277
113,172,5,5,1,0.824
113,380,5,5,1,0.569
114,149,5,5,1,0.296
114,362,5,5,1,0.169
115,227,5,5,1,0.65
115,227,5,5,1,0.65
115,251,5,5,1,0.769
116,117,5,5,1,0.345
116,156,5,5,1,0.449
117,116,5,5,1,0.345
117,153,5,5,1,0.598
118,46,5,5,1,0.151
119,99,5,5,1,0.402
119,105,5,5,4,2.284
119,219,5,5,1,0.775
119,225,5,5,1,0.513
120,68,5,5,1,0.298
120,120,5,5,1,0.0
120,169,5,5,1,0.62
120,328,5,5,1,0.336
121,108,5,5,6,3.371
121,112,5,5,5,3.677
121,112,5,5,5,3.677
121,122,5,5,1,0.395
121,192,5,5,1,0.461
122,121,5,5,1,0.395
122,170,5,5,1,0.505
123,124,5,5,1,0.132
123,206,5,5,1,0.232
124,8,5,5,1,0.262
124,9,5,5,1,0.278
124,123,5,5,1,0.132
125,132,5,5,1,0.401
125,218,5,5,1,0.694
125,218,5,5,1,0.694
125,320,5,5,1,0.379
125,374,5,5,2,0.416
126,7,5,5,1,0.791
126,127,5,5,2,0.812
126,173,5,5,2,0.708
126,265,5,5,1,0.313
126,266,5,5,1,0.246
127,126,5,5,2,0.812
127,206,5,5,1,0.21
128,206,5,5,1,0.109
128,261,5,5,1,0.188
128,262,5,5,1,0.119
129,130,5,5,1,0.221
129,190,5,5,1,0.396
129,191,5,5,1,0.127
130,129,5,5,1,0.221
130,257,5,5,1,0.203
130,377,5,5,1,0.245
131,132,5,5,1,0.535
131,158,5,5,1,0.303
131,258,5,5,1,0.282
131,376,5,5,1,0.277
132,125,5,5,1,0.401
132,158,5,5,1,0.27
133,34,5,5,2,1.334
133,39,5,5,1,0.279
133,204,5,5,2,0.263
133,327,5,5,3,0.811
134,13,5,5,1,0.282
134,252,5,5,1,0.205
134,253,5,5,1,0.173
135,38,5,5,3,0.64
135,141,5,5,1,0.301
135,204,5,5,1,0.266
135,388,5,5,1,0.171
135,389,5,5,1,0.404
136,137,5,5,1,0.38
136,313,5,5,1,0.313
137,136,5,5,1,0.38
137,305,5,5,2,0.444
138,38,5,5,1,0.582
138,38,5,5,1,0.582
138,38,5,5,1,0.582
138,112,5,5,10,2.831
138,112,5,5,10,2.831
138,112,5,5,10,2.831
138,112,5,5,10,2.831
138,112,5,5,10,2.831
138,112,5,5,10,2.831
138,138,5,5,1,0.0
138,138,5,5,1,0.0
138,138,5,5,1,0.0
138,138,5,5,1,0.0
138,138,5,5,1,0.0
138,138,5,5,1,0.0
138,138,5,5,1,0.0
138,138,5,5,1,0.0
138,138,5,5,1,0.0
138,218,5,5,10,1.789
138,218,5,5,10,1.789
138,218,5,5,10,1.789
138,218,5,5,10,1.789
138,218,5,5,10,1.789
138,218,5,5,10,1.789
138,221,5,5,1,0.724
138,221,5,5,1,0.724
138,221,5,5,1,0.724
138,251,5,5,1,0.512
138,251,5,5,1,0.512
138,251,5,5,1,0.512
138,270,5,5,7,1.552
138,270,5,5,7,1.552
138,270,5,5,7,1.552
138,297,5,5,1,0.748
138,297,5,5,1,0.748
138,297,5,5,1,0.748
138,302,5,5,1,0.631
138,302,5,5,1,0.631
138,302,5,5,1,0.631
138,304,5,5,1,0.645
138,304,5,5,1,0.645
138,304,5,5,1,0.645
138,332,5,5,1,0.731
138,332,5,5,1,0.731
138,332,5,5,1,0.731
138,366,5,5,10,2.123
138,366,5,5,10,2.123
138,366,5,5,10,2.123
138,379,5,5,1,0.274
138,379,5,5,1,0.274
138,379,5,5,1,0.274
138,403,5,5,1,0.447
138,403,5,5,1,0.447
138,403,5,5,1,0.447
139,140,5,5,1,0.256
139,285,5,5,1,0.78
140,139,5,5,1,0.256
140,283,5,5,1,0.288
140,285,5,5,1,1.035
140,323,5,5,1,0.085
141,135,5,5,1,0.301
141,142,5,5,2,0.405
142,141,5,5,1,0.405
142,282,5,5,3,0.683
143,75,5,5,1,0.346
143,83,5,5,1,0.054
143,315,5,5,1,0.434
143,381,5,5,1,0.483
144,145,5,5,1,0.267
144,146,5,5,1,0.244
145,144,5,5,1,0.267
145,315,5,5,1,0.364
146,9,5,5,1,0.245
146,144,5,5,1,0.244
146,207,5,5,1,0.145
147,31,5,5,1,0.158
147,227,5,5,1,0.609
147,227,5,5,1,0.609
148,73,5,5,1,0.135
148,149,5,5,1,0.702
148,227,5,5,1,0.67
148,227,5,5,1,0.67
148,386,5,5,1,0.117
149,24,5,5,1,0.225
149,25,5,5,1,0.376
149,114,5,5,1,0.296
150,189,5,5,1,0.262
150,190,5,5,1,0.212
151,15,5,5,1,0.209
151,248,5,5,1,0.144
152,240,5,5,1,0.224
152,247,5,5,1,0.272
153,117,5,5,1,0.598
153,154,5,5,1,0.57
154,153,5,5,1,0.57
155,23,5,5,1,0.56
155,156,5,5,1,0.409
156,116,5,5,1,0.449
156,155,5,5,1,0.409
156,226,5,5,1,0.5
157,61,5,5,2,0.215
157,368,5,5,2,0.387
158,131,5,5,1,0.303
158,132,5,5,1,0.27
158,158,5,5,1,0.0
159,40,5,5,1,0.411
159,60,5,5,1,0.177
159,160,5,5,1,0.319
159,162,5,5,1,0.139
159,165,5,5,2,0.731
160,159,5,5,1,0.319
160,165,5,5,1,0.456
160,167,5,5,1,0.177
161,63,5,5,1,0.222
161,237,5,5,1,0.132
162,40,5,5,1,0.335
162,159,5,5,1,0.139
162,238,5,5,1,0.189
163,41,5,5,1,0.118
163,163,5,5,1,0.0
163,166,5,5,1,0.339
164,163,5,5,1,0.114
164,194,5,5,1,0.397
165,160,5,5,1,0.456
165,166,5,5,1,0.203
166,164,5,5,1,0.438
166,165,5,5,1,0.203
167,160,5,5,1,0.177
167,168,5,5,1,0.291
168,42,5,5,1,0.336
168,43,5,5,1,0.352
168,44,5,5,1,0.444
168,167,5,5,1,0.291
168,168,5,5,1,0.0
169,120,5,5,1,0.62
170,122,5,5,1,0.505
171,172,5,5,1,0.885
171,192,5,5,1,0.753
172,113,5,5,1,0.824
172,171,5,5,1,0.885
172,380,5,5,2,1.394
173,80,5,5,1,0.209
173,126,5,5,2,0.708
173,330,5,5,1,0.133
174,175,5,5,1,0.285
174,299,5,5,1,0.142
174,366,5,5,3,0.639
174,387,5,5,2,0.561
175,174,5,5,1,0.285
175,178,5,5,1,0.377
175,300,5,5,5,0.767
175,366,5,5,2,0.431
175,387,5,5,1,0.366
176,105,5,5,1,0.653
176,179,5,5,1,0.437
177,58,5,5,1,0.254
177,182,5,5,1,0.323
177,359,5,5,1,0.193
177,361,5,5,1,0.215
178,175,5,5,1,0.377
178,179,5,5,1,0.253
179,176,5,5,1,0.437
179,178,5,5,1,0.253
180,181,5,5,1,0.204
180,183,5,5,1,0.242
181,36,5,5,1,0.328
181,63,5,5,1,0.201
181,180,5,5,1,0.204
182,177,5,5,1,0.323
182,183,5,5,1,0.326
183,62,5,5,1,0.194
183,63,5,5,1,0.258
183,177,5,5,1,0.65
183,180,5,5,1,0.242
183,182,5,5,1,0.326
184,189,5,5,1,0.265
184,348,5,5,1,0.148
185,186,5,5,1,0.237
185,312,5,5,1,0.283
186,185,5,5,1,0.237
186,187,5,5,1,0.381
186,331,5,5,1,0.223
187,186,5,5,1,0.381
187,188,5,5,1,0.345
187,306,5,5,1,0.481
188,187,5,5,2,0.345
188,306,5,5,1,0.155
189,150,5,5,1,0.262
189,184,5,5,1,0.265
190,129,5,5,1,0.396
190,150,5,5,1,0.212
190,189,5,5,1,0.468
190,191,5,5,1,0.519
190,257,5,5,1,0.169
191,52,5,5,1,0.369
191,129,5,5,1,0.127
191,190,5,5,1,0.519
191,257,5,5,1,0.466
191,283,5,5,1,0.996
191,284,5,5,1,0.484
192,121,5,5,1,0.461
192,171,5,5,1,0.753
193,59,5,5,1,0.457
193,60,5,5,1,0.469
194,67,5,5,1,0.292
194,164,5,5,1,0.397
194,208,5,5,1,0.572
195,85,5,5,1,0.987
195,85,5,5,1,0.987
195,87,5,5,1,0.387
196,16,5,5,2,0.881
196,34,5,5,2,0.858
196,279,5,5,1,0.695
196,293,5,5,1,0.44
196,339,5,5,3,1.054
197,49,5,5,1,0.49
197,98,5,5,1,0.242
198,202,5,5,1,0.133
198,287,5,5,1,0.175
199,202,5,5,1,0.22
199,393,5,5,1,0.215
200,1,5,5,1,0.232
200,201,5,5,1,0.275
201,200,5,5,1,0.275
201,294,5,5,1,0.301
202,198,5,5,1,0.133
202,199,5,5,1,0.22
203,295,5,5,1,0.204
203,296,5,5,1,0.338
203,316,5,5,4,0.997
204,133,5,5,1,0.263
204,135,5,5,1,0.266
205,81,5,5,1,0.129
205,263,5,5,1,0.279
205,266,5,5,1,0.24
206,35,5,5,1,0.186
206,123,5,5,1,0.232
206,127,5,5,1,0.21
206,128,5,5,1,0.109
207,82,5,5,1,0.291
207,146,5,5,1,0.145
208,67,5,5,1,0.286
208,209,5,5,1,0.854
209,208,5,5,1,0.854
210,22,5,5,1,0.221
210,211,5,5,1,0.153
211,210,5,5,1,0.153
211,242,5,5,1,0.693
211,243,5,5,1,0.121
212,89,5,5,1,0.287
212,213,5,5,2,0.396
213,21,5,5,1,0.241
213,212,5,5,1,0.396
213,217,5,5,1,0.17
213,334,5,5,1,0.051
214,215,5,5,1,0.167
214,217,5,5,1,0.203
215,91,5,5,1,0.158
215,92,5,5,1,0.138
215,214,5,5,1,0.167
216,97,5,5,1,0.205
216,324,5,5,1,0.176
217,213,5,5,1,0.17
217,214,5,5,1,0.203
218,85,5,5,10,7.801
218,85,5,5,10,7.801
218,85,5,5,10,7.801
218,85,5,5,10,7.801
218,125,5,5,1,0.694
218,125,5,5,1,0.694
218,138,5,5,7,1.789
218,138,5,5,7,1.789
218,138,5,5,7,1.789
218,138,5,5,7,1.789
218,138,5,5,7,1.789
218,138,5,5,7,1.789
218,184,5,5,1,0.538
218,184,5,5,1,0.538
218,218,5,5,1,0.0
218,218,5,5,1,0.0
218,218,5,5,1,0.0
218,218,5,5,1,0.0
218,270,5,5,1,0.511
218,270,5,5,1,0.511
218,273,5,5,2,0.583
218,273,5,5,2,0.583
218,298,5,5,1,0.503
218,298,5,5,1,0.503
218,307,5,5,1,0.601
218,307,5,5,1,0.601
218,320,5,5,1,0.325
218,320,5,5,1,0.325
218,374,5,5,2,0.489
218,374,5,5,2,0.489
218,384,5,5,2,0.665
218,384,5,5,2,0.665
219,119,5,5,2,0.775
220,220,5,5,1,0.0
220,220,5,5,1,0.0
220,220,5,5,1,0.0
220,220,5,5,1,0.0
220,230,5,5,1,0.885
220,230,5,5,1,0.885
220,231,5,5,1,0.69
220,231,5,5,1,0.69
220,233,5,5,1,1.004
220,233,5,5,1,1.004
221,223,5,5,1,0.263
221,363,5,5,1,0.182
222,224,5,5,1,0.315
222,402,5,5,1,0.364
223,221,5,5,1,0.263
223,227,5,5,1,0.598
223,227,5,5,1,0.598
224,36,5,5,1,0.151
224,222,5,5,1,0.315
225,46,5,5,1,0.873
225,119,5,5,2,0.513
226,23,5,5,1,0.494
226,71,5,5,1,0.169
226,155,5,5,1,0.14
227,73,5,5,1,0.712
227,73,5,5,1,0.712
227,110,5,5,1,1.271
227,110,5,5,1,1.271
227,115,5,5,1,0.65
227,115,5,5,1,0.65
227,138,5,5,7,1.563
227,138,5,5,7,1.563
227,138,5,5,7,1.563
227,138,5,5,7,1.563
227,138,5,5,7,1.563
227,138,5,5,7,1.563
227,147,5,5,1,0.609
227,147,5,5,1,0.609
227,148,5,5,1,0.67
227,148,5,5,1,0.67
227,223,5,5,1,0.598
227,223,5,5,1,0.598
227,227,5,5,1,0.0
227,227,5,5,1,0.0
227,227,5,5,1,0.0
227,227,5,5,1,0.0
227,318,5,5,1,0.608
227,318,5,5,1,0.608
227,319,5,5,4,0.507
227,319,5,5,4,0.507
227,333,5,5,1,0.472
227,333,5,5,1,0.472
227,368,5,5,2,0.905
227,368,5,5,2,0.905
227,385,5,5,2,0.832
227,385,5,5,2,0.832
227,390,5,5,1,0.756
227,390,5,5,1,0.756
227,398,5,5,1,0.865
227,398,5,5,1,0.865
228,229,5,5,1,0.394
228,230,5,5,1,0.42
229,228,5,5,1,0.394
229,234,5,5,1,0.631
230,220,5,5,1,0.885
230,220,5,5,1,0.885
230,228,5,5,1,0.42
231,220,5,5,1,0.69
231,220,5,5,1,0.69
231,233,5,5,1,0.316
232,111,5,5,1,0.206
232,233,5,5,1,0.33
232,346,5,5,1,0.394
233,231,5,5,1,0.316
233,232,5,5,1,0.33
234,229,5,5,1,0.631
235,38,5,5,1,0.381
235,40,5,5,1,0.231
236,98,5,5,1,0.251
237,161,5,5,1,0.132
237,238,5,5,1,0.234
238,162,5,5,1,0.189
238,237,5,5,1,0.234
239,240,5,5,1,0.192
239,244,5,5,1,0.106
240,152,5,5,1,0.224
240,239,5,5,1,0.192
241,20,5,5,1,0.251
241,216,5,5,1,0.377
241,337,5,5,1,0.213
242,20,5,5,1,0.263
242,326,5,5,1,0.416
243,105,5,5,1,0.232
243,211,5,5,1,0.121
243,322,5,5,3,0.517
244,239,5,5,1,0.106
244,245,5,5,1,0.26
245,101,5,5,1,0.152
245,244,5,5,1,0.26
245,246,5,5,1,0.243
246,245,5,5,1,0.243
247,152,5,5,1,0.272
247,382,5,5,1,0.143
248,16,5,5,1,0.115
248,151,5,5,1,0.144
248,280,5,5,1,0.687
249,250,5,5,1,0.247
249,271,5,5,1,0.724
249,385,5,5,1,0.14
250,249,5,5,1,0.247
250,251,5,5,1,0.552
