nodeid,lat,lon,layer
1,51.90771,0.92496,5
2,51.92048,0.93354,5
3,51.9111,0.92766,5
4,51.90869,0.92149,5
5,51.9096,0.91503,5
6,51.91162,0.91494,5
7,51.9141,0.91798,5
8,51.91148,0.9193,5
9,51.91014,0.92496,5
10,51.89244,0.86338,5
11,51.87768,0.84451,5
12,51.87781,0.84853,5
13,51.88459,0.83253,5
14,51.87945,0.83664,5
15,51.87147,0.87299,5
16,51.87173,0.86661,5
17,51.86737,0.87339,5
18,51.86944,0.87217,5
19,51.87811,0.85235,5
20,51.87856,0.85551,5
21,51.88157,0.86161,5
22,51.8851,0.85851,5
23,51.87793,0.77081,5
24,51.89184,0.93675,5
25,51.88962,0.93692,5
26,51.89599,0.93844,5
27,51.89428,0.9374,5
28,51.89079,0.93156,5
29,51.89274,0.93399,5
30,51.88897,0.93499,5
31,51.89187,0.93176,5
32,51.91409,0.92895,5
33,51.91073,0.91832,5
34,51.86291,0.88399,5
35,51.91687,0.92088,5
36,51.87938,0.91626,5
37,51.8862,0.89205,5
38,51.88127,0.90364,5
39,51.87304,0.90074,5
40,51.87664,0.90841,5
41,51.86151,0.9057,5
42,51.86383,0.9068,5
43,51.86591,0.90163,5
44,51.86357,0.90283,5
45,51.94187,0.90576,5
46,51.90259,0.81381,5
47,51.92692,0.89505,5
48,51.94757,0.9101,5
49,51.94999,0.91193,5
50,51.94368,0.90717,5
51,51.94644,0.90926,5
52,51.91983,0.89196,5
53,51.9076,0.91749,5
54,51.85787,0.9471,5
55,51.8572,0.94402,5
56,51.85687,0.93993,5
57,51.85569,0.93827,5
58,51.87083,0.92553,5
59,51.87078,0.92156,5
60,51.87252,0.91116,5
61,51.87653,0.9306,5
62,51.87447,0.92678,5
63,51.8756,0.92079,5
64,51.92259,0.92608,5
65,51.92108,0.92762,5
66,51.92322,0.9215,5
67,51.85528,0.91319,5
68,51.84673,0.85763,5
69,51.84829,0.86021,5
70,51.87686,0.7699,5
71,51.87616,0.76632,5
72,51.88761,0.94333,5
73,51.88521,0.93791,5
74,51.89619,0.93174,5
75,51.8971,0.93607,5
76,51.9021,0.93955,5
77,51.89574,0.94279,5
78,51.89526,0.946,5
79,51.88953,0.94628,5
80,51.91775,0.9202,5
81,51.92026,0.9147,5
82,51.90543,0.92793,5
83,51.89973,0.93776,5
84,51.89141,0.94832,5
85,51.88095,0.78335,5
85,51.88095,0.78335,2
86,51.88228,0.80948,5
87,51.88082,0.80333,5
88,51.88384,0.81746,5
89,51.87887,0.87432,5
90,51.87664,0.87039,5
91,51.87567,0.86778,5
92,51.87471,0.86553,5
93,51.88477,0.88954,5
94,51.88293,0.88584,5
95,51.88126,0.88131,5
96,51.87921,0.87748,5
97,51.87337,0.86259,5
98,51.9547,0.9186,5
99,51.89351,0.8254,5
100,51.8886,0.84241,5
101,51.88793,0.83901,5
102,51.89259,0.83833,5
103,51.89107,0.84692,5
104,51.89283,0.8315,5
105,51.8898,0.85373,5
106,51.88928,0.84696,5
107,51.87385,0.77349,5
108,51.87355,0.9475,5
109,51.87909,0.95511,5
110,51.87806,0.94144,5
111,51.86967,0.96308,5
112,51.87571,0.94223,4
112,51.87571,0.94223,5
113,51.88109,0.95267,5
114,51.89066,0.94304,5
115,51.88985,0.92092,5
116,51.87682,0.75018,5
117,51.87661,0.74515,5
118,51.90309,0.81176,5
119,51.89657,0.82224,5
120,51.84437,0.85555,5
121,51.88094,0.99521,5
122,51.87907,1.00012,5
123,51.91344,0.92344,5
124,51.9123,0.92289,5
125,51.90431,0.90092,5
126,51.91776,0.90807,5
127,51.91501,0.91906,5
128,51.91629,0.92259,5
129,51.91551,0.89124,5
130,51.91457,0.89409,5
131,51.91254,0.90196,5
132,51.90774,0.90277,5
133,51.87166,0.89733,5
134,51.88606,0.82917,5
135,51.87584,0.90048,5
136,51.91811,0.84829,5
137,51.92102,0.84536,5
138,51.88647,0.90477,2
138,51.88647,0.90477,5
138,51.88647,0.90477,4
139,51.92852,0.87916,5
140,51.92643,0.88076,5
141,51.87854,0.90089,5
142,51.87795,0.89505,5
143,51.90013,0.9373,5
144,51.90884,0.93165,5
145,51.9067,0.93344,5
146,51.90907,0.9281,5
147,51.89092,0.93003,5
148,51.88636,0.93726,5
149,51.89248,0.93988,5
150,51.91003,0.89156,5
151,51.8723,0.87025,5
152,51.88222,0.84501,5
153,51.87621,0.73644,5
154,51.87544,0.72821,5
155,51.87755,0.76265,5
156,51.87717,0.75671,5
157,51.87817,0.92892,5
158,51.90989,0.9009,5
159,51.87294,0.90866,5
160,51.87028,0.91042,5
161,51.87521,0.9176,5
162,51.87381,0.91013,5
163,51.86154,0.90743,5
164,51.86058,0.90802,5
165,51.86635,0.90846,5
166,51.86452,0.90854,5
167,51.86916,0.90858,5
168,51.86686,0.90653,5
169,51.83918,0.8522,5
170,51.87667,1.00638,5
171,51.88176,0.97761,5
172,51.88149,0.96469,5
173,51.91916,0.91817,5
174,51.88756,0.88237,5
175,51.88799,0.87826,5
176,51.89012,0.86325,5
177,51.8689,0.92752,5
178,51.88919,0.87311,5
179,51.88997,0.86963,5
180,51.87613,0.92195,5
181,51.87725,0.91958,5
182,51.87161,0.92577,5
