ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,17,5,5,1,0.326
1,89,5,5,1,0.317
2,68,5,5,1,0.165
2,83,5,5,1,0.23
3,14,5,5,1,0.174
3,94,5,5,1,0.391
3,201,5,5,1,0.148
4,5,5,5,1,0.248
4,179,5,5,1,0.299
5,4,5,5,1,0.248
5,7,5,5,1,0.452
6,189,5,5,1,0.134
6,203,5,5,1,0.325
7,5,5,5,1,0.452
7,6,5,5,1,0.618
8,9,5,5,1,0.352
8,93,5,5,1,0.97
9,8,5,5,1,0.352
9,37,5,5,1,0.617
9,37,5,5,1,0.617
9,93,5,5,3,1.31
10,14,5,5,1,0.346
10,167,5,5,1,0.276
11,12,5,5,1,0.252
11,167,5,5,1,0.243
12,11,5,5,1,0.252
12,13,5,5,1,0.345
13,12,5,5,1,0.345
14,3,5,5,1,0.174
14,10,5,5,1,0.346
15,16,5,5,1,0.23
15,17,5,5,2,0.643
15,18,5,5,2,0.667
15,18,5,5,2,0.667
15,37,5,5,1,0.571
15,37,5,5,1,0.571
16,15,5,5,1,0.23
16,18,5,5,2,0.44
16,18,5,5,2,0.44
16,91,5,5,1,0.203
17,1,5,5,1,0.326
17,15,5,5,2,0.643
17,18,5,5,1,0.238
17,18,5,5,1,0.238
17,83,5,5,2,1.014
17,87,5,5,1,0.444
17,88,5,5,1,0.498
17,198,5,5,2,0.464
18,16,5,5,1,0.44
18,16,5,5,1,0.44
18,17,5,5,1,0.238
18,17,5,5,1,0.238
18,23,5,5,2,0.639
18,23,5,5,2,0.639
18,83,5,5,2,1.126
18,83,5,5,2,1.126
18,91,5,5,1,0.294
18,91,5,5,1,0.294
18,111,5,5,2,0.542
18,111,5,5,2,0.542
18,115,5,5,3,1.499
18,115,5,5,3,1.499
18,117,5,5,1,0.276
18,117,5,5,1,0.276
18,187,5,5,2,0.996
18,187,5,5,2,0.996
19,80,5,5,1,0.171
19,82,5,5,1,0.277
20,66,5,5,1,0.141
20,114,5,5,2,0.494
21,44,5,5,1,0.385
21,116,5,5,1,0.142
22,26,5,5,1,0.179
22,73,5,5,1,0.131
22,94,5,5,1,0.263
22,95,5,5,1,0.156
23,18,5,5,3,0.639
23,18,5,5,3,0.639
23,37,5,5,1,0.667
23,37,5,5,1,0.667
23,91,5,5,1,0.439
23,111,5,5,1,0.474
23,137,5,5,1,0.567
24,25,5,5,1,0.407
24,32,5,5,1,0.213
25,24,5,5,1,0.407
25,26,5,5,1,0.204
26,22,5,5,1,0.179
26,25,5,5,1,0.204
26,73,5,5,1,0.172
27,28,5,5,1,0.68
27,61,5,5,1,0.316
28,4,5,5,1,0.55
28,27,5,5,1,0.68
29,7,5,5,6,1.905
29,34,5,5,1,0.387
29,74,5,5,1,0.664
29,122,5,5,1,0.231
30,31,5,5,1,0.218
30,75,5,5,1,0.366
31,30,5,5,1,0.218
31,33,5,5,1,0.18
32,24,5,5,1,0.213
32,178,5,5,1,0.119
33,31,5,5,1,0.18
33,34,5,5,1,0.11
34,29,5,5,2,0.387
34,33,5,5,1,0.11
34,35,5,5,1,0.237
35,34,5,5,1,0.237
35,36,5,5,1,0.273
36,35,5,5,1,0.273
36,96,5,5,1,0.314
37,9,5,5,1,0.617
37,9,5,5,1,0.617
37,10,5,5,1,0.671
37,10,5,5,1,0.671
37,23,5,5,1,0.667
37,23,5,5,1,0.667
37,37,5,5,1,0.0
37,37,5,5,1,0.0
37,37,5,5,1,0.0
37,37,5,5,1,0.0
37,71,5,5,2,0.733
37,71,5,5,2,0.733
37,163,5,5,1,0.268
37,163,5,5,1,0.268
37,203,5,5,2,0.8
37,203,5,5,2,0.8
38,49,5,5,1,0.218
38,113,5,5,1,0.165
39,55,5,5,1,0.223
39,70,5,5,1,0.284
40,42,5,5,1,0.214
40,97,5,5,1,0.334
40,175,5,5,2,0.55
41,120,5,5,1,0.42
41,121,5,5,1,0.234
42,40,5,5,1,0.214
42,67,5,5,2,0.646
43,55,5,5,1,0.29
43,67,5,5,1,0.315
44,117,5,5,1,0.222
44,157,5,5,1,0.296
