nodeid,lat,lon,layer
1,52.49239,-0.70575,5
2,52.49013,-0.72289,5
3,52.49949,-0.68973,5
4,52.50409,-0.66278,5
5,52.50328,-0.6662,5
6,52.49802,-0.67913,5
7,52.50183,-0.67246,5
8,52.49102,-0.67386,5
9,52.48915,-0.67808,5
10,52.49524,-0.6865,5
11,52.49514,-0.68565,5
12,52.49717,-0.68398,5
13,52.5002,-0.68283,5
14,52.49804,-0.68875,5
15,52.49077,-0.69527,5
16,52.4899,-0.69837,5
17,52.48954,-0.70457,5
18,52.48749,-0.70354,4
18,52.48749,-0.70354,5
19,52.50234,-0.71795,5
20,52.48624,-0.7197,5
21,52.48242,-0.70903,5
22,52.50257,-0.69772,5
23,52.48534,-0.69476,5
24,52.50613,-0.68933,5
25,52.50501,-0.69508,5
26,52.50419,-0.69779,5
27,52.5009,-0.64759,5
28,52.50516,-0.65482,5
29,52.51292,-0.69398,5
30,52.5076,-0.70062,5
31,52.50848,-0.69773,5
32,52.50594,-0.68618,5
33,52.50921,-0.69534,5
34,52.50943,-0.69374,5
35,52.50916,-0.69026,5
36,52.50892,-0.68623,5
37,52.48921,-0.68721,5
37,52.48921,-0.68721,2
38,52.48366,-0.71894,5
39,52.47486,-0.6998,5
40,52.47183,-0.71189,5
41,52.46406,-0.72757,5
42,52.46993,-0.71246,5
43,52.47113,-0.69881,5
44,52.48328,-0.7035,5
45,52.47193,-0.72293,5
46,52.47904,-0.71264,5
47,52.47856,-0.7076,5
48,52.47757,-0.71227,5
49,52.48172,-0.71839,5
50,52.46944,-0.72873,5
51,52.46932,-0.73182,5
52,52.46484,-0.73821,5
53,52.46765,-0.7396,5
54,52.47536,-0.70811,5
55,52.47357,-0.69726,5
56,52.50892,-0.68178,5
57,52.48064,-0.70408,5
58,52.4957,-0.6482,5
59,52.49322,-0.6285,5
60,52.49523,-0.64031,5
61,52.4983,-0.64952,5
62,52.49559,-0.63666,5
63,52.47224,-0.73,5
64,52.47128,-0.72576,5
65,52.46852,-0.722,5
66,52.48717,-0.71827,5
67,52.46978,-0.70291,5
68,52.48936,-0.7208,5
69,52.48836,-0.71871,5
70,52.47491,-0.704,5
71,52.48915,-0.67636,5
72,52.49549,-0.6436,5
73,52.50304,-0.69951,5
74,52.51104,-0.70332,5
75,52.50924,-0.70533,5
76,52.50218,-0.70875,5
77,52.50177,-0.70421,5
78,52.50422,-0.70496,5
79,52.50274,-0.71025,5
80,52.50281,-0.71554,5
81,52.49788,-0.72322,5
82,52.50113,-0.72155,5
83,52.49039,-0.71951,5
84,52.49169,-0.72333,5
85,52.49295,-0.7239,5
86,52.49584,-0.72374,5
87,52.49165,-0.71016,5
88,52.49037,-0.71182,5
89,52.4952,-0.70661,5
90,52.49783,-0.71969,5
91,52.48816,-0.69932,5
92,52.46136,-0.73547,5
93,52.49373,-0.66021,5
94,52.50187,-0.694,5
95,52.50116,-0.69776,5
96,52.50645,-0.68394,5
97,52.47351,-0.70778,5
98,52.48258,-0.72691,5
99,52.48107,-0.73106,5
100,52.48646,-0.7219,5
101,52.48495,-0.72768,5
102,52.4795,-0.72498,5
103,52.48124,-0.7246,5
104,52.47995,-0.729,5
105,52.4768,-0.73214,5
106,52.49724,-0.70413,5
107,52.4986,-0.70074,5
108,52.48738,-0.7273,5
109,52.48998,-0.72376,5
110,52.48842,-0.72454,5
111,52.48295,-0.70058,5
112,52.48285,-0.71339,5
113,52.48423,-0.7212,5
114,52.48234,-0.72322,5
115,52.48103,-0.72302,5
116,52.4837,-0.7091,5
117,52.48512,-0.70479,5
118,52.49985,-0.72336,5
119,52.49275,-0.71738,5
120,52.46711,-0.72388,5
121,52.46208,-0.72876,5
122,52.51294,-0.69741,5
123,52.46995,-0.72193,5
124,52.47208,-0.72625,5
125,52.47503,-0.73428,5
126,52.47344,-0.73266,5
127,52.46945,-0.73619,5
128,52.46911,-0.73862,5
129,52.47763,-0.7234,5
130,52.47494,-0.71532,5
131,52.47326,-0.71847,5
132,52.46911,-0.72668,5
133,52.48761,-0.72415,5
134,52.49021,-0.73062,5
135,52.50648,-0.70489,5
136,52.50045,-0.68941,5
137,52.48394,-0.70283,5
138,52.4863,-0.72128,5
139,52.48392,-0.73019,5
140,52.49981,-0.71612,5
141,52.4807,-0.69464,5
142,52.48036,-0.70634,5
143,52.49784,-0.71324,5
144,52.49766,-0.71583,5
145,52.4942,-0.65143,5
146,52.50408,-0.70371,5
147,52.50311,-0.70205,5
148,52.49509,-0.69885,5
149,52.49358,-0.69932,5
150,52.47916,-0.71019,5
151,52.46455,-0.72276,5
152,52.49734,-0.72194,5
153,52.48249,-0.73059,5
154,52.48759,-0.72474,5
155,52.48936,-0.72759,5
156,52.48784,-0.72634,5
157,52.48192,-0.70727,5
158,52.49801,-0.71042,5
159,52.48295,-0.73173,5
160,52.5014,-0.68629,5
161,52.4813,-0.71362,5
162,52.49778,-0.69204,5
163,52.49046,-0.69061,5
164,52.50004,-0.71376,5
165,52.47219,-0.72713,5
166,52.47502,-0.73908,5
167,52.49306,-0.68453,5
168,52.49112,-0.70604,5
169,52.47271,-0.73994,5
170,52.47892,-0.72686,5
171,52.49963,-0.70759,5
172,52.50434,-0.71256,5
173,52.48453,-0.71666,5
174,52.51241,-0.70087,5
175,52.4722,-0.72001,5
176,52.49625,-0.69597,5
177,52.49192,-0.72963,5
178,52.50589,-0.68442,5
179,52.50508,-0.65866,5
180,52.50283,-0.72013,5
181,52.50444,-0.71024,5
182,52.50408,-0.71904,5
183,52.49807,-0.70781,5
184,52.46581,-0.7253,5
185,52.49172,-0.72834,5
186,52.47502,-0.7221,5
187,52.48222,-0.71547,5
188,52.46879,-0.70918,5
189,52.4992,-0.67868,5
190,52.50049,-0.67757,5
191,52.47561,-0.73596,5
192,52.50272,-0.70903,5
193,52.50412,-0.71565,5
194,52.50426,-0.70707,5
195,52.49696,-0.72266,5
196,52.48031,-0.69721,5
197,52.49265,-0.68241,5
198,52.49185,-0.69884,5
199,52.47292,-0.72402,5
200,52.48153,-0.70046,5
201,52.50065,-0.69083,5
202,52.4808,-0.72485,5
203,52.49528,-0.68083,5
204,52.48328,-0.71499,5
205,52.48343,-0.72888,5
206,52.48957,-0.72464,5
207,52.50061,-0.71249,5
208,52.47842,-0.72997,5
209,52.48219,-0.69412,5
