ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,2,2,5,5.684
1,2,2,2,5,5.684
1,2,2,2,5,5.684
1,2,2,2,5,5.684
1,3,2,2,3,3.369
1,3,2,2,3,3.369
1,3,2,2,3,3.369
1,3,2,2,3,3.369
2,1,2,2,5,5.684
2,1,2,2,5,5.684
2,1,2,2,5,5.684
2,1,2,2,5,5.684
2,3,2,2,2,2.317
2,3,2,2,2,2.317
2,3,2,2,2,2.317
2,3,2,2,2,2.317
3,1,2,2,3,3.369
3,1,2,2,3,3.369
3,1,2,2,3,3.369
3,1,2,2,3,3.369
3,2,2,2,3,2.317
3,2,2,2,3,2.317
3,2,2,2,3,2.317
3,2,2,2,3,2.317
4,882,4,4,10,4.107
4,882,4,4,10,4.107
4,882,4,4,10,4.107
4,882,4,4,10,4.107
4,961,4,4,10,5.098
4,961,4,4,10,5.098
658,4,4,4,10,4.097
658,4,4,4,10,4.097
658,4,4,4,10,4.097
658,4,4,4,10,4.097
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
658,896,4,4,10,3.643
896,961,4,4,15,5.256
896,961,4,4,15,5.256
896,961,4,4,15,5.256
896,961,4,4,15,5.256
896,961,4,4,15,5.256
896,961,4,4,15,5.256
896,961,4,4,15,5.256
896,961,4,4,15,5.256
961,4,4,4,10,5.098
961,4,4,4,10,5.098
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1001,5,5,1,0.351
1,1001,5,5,1,0.351
1,1083,5,5,1,0.253
1,1083,5,5,1,0.253
1,1241,5,5,1,0.306
1,1241,5,5,1,0.306
1,1670,5,5,1,0.572
1,1670,5,5,1,0.572
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,378,5,5,1,0.38
2,378,5,5,1,0.38
2,449,5,5,2,0.921
2,449,5,5,2,0.921
2,569,5,5,1,0.358
2,569,5,5,1,0.358
2,570,5,5,2,0.375
2,570,5,5,2,0.375
2,606,5,5,5,1.043
2,606,5,5,5,1.043
2,727,5,5,1,1.092
2,727,5,5,1,1.092
2,979,5,5,1,0.544
2,979,5,5,1,0.544
2,1109,5,5,1,0.472
2,1109,5,5,1,0.472
2,1521,5,5,1,0.519
2,1521,5,5,1,0.519
2,1522,5,5,3,0.539
2,1522,5,5,3,0.539
2,1557,5,5,1,0.326
2,1557,5,5,1,0.326
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,1393,5,5,1,0.373
3,1393,5,5,1,0.373
3,1425,5,5,1,0.275
3,1425,5,5,1,0.275
3,1683,5,5,1,0.278
3,1683,5,5,1,0.278
4,1122,5,5,1,0.839
4,1122,5,5,1,0.839
4,1264,5,5,1,0.709
4,1264,5,5,1,0.709
4,1324,5,5,1,0.369
4,1324,5,5,1,0.369
5,497,5,5,1,0.274
6,641,5,5,1,0.292
7,1015,5,5,1,0.224
7,1016,5,5,1,0.367
8,295,5,5,1,0.262
8,355,5,5,1,0.175
8,751,5,5,1,0.501
9,295,5,5,1,0.216
10,828,5,5,1,0.296
11,290,5,5,1,0.141
12,969,5,5,1,0.206
13,79,5,5,1,0.405
14,1586,5,5,1,0.353
15,1483,5,5,1,0.178
16,1634,5,5,1,0.202
17,463,5,5,1,0.516
17,758,5,5,1,0.219
18,1622,5,5,1,0.258
19,1259,5,5,1,0.328
19,1260,5,5,1,0.335
20,72,5,5,1,0.352
20,1259,5,5,2,0.364
21,533,5,5,1,0.338
21,591,5,5,1,0.677
22,92,5,5,1,0.915
22,1033,5,5,1,0.857
22,1180,5,5,1,0.164
23,476,5,5,1,0.215
23,1487,5,5,2,0.399
24,1123,5,5,1,0.279
25,78,5,5,1,0.311
25,1008,5,5,2,0.627
25,1492,5,5,2,0.339
26,567,5,5,3,0.483
26,1265,5,5,2,0.659
26,1492,5,5,2,0.345
26,1514,5,5,4,0.594
27,1356,5,5,1,0.191
27,1357,5,5,1,0.185
27,1466,5,5,1,0.12
27,1467,5,5,1,0.165
28,80,5,5,1,0.282
28,81,5,5,1,0.312
28,358,5,5,1,0.107
29,1009,5,5,1,0.273
30,1645,5,5,2,0.472
31,768,5,5,1,0.337
31,769,5,5,1,0.456
32,205,5,5,1,0.383
32,776,5,5,5,1.508
33,629,5,5,1,0.183
33,630,5,5,1,0.198
33,987,5,5,1,0.189
34,214,5,5,1,0.238
34,1000,5,5,1,0.305
35,576,5,5,1,0.273
36,1125,5,5,2,0.073
37,418,5,5,1,0.185
37,1259,5,5,1,0.142
38,536,5,5,2,0.318
38,1015,5,5,1,0.513
39,1051,5,5,1,0.313
40,588,5,5,1,0.309
40,1033,5,5,1,0.35
40,1167,5,5,2,0.956
41,714,5,5,1,0.284
41,869,5,5,2,0.392
41,869,5,5,2,0.392
41,869,5,5,2,0.392
41,869,5,5,2,0.392
41,869,5,5,2,0.392
41,869,5,5,2,0.392
41,869,5,5,2,0.392
41,869,5,5,2,0.392
41,1270,5,5,1,0.34
42,1049,5,5,1,0.157
42,1566,5,5,1,0.192
43,22,5,5,1,0.197
43,591,5,5,1,0.352
43,1205,5,5,1,0.195
44,1302,5,5,1,0.296
45,124,5,5,1,0.354
45,482,5,5,1,0.367
45,1301,5,5,1,0.331
46,466,5,5,1,0.277
47,148,5,5,1,0.122
47,225,5,5,3,0.407
48,683,5,5,1,0.485
48,1687,5,5,1,0.24
49,743,5,5,1,0.236
49,753,5,5,1,0.198
50,556,5,5,1,0.185
51,99,5,5,1,0.256
51,100,5,5,1,0.295
52,1190,5,5,1,0.181
52,1191,5,5,1,0.186
52,1192,5,5,1,0.183
52,1256,5,5,1,0.13
52,1504,5,5,4,1.234
52,1639,5,5,1,0.463
53,1639,5,5,1,0.428
54,828,5,5,1,0.271
54,1629,5,5,1,0.292
55,1082,5,5,1,0.318
55,1083,5,5,1,0.421
56,1545,5,5,1,0.226
57,4,5,5,2,0.808
57,4,5,5,2,0.808
57,166,5,5,1,1.281
57,1264,5,5,4,1.513
58,1074,5,5,1,0.392
58,1460,5,5,1,0.111
59,495,5,5,1,0.263
60,1418,5,5,1,0.144
61,1505,5,5,1,0.047
62,84,5,5,1,0.401
63,118,5,5,1,0.368
64,1525,5,5,1,0.21
65,981,5,5,1,0.526
65,1371,5,5,4,1.059
66,981,5,5,1,0.539
66,1299,5,5,1,0.107
67,912,5,5,1,0.146
68,22,5,5,2,0.821
68,533,5,5,2,0.854
68,590,5,5,1,0.605
68,591,5,5,1,0.621
68,1541,5,5,1,0.466
68,1656,5,5,1,0.192
69,475,5,5,1,0.302
70,127,5,5,1,0.19
70,350,5,5,1,0.177
71,108,5,5,1,0.235
72,257,5,5,1,0.198
72,545,5,5,1,0.33
73,1114,5,5,1,0.685
74,360,5,5,1,0.88
74,1114,5,5,2,0.963
75,360,5,5,3,0.87
75,1114,5,5,3,1.039
76,393,5,5,1,0.222
77,1003,5,5,1,0.352
77,1093,5,5,1,0.295
78,26,5,5,1,0.303
79,209,5,5,1,0.029
79,884,5,5,1,0.258
80,160,5,5,1,0.322
80,358,5,5,1,0.213
80,945,5,5,2,0.532
80,1255,5,5,1,0.236
80,1582,5,5,1,0.088
81,1255,5,5,1,0.206
82,1334,5,5,1,0.178
83,132,5,5,1,0.413
84,486,5,5,1,0.332
85,23,5,5,1,0.177
85,776,5,5,1,0.564
85,1244,5,5,1,0.282
85,1653,5,5,1,0.268
86,1246,5,5,2,0.511
86,1411,5,5,1,0.16
86,1519,5,5,1,0.218
87,405,5,5,1,0.273
87,777,5,5,1,0.058
88,148,5,5,6,1.75
88,611,5,5,6,1.536
89,1675,5,5,1,0.249
90,995,5,5,1,0.184
90,1108,5,5,1,0.147
91,254,5,5,1,0.246
