nodeid,lat,lon,layer
1,52.39512,-1.59685,2
1,52.39512,-1.59685,5
2,52.40083,-1.51346,5
2,52.40083,-1.51346,2
3,52.39926,-1.54758,5
3,52.39926,-1.54758,2
4,52.37918,-1.56177,4
4,52.37918,-1.56177,5
5,52.47205,-1.48364,5
6,52.38092,-1.46931,5
7,52.38116,-1.46954,5
8,52.41266,-1.54845,5
9,52.41307,-1.54832,5
10,52.38408,-1.46635,5
11,52.38651,-1.54599,5
12,52.38636,-1.54597,5
13,52.41612,-1.53724,5
14,52.41609,-1.53783,5
15,52.42035,-1.48337,5
16,52.42013,-1.48428,5
17,52.40606,-1.47787,5
18,52.4153,-1.45189,5
19,52.39507,-1.46523,5
20,52.39508,-1.46591,5
21,52.38795,-1.53917,5
22,52.38694,-1.5369,5
23,52.41566,-1.57205,5
24,52.41077,-1.56382,5
25,52.38836,-1.57439,5
26,52.3884,-1.57452,5
27,52.40797,-1.51537,5
28,52.44,-1.5086,5
29,52.39288,-1.58901,5
30,52.39322,-1.41958,5
31,52.4196,-1.55096,5
32,52.4197,-1.55175,5
33,52.44969,-1.47443,5
34,52.44917,-1.47268,5
35,52.40604,-1.45565,5
36,52.47498,-1.464,5
37,52.39247,-1.45977,5
38,52.38584,-1.47689,5
39,52.40134,-1.58254,5
40,52.39171,-1.55281,5
41,52.39141,-1.55314,5
42,52.42988,-1.44643,5
43,52.38723,-1.53403,5
44,52.39406,-1.52548,5
45,52.39453,-1.52405,5
46,52.44646,-1.51846,5
47,52.45961,-1.53524,5
48,52.45969,-1.53512,5
49,52.45308,-1.48841,5
50,52.42956,-1.49863,5
51,52.4292,-1.49871,5
52,52.41097,-1.51098,5
53,52.41135,-1.51143,5
54,52.38412,-1.46674,5
55,52.39273,-1.58972,5
56,52.41428,-1.50442,5
57,52.37394,-1.55348,5
58,52.41548,-1.49176,5
59,52.41098,-1.47023,5
60,52.40935,-1.49364,5
61,52.40927,-1.49354,5
62,52.43072,-1.48429,5
63,52.4306,-1.46268,5
64,52.44371,-1.49085,5
65,52.44343,-1.49011,5
66,52.44329,-1.49014,5
67,52.42108,-1.49672,5
68,52.37974,-1.53411,5
69,52.41123,-1.57149,5
70,52.41098,-1.57168,5
71,52.40908,-1.56648,5
72,52.39506,-1.47111,5
73,52.45736,-1.55462,5
74,52.46418,-1.57136,5
75,52.46442,-1.57245,5
76,52.41815,-1.59129,5
77,52.41822,-1.59123,5
78,52.38787,-1.57892,5
79,52.41422,-1.53212,5
80,52.44253,-1.50901,5
81,52.44278,-1.50929,5
82,52.45687,-1.52485,5
83,52.45688,-1.5246,5
84,52.42841,-1.48885,5
85,52.41608,-1.57458,5
86,52.42739,-1.52901,5
87,52.45362,-1.46261,5
88,52.46188,-1.50977,5
89,52.46358,-1.48039,5
90,52.44363,-1.52614,5
91,52.4311,-1.5396,5
92,52.39018,-1.54933,5
93,52.39045,-1.54931,5
94,52.46293,-1.5052,5
95,52.39964,-1.53092,5
96,52.39973,-1.53121,5
97,52.39373,-1.56108,5
98,52.45059,-1.45505,5
99,52.42712,-1.50036,5
100,52.42687,-1.50082,5
101,52.4199,-1.488,5
102,52.34658,-1.56296,5
103,52.39528,-1.45634,5
104,52.3949,-1.45631,5
105,52.38724,-1.46333,5
106,52.42182,-1.53354,5
107,52.43598,-1.47347,5
108,52.41058,-1.56403,5
109,52.43924,-1.46545,5
110,52.4759,-1.48017,5
111,52.40903,-1.55325,5
112,52.40108,-1.48046,5
113,52.46977,-1.47051,5
114,52.40833,-1.493,5
115,52.43253,-1.48169,5
116,52.43232,-1.48158,5
117,52.38927,-1.59807,5
118,52.43259,-1.46703,5
119,52.43244,-1.46593,5
120,52.40835,-1.52742,5
121,52.40854,-1.52741,5
122,52.38278,-1.5435,5
123,52.42202,-1.4959,5
124,52.39699,-1.52738,5
125,52.39677,-1.5265,5
126,52.40992,-1.5745,5
127,52.40996,-1.57394,5
128,52.4213,-1.45109,5
129,52.45627,-1.50487,5
130,52.42827,-1.52934,5
131,52.45485,-1.51819,5
132,52.4553,-1.51907,5
133,52.36908,-1.47052,5
134,52.373,-1.46541,5
135,52.37295,-1.46501,5
136,52.36523,-1.47631,5
137,52.39379,-1.50694,5
138,52.39354,-1.50666,5
139,52.41409,-1.56067,5
140,52.43163,-1.5173,5
141,52.43153,-1.5168,5
142,52.39736,-1.47436,5
143,52.39745,-1.47382,5
144,52.38932,-1.54656,5
145,52.42323,-1.56001,5
146,52.42323,-1.5597,5
147,52.4619,-1.50953,5
148,52.46069,-1.53558,5
149,52.416,-1.52845,5
150,52.42025,-1.46899,5
151,52.42019,-1.46946,5
152,52.40357,-1.54264,5
153,52.40346,-1.54155,5
154,52.39751,-1.52414,5
155,52.3975,-1.52437,5
156,52.39541,-1.5757,5
157,52.39507,-1.57603,5
158,52.3911,-1.56014,5
159,52.39099,-1.56092,5
160,52.43966,-1.50825,5
161,52.40403,-1.53483,5
162,52.42546,-1.5256,5
163,52.42541,-1.52606,5
164,52.43475,-1.4951,5
165,52.43452,-1.49494,5
166,52.38308,-1.56503,5
167,52.42236,-1.44378,5
168,52.4223,-1.44377,5
169,52.45983,-1.53134,5
170,52.41864,-1.47486,5
171,52.38845,-1.50669,5
172,52.40946,-1.50516,5
173,52.39762,-1.50828,5
174,52.40837,-1.53962,5
175,52.40833,-1.5401,5
176,52.38656,-1.45395,5
177,52.47539,-1.4824,5
178,52.43497,-1.47747,5
179,52.43514,-1.47743,5
180,52.40704,-1.53137,5
181,52.40683,-1.53134,5
182,52.4179,-1.59908,5
183,52.39692,-1.53767,5
184,52.39705,-1.53784,5
185,52.41264,-1.4436,5
186,52.41334,-1.44428,5
187,52.43763,-1.53119,5
188,52.43746,-1.53147,5
189,52.38633,-1.5031,5
190,52.38615,-1.50317,5
191,52.43455,-1.51647,5
192,52.39689,-1.47054,5
193,52.46153,-1.48271,5
194,52.46162,-1.48253,5
195,52.45782,-1.47516,5
196,52.46012,-1.47526,5
197,52.4574,-1.47385,5
198,52.41275,-1.52869,5
199,52.38968,-1.45047,5
200,52.43047,-1.53342,5
201,52.38614,-1.51117,5
202,52.38706,-1.46836,5
203,52.38701,-1.46789,5
204,52.42182,-1.55649,5
205,52.42162,-1.55646,5
206,52.39962,-1.44257,5
207,52.39958,-1.44213,5
208,52.43659,-1.45208,5
209,52.41419,-1.53168,5
210,52.39962,-1.52013,5
211,52.4139,-1.55087,5
212,52.41006,-1.4445,5
213,52.451,-1.47428,5
214,52.45099,-1.47455,5
215,52.40317,-1.44586,5
216,52.40303,-1.4457,5
217,52.44722,-1.51049,5
218,52.40665,-1.50352,5
219,52.40679,-1.50353,5
220,52.46128,-1.48371,5
221,52.46933,-1.48064,5
222,52.46788,-1.48135,5
223,52.4695,-1.48079,5
224,52.42539,-1.46609,5
225,52.46129,-1.52988,5
226,52.39482,-1.50757,5
227,52.43424,-1.43038,5
228,52.40713,-1.55604,5
229,52.40715,-1.55582,5
230,52.43677,-1.47435,5
231,52.37848,-1.52383,5
232,52.37788,-1.52306,5
233,52.42024,-1.46837,5
234,52.40292,-1.48457,5
235,52.41718,-1.43964,5
236,52.41704,-1.43981,5
237,52.38223,-1.46524,5
238,52.38214,-1.46489,5
239,52.42955,-1.53453,5
240,52.42929,-1.5349,5
241,52.40188,-1.57521,5
242,52.40189,-1.57526,5
243,52.46513,-1.47267,5
244,52.4155,-1.45193,5
245,52.34896,-1.56682,5
246,52.34881,-1.56684,5
247,52.3844,-1.46026,5
248,52.38462,-1.46005,5
249,52.34517,-1.55572,5
250,52.37477,-1.39999,5
251,52.42814,-1.51831,5
252,52.42845,-1.51838,5
253,52.3951,-1.47055,5
254,52.43303,-1.53779,5
255,52.38946,-1.51647,5
256,52.41211,-1.48248,5
257,52.39684,-1.47084,5
258,52.4293,-1.5389,5
259,52.40956,-1.55528,5
260,52.40155,-1.58251,5
261,52.42475,-1.5674,5
262,52.42502,-1.56853,5
263,52.41742,-1.57152,5
264,52.41736,-1.57151,5
265,52.40226,-1.44651,5
266,52.40227,-1.44618,5
267,52.34099,-1.57839,5
268,52.34119,-1.57823,5
269,52.42485,-1.46259,5
270,52.3995,-1.53036,5
271,52.46168,-1.5121,5
272,52.4619,-1.51164,5
273,52.3899,-1.40336,5
274,52.34786,-1.5747,5
275,52.39834,-1.53323,5
276,52.39894,-1.53241,5
277,52.44998,-1.47984,5
278,52.44988,-1.47972,5
279,52.4397,-1.47527,5
280,52.46127,-1.48345,5
281,52.40686,-1.5005,5
282,52.42785,-1.52197,5
283,52.44633,-1.51804,5
284,52.42577,-1.46201,5
285,52.43313,-1.60602,5
286,52.37876,-1.39757,5
287,52.37891,-1.39741,5
288,52.34765,-1.57457,5
289,52.40804,-1.50384,5
290,52.3868,-1.54396,5
291,52.38666,-1.54428,5
292,52.37566,-1.52007,5
293,52.37539,-1.51953,5
294,52.4447,-1.47903,5
295,52.41493,-1.54737,5
296,52.41513,-1.54708,5
297,52.32876,-1.5604,5
298,52.39811,-1.43956,5
299,52.39797,-1.43961,5
300,52.40129,-1.59565,5
301,52.40129,-1.5954,5
302,52.41293,-1.59731,5
303,52.41279,-1.59704,5
304,52.43068,-1.531,5
305,52.43046,-1.53134,5
306,52.39891,-1.56353,5
307,52.39882,-1.56301,5
308,52.47208,-1.47404,5
309,52.43083,-1.43962,5
310,52.43063,-1.43909,5
311,52.43162,-1.52696,5
312,52.33729,-1.58267,5
313,52.34827,-1.56786,5
314,52.40889,-1.59708,5
315,52.38965,-1.51588,5
316,52.3901,-1.51596,5
317,52.38117,-1.47144,5
318,52.4313,-1.53036,5
319,52.37949,-1.50791,5
320,52.37974,-1.50862,5
321,52.43197,-1.48054,5
322,52.43193,-1.48036,5
323,52.44387,-1.5416,5
324,52.43011,-1.51733,5
325,52.43029,-1.51792,5
326,52.42607,-1.44122,5
327,52.42579,-1.44142,5
328,52.42417,-1.5659,5
329,52.42727,-1.50262,5
330,52.38956,-1.45226,5
331,52.41945,-1.59898,5
332,52.41948,-1.59923,5
333,52.42496,-1.47878,5
334,52.42501,-1.47809,5
335,52.40611,-1.52366,5
336,52.42071,-1.53892,5
337,52.40881,-1.55548,5
338,52.40887,-1.55533,5
339,52.43774,-1.44599,5
340,52.39481,-1.5642,5
341,52.40085,-1.52779,5
342,52.40069,-1.52806,5
343,52.43433,-1.48253,5
344,52.43466,-1.4828,5
345,52.43448,-1.47162,5
346,52.43478,-1.4723,5
347,52.42012,-1.51867,5
348,52.37424,-1.51458,5
349,52.40278,-1.50827,5
350,52.41035,-1.57409,5
351,52.47224,-1.474,5
352,52.43282,-1.6016,5
353,52.38074,-1.51597,5
354,52.38068,-1.51643,5
355,52.41174,-1.54635,5
356,52.41196,-1.54781,5
357,52.4107,-1.46332,5
358,52.44066,-1.50976,5
359,52.44077,-1.51023,5
360,52.472,-1.56916,5
361,52.40284,-1.59821,5
362,52.40263,-1.59796,5
363,52.4293,-1.43611,5
364,52.42938,-1.4364,5
365,52.41438,-1.56996,5
366,52.47222,-1.50496,5
367,52.41947,-1.44648,5
368,52.40676,-1.5363,5
369,52.40696,-1.53659,5
370,52.41586,-1.50296,5
371,52.39881,-1.56631,5
372,52.39895,-1.56564,5
373,52.47133,-1.4709,5
374,52.47145,-1.47077,5
375,52.35704,-1.56619,5
376,52.35668,-1.56607,5
377,52.39739,-1.51686,5
378,52.39798,-1.51659,5
379,52.38014,-1.46954,5
380,52.44008,-1.53673,5
381,52.42119,-1.54128,5
382,52.42121,-1.54182,5
383,52.43317,-1.52236,5
384,52.43276,-1.52205,5
385,52.43638,-1.54015,5
386,52.42469,-1.44353,5
387,52.42483,-1.44358,5
388,52.37176,-1.45429,5
389,52.38625,-1.51621,5
390,52.38456,-1.51584,5
391,52.34831,-1.56809,5
392,52.41878,-1.59367,5
393,52.41882,-1.59439,5
394,52.42479,-1.47474,5
395,52.40507,-1.52338,5
396,52.40533,-1.52329,5
397,52.43897,-1.52682,5
398,52.47452,-1.50486,5
399,52.47452,-1.50459,5
400,52.40628,-1.5448,5
401,52.40622,-1.54524,5
402,52.39496,-1.56365,5
403,52.42162,-1.43984,5
404,52.45214,-1.45933,5
405,52.45221,-1.45929,5
406,52.41348,-1.51482,5
