nodeid,lat,lon,layer
1,53.06879,-2.52011,4
1,53.06879,-2.52011,5
2,53.09841,-2.44361,4
2,53.09841,-2.44361,5
3,53.09618,-2.48371,5
4,53.10442,-2.4616,5
5,53.08574,-2.35354,5
6,53.08904,-2.38939,5
7,53.11809,-2.44462,5
8,53.0846,-2.37916,5
9,53.08118,-2.55458,5
10,53.08527,-2.34592,5
11,53.09119,-2.47246,5
12,53.07416,-2.55044,5
13,53.07815,-2.55239,5
14,53.09959,-2.47154,5
15,53.10138,-2.46885,5
16,53.15399,-2.34535,5
17,53.14899,-2.3612,5
18,53.09336,-2.32249,5
19,53.09052,-2.3284,5
20,53.17783,-2.53699,5
21,53.05974,-2.47382,5
22,53.0463,-2.45833,5
23,53.04602,-2.45538,5
24,53.04451,-2.44883,5
25,53.08035,-2.47616,5
26,53.08012,-2.47707,5
27,53.0634,-2.49809,5
28,53.11277,-2.44515,5
29,53.08739,-2.44577,5
30,53.08424,-2.4549,5
31,53.11632,-2.46878,5
32,53.11079,-2.44142,5
33,53.10533,-2.46767,5
34,53.08117,-2.44175,5
35,53.08224,-2.4361,5
36,53.11399,-2.44404,5
37,53.08039,-2.44429,5
38,53.17224,-2.52377,5
39,53.17772,-2.52774,5
40,53.18258,-2.53097,5
41,53.07052,-2.45877,5
42,53.08742,-2.46715,5
43,53.05829,-2.45473,5
44,53.06744,-2.44225,5
45,53.09392,-2.44863,5
46,53.07101,-2.4846,5
47,53.09132,-2.4895,5
48,53.12076,-2.44406,5
49,53.07104,-2.48688,5
50,53.11021,-2.46526,5
51,53.05386,-2.43253,5
52,53.05426,-2.42824,5
53,53.08466,-2.43945,5
54,53.08964,-2.43298,2
54,53.08964,-2.43298,5
55,53.06323,-2.51925,2
55,53.06323,-2.51925,5
56,53.15673,-2.31881,5
57,53.07178,-2.51122,5
58,53.11677,-2.46557,5
59,53.09504,-2.45902,5
60,53.08675,-2.37276,5
61,53.08746,-2.36381,5
62,53.07372,-2.46048,5
63,53.07124,-2.51573,5
64,53.06781,-2.52318,5
65,53.07096,-2.50889,5
66,53.07013,-2.50627,5
67,53.1027,-2.46757,5
68,53.09253,-2.43952,5
69,53.08202,-2.50323,5
70,53.10851,-2.46853,5
71,53.19928,-2.49606,5
72,53.09765,-2.45176,5
73,53.09629,-2.4465,5
74,53.15195,-2.35179,5
75,53.15174,-2.35613,5
76,53.08237,-2.41959,5
77,53.06567,-2.43965,5
78,53.06602,-2.4314,5
79,53.10047,-2.47243,5
80,53.10128,-2.44949,5
81,53.19116,-2.53443,5
82,53.19258,-2.5194,5
83,53.19225,-2.52443,5
84,53.19788,-2.49495,5
85,53.20044,-2.50552,5
86,53.07073,-2.47856,5
87,53.19439,-2.55077,5
88,53.10042,-2.31972,5
89,53.14156,-2.38902,5
90,53.11147,-2.45209,5
91,53.10782,-2.45581,5
92,53.08861,-2.46502,5
93,53.09758,-2.46197,5
94,53.09896,-2.46854,5
95,53.10237,-2.46166,5
96,53.10219,-2.45519,5
97,53.14224,-2.35675,5
98,53.20167,-2.50739,5
99,53.08764,-2.46824,5
100,53.09806,-2.46434,5
101,53.08686,-2.33823,5
102,53.07744,-2.51273,5
103,53.10499,-2.45702,5
104,53.06227,-2.44722,5
105,53.11188,-2.44187,5
106,53.13669,-2.3556,5
107,53.13899,-2.39896,5
108,53.10388,-2.32045,5
109,53.07371,-2.55962,5
110,53.03707,-2.45242,5
111,53.1756,-2.52568,5
112,53.17905,-2.5281,5
113,53.19603,-2.49362,5
114,53.20197,-2.49799,5
115,53.19742,-2.48963,5
116,53.20711,-2.49757,5
117,53.08651,-2.44791,5
118,53.06958,-2.5158,5
119,53.09783,-2.4402,5
120,53.05155,-2.45526,5
121,53.05578,-2.44941,5
122,53.12243,-2.44078,5
123,53.14934,-2.50536,5
124,53.11797,-2.45608,5
125,53.11854,-2.45191,5
126,53.1435,-2.36697,5
127,53.14282,-2.35985,5
128,53.19053,-2.49459,5
128,53.19053,-2.49459,2
129,53.05911,-2.44547,5
130,53.06085,-2.47887,5
131,53.11309,-2.45208,5
132,53.09757,-2.48006,5
133,53.08435,-2.4675,5
134,53.07858,-2.44899,5
135,53.08582,-2.42626,5
136,53.18329,-2.54325,5
137,53.1915,-2.52988,5
138,53.18446,-2.5298,5
139,53.18871,-2.52977,5
140,53.19855,-2.55871,5
141,53.19591,-2.53465,5
142,53.185,-2.54016,5
143,53.18243,-2.5442,5
144,53.13934,-2.47382,5
145,53.15063,-2.47561,5
146,53.06522,-2.47595,5
147,53.12582,-2.47906,5
148,53.13101,-2.47677,5
149,53.20411,-2.49885,5
150,53.1459,-2.38491,5
151,53.14449,-2.36647,5
152,53.1451,-2.37828,5
153,53.19057,-2.54162,5
154,53.18362,-2.54896,5
155,53.18101,-2.53797,5
156,53.17985,-2.53658,5
157,53.10303,-2.43968,5
158,53.06932,-2.4792,5
159,53.09065,-2.39557,5
160,53.05476,-2.51221,5
161,53.05381,-2.5088,5
162,53.09494,-2.4655,5
163,53.13043,-2.37469,5
164,53.10444,-2.39063,5
165,53.10234,-2.45735,5
166,53.20561,-2.5058,5
167,53.19495,-2.54768,5
168,53.2086,-2.49816,5
169,53.17697,-2.53536,5
170,53.07982,-2.4346,5
171,53.06709,-2.50261,5
172,53.08228,-2.45857,5
173,53.06494,-2.44422,5
174,53.078,-2.46811,5
175,53.11505,-2.37759,5
176,53.07953,-2.46166,5
177,53.07629,-2.44016,5
178,53.07385,-2.44089,5
179,53.08418,-2.44412,5
180,53.0669,-2.50495,5
181,53.06654,-2.51263,5
182,53.14143,-2.3907,5
183,53.13994,-2.39006,5
184,53.19282,-2.53,5
185,53.16528,-2.52138,5
186,53.19365,-2.4861,5
187,53.10147,-2.44754,5
188,53.1004,-2.39404,5
189,53.11383,-2.46129,5
190,53.10632,-2.47252,5
191,53.0477,-2.49011,5
192,53.0979,-2.43555,5
193,53.09032,-2.44132,5
194,53.1134,-2.45694,5
195,53.08571,-2.45071,5
196,53.08897,-2.4489,5
197,53.10569,-2.46336,5
198,53.10102,-2.48171,5
199,53.09882,-2.48161,5
200,53.09719,-2.39436,5
201,53.05792,-2.42627,5
202,53.1906,-2.50534,5
203,53.19028,-2.50878,5
204,53.19026,-2.51385,5
205,53.18582,-2.53773,5
206,53.18098,-2.54187,5
207,53.18033,-2.53048,5
208,53.0709,-2.54571,5
209,53.07038,-2.53919,5
210,53.09201,-2.42225,5
211,53.06893,-2.49601,5
212,53.08505,-2.38618,5
213,53.1421,-2.36908,5
214,53.1537,-2.33836,5
215,53.12952,-2.35545,5
216,53.1288,-2.35192,5
217,53.10703,-2.43345,5
218,53.14195,-2.49985,5
219,53.09415,-2.41788,5
220,53.07482,-2.45819,5
221,53.11155,-2.37913,5
222,53.09543,-2.45105,5
223,53.07645,-2.45606,5
224,53.18419,-2.53443,5
225,53.15019,-2.39351,2
225,53.15019,-2.39351,5
226,53.15981,-2.51612,5
227,53.09958,-2.47788,5
228,53.05774,-2.45914,5
229,53.11287,-2.46811,5
230,53.11643,-2.45392,5
231,53.09512,-2.46239,5
232,53.08959,-2.4714,5
233,53.09364,-2.46833,5
234,53.07739,-2.47244,5
235,53.15298,-2.51125,5
236,53.14521,-2.37231,5
237,53.10812,-2.38282,5
238,53.04405,-2.48222,5
239,53.04041,-2.44874,5
240,53.09631,-2.33224,5
241,53.14514,-2.36225,5
242,53.15619,-2.31932,5
243,53.15428,-2.31815,5
244,53.10604,-2.46693,5
245,53.10489,-2.43902,5
246,53.12372,-2.43827,5
247,53.14237,-2.49255,5
248,53.11718,-2.46351,5
249,53.11061,-2.46794,5
250,53.09631,-2.4018,5
251,53.06871,-2.53396,5
252,53.19036,-2.48611,5
253,53.19107,-2.48185,5
254,53.18642,-2.54574,5
255,53.19575,-2.53797,5
256,53.19498,-2.55099,5
257,53.11973,-2.44499,5
258,53.11661,-2.44424,5
259,53.05067,-2.50227,5
260,53.04261,-2.44853,5
261,53.11349,-2.44881,5
262,53.1135,-2.45141,5
263,53.08239,-2.4454,5
264,53.10956,-2.44337,5
265,53.10298,-2.44736,5
266,53.10635,-2.44608,5
267,53.19264,-2.54724,5
268,53.19407,-2.54342,5
269,53.17839,-2.53312,5
270,53.09605,-2.44167,5
271,53.11379,-2.45318,5
272,53.06047,-2.50558,5
273,53.05915,-2.49855,5
274,53.06255,-2.50966,5
275,53.06231,-2.5042,5
276,53.06942,-2.52258,5
277,53.05973,-2.51028,5
278,53.05751,-2.51517,5
279,53.17535,-2.53229,5
280,53.19535,-2.50531,5
281,53.06463,-2.50948,5
282,53.1091,-2.45507,5
283,53.0846,-2.49856,5
284,53.1536,-2.32501,5
285,53.14017,-2.37062,5
286,53.1181,-2.37744,5
287,53.12824,-2.37309,5
288,53.1341,-2.37494,5
289,53.13831,-2.37254,5
290,53.12593,-2.37554,5
291,53.08875,-2.33199,5
292,53.10272,-2.46167,5
293,53.09269,-2.44158,5
294,53.0831,-2.43543,5
295,53.09587,-2.39548,5
296,53.09504,-2.41057,5
297,53.14034,-2.48396,5
298,53.14217,-2.4838,5
299,53.07585,-2.45636,5
300,53.10192,-2.47994,5
301,53.09051,-2.46124,5
302,53.12503,-2.48075,5
303,53.13845,-2.40523,5
304,53.19817,-2.50208,5
305,53.19572,-2.50313,5
306,53.19458,-2.5117,5
307,53.19776,-2.50724,5
308,53.09029,-2.44675,5
309,53.18479,-2.53784,5
310,53.0995,-2.44725,5
311,53.10221,-2.46428,5
312,53.14197,-2.34847,5
313,53.14368,-2.34591,5
314,53.05821,-2.46467,5
315,53.06579,-2.47954,5
316,53.07466,-2.47768,5
317,53.17738,-2.53158,5
318,53.18174,-2.53235,5
319,53.11007,-2.46671,5
320,53.11732,-2.47467,5
321,53.06743,-2.51387,5
322,53.06283,-2.49373,5
323,53.05617,-2.42694,5
324,53.06149,-2.45493,5
325,53.06255,-2.45142,5
326,53.06497,-2.45044,5
327,53.06535,-2.45033,5
328,53.06696,-2.44308,5
329,53.18897,-2.53862,5
330,53.18889,-2.539,5
331,53.18117,-2.53059,5
332,53.18732,-2.55176,5
333,53.11815,-2.45819,5
334,53.07085,-2.53264,5
335,53.13897,-2.33775,4
336,53.0743,-2.51749,5
337,53.05338,-2.45298,5
338,53.18562,-2.54995,5
339,53.08696,-2.45841,5
340,53.0543,-2.50995,5
341,53.14464,-2.50199,5
342,53.09469,-2.45516,5
343,53.09393,-2.44394,5
344,53.06143,-2.53005,5
345,53.06238,-2.5351,5
346,53.06106,-2.53464,5
347,53.06761,-2.52969,5
348,53.06416,-2.53103,5
349,53.10368,-2.42097,5
350,53.08918,-2.43751,5
351,53.09176,-2.46613,5
352,53.09059,-2.46215,5
353,53.09611,-2.45426,5
354,53.14765,-2.38555,5
355,53.14823,-2.3825,5
356,53.10801,-2.44525,5
357,53.09969,-2.42319,5
358,53.10801,-2.43811,5
359,53.09866,-2.43897,5
360,53.08939,-2.4414,5
361,53.1104,-2.43888,5
362,53.10909,-2.43107,5
363,53.11101,-2.43812,5
364,53.10582,-2.43656,5
365,53.09499,-2.4426,5
366,53.19014,-2.55028,5
367,53.19166,-2.55039,5
368,53.05306,-2.50498,5
369,53.06668,-2.47829,5
370,53.10712,-2.46829,5
371,53.06742,-2.45641,5
372,53.06703,-2.50798,5
373,53.14996,-2.38617,5
374,53.14321,-2.34194,5
375,53.1181,-2.47516,5
376,53.05859,-2.52143,5
377,53.0607,-2.51697,5
378,53.04831,-2.5003,5
379,53.09893,-2.45573,5
380,53.09422,-2.48641,5
381,53.08197,-2.41418,5
382,53.08272,-2.4658,5
383,53.09298,-2.44702,5
384,53.08218,-2.46209,5
385,53.09861,-2.41992,5
386,53.10821,-2.42799,5
387,53.10034,-2.40363,5
388,53.19646,-2.55406,5
389,53.07445,-2.52219,5
390,53.06338,-2.52716,5
391,53.08576,-2.42083,5
392,53.10197,-2.42607,5
393,53.0624,-2.51427,5
394,53.08857,-2.42151,5
395,53.14243,-2.36378,5
396,53.10631,-2.43843,5
397,53.05671,-2.51935,5
398,53.07302,-2.51984,5
399,53.15073,-2.37053,5
400,53.10135,-2.47907,5
401,53.05948,-2.51473,5
402,53.10265,-2.45736,5
403,53.10516,-2.42678,5
404,53.0988,-2.44632,5
405,53.10152,-2.45127,5
406,53.09235,-2.47107,5
407,53.14333,-2.38644,5
408,53.09146,-2.41199,5
409,53.14879,-2.37147,5
410,53.0968,-2.42176,5
411,53.103,-2.42001,5
412,53.09749,-2.42613,5
413,53.08926,-2.49171,5
414,53.1109,-2.43501,5
415,53.19153,-2.5563,5
416,53.08804,-2.44228,5
417,53.08776,-2.44401,5
418,53.14053,-2.38894,5
419,53.14699,-2.475,5
420,53.15555,-2.32152,5
421,53.19657,-2.51565,5
422,53.08311,-2.47173,5
423,53.08933,-2.45189,5
424,53.06664,-2.44752,5
425,53.05997,-2.44948,5
426,53.06004,-2.45188,5
427,53.06014,-2.45585,5
428,53.18692,-2.54746,5
429,53.19869,-2.49053,5
430,53.19799,-2.49895,5
431,53.07533,-2.47758,5
432,53.07033,-2.49111,5
433,53.18723,-2.52955,5
