nodeid,lat,lon,layer
1,55.9721,-4.09282,5
2,55.98537,-3.92936,5
3,55.95872,-3.94716,5
4,55.95714,-3.95019,5
5,55.98632,-3.92439,5
6,55.99138,-3.94654,5
7,55.94952,-3.9708,5
8,55.95194,-3.97813,5
9,55.95598,-3.96844,5
10,55.94677,-3.99035,4
10,55.94677,-3.99035,5
11,55.9819,-4.05739,5
12,55.98308,-4.06464,5
13,55.92806,-4.05707,5
14,55.93447,-4.03975,5
15,55.94804,-4.03194,5
16,55.93014,-4.04825,5
17,55.92966,-4.05318,5
18,55.92089,-4.0543,5
19,55.94552,-4.04384,5
20,55.94422,-4.04622,5
21,55.93702,-4.02568,5
22,55.9345,-4.01533,5
23,55.95265,-3.96697,5
24,55.97921,-4.04874,5
25,55.97865,-4.06916,5
26,55.98029,-4.07342,5
27,55.97725,-4.06872,5
28,55.98127,-4.07339,5
29,55.98187,-4.07426,5
30,55.99098,-3.95564,5
31,56.00449,-3.88991,5
32,56.00711,-3.88389,5
33,55.94157,-4.03284,5
34,55.93634,-4.03506,5
35,55.96045,-3.95577,5
36,55.96307,-3.94956,5
37,55.95258,-3.95593,5
38,55.98098,-4.06863,5
39,55.9912,-3.93727,5
40,55.9756,-4.05236,5
41,55.98967,-3.95535,5
42,55.94675,-3.99938,5
43,55.94513,-4.00018,5
44,55.9486,-3.9821,5
45,55.95109,-4.04173,5
46,55.98705,-3.9208,5
47,55.93237,-4.01642,5
48,55.93067,-4.02117,5
49,55.94096,-4.00019,5
50,55.94532,-3.98712,5
51,55.94284,-3.9924,5
52,55.94005,-3.99646,5
53,55.95377,-3.98515,5
54,55.95056,-3.99222,5
55,55.97974,-4.0569,5
56,55.93616,-4.02672,5
57,55.93325,-4.03086,5
58,55.92384,-4.04825,5
59,55.97956,-4.04013,5
60,55.97791,-3.95011,5
61,55.97783,-4.0651,5
62,55.97349,-3.95689,5
63,55.98969,-3.9111,5
64,55.99142,-3.94994,5
65,55.94201,-3.98032,5
65,55.94201,-3.98032,2
66,55.98346,-4.06124,5
67,55.93411,-4.00207,5
68,55.93817,-4.03602,5
69,55.98172,-4.06978,5
70,55.97265,-4.04814,5
71,55.97221,-4.05049,5
72,56.00077,-3.88702,5
73,55.93283,-4.02769,5
74,55.93657,-4.00306,5
75,55.93848,-3.99926,5
76,55.95567,-4.03596,5
76,55.95567,-4.03596,2
77,55.96185,-3.99982,5
78,55.94981,-4.03388,5
79,56.00165,-3.88971,5
80,55.97595,-3.95295,5
81,55.94665,-3.98413,5
82,55.97983,-3.94723,5
83,55.9591,-4.01331,5
84,55.95943,-3.99689,5
85,55.98676,-3.95308,5
86,55.98583,-3.9267,5
87,55.96013,-3.94483,5
88,55.98254,-4.0582,5
89,55.98293,-3.94198,5
90,55.94253,-4.0506,5
91,55.98929,-3.94692,5
92,55.971,-3.96223,5
93,55.96259,-3.99183,5
94,55.96364,-3.97596,5
95,55.96289,-3.98629,5
96,55.94997,-4.03819,5
97,55.94921,-4.04169,5
