ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
95,194,2,2,3,3.247
95,194,2,2,3,3.247
95,194,2,2,3,3.247
95,194,2,2,3,3.247
177,194,2,2,4,4.743
177,194,2,2,4,4.743
177,194,2,2,4,4.743
177,194,2,2,4,4.743
177,194,2,2,4,4.743
177,194,2,2,4,4.743
177,194,2,2,4,4.743
177,194,2,2,4,4.743
194,95,2,2,3,3.247
194,95,2,2,3,3.247
194,95,2,2,3,3.247
194,95,2,2,3,3.247
194,177,2,2,5,4.743
194,177,2,2,5,4.743
194,177,2,2,5,4.743
194,177,2,2,5,4.743
194,177,2,2,5,4.743
194,177,2,2,5,4.743
194,177,2,2,5,4.743
194,177,2,2,5,4.743
17,177,3,3,2,1.43
17,177,3,3,2,1.43
17,177,3,3,2,1.43
17,177,3,3,2,1.43
17,177,3,3,2,1.43
17,177,3,3,2,1.43
17,177,3,3,2,1.43
17,177,3,3,2,1.43
17,185,3,3,2,1.773
17,185,3,3,2,1.773
17,185,3,3,2,1.773
17,185,3,3,2,1.773
18,48,3,3,2,1.493
18,48,3,3,2,1.493
18,48,3,3,2,1.493
18,48,3,3,2,1.493
18,227,3,3,3,2.338
18,227,3,3,3,2.338
18,227,3,3,3,2.338
18,227,3,3,3,2.338
48,18,3,3,2,1.493
48,18,3,3,2,1.493
48,18,3,3,2,1.493
48,18,3,3,2,1.493
48,121,3,3,2,1.254
48,121,3,3,2,1.254
48,121,3,3,2,1.254
48,121,3,3,2,1.254
121,48,3,3,2,1.254
121,48,3,3,2,1.254
121,48,3,3,2,1.254
121,48,3,3,2,1.254
177,17,3,3,2,1.43
177,17,3,3,2,1.43
177,17,3,3,2,1.43
177,17,3,3,2,1.43
177,17,3,3,2,1.43
177,17,3,3,2,1.43
177,17,3,3,2,1.43
177,17,3,3,2,1.43
177,200,3,3,3,2.052
177,200,3,3,3,2.052
177,200,3,3,3,2.052
177,200,3,3,3,2.052
177,200,3,3,3,2.052
177,200,3,3,3,2.052
177,200,3,3,3,2.052
177,200,3,3,3,2.052
185,17,3,3,2,1.773
185,17,3,3,2,1.773
185,17,3,3,2,1.773
185,17,3,3,2,1.773
200,177,3,3,3,2.052
200,177,3,3,3,2.052
200,177,3,3,3,2.052
200,177,3,3,3,2.052
200,177,3,3,3,2.052
200,177,3,3,3,2.052
200,177,3,3,3,2.052
200,177,3,3,3,2.052
227,18,3,3,3,2.338
227,18,3,3,3,2.338
227,18,3,3,3,2.338
227,18,3,3,3,2.338
6,177,4,4,15,1.658
6,177,4,4,15,1.658
6,177,4,4,15,1.658
6,177,4,4,15,1.658
6,177,4,4,15,1.658
6,177,4,4,15,1.658
6,177,4,4,15,1.658
6,177,4,4,15,1.658
177,6,4,4,5,1.658
177,6,4,4,5,1.658
177,6,4,4,5,1.658
177,6,4,4,5,1.658
177,6,4,4,5,1.658
177,6,4,4,5,1.658
177,6,4,4,5,1.658
177,6,4,4,5,1.658
1,18,5,5,1,0.564
1,18,5,5,1,0.564
1,71,5,5,1,0.15
2,69,5,5,1,0.233
2,295,5,5,1,0.32
3,77,5,5,1,0.311
3,141,5,5,1,0.244
4,51,5,5,1,0.221
4,123,5,5,1,0.175
5,65,5,5,1,0.192
5,178,5,5,1,0.39
6,125,5,5,1,0.373
6,125,5,5,1,0.373
6,165,5,5,1,0.312
6,165,5,5,1,0.312
6,304,5,5,1,0.282
6,304,5,5,1,0.282
7,16,5,5,1,0.282
7,122,5,5,1,0.369
8,159,5,5,1,0.182
8,167,5,5,1,0.138
9,17,5,5,1,0.256
9,17,5,5,1,0.256
9,54,5,5,1,0.137
10,151,5,5,1,0.089
10,214,5,5,1,0.435
10,217,5,5,1,0.496
10,327,5,5,1,0.229
11,80,5,5,1,0.272
11,303,5,5,1,0.317
12,27,5,5,1,0.374
12,356,5,5,1,0.291
13,50,5,5,1,0.486
13,162,5,5,2,0.51
14,120,5,5,1,0.365
14,216,5,5,1,0.448
15,27,5,5,1,0.354
16,7,5,5,1,0.282
16,220,5,5,1,0.329
17,9,5,5,1,0.256
17,9,5,5,1,0.256
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,269,5,5,1,0.349
17,269,5,5,1,0.349
18,1,5,5,1,0.564
18,1,5,5,1,0.564
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,101,5,5,1,0.379
18,101,5,5,1,0.379
18,119,5,5,1,0.298
18,119,5,5,1,0.298
18,298,5,5,1,0.493
18,298,5,5,1,0.493
19,171,5,5,1,0.166
19,245,5,5,1,0.163
20,73,5,5,2,1.367
20,125,5,5,1,0.258
20,177,5,5,1,1.053
20,177,5,5,1,1.053
20,177,5,5,1,1.053
20,177,5,5,1,1.053
21,114,5,5,1,0.459
21,137,5,5,1,0.477
22,185,5,5,1,0.328
22,185,5,5,1,0.328
23,104,5,5,1,0.246
23,255,5,5,1,0.252
23,256,5,5,1,0.164
24,114,5,5,1,0.318
24,126,5,5,1,0.377
26,200,5,5,1,0.251
26,200,5,5,1,0.251
27,12,5,5,1,0.374
27,15,5,5,1,0.354
28,49,5,5,1,0.291
28,337,5,5,1,0.494
29,39,5,5,1,0.338
29,90,5,5,1,0.348
30,56,5,5,1,0.268
30,88,5,5,1,0.387
31,92,5,5,1,0.43
31,190,5,5,2,0.7
31,319,5,5,1,0.413
32,211,5,5,1,0.284
32,212,5,5,1,0.194
33,130,5,5,1,0.987
33,138,5,5,1,0.319
34,182,5,5,1,0.195
34,197,5,5,1,0.469
34,258,5,5,1,0.246
34,317,5,5,1,0.533
35,205,5,5,1,0.322
35,310,5,5,1,0.363
36,210,5,5,1,0.225
36,229,5,5,1,0.231
37,157,5,5,1,0.401
37,173,5,5,1,0.262
38,188,5,5,1,0.162
39,165,5,5,1,0.056
39,289,5,5,1,0.136
40,44,5,5,1,0.216
40,211,5,5,1,0.25
41,44,5,5,1,0.267
41,124,5,5,2,0.36
42,158,5,5,2,0.596
42,186,5,5,1,0.278
43,43,5,5,1,0.0
43,43,5,5,1,0.0
43,43,5,5,1,0.0
43,43,5,5,1,0.0
43,198,5,5,1,0.868
43,198,5,5,1,0.868
43,212,5,5,1,0.682
43,212,5,5,1,0.682
43,273,5,5,1,0.53
43,273,5,5,1,0.53
44,40,5,5,1,0.216
44,41,5,5,1,0.267
45,152,5,5,1,0.504
45,152,5,5,1,0.504
45,349,5,5,1,0.169
46,23,5,5,1,0.526
46,112,5,5,1,0.468
47,58,5,5,1,0.258
47,213,5,5,1,0.323
48,83,5,5,1,0.437
48,83,5,5,1,0.437
48,186,5,5,1,0.415
48,186,5,5,1,0.415
49,28,5,5,1,0.291
50,154,5,5,1,0.146
50,238,5,5,1,0.222
51,4,5,5,1,0.221
51,107,5,5,1,0.612
52,53,5,5,1,0.27
52,159,5,5,1,0.177
53,52,5,5,1,0.27
53,348,5,5,1,0.075
54,9,5,5,1,0.137
54,61,5,5,1,0.315
54,87,5,5,1,0.132
55,150,5,5,1,0.333
55,225,5,5,1,0.554
56,30,5,5,1,0.268
56,135,5,5,1,0.29
57,161,5,5,1,0.402
57,252,5,5,1,0.475
58,47,5,5,1,0.258
58,133,5,5,1,0.331
59,77,5,5,1,0.237
59,222,5,5,1,0.345
60,17,5,5,1,0.549
60,17,5,5,1,0.549
61,54,5,5,1,0.315
61,117,5,5,1,0.293
62,85,5,5,1,0.224
62,188,5,5,1,0.178
62,351,5,5,1,0.129
63,148,5,5,1,0.296
63,252,5,5,1,0.44
64,105,5,5,1,0.41
64,297,5,5,1,0.486
64,299,5,5,1,0.434
65,5,5,5,1,0.192
65,121,5,5,1,0.509
65,121,5,5,1,0.509
66,181,5,5,1,0.416
66,316,5,5,1,0.362
67,86,5,5,1,0.263
67,109,5,5,1,0.279
67,190,5,5,1,0.308
68,74,5,5,1,0.483
68,117,5,5,1,0.649
68,237,5,5,1,0.425
68,292,5,5,1,0.177
69,2,5,5,1,0.233
69,264,5,5,1,0.35
70,57,5,5,1,0.516
70,161,5,5,1,0.296
70,166,5,5,1,0.298
71,1,5,5,1,0.15
71,169,5,5,1,0.307
72,268,5,5,1,0.596
72,291,5,5,1,0.662
73,20,5,5,1,1.367
73,163,5,5,2,0.771
73,177,5,5,2,1.543
73,177,5,5,2,1.543
73,177,5,5,2,1.543
73,177,5,5,2,1.543
74,68,5,5,1,0.483
74,103,5,5,1,0.42
75,75,5,5,1,0.0
75,232,5,5,1,0.364
75,254,5,5,1,0.256
76,116,5,5,1,0.311
76,222,5,5,1,0.322
76,331,5,5,1,0.256
77,3,5,5,1,0.311
77,59,5,5,1,0.237
78,218,5,5,1,0.437
79,147,5,5,1,0.339
79,195,5,5,1,0.468
80,11,5,5,1,0.272
80,342,5,5,1,0.362
81,305,5,5,1,0.337
82,178,5,5,1,0.332
82,225,5,5,1,0.233
82,279,5,5,1,0.276
83,48,5,5,1,0.437
83,48,5,5,1,0.437
83,178,5,5,1,0.412
84,85,5,5,1,0.417
84,321,5,5,1,0.412
85,62,5,5,1,0.224
85,84,5,5,1,0.417
86,67,5,5,1,0.263
87,54,5,5,1,0.132
87,146,5,5,1,0.323
87,242,5,5,1,0.487
88,30,5,5,1,0.387
88,247,5,5,1,0.294
89,164,5,5,1,0.417
89,182,5,5,1,0.292
90,39,5,5,1,0.172
91,118,5,5,1,0.257
91,167,5,5,1,0.163
92,31,5,5,1,0.43
92,190,5,5,1,0.271
93,110,5,5,1,0.232
93,175,5,5,1,0.326
94,191,5,5,1,0.181
94,202,5,5,1,0.357
95,95,5,5,1,0.0
95,95,5,5,1,0.0
95,95,5,5,1,0.0
95,95,5,5,1,0.0
95,133,5,5,1,0.507
95,133,5,5,1,0.507
95,137,5,5,1,0.739
95,137,5,5,1,0.739
95,217,5,5,1,0.628
95,217,5,5,1,0.628
95,328,5,5,1,0.31
95,328,5,5,1,0.31
96,132,5,5,1,0.386
96,186,5,5,1,0.332
97,211,5,5,1,0.311
98,105,5,5,1,0.235
98,207,5,5,1,0.347
98,306,5,5,1,0.363
99,129,5,5,1,0.206
100,266,5,5,1,0.521
101,18,5,5,1,0.379
101,18,5,5,1,0.379
101,187,5,5,1,0.302
102,163,5,5,1,0.233
103,74,5,5,1,0.42
103,246,5,5,1,0.148
103,296,5,5,1,0.216
104,23,5,5,1,0.246
105,64,5,5,1,0.41
105,98,5,5,1,0.235
106,139,5,5,1,0.302
106,271,5,5,1,0.205
107,227,5,5,1,0.402
107,227,5,5,1,0.402
107,249,5,5,1,0.392
108,109,5,5,1,0.446
109,67,5,5,1,0.279
109,108,5,5,1,0.446
110,93,5,5,1,0.232
110,144,5,5,1,0.373
111,152,5,5,1,0.736
111,152,5,5,1,0.736
111,221,5,5,1,0.452
112,46,5,5,1,0.468
112,192,5,5,1,0.4
113,179,5,5,1,0.329
113,302,5,5,1,0.433
114,21,5,5,1,0.459
114,24,5,5,1,0.318
115,194,5,5,1,0.66
115,194,5,5,1,0.66
115,223,5,5,1,1.407
116,76,5,5,1,0.311
117,61,5,5,1,0.293
117,68,5,5,1,0.649
118,91,5,5,1,0.257
118,261,5,5,1,0.253
119,18,5,5,1,0.298
119,18,5,5,1,0.298
119,224,5,5,1,0.203
120,14,5,5,1,0.365
120,174,5,5,1,0.48
121,65,5,5,1,0.509
121,65,5,5,1,0.509
121,184,5,5,1,0.444
121,184,5,5,1,0.444
122,7,5,5,1,0.369
122,340,5,5,1,0.142
123,4,5,5,1,0.175
123,265,5,5,1,0.25
124,41,5,5,1,0.36
124,308,5,5,2,0.369
125,6,5,5,1,0.373
125,6,5,5,1,0.373
125,20,5,5,1,0.258
126,24,5,5,1,0.377
127,146,5,5,1,0.7
127,301,5,5,1,0.323
128,76,5,5,1,0.473
128,227,5,5,1,0.48
128,227,5,5,1,0.48
128,330,5,5,1,0.378
129,99,5,5,2,0.206
129,130,5,5,1,0.561
130,33,5,5,1,0.987
130,335,5,5,1,0.256
131,180,5,5,1,0.353
132,145,5,5,1,0.382
132,276,5,5,1,0.172
133,58,5,5,1,0.331
133,95,5,5,1,0.507
133,95,5,5,1,0.507
134,158,5,5,1,0.285
134,216,5,5,1,0.326
135,56,5,5,1,0.29
135,281,5,5,1,0.246
136,185,5,5,1,0.648
136,185,5,5,1,0.648
136,337,5,5,1,0.427
137,21,5,5,1,0.477
137,95,5,5,1,0.739
137,95,5,5,1,0.739
138,172,5,5,1,0.178
138,231,5,5,1,0.116
138,285,5,5,1,0.29
139,106,5,5,1,0.302
139,172,5,5,1,0.204
140,199,5,5,1,0.252
140,286,5,5,1,0.415
141,3,5,5,1,0.244
142,203,5,5,1,0.369
142,210,5,5,1,0.33
142,280,5,5,1,0.147
143,198,5,5,1,0.361
143,206,5,5,1,0.599
143,206,5,5,1,0.599
143,356,5,5,1,0.182
144,110,5,5,1,0.373
144,145,5,5,1,0.369
145,132,5,5,1,0.382
145,144,5,5,1,0.369
146,87,5,5,1,0.323
146,127,5,5,1,0.7
146,146,5,5,1,0.0
146,155,5,5,1,1.08
147,79,5,5,1,0.339
147,232,5,5,1,0.319
148,63,5,5,1,0.296
148,154,5,5,1,0.238
149,140,5,5,2,0.536
149,203,5,5,1,0.42
149,329,5,5,1,0.314
150,55,5,5,1,0.333
150,187,5,5,1,0.267
151,10,5,5,1,0.089
151,207,5,5,1,0.379
151,314,5,5,1,0.07
152,111,5,5,1,0.736
152,111,5,5,1,0.736
152,152,5,5,1,0.0
152,152,5,5,1,0.0
152,152,5,5,1,0.0
152,152,5,5,1,0.0
152,274,5,5,1,0.259
152,274,5,5,1,0.259
153,50,5,5,1,0.421
153,214,5,5,1,0.139
154,13,5,5,1,0.564
154,148,5,5,1,0.238
154,238,5,5,1,0.368
155,146,5,5,1,1.08
155,322,5,5,1,0.219
156,183,5,5,1,0.481
156,270,5,5,1,0.206
157,37,5,5,1,0.401
157,323,5,5,2,1.024
158,134,5,5,1,0.285
158,338,5,5,1,0.295
159,8,5,5,1,0.182
159,52,5,5,1,0.177
160,57,5,5,2,0.325
160,161,5,5,1,0.29
160,252,5,5,1,0.159
161,70,5,5,1,0.296
161,160,5,5,1,0.29
162,13,5,5,1,0.51
162,162,5,5,1,0.0
163,73,5,5,2,0.771
163,102,5,5,2,0.233
163,221,5,5,2,0.823
164,89,5,5,1,0.417
164,226,5,5,1,0.26
165,6,5,5,1,0.312
165,6,5,5,1,0.312
165,90,5,5,1,0.228
165,289,5,5,1,0.136
165,311,5,5,1,0.304
166,2,5,5,1,0.233
166,70,5,5,1,0.298
166,75,5,5,1,0.396
167,8,5,5,1,0.138
167,91,5,5,1,0.163
168,155,5,5,1,0.47
168,290,5,5,1,0.786
168,336,5,5,1,0.089
169,71,5,5,1,0.307
169,215,5,5,1,0.386
170,103,5,5,1,0.377
170,355,5,5,1,0.311
171,19,5,5,1,0.166
172,138,5,5,1,0.178
172,139,5,5,1,0.204
173,37,5,5,1,0.262
173,219,5,5,1,0.362
173,229,5,5,1,0.189
174,120,5,5,1,0.48
175,93,5,5,1,0.326
175,224,5,5,1,0.25
176,204,5,5,1,0.313
176,344,5,5,1,0.398
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,177,5,5,1,0.0
177,259,5,5,1,0.387
177,259,5,5,1,0.387
177,259,5,5,1,0.387
177,259,5,5,1,0.387
177,263,5,5,1,0.767
177,263,5,5,1,0.767
177,263,5,5,1,0.767
177,263,5,5,1,0.767
177,278,5,5,2,0.738
177,278,5,5,2,0.738
177,278,5,5,2,0.738
177,278,5,5,2,0.738
177,307,5,5,1,0.424
177,307,5,5,1,0.424
177,307,5,5,1,0.424
177,307,5,5,1,0.424
177,357,5,5,1,0.734
177,357,5,5,1,0.734
177,357,5,5,1,0.734
177,357,5,5,1,0.734
178,5,5,5,1,0.39
178,82,5,5,1,0.332
178,178,5,5,1,0.0
178,228,5,5,1,0.273
178,325,5,5,1,0.181
179,113,5,5,1,0.329
179,197,5,5,1,0.401
179,300,5,5,1,0.235
180,131,5,5,1,0.353
180,341,5,5,1,0.267
181,66,5,5,1,0.416
181,218,5,5,1,0.17
182,34,5,5,1,0.195
182,89,5,5,1,0.292
182,317,5,5,1,0.513
183,156,5,5,1,0.481
183,208,5,5,1,0.282
184,121,5,5,1,0.444
184,121,5,5,1,0.444
185,22,5,5,1,0.328
185,22,5,5,1,0.328
185,136,5,5,1,0.648
185,136,5,5,1,0.648
185,185,5,5,1,0.0
185,185,5,5,1,0.0
185,185,5,5,1,0.0
185,185,5,5,1,0.0
185,220,5,5,1,0.483
185,220,5,5,1,0.483
186,42,5,5,1,0.278
186,48,5,5,1,0.415
186,48,5,5,1,0.415
186,96,5,5,1,0.332
187,101,5,5,1,0.302
187,150,5,5,1,0.267
188,38,5,5,1,0.162
188,62,5,5,1,0.178
189,19,5,5,1,0.527
189,191,5,5,1,0.171
190,31,5,5,2,0.7
190,67,5,5,1,0.308
190,92,5,5,1,0.271
191,94,5,5,1,0.181
191,189,5,5,1,0.171
191,239,5,5,1,0.659
192,112,5,5,1,0.4
192,124,5,5,1,0.44
192,225,5,5,1,0.405
192,279,5,5,1,0.397
193,202,5,5,1,0.213
194,115,5,5,1,0.66
194,115,5,5,1,0.66
194,194,5,5,2,0.0
194,194,5,5,2,0.0
194,194,5,5,2,0.0
194,194,5,5,2,0.0
194,252,5,5,1,0.638
194,252,5,5,1,0.638
194,282,5,5,2,1.011
194,282,5,5,2,1.011
195,79,5,5,1,0.468
195,205,5,5,1,0.271
196,23,5,5,1,0.426
196,208,5,5,1,0.328
197,34,5,5,1,0.469
197,179,5,5,1,0.401
197,258,5,5,2,0.274
198,43,5,5,1,0.868
198,43,5,5,1,0.868
198,143,5,5,1,0.361
199,140,5,5,1,0.252
199,219,5,5,1,0.302
200,26,5,5,1,0.251
200,26,5,5,1,0.251
200,29,5,5,1,0.365
200,29,5,5,1,0.365
200,200,5,5,1,0.0
200,200,5,5,1,0.0
200,200,5,5,1,0.0
200,200,5,5,1,0.0
201,347,5,5,1,0.194
201,348,5,5,1,0.343
202,193,5,5,1,0.213
203,142,5,5,1,0.369
203,280,5,5,1,0.243
203,293,5,5,1,0.268
204,176,5,5,1,0.313
204,313,5,5,1,0.259
205,35,5,5,1,0.322
205,195,5,5,1,0.271
206,206,5,5,1,0.0
206,206,5,5,1,0.0
206,206,5,5,1,0.0
206,206,5,5,1,0.0
206,228,5,5,1,0.506
206,228,5,5,1,0.506
206,294,5,5,1,0.344
206,294,5,5,1,0.344
207,98,5,5,1,0.347
207,151,5,5,1,0.379
208,183,5,5,1,0.282
208,196,5,5,1,0.328
209,320,5,5,2,0.157
209,324,5,5,1,0.062
209,352,5,5,1,0.129
210,36,5,5,1,0.225
210,142,5,5,1,0.33
211,32,5,5,1,0.284
211,40,5,5,1,0.25
211,97,5,5,1,0.311
212,32,5,5,1,0.194
212,43,5,5,1,0.682
212,43,5,5,1,0.682
213,47,5,5,1,0.323
213,332,5,5,1,0.326
214,10,5,5,1,0.435
214,151,5,5,1,0.409
214,153,5,5,1,0.139
215,169,5,5,1,0.386
215,297,5,5,1,0.202
