nodeid,lat,lon,layer
1,51.54501,0.19581,5
2,51.53856,0.16044,5
3,51.55782,0.17594,5
4,51.54282,0.14912,5
5,51.56073,0.22628,5
6,51.53361,0.05884,4
6,51.53361,0.05884,5
7,51.53985,0.14264,5
8,51.52527,0.06572,5
9,51.53622,0.10284,5
10,51.52285,0.18202,5
11,51.5191,0.05961,5
12,51.57512,0.21836,5
13,51.52133,0.16922,5
14,51.56156,0.23166,5
15,51.58155,0.22038,5
16,51.53959,0.13857,5
17,51.53838,0.10154,5
17,51.53838,0.10154,3
18,51.54978,0.19865,5
18,51.54978,0.19865,3
19,51.49639,0.1301,5
20,51.53544,0.06712,5
21,51.51217,0.20539,5
22,51.54329,0.12665,5
23,51.56551,0.18741,5
24,51.50704,0.21295,5
25,51.49399,0.14207,5
26,51.54121,0.05134,5
27,51.57847,0.21903,5
28,51.54156,0.11289,5
29,51.53566,0.05141,5
30,51.52817,0.10459,5
31,51.55333,0.24761,5
32,51.57465,0.20389,5
33,51.52389,0.11656,5
34,51.53153,0.14653,5
35,51.52862,0.19022,5
36,51.50402,0.11144,5
37,51.50518,0.10497,5
38,51.49819,0.08461,5
39,51.53294,0.05361,5
40,51.57266,0.2023,5
41,51.57069,0.20854,5
42,51.54955,0.22205,5
43,51.58191,0.20598,2
43,51.58191,0.20598,5
44,51.57166,0.20499,5
45,51.51203,0.06621,5
46,51.56513,0.19501,5
47,51.52044,0.20492,5
48,51.5541,0.21913,5
48,51.5541,0.21913,3
49,51.54418,0.11313,5
50,51.52568,0.16834,5
51,51.54273,0.15233,5
52,51.52673,0.06126,5
53,51.52576,0.05767,5
54,51.53509,0.10365,5
55,51.55859,0.20912,5
56,51.52796,0.10846,5
57,51.53021,0.16027,5
58,51.51989,0.20129,5
59,51.55324,0.17294,5
60,51.54221,0.09651,5
61,51.53575,0.09921,5
62,51.50045,0.0869,5
63,51.5276,0.15897,5
64,51.53391,0.19216,5
65,51.56028,0.22897,5
66,51.49715,0.1603,5
67,51.5445,0.24901,5
68,51.53424,0.08582,5
69,51.53979,0.15769,5
70,51.53479,0.15895,5
71,51.54384,0.1947,5
72,51.52394,0.0693,5
73,51.52564,0.07911,5
74,51.53175,0.09156,5
75,51.53932,0.16589,5
76,51.55235,0.16342,5
77,51.55524,0.17415,5
78,51.50171,0.1635,5
79,51.53485,0.17873,5
80,51.52142,0.05831,5
81,51.58277,0.21571,5
82,51.56293,0.21646,5
83,51.55795,0.22046,5
84,51.50162,0.09535,5
85,51.50181,0.08931,5
86,51.5424,0.25078,5
87,51.53418,0.10489,5
88,51.52811,0.09898,5
89,51.53557,0.14802,5
90,51.53252,0.05121,5
91,51.52726,0.06644,5
92,51.54947,0.24696,5
93,51.54066,0.20255,5
94,51.49627,0.11989,5
95,51.51673,0.19065,5
95,51.51673,0.19065,2
96,51.54754,0.21681,5
97,51.5734,0.19554,5
98,51.52856,0.18885,5
99,51.51872,0.09819,5
100,51.54664,0.13766,5
101,51.55221,0.20251,5
102,51.52104,0.06694,5
103,51.52824,0.09384,5
104,51.56768,0.18666,5
105,51.53032,0.19075,5
106,51.52512,0.10344,5
107,51.54503,0.16039,5
108,51.54318,0.25845,5
109,51.54281,0.25201,5
110,51.5386,0.20195,5
111,51.51215,0.08089,5
112,51.56478,0.20177,5
113,51.53174,0.12935,5
114,51.50886,0.20939,5
115,51.52291,0.13804,5
116,51.55132,0.15923,5
117,51.53558,0.09497,5
118,51.52916,0.06429,5
119,51.54734,0.20045,5
120,51.56421,0.2348,5
121,51.55857,0.23582,5
121,51.55857,0.23582,3
122,51.54017,0.14796,5
123,51.54347,0.1468,5
124,51.5675,0.20949,5
125,51.53398,0.06421,5
126,51.50657,0.21836,5
127,51.53224,0.11918,5
128,51.54809,0.16335,5
129,51.51703,0.09943,5
130,51.51698,0.10755,5
131,51.54926,0.14757,5
132,51.54429,0.21479,5
133,51.51946,0.19654,5
134,51.55495,0.22954,5
135,51.52705,0.11241,5
136,51.53819,0.1183,5
137,51.51558,0.20119,5
138,51.52349,0.11198,5
139,51.52501,0.10782,5
140,51.50938,0.12009,5
141,51.56,0.17546,5
142,51.50327,0.11722,5
143,51.57361,0.2167,5
144,51.54087,0.20595,5
145,51.54339,0.20945,5
146,51.5329,0.1091,5
147,51.53634,0.17443,5
148,51.52679,0.16306,5
149,51.5068,0.12666,5
150,51.55567,0.20797,5
151,51.52365,0.18193,5
152,51.50894,0.07156,5
152,51.50894,0.07156,3
153,51.5245,0.17414,5
154,51.52609,0.16633,5
155,51.53019,0.09407,5
156,51.55225,0.19087,5
157,51.50183,0.1028,5
158,51.55238,0.2294,5
159,51.52637,0.06376,5
160,51.53018,0.15556,5
161,51.53277,0.15615,5
162,51.51699,0.17166,5
163,51.52139,0.07028,5
164,51.53933,0.14821,5
165,51.53312,0.05438,5
166,51.53669,0.162,5
167,51.52592,0.06743,5
168,51.52916,0.08746,5
169,51.54125,0.19312,5
170,51.52494,0.09517,5
171,51.49587,0.13236,5
172,51.52491,0.11078,5
173,51.50671,0.10787,5
174,51.56824,0.23735,5
175,51.5436,0.20257,5
176,51.52278,0.21768,5
177,51.5395,0.08091,2
177,51.5395,0.08091,5
177,51.5395,0.08091,3
177,51.5395,0.08091,4
178,51.56166,0.22083,5
179,51.53142,0.1341,5
180,51.54608,0.14785,5
181,51.49764,0.16627,5
182,51.53294,0.14823,5
183,51.55647,0.18928,5
184,51.55769,0.2421,5
185,51.54034,0.12703,5
185,51.54034,0.12703,3
186,51.5504,0.21826,5
187,51.55347,0.20639,5
188,51.49965,0.08466,5
189,51.49631,0.12247,5
190,51.54703,0.24716,5
191,51.49766,0.12126,5
192,51.56376,0.20734,5
193,51.49773,0.11196,5
194,51.52609,0.14612,5
194,51.52609,0.14612,2
195,51.53254,0.1844,5
196,51.56181,0.18909,5
197,51.53081,0.13983,5
198,51.57503,0.21198,5
199,51.5091,0.11646,5
200,51.53895,0.0512,5
200,51.53895,0.0512,3
201,51.52823,0.05622,5
202,51.49723,0.11495,5
203,51.50573,0.12082,5
204,51.5256,0.21748,5
205,51.53084,0.18722,5
206,51.56865,0.22013,2
206,51.56865,0.22013,5
207,51.52604,0.18586,5
208,51.55891,0.18813,5
209,51.49856,0.08887,5
210,51.50217,0.11277,5
211,51.5743,0.19981,5
212,51.57576,0.20608,5
213,51.52121,0.20943,5
214,51.52408,0.17604,5
215,51.53806,0.19535,5
216,51.55787,0.22901,5
217,51.52231,0.18915,5
218,51.49883,0.16783,5
219,51.50746,0.11297,5
220,51.53929,0.13383,5
221,51.51589,0.07827,5
222,51.55305,0.16795,5
223,51.52729,0.11892,5
224,51.54584,0.20214,5
225,51.56294,0.21307,5
