ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,2,2,7,5.21
1,2,2,2,7,5.21
1,2,2,2,7,5.21
1,2,2,2,7,5.21
2,1,2,2,5,5.21
2,1,2,2,5,5.21
2,1,2,2,5,5.21
2,1,2,2,5,5.21
2,7,2,2,3,1.799
2,7,2,2,3,1.799
2,7,2,2,3,1.799
2,7,2,2,3,1.799
2,667,2,2,8,7.866
2,667,2,2,8,7.866
3,4,2,2,4,3.404
3,4,2,2,4,3.404
3,4,2,2,4,3.404
3,4,2,2,4,3.404
3,672,2,2,3,1.921
3,672,2,2,3,1.921
4,3,2,2,4,3.404
4,3,2,2,4,3.404
4,3,2,2,4,3.404
4,3,2,2,4,3.404
4,5,2,2,5,4.266
4,5,2,2,5,4.266
4,5,2,2,5,4.266
4,5,2,2,5,4.266
4,5,2,2,5,4.266
4,5,2,2,5,4.266
5,4,2,2,5,4.266
5,4,2,2,5,4.266
5,4,2,2,5,4.266
5,4,2,2,5,4.266
5,4,2,2,5,4.266
5,4,2,2,5,4.266
7,2,2,2,3,1.799
7,2,2,2,3,1.799
7,2,2,2,3,1.799
7,2,2,2,3,1.799
7,672,2,2,8,6.985
7,672,2,2,8,6.985
667,1,2,2,4,2.717
667,1,2,2,4,2.717
672,3,2,2,3,1.921
672,3,2,2,3,1.921
672,7,2,2,8,6.985
672,7,2,2,8,6.985
217,851,4,4,12,6.112
217,851,4,4,12,6.112
217,851,4,4,12,6.112
217,851,4,4,12,6.112
217,905,4,4,10,4.546
217,905,4,4,10,4.546
217,905,4,4,10,4.546
217,905,4,4,10,4.546
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
785,1359,4,4,10,10.719
786,1689,4,4,10,4.819
786,1689,4,4,10,4.819
786,1689,4,4,10,4.819
786,1689,4,4,10,4.819
850,217,4,4,12,6.098
850,217,4,4,12,6.098
850,217,4,4,12,6.098
850,217,4,4,12,6.098
851,1451,4,4,5,1.963
851,1451,4,4,5,1.963
851,1451,4,4,5,1.963
851,1451,4,4,5,1.963
986,1690,4,4,5,3.147
986,1690,4,4,5,3.147
986,1690,4,4,5,3.147
986,1690,4,4,5,3.147
988,217,4,4,10,4.514
988,217,4,4,10,4.514
988,217,4,4,10,4.514
988,217,4,4,10,4.514
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1359,786,4,4,10,10.741
1450,850,4,4,5,1.862
1450,850,4,4,5,1.862
1450,850,4,4,5,1.862
1450,850,4,4,5,1.862
1689,986,4,4,5,3.031
1689,986,4,4,5,3.031
1689,986,4,4,5,3.031
1689,986,4,4,5,3.031
1690,785,4,4,10,4.718
1690,785,4,4,10,4.718
1690,785,4,4,10,4.718
1690,785,4,4,10,4.718
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1318,5,5,1,0.287
1,1318,5,5,1,0.287
1,1742,5,5,1,0.298
1,1742,5,5,1,0.298
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,1225,5,5,1,0.508
2,1225,5,5,1,0.508
2,1356,5,5,2,0.601
2,1356,5,5,2,0.601
2,1456,5,5,1,0.293
2,1456,5,5,1,0.293
2,1463,5,5,2,0.803
2,1463,5,5,2,0.803
3,53,5,5,1,0.449
3,53,5,5,1,0.449
3,299,5,5,1,0.269
3,299,5,5,1,0.269
3,362,5,5,1,0.507
3,362,5,5,1,0.507
4,566,5,5,1,0.314
4,566,5,5,1,0.314
5,5,5,5,1,0.0
