nodeid,lat,lon,layer
1,54.51473,-1.46707,5
1,54.51473,-1.46707,2
2,54.52045,-1.54733,5
2,54.52045,-1.54733,2
3,54.61371,-1.58965,2
3,54.61371,-1.58965,5
4,54.6268,-1.63754,5
4,54.6268,-1.63754,2
5,54.65747,-1.67757,2
5,54.65747,-1.67757,5
5,54.65747,-1.67757,3
6,54.51098,-1.43314,0
6,54.51098,-1.43314,5
7,54.5362,-1.55395,5
7,54.5362,-1.55395,2
8,54.62242,-1.59711,5
9,54.63166,-1.63498,5
10,54.63148,-1.63449,5
11,54.65886,-1.61532,5
12,54.65882,-1.61439,5
13,54.6464,-1.64175,5
14,54.65843,-1.71329,5
15,54.65826,-1.71309,5
16,54.7325,-1.75075,5
17,54.59462,-1.65248,5
18,54.64628,-1.69563,5
19,54.62381,-1.56055,5
20,54.62386,-1.55935,5
21,54.62214,-1.63872,5
22,54.6223,-1.63891,5
23,54.68956,-1.61591,5
24,54.52092,-1.56013,5
25,54.52122,-1.55968,5
26,54.51743,-1.56317,5
27,54.51772,-1.56285,5
28,54.54252,-1.50665,5
29,54.54214,-1.51044,5
30,54.54227,-1.51059,5
31,54.51412,-1.56505,5
32,54.51476,-1.56502,5
33,54.71384,-1.57057,5
34,54.71508,-1.57199,5
35,54.64762,-1.7028,5
36,54.65622,-1.59414,5
37,54.65628,-1.59491,5
38,54.63008,-1.66988,5
39,54.74282,-1.63852,5
40,54.74196,-1.64016,5
41,54.52465,-1.50847,5
42,54.52247,-1.50717,5
43,54.52123,-1.51675,5
44,54.5213,-1.51639,5
45,54.51886,-1.50846,5
46,54.51874,-1.50911,5
47,54.52093,-1.50746,5
48,54.66605,-1.73066,5
49,54.66608,-1.73048,5
50,54.7024,-1.58683,5
51,54.7025,-1.58705,5
52,54.6171,-1.59262,5
53,54.61738,-1.59259,5
54,54.674,-1.55682,5
55,54.67383,-1.55705,5
56,54.66211,-1.67519,5
57,54.67632,-1.64159,5
58,54.6756,-1.64213,5
59,54.68505,-1.62977,5
60,54.68541,-1.62836,5
61,54.64582,-1.65964,5
62,54.64566,-1.65889,5
63,54.73101,-1.66395,5
64,54.73111,-1.66405,5
65,54.7182,-1.75776,5
66,54.71825,-1.75786,5
67,54.70205,-1.58033,5
68,54.70225,-1.57876,5
69,54.62209,-1.57733,5
70,54.62186,-1.57761,5
71,54.64309,-1.69389,5
72,54.7202,-1.47687,5
73,54.68855,-1.64843,5
74,54.66601,-1.57105,5
75,54.54538,-1.47686,5
76,54.54644,-1.47268,5
77,54.54617,-1.47241,5
78,54.54429,-1.45917,5
79,54.54409,-1.45931,5
80,54.59188,-1.47881,5
81,54.58525,-1.4373,5
82,54.64519,-1.67952,5
83,54.64509,-1.67976,5
84,54.65077,-1.69206,5
85,54.61995,-1.58352,5
86,54.68859,-1.62372,5
87,54.66353,-1.61631,5
88,54.66343,-1.61617,5
89,54.70615,-1.70774,5
90,54.63044,-1.62887,5
91,54.63046,-1.62905,5
92,54.66955,-1.68949,5
93,54.7027,-1.54037,5
94,54.62958,-1.57673,5
95,54.62957,-1.57623,5
96,54.5798,-1.55739,5
97,54.57271,-1.55165,5
98,54.57961,-1.5571,5
99,54.56781,-1.54874,5
100,54.56215,-1.54933,5
101,54.57256,-1.55127,5
102,54.56829,-1.54848,5
103,54.542,-1.49446,5
104,54.69158,-1.5933,5
105,54.69119,-1.59343,5
106,54.62918,-1.59216,5
107,54.62923,-1.59298,5
108,54.69719,-1.50809,5
109,54.68769,-1.56149,5
110,54.52192,-1.52151,5
111,54.52219,-1.52392,5
112,54.52162,-1.51907,5
113,54.52174,-1.52105,5
114,54.52384,-1.51906,5
115,54.5249,-1.51369,5
116,54.52423,-1.51914,5
117,54.52269,-1.52756,5
118,54.70854,-1.58966,5
119,54.70928,-1.58911,5
120,54.67938,-1.74503,5
121,54.64489,-1.64866,5
122,54.7128,-1.58882,5
123,54.61665,-1.57042,5
124,54.61637,-1.57016,5
125,54.68995,-1.6099,5
126,54.68989,-1.60981,5
127,54.70426,-1.69585,5
128,54.70386,-1.6985,5
129,54.65535,-1.70703,5
130,54.7277,-1.76049,5
131,54.66422,-1.55021,5
132,54.66403,-1.55118,5
133,54.66349,-1.67485,5
134,54.71235,-1.76773,5
135,54.71243,-1.76775,5
136,54.52833,-1.57946,5
137,54.699,-1.6788,5
138,54.69909,-1.67879,5
139,54.68285,-1.64338,5
140,54.68238,-1.64259,5
141,54.65425,-1.65806,5
142,54.65422,-1.65792,5
143,54.7301,-1.71432,5
144,54.73001,-1.71431,5
145,54.71972,-1.75555,5
146,54.71962,-1.7555,5
147,54.64394,-1.69473,5
148,54.63977,-1.57888,5
149,54.73069,-1.5869,5
150,54.67449,-1.59564,5
151,54.72045,-1.50825,5
152,54.72129,-1.50893,5
153,54.69301,-1.74341,5
154,54.6931,-1.74345,5
155,54.61884,-1.57383,5
156,54.61867,-1.57396,5
157,54.62888,-1.63553,5
158,54.62906,-1.63615,5
159,54.48629,-1.53221,5
160,54.48575,-1.52453,5
161,54.48594,-1.52882,5
162,54.48594,-1.52153,5
163,54.48574,-1.5243,5
164,54.48797,-1.52178,5
165,54.61031,-1.63479,5
166,54.48775,-1.52319,5
167,54.67468,-1.60965,5
168,54.67494,-1.60899,5
169,54.69601,-1.71085,5
170,54.6958,-1.71071,5
171,54.62666,-1.63342,5
172,54.63769,-1.71435,5
173,54.71599,-1.50367,5
174,54.70138,-1.75007,5
175,54.63128,-1.57598,5
176,54.67621,-1.77716,5
177,54.63942,-1.65755,5
178,54.63961,-1.65775,5
179,54.48776,-1.49298,5
180,54.48619,-1.4985,5
181,54.51808,-1.57515,5
182,54.51805,-1.57634,5
183,54.5179,-1.57668,5
184,54.51612,-1.57751,5
185,54.67873,-1.73709,5
186,54.69624,-1.59056,5
187,54.69539,-1.59091,5
188,54.62479,-1.5861,5
189,54.62968,-1.60382,5
190,54.62962,-1.604,5
191,54.52327,-1.53588,5
192,54.52333,-1.53225,5
193,54.52341,-1.53172,5
194,54.52304,-1.53001,5
195,54.5232,-1.54357,5
196,54.52319,-1.54297,5
197,54.52328,-1.53936,5
198,54.52338,-1.53724,5
199,54.5343,-1.51399,5
200,54.7053,-1.59528,5
201,54.71069,-1.58642,5
202,54.61449,-1.57433,5
203,54.61462,-1.57402,5
204,54.65526,-1.71089,5
205,54.65516,-1.71128,5
206,54.62028,-1.57583,5
207,54.66413,-1.55443,5
208,54.66405,-1.55514,5
209,54.66423,-1.67849,5
210,54.6644,-1.67878,5
211,54.66426,-1.6781,5
212,54.66429,-1.6777,5
213,54.66452,-1.67774,5
214,54.66454,-1.67742,5
215,54.66445,-1.67847,5
216,54.66448,-1.67815,5
217,54.66396,-1.67613,4
217,54.66396,-1.67613,5
218,54.66432,-1.67667,5
219,54.66418,-1.6764,5
220,54.71116,-1.77877,5
221,54.71124,-1.77884,5
222,54.67967,-1.63858,5
223,54.6797,-1.63849,5
224,54.72898,-1.72647,5
225,54.72905,-1.72649,5
226,54.72061,-1.75368,5
227,54.72122,-1.75245,5
228,54.64452,-1.69504,5
229,54.62157,-1.56496,5
230,54.69946,-1.59754,5
231,54.72955,-1.58607,5
232,54.72864,-1.58622,5
233,54.72766,-1.51668,5
234,54.72767,-1.51626,5
235,54.6207,-1.572,5
236,54.62057,-1.57245,5
237,54.63394,-1.63987,5
238,54.63375,-1.63977,5
239,54.4851,-1.5386,5
240,54.48638,-1.53242,5
241,54.4841,-1.5439,5
242,54.48488,-1.53912,5
243,54.4832,-1.54794,5
244,54.48367,-1.54551,5
245,54.48353,-1.55346,5
246,54.48302,-1.54848,5
247,54.51727,-1.58283,5
248,54.48335,-1.55325,5
249,54.58292,-1.54911,5
250,54.58288,-1.54933,5
251,54.66541,-1.61905,5
252,54.66556,-1.61865,5
253,54.69362,-1.70868,5
254,54.69293,-1.70774,5
255,54.6244,-1.63564,5
256,54.62482,-1.63511,5
257,54.69173,-1.60985,5
258,54.62326,-1.56891,5
259,54.62308,-1.56874,5
260,54.63618,-1.6568,5
261,54.63525,-1.65616,5
262,54.51361,-1.57512,5
263,54.50782,-1.57389,5
264,54.50762,-1.57652,5
265,54.50912,-1.5779,5
266,54.50964,-1.57825,5
267,54.51178,-1.56655,5
268,54.50691,-1.57205,5
269,54.50719,-1.57208,5
270,54.67814,-1.76005,5
271,54.67819,-1.76011,5
272,54.68115,-1.59744,5
273,54.68233,-1.59651,5
274,54.62984,-1.61218,5
275,54.6296,-1.61102,5
276,54.64214,-1.68615,5
277,54.64235,-1.68563,5
278,54.66163,-1.55419,5
279,54.5338,-1.51218,5
280,54.53301,-1.51039,5
281,54.53312,-1.51058,5
282,54.53229,-1.51342,5
283,54.53221,-1.5134,5
284,54.53237,-1.51808,5
285,54.53226,-1.5185,5
286,54.53238,-1.52252,5
287,54.53248,-1.52244,5
288,54.53006,-1.52234,5
289,54.66391,-1.63593,5
290,54.66394,-1.63655,5
291,54.6465,-1.64175,5
292,54.70952,-1.58514,5
293,54.61642,-1.57841,5
294,54.61605,-1.57914,5
295,54.70684,-1.69347,5
296,54.70683,-1.69359,5
297,54.65903,-1.71336,5
298,54.65962,-1.71343,5
299,54.61338,-1.5855,5
300,54.61315,-1.58543,5
301,54.6697,-1.53482,5
302,54.67012,-1.53394,5
303,54.65174,-1.67856,5
304,54.65117,-1.67851,5
305,54.71278,-1.75317,5
306,54.71273,-1.75283,5
307,54.71514,-1.68835,5
308,54.66063,-1.65585,5
309,54.71012,-1.74726,5
310,54.71019,-1.7474,5
311,54.71507,-1.50131,5
312,54.71519,-1.5007,5
313,54.73197,-1.69067,5
314,54.73175,-1.69207,5
315,54.64482,-1.69319,5
316,54.63521,-1.57194,5
317,54.63567,-1.57061,5
318,54.68612,-1.55172,5
319,54.68619,-1.55157,5
320,54.66165,-1.62737,5
321,54.72481,-1.58811,5
322,54.72415,-1.58829,5
323,54.70858,-1.68312,5
324,54.70872,-1.68236,5
325,54.73275,-1.7405,5
326,54.51969,-1.50125,5
327,54.59439,-1.65226,5
328,54.58512,-1.63275,5
329,54.63151,-1.6398,5
330,54.63123,-1.63953,5
331,54.65393,-1.57637,5
332,54.69143,-1.70548,5
333,54.69151,-1.70531,5
334,54.70074,-1.5868,5
335,54.67972,-1.53207,5
336,54.52374,-1.59403,5
337,54.62719,-1.57777,5
338,54.62714,-1.57798,5
339,54.63189,-1.65405,5
