ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,2,2,4,2.791
1,2,2,2,4,2.791
1,2,2,2,4,2.791
1,2,2,2,4,2.791
1,4,2,2,3,3.112
1,4,2,2,3,3.112
1,4,2,2,3,3.112
1,4,2,2,3,3.112
1,5,2,2,4,4.141
1,5,2,2,4,4.141
1,5,2,2,4,4.141
1,5,2,2,4,4.141
1,37,2,2,4,3.016
1,37,2,2,4,3.016
1,37,2,2,4,3.016
1,37,2,2,4,3.016
2,1,2,2,5,2.791
2,1,2,2,5,2.791
2,1,2,2,5,2.791
2,1,2,2,5,2.791
2,37,2,2,5,2.308
2,37,2,2,5,2.308
2,37,2,2,5,2.308
2,37,2,2,5,2.308
4,1,2,2,4,3.112
4,1,2,2,4,3.112
4,1,2,2,4,3.112
4,1,2,2,4,3.112
4,5,2,2,1,1.044
4,5,2,2,1,1.044
4,5,2,2,1,1.044
4,5,2,2,1,1.044
5,1,2,2,4,4.141
5,1,2,2,4,4.141
5,1,2,2,4,4.141
5,1,2,2,4,4.141
5,4,2,2,2,1.044
5,4,2,2,2,1.044
5,4,2,2,2,1.044
5,4,2,2,2,1.044
11,31,2,2,4,4.53
11,31,2,2,4,4.53
11,31,2,2,4,4.53
11,31,2,2,4,4.53
11,56,2,2,5,4.676
11,56,2,2,5,4.676
11,56,2,2,5,4.676
11,56,2,2,5,4.676
25,56,2,2,4,4.187
25,56,2,2,4,4.187
25,56,2,2,4,4.187
25,56,2,2,4,4.187
31,11,2,2,3,4.53
31,11,2,2,3,4.53
31,11,2,2,3,4.53
31,11,2,2,3,4.53
31,56,2,2,6,9.09
31,56,2,2,6,9.09
31,56,2,2,6,9.09
31,56,2,2,6,9.09
37,1,2,2,4,3.016
37,1,2,2,4,3.016
37,1,2,2,4,3.016
37,1,2,2,4,3.016
37,2,2,2,6,2.308
37,2,2,2,6,2.308
37,2,2,2,6,2.308
37,2,2,2,6,2.308
56,11,2,2,5,4.676
56,11,2,2,5,4.676
56,11,2,2,5,4.676
56,11,2,2,5,4.676
56,25,2,2,4,4.187
56,25,2,2,4,4.187
56,25,2,2,4,4.187
56,25,2,2,4,4.187
56,31,2,2,6,9.09
56,31,2,2,6,9.09
56,31,2,2,6,9.09
56,31,2,2,6,9.09
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,24,5,5,9,4.036
1,24,5,5,9,4.036
1,24,5,5,9,4.036
1,24,5,5,9,4.036
1,43,5,5,1,0.589
1,43,5,5,1,0.589
1,155,5,5,1,0.604
1,155,5,5,1,0.604
1,164,5,5,5,1.958
1,164,5,5,5,1.958
1,168,5,5,1,0.999
1,168,5,5,1,0.999
1,209,5,5,1,0.832
1,209,5,5,1,0.832
1,215,5,5,2,1.274
1,215,5,5,2,1.274
1,245,5,5,2,0.63
1,245,5,5,2,0.63
1,326,5,5,9,3.049
1,326,5,5,9,3.049
1,333,5,5,1,0.806
1,333,5,5,1,0.806
1,349,5,5,2,1.017
1,349,5,5,2,1.017
1,352,5,5,1,0.6
1,352,5,5,1,0.6
1,386,5,5,2,1.048
1,386,5,5,2,1.048
1,418,5,5,6,2.903
1,418,5,5,6,2.903
1,420,5,5,2,0.774
1,420,5,5,2,0.774
1,498,5,5,7,3.099
1,498,5,5,7,3.099
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,13,5,5,1,0.507
2,13,5,5,1,0.507
2,33,5,5,1,0.539
2,33,5,5,1,0.539
2,35,5,5,1,0.723
2,35,5,5,1,0.723
2,41,5,5,1,0.506
2,41,5,5,1,0.506
2,136,5,5,1,0.454
2,136,5,5,1,0.454
2,528,5,5,1,0.329
2,528,5,5,1,0.329
3,29,5,5,1,0.305
3,60,5,5,2,0.601
4,5,5,5,1,1.044
4,5,5,5,1,1.044
4,5,5,5,1,1.044
4,5,5,5,1,1.044
4,106,5,5,2,0.731
4,106,5,5,2,0.731
5,4,5,5,2,1.044
5,4,5,5,2,1.044
5,4,5,5,2,1.044
5,4,5,5,2,1.044
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,24,5,5,4,1.452
5,24,5,5,4,1.452
5,24,5,5,4,1.452
5,24,5,5,4,1.452
5,114,5,5,1,0.313
5,114,5,5,1,0.313
5,411,5,5,5,0.471
5,411,5,5,5,0.471
5,499,5,5,1,0.393
5,499,5,5,1,0.393
5,565,5,5,1,0.54
5,565,5,5,1,0.54
6,51,5,5,1,0.301
6,305,5,5,1,0.25
7,167,5,5,2,0.435
7,186,5,5,3,0.823
7,342,5,5,2,0.36
8,60,5,5,1,0.353
9,35,5,5,1,0.301
9,45,5,5,1,0.199
10,190,5,5,1,0.395
10,384,5,5,1,0.344
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,179,5,5,2,0.878
11,179,5,5,2,0.878
11,205,5,5,10,4.23
11,205,5,5,10,4.23
11,232,5,5,2,1.256
11,232,5,5,2,1.256
11,243,5,5,1,0.571
11,243,5,5,1,0.571
11,288,5,5,2,0.711
11,288,5,5,2,0.711
11,308,5,5,5,1.238
11,308,5,5,5,1.238
11,365,5,5,2,0.822
11,365,5,5,2,0.822
11,376,5,5,1,0.484
11,376,5,5,1,0.484
12,29,5,5,1,0.262
12,40,5,5,1,0.241
13,48,5,5,1,0.607
13,528,5,5,1,0.178
14,44,5,5,1,0.547
15,138,5,5,1,0.649
15,138,5,5,1,0.649
16,16,5,5,1,0.0
16,16,5,5,1,0.0
16,16,5,5,1,0.0
16,16,5,5,1,0.0
16,23,5,5,1,0.516
16,23,5,5,1,0.516
16,39,5,5,1,0.733
16,39,5,5,1,0.733
16,327,5,5,2,0.66
16,327,5,5,2,0.66
16,544,5,5,1,0.628
16,544,5,5,1,0.628
17,21,5,5,1,0.216
17,32,5,5,1,0.297
18,37,5,5,1,0.627
18,37,5,5,1,0.627
18,276,5,5,1,0.222
19,36,5,5,1,0.223
19,58,5,5,1,0.422
20,52,5,5,1,0.369
21,17,5,5,1,0.216
21,57,5,5,1,0.248
22,26,5,5,1,0.602
22,42,5,5,1,0.326
22,493,5,5,1,0.197
23,16,5,5,1,0.516
23,16,5,5,1,0.516
23,46,5,5,1,0.373
