nodeid,lat,lon,layer
1,51.44737,0.21926,5
1,51.44737,0.21926,2
2,51.44828,0.17895,5
2,51.44828,0.17895,2
3,51.47626,0.26887,5
4,51.45133,0.26379,2
4,51.45133,0.26379,5
5,51.45076,0.27886,5
5,51.45076,0.27886,2
6,51.46359,0.18099,5
7,51.43712,0.16178,5
8,51.47839,0.27449,5
9,51.45662,0.17267,5
10,51.43132,0.16636,5
11,51.4014,0.23552,2
11,51.4014,0.23552,5
12,51.47807,0.26122,5
13,51.45282,0.17984,5
14,51.38584,0.13789,5
15,51.34579,0.13086,2
15,51.34579,0.13086,5
16,51.48102,0.23678,2
16,51.48102,0.23678,5
17,51.49752,0.24746,5
18,51.46223,0.18884,5
19,51.47744,0.19262,5
20,51.5035,0.24821,5
21,51.49557,0.24728,5
22,51.46981,0.18087,5
23,51.47938,0.24377,5
24,51.43784,0.27555,4
24,51.43784,0.27555,5
25,51.36272,0.20441,5
25,51.36272,0.20441,2
26,51.47523,0.18134,5
27,51.48614,0.24954,5
28,51.49605,0.25453,5
29,51.477,0.26461,5
30,51.46369,0.17142,5
31,51.39616,0.30038,5
31,51.39616,0.30038,2
32,51.4992,0.25081,5
33,51.44943,0.18653,5
34,51.48898,0.26299,5
35,51.45406,0.17411,5
36,51.47629,0.19528,5
37,51.46779,0.1905,2
37,51.46779,0.1905,5
38,51.45249,0.16834,5
39,51.48731,0.23352,5
40,51.47831,0.25775,5
41,51.45181,0.17432,5
42,51.46705,0.18248,5
43,51.4503,0.22637,5
44,51.38418,0.14533,5
45,51.45813,0.17111,5
46,51.47861,0.24903,5
47,51.45522,0.19451,5
48,51.45432,0.18828,5
49,51.45322,0.1642,5
50,51.46731,0.18333,5
51,51.46362,0.17663,5
52,51.50083,0.2514,5
53,51.45904,0.16612,5
54,51.4987,0.24598,5
55,51.47318,0.19526,5
56,51.39339,0.16924,5
56,51.39339,0.16924,2
57,51.49503,0.25077,5
58,51.47824,0.18664,5
59,51.48632,0.25784,5
60,51.47584,0.27754,5
61,51.3639,0.31472,5
62,51.42712,0.18024,5
63,51.42246,0.23104,5
64,51.36934,0.21428,5
65,51.34303,0.13838,5
66,51.43505,0.17171,5
67,51.40072,0.16393,5
68,51.44179,0.19697,5
69,51.4031,0.16251,5
70,51.46095,0.22422,5
71,51.43516,0.20917,5
72,51.43867,0.25219,5
73,51.40572,0.35122,5
74,51.41984,0.23214,5
75,51.403,0.18383,5
76,51.4019,0.17414,5
77,51.42056,0.23151,5
78,51.46125,0.2324,5
79,51.46029,0.23516,5
80,51.4618,0.22699,5
81,51.39503,0.3267,5
82,51.45912,0.22622,5
83,51.45462,0.19198,5
84,51.45806,0.22318,5
85,51.4619,0.22702,5
86,51.42801,0.22553,5
87,51.43034,0.19365,5
88,51.43933,0.24772,5
89,51.44365,0.24622,5
90,51.38321,0.16028,5
91,51.42736,0.20296,5
92,51.37801,0.22562,5
93,51.37796,0.22582,5
94,51.3693,0.21403,5
95,51.33947,0.14334,5
96,51.47894,0.25293,5
97,51.39855,0.16287,5
98,51.437,0.2088,5
99,51.42398,0.23082,5
100,51.38604,0.30821,5
101,51.44729,0.20905,5
102,51.33036,0.13531,5
103,51.40033,0.17438,5
104,51.39747,0.32828,5
105,51.45299,0.23101,5
106,51.45584,0.25609,5
107,51.46001,0.23888,5
108,51.427,0.2277,5
