ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
236,730,2,2,9,9.66
236,730,2,2,9,9.66
236,730,2,2,9,9.66
236,730,2,2,9,9.66
261,343,2,2,4,2.96
261,343,2,2,4,2.96
261,343,2,2,4,2.96
261,343,2,2,4,2.96
261,1030,2,2,6,3.993
261,1030,2,2,6,3.993
261,1030,2,2,6,3.993
261,1030,2,2,6,3.993
261,1030,2,2,6,3.993
261,1030,2,2,6,3.993
343,261,2,2,4,2.96
343,261,2,2,4,2.96
343,261,2,2,4,2.96
343,261,2,2,4,2.96
584,730,2,2,7,2.233
584,730,2,2,7,2.233
584,730,2,2,7,2.233
584,730,2,2,7,2.233
730,236,2,2,7,9.66
730,236,2,2,7,9.66
730,236,2,2,7,9.66
730,236,2,2,7,9.66
730,584,2,2,4,2.233
730,584,2,2,4,2.233
730,584,2,2,4,2.233
730,584,2,2,4,2.233
730,939,2,2,5,3.585
730,939,2,2,5,3.585
730,939,2,2,5,3.585
730,939,2,2,5,3.585
730,966,2,2,6,8.093
730,966,2,2,6,8.093
730,966,2,2,6,8.093
730,966,2,2,6,8.093
730,1030,2,2,7,12.106
730,1030,2,2,7,12.106
730,1030,2,2,7,12.106
730,1030,2,2,7,12.106
730,1030,2,2,7,12.106
730,1030,2,2,7,12.106
939,730,2,2,5,3.585
939,730,2,2,5,3.585
939,730,2,2,5,3.585
939,730,2,2,5,3.585
966,730,2,2,8,8.093
966,730,2,2,8,8.093
966,730,2,2,8,8.093
966,730,2,2,8,8.093
966,1030,2,2,4,4.096
966,1030,2,2,4,4.096
966,1030,2,2,4,4.096
966,1030,2,2,4,4.096
966,1030,2,2,4,4.096
966,1030,2,2,4,4.096
1030,261,2,2,5,3.993
1030,261,2,2,5,3.993
1030,261,2,2,5,3.993
1030,261,2,2,5,3.993
1030,261,2,2,5,3.993
1030,261,2,2,5,3.993
1030,966,2,2,4,4.096
1030,966,2,2,4,4.096
1030,966,2,2,4,4.096
1030,966,2,2,4,4.096
1030,966,2,2,4,4.096
1030,966,2,2,4,4.096
979,1030,4,4,15,11.47
979,1030,4,4,15,11.47
979,1030,4,4,15,11.47
979,1030,4,4,15,11.47
979,1030,4,4,15,11.47
979,1030,4,4,15,11.47
1030,979,4,4,20,11.47
1030,979,4,4,20,11.47
1030,979,4,4,20,11.47
1030,979,4,4,20,11.47
1030,979,4,4,20,11.47
1030,979,4,4,20,11.47
1,501,5,5,1,0.165
1,549,5,5,1,0.521
2,164,5,5,3,0.355
2,183,5,5,1,0.483
2,411,5,5,1,0.167
2,1179,5,5,1,0.129
4,213,5,5,3,0.649
5,1033,5,5,4,0.921
6,238,5,5,1,0.209
6,304,5,5,1,0.346
6,660,5,5,3,1.873
7,476,5,5,1,0.181
8,278,5,5,1,0.309
8,400,5,5,1,0.207
9,310,5,5,1,0.258
9,735,5,5,1,0.627
9,852,5,5,1,0.214
10,50,5,5,1,0.275
11,559,5,5,1,0.65
11,708,5,5,1,0.127
12,851,5,5,1,0.243
12,1202,5,5,1,0.096
13,24,5,5,1,0.102
13,464,5,5,1,0.331
14,15,5,5,1,0.398
14,423,5,5,1,0.082
14,493,5,5,1,0.273
15,14,5,5,1,0.398
15,226,5,5,1,0.294
15,423,5,5,1,0.341
15,955,5,5,1,0.612
15,956,5,5,1,0.31
16,603,5,5,1,0.708
16,800,5,5,2,0.86
16,849,5,5,1,1.727
16,867,5,5,1,0.427
17,7,5,5,2,0.347
17,243,5,5,1,0.179
17,475,5,5,1,0.098
17,759,5,5,1,0.06
18,266,5,5,1,0.183
18,325,5,5,1,0.323
19,41,5,5,1,0.132
19,53,5,5,2,1.448
19,75,5,5,5,1.62
19,346,5,5,1,0.336
19,621,5,5,1,0.826
20,91,5,5,1,0.158
20,635,5,5,1,0.153
20,637,5,5,1,0.419
21,471,5,5,1,0.319
21,472,5,5,1,0.299
22,245,5,5,1,0.401
22,534,5,5,1,0.56
22,706,5,5,1,0.069
23,315,5,5,1,0.206
23,1274,5,5,1,0.175
24,13,5,5,1,0.102
24,26,5,5,1,0.363
24,624,5,5,1,0.345
25,26,5,5,1,0.295
25,28,5,5,1,0.277
26,24,5,5,1,0.363
26,25,5,5,1,0.295
27,28,5,5,1,0.355
27,429,5,5,1,0.27
27,806,5,5,1,0.188
28,25,5,5,1,0.277
28,1072,5,5,1,0.216
29,30,5,5,1,0.226
29,482,5,5,1,0.08
30,29,5,5,1,0.226
30,200,5,5,1,0.305
