nodeid,lat,lon,layer
1,53.06171,-1.4018,5
2,53.07461,-1.39614,5
3,52.9706,-1.64557,5
4,52.89585,-1.55653,5
5,52.8692,-1.62706,5
6,52.98452,-1.41118,5
7,53.04449,-1.40838,5
8,52.93497,-1.45388,5
9,52.91134,-1.4892,5
10,52.91647,-1.33209,5
11,52.91351,-1.5083,5
12,52.92621,-1.48696,5
13,52.90365,-1.46204,5
14,52.89368,-1.49522,5
15,52.8903,-1.49724,5
16,52.96894,-1.41432,5
17,53.04147,-1.407,5
18,53.06757,-1.46837,5
19,53.00002,-1.4587,5
20,53.05061,-1.44669,5
21,52.99957,-1.4115,5
22,53.03327,-1.40556,5
23,52.86995,-1.4403,5
24,52.90303,-1.4609,5
25,52.89754,-1.45736,5
26,52.90013,-1.45838,5
27,52.89238,-1.45339,5
28,52.8952,-1.45589,5
29,52.88368,-1.44939,5
30,52.88287,-1.4525,5
31,52.87681,-1.44915,5
32,52.87813,-1.45423,5
33,52.91074,-1.55422,5
34,52.91535,-1.55055,5
35,52.9018,-1.53946,5
36,52.90404,-1.54595,5
37,52.91488,-1.54032,5
38,52.90328,-1.54875,5
39,52.91271,-1.53619,5
40,52.9107,-1.53672,5
41,52.99887,-1.45922,5
42,53.0106,-1.42281,5
43,52.93372,-1.45722,5
44,52.92729,-1.53412,5
45,52.91215,-1.53276,5
46,52.95249,-1.58137,5
47,52.90865,-1.43072,5
48,53.03593,-1.50299,5
49,52.96869,-1.46043,5
50,52.91544,-1.33584,5
51,53.04784,-1.39346,5
52,53.04063,-1.40737,5
53,53.01283,-1.46283,5
54,53.01762,-1.50132,5
55,52.97367,-1.36395,5
56,53.02725,-1.50019,5
57,53.01908,-1.50121,5
58,52.93957,-1.46787,5
59,52.90719,-1.45325,5
60,52.96447,-1.47763,5
61,53.02504,-1.37748,5
62,52.94225,-1.48443,5
63,52.93542,-1.48378,5
64,52.93181,-1.48395,5
65,52.94338,-1.4843,5
66,52.93352,-1.48409,5
67,52.94036,-1.48428,5
68,52.93852,-1.484,5
69,52.9485,-1.48183,5
70,52.94812,-1.48054,5
71,52.94541,-1.47923,5
72,52.90883,-1.49215,5
73,52.88435,-1.44107,5
74,52.9145,-1.47926,5
75,52.98657,-1.44927,5
76,53.02247,-1.38912,5
77,53.01624,-1.42463,5
78,52.91697,-1.41602,5
79,53.02414,-1.44899,5
80,52.89613,-1.42794,5
81,52.89854,-1.48592,5
82,52.90668,-1.48199,5
83,53.04338,-1.4069,5
84,53.04447,-1.40617,5
85,53.04533,-1.4133,5
86,53.04306,-1.41357,5
87,53.04253,-1.41073,5
88,52.97971,-1.48659,5
89,52.85311,-1.60235,5
90,53.01959,-1.44852,5
91,53.04919,-1.44641,5
92,53.04988,-1.43698,5
93,53.04808,-1.41524,5
94,53.04754,-1.40616,5
95,52.89118,-1.49162,5
96,52.9231,-1.51243,5
97,52.93865,-1.42287,5
98,52.94989,-1.41,5
99,52.94513,-1.44605,5
100,52.94504,-1.44029,5
101,52.94577,-1.45214,5
102,53.00887,-1.42431,5
103,52.94219,-1.41951,5
104,52.94744,-1.45081,5
105,52.9494,-1.44184,5
106,53.07476,-1.40456,5
107,52.87292,-1.64548,5
108,52.8726,-1.64041,5
109,52.88735,-1.54021,5
110,52.87864,-1.5489,5
111,52.88082,-1.54858,5
112,52.88313,-1.54577,5
113,52.87526,-1.5445,5
114,52.89568,-1.57667,5
115,53.00776,-1.37933,5
116,53.01019,-1.36992,5
117,53.00347,-1.43925,5
118,53.00591,-1.42336,5
119,53.00221,-1.42436,5
120,52.99791,-1.39616,5
121,53.00009,-1.39155,5
