ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
6,142,2,2,5,4.535
6,142,2,2,5,4.535
6,142,2,2,5,4.535
6,142,2,2,5,4.535
6,142,2,2,5,4.535
6,142,2,2,5,4.535
6,142,2,2,5,4.535
6,142,2,2,5,4.535
6,142,2,2,5,4.535
6,177,2,2,3,2.473
6,177,2,2,3,2.473
6,177,2,2,3,2.473
6,177,2,2,3,2.473
6,177,2,2,3,2.473
6,177,2,2,3,2.473
142,6,2,2,5,4.535
142,6,2,2,5,4.535
142,6,2,2,5,4.535
142,6,2,2,5,4.535
142,6,2,2,5,4.535
142,6,2,2,5,4.535
142,6,2,2,5,4.535
142,6,2,2,5,4.535
142,6,2,2,5,4.535
142,177,2,2,3,2.363
142,177,2,2,3,2.363
142,177,2,2,3,2.363
142,177,2,2,3,2.363
142,177,2,2,3,2.363
142,177,2,2,3,2.363
177,6,2,2,3,2.473
177,6,2,2,3,2.473
177,6,2,2,3,2.473
177,6,2,2,3,2.473
177,6,2,2,3,2.473
177,6,2,2,3,2.473
177,142,2,2,3,2.363
177,142,2,2,3,2.363
177,142,2,2,3,2.363
177,142,2,2,3,2.363
177,142,2,2,3,2.363
177,142,2,2,3,2.363
6,142,4,4,15,4.535
6,142,4,4,15,4.535
6,142,4,4,15,4.535
6,142,4,4,15,4.535
6,142,4,4,15,4.535
6,142,4,4,15,4.535
6,142,4,4,15,4.535
6,142,4,4,15,4.535
6,142,4,4,15,4.535
142,6,4,4,10,4.535
142,6,4,4,10,4.535
142,6,4,4,10,4.535
142,6,4,4,10,4.535
142,6,4,4,10,4.535
142,6,4,4,10,4.535
142,6,4,4,10,4.535
142,6,4,4,10,4.535
142,6,4,4,10,4.535
1,271,5,5,1,0.156
2,5,5,5,1,0.127
2,112,5,5,1,0.471
3,389,5,5,1,0.277
4,5,5,5,1,0.134
4,382,5,5,1,0.256
5,2,5,5,1,0.127
5,4,5,5,1,0.134
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,99,5,5,1,0.548
6,99,5,5,1,0.548
6,99,5,5,1,0.548
6,176,5,5,1,0.546
6,176,5,5,1,0.546
6,176,5,5,1,0.546
6,284,5,5,1,0.541
6,284,5,5,1,0.541
6,284,5,5,1,0.541
6,307,5,5,1,0.666
6,307,5,5,1,0.666
6,307,5,5,1,0.666
6,403,5,5,1,0.371
6,403,5,5,1,0.371
6,403,5,5,1,0.371
6,419,5,5,1,0.381
6,419,5,5,1,0.381
6,419,5,5,1,0.381
6,443,5,5,1,0.368
6,443,5,5,1,0.368
