nodeid,lat,lon,layer
1,53.70783,-1.64537,5
2,53.65652,-1.66696,5
3,53.74379,-1.71573,5
4,53.65522,-1.67028,5
5,53.65586,-1.66854,5
6,53.67142,-1.69254,5
6,53.67142,-1.69254,2
6,53.67142,-1.69254,4
7,53.70173,-1.61483,5
8,53.70336,-1.61568,5
9,53.71064,-1.68573,5
10,53.67268,-1.63706,5
11,53.69971,-1.69873,5
12,53.70729,-1.69121,5
13,53.69292,-1.60915,5
14,53.69149,-1.61133,5
15,53.6954,-1.61157,5
16,53.6809,-1.63078,5
17,53.70932,-1.68351,5
18,53.67767,-1.66788,5
19,53.67658,-1.67051,5
20,53.67975,-1.6601,5
21,53.67915,-1.66312,5
22,53.68424,-1.63225,5
23,53.71452,-1.67824,5
24,53.68688,-1.61143,5
25,53.68726,-1.60221,5
26,53.68988,-1.60338,5
27,53.69027,-1.60754,5
28,53.68845,-1.60874,5
29,53.68821,-1.61683,5
30,53.70424,-1.61224,5
31,53.72713,-1.71249,5
32,53.7347,-1.72373,5
33,53.73117,-1.71947,5
34,53.73283,-1.72173,5
35,53.72884,-1.71562,5
36,53.73023,-1.71788,5
37,53.68175,-1.63459,5
38,53.67085,-1.63571,5
39,53.6718,-1.62585,5
40,53.71962,-1.66904,5
41,53.71807,-1.67152,5
42,53.71485,-1.68074,5
43,53.67486,-1.62808,5
44,53.6766,-1.62674,5
45,53.69831,-1.65198,5
46,53.7067,-1.65414,5
47,53.69802,-1.64162,5
48,53.69813,-1.64756,5
49,53.67851,-1.62836,5
50,53.62642,-1.67597,5
51,53.71054,-1.67262,5
52,53.71726,-1.66999,5
53,53.69994,-1.60051,5
54,53.72216,-1.71191,5
55,53.70012,-1.70306,5
56,53.68801,-1.59995,5
57,53.71295,-1.67704,5
58,53.67468,-1.63662,5
59,53.67558,-1.64244,5
60,53.67714,-1.639,5
61,53.68688,-1.64717,5
62,53.68795,-1.65072,5
63,53.68921,-1.64058,5
64,53.68829,-1.64293,5
65,53.68976,-1.65387,5
66,53.723,-1.58267,5
67,53.71995,-1.5817,5
68,53.71702,-1.71702,5
69,53.71567,-1.71937,5
70,53.70713,-1.67336,5
71,53.70835,-1.67737,5
72,53.67731,-1.69921,5
73,53.70139,-1.60306,5
74,53.63745,-1.66729,5
75,53.68623,-1.61143,5
76,53.73012,-1.56885,5
77,53.7243,-1.57673,5
78,53.63528,-1.66696,5
79,53.68381,-1.6981,5
80,53.68607,-1.64307,5
81,53.67232,-1.62904,5
82,53.67251,-1.64519,5
83,53.71655,-1.68646,5
84,53.7247,-1.57171,5
85,53.72356,-1.70694,5
