ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
19,30,2,2,5,6.344
19,30,2,2,5,6.344
19,30,2,2,5,6.344
19,30,2,2,5,6.344
19,30,2,2,5,6.344
19,30,2,2,5,6.344
19,373,2,2,6,7.166
19,373,2,2,6,7.166
19,373,2,2,6,7.166
19,373,2,2,6,7.166
19,373,2,2,6,7.166
19,373,2,2,6,7.166
19,651,2,2,12,15.257
19,651,2,2,12,15.257
19,651,2,2,12,15.257
19,651,2,2,12,15.257
19,651,2,2,12,15.257
19,651,2,2,12,15.257
19,735,2,2,3,2.574
19,735,2,2,3,2.574
19,735,2,2,3,2.574
19,735,2,2,3,2.574
19,735,2,2,3,2.574
19,735,2,2,3,2.574
30,19,2,2,6,6.344
30,19,2,2,6,6.344
30,19,2,2,6,6.344
30,19,2,2,6,6.344
30,19,2,2,6,6.344
30,19,2,2,6,6.344
30,49,2,2,4,4.386
30,49,2,2,4,4.386
30,49,2,2,4,4.386
30,49,2,2,4,4.386
49,19,2,2,13,10.711
49,19,2,2,13,10.711
49,19,2,2,13,10.711
49,19,2,2,13,10.711
49,19,2,2,13,10.711
49,19,2,2,13,10.711
49,30,2,2,4,4.386
49,30,2,2,4,4.386
49,30,2,2,4,4.386
49,30,2,2,4,4.386
49,637,2,2,4,4.862
49,637,2,2,4,4.862
49,637,2,2,4,4.862
49,637,2,2,4,4.862
49,651,2,2,5,4.55
49,651,2,2,5,4.55
49,651,2,2,5,4.55
49,651,2,2,5,4.55
189,761,2,2,5,7.223
189,761,2,2,5,7.223
189,761,2,2,5,7.223
189,761,2,2,5,7.223
373,19,2,2,8,7.166
373,19,2,2,8,7.166
373,19,2,2,8,7.166
373,19,2,2,8,7.166
373,19,2,2,8,7.166
373,19,2,2,8,7.166
373,537,2,2,3,3.586
373,537,2,2,3,3.586
373,537,2,2,3,3.586
373,537,2,2,3,3.586
537,373,2,2,4,3.586
537,373,2,2,4,3.586
537,373,2,2,4,3.586
537,373,2,2,4,3.586
637,49,2,2,5,4.862
637,49,2,2,5,4.862
637,49,2,2,5,4.862
637,49,2,2,5,4.862
651,49,2,2,5,4.55
651,49,2,2,5,4.55
651,49,2,2,5,4.55
651,49,2,2,5,4.55
735,19,2,2,4,2.574
735,19,2,2,4,2.574
735,19,2,2,4,2.574
735,19,2,2,4,2.574
