nodeid,lat,lon,layer
1,53.50093,-1.18392,5
2,53.44574,-1.23162,5
3,53.61279,-0.94997,5
4,53.48983,-1.25283,5
5,53.41741,-1.04784,5
6,53.4096,-1.02196,5
7,53.489,-1.24947,5
8,53.50945,-1.09078,5
9,53.50958,-1.08813,5
10,53.50825,-1.09382,5
11,53.50029,-1.08931,5
12,53.50326,-1.0949,5
13,53.49794,-1.08442,5
14,53.50184,-1.28657,5
15,53.50345,-1.2895,5
16,53.50362,-1.28881,5
17,53.58893,-1.15885,5
18,53.52413,-1.27193,5
19,53.5215,-1.14023,2
19,53.5215,-1.14023,5
19,53.5215,-1.14023,4
20,53.44848,-1.20129,5
21,53.50724,-1.29405,5
22,53.51287,-1.20773,5
23,53.51257,-1.19498,5
24,53.50571,-1.20411,5
25,53.51721,-1.08028,5
26,53.5756,-1.00931,5
27,53.51629,-1.09971,5
28,53.6034,-1.18956,5
29,53.62128,-0.95681,5
30,53.56344,-1.07491,2
30,53.56344,-1.07491,5
31,53.53048,-1.14511,5
32,53.53804,-1.09458,5
33,53.4305,-1.02251,5
34,53.53097,-1.11739,5
35,53.54381,-1.10109,5
36,53.54246,-1.10502,5
37,53.5406,-1.1106,5
38,53.53133,-1.12066,5
39,53.60531,-0.97121,5
40,53.60887,-0.9634,5
41,53.4172,-1.05358,5
42,53.49434,-1.15937,5
43,53.49339,-1.15622,5
44,53.49677,-1.15781,5
45,53.64918,-1.01005,5
46,53.49946,-1.15931,5
47,53.58876,-1.21196,5
48,53.48403,-1.25413,5
49,53.58892,-1.02405,2
49,53.58892,-1.02405,5
50,53.47092,-1.08053,5
51,53.47184,-1.07317,5
52,53.5448,-1.16115,5
53,53.54726,-1.15995,5
54,53.54591,-1.16814,5
55,53.60882,-1.15887,5
56,53.48587,-1.00908,0
56,53.48587,-1.00908,5
57,53.42054,-1.05241,5
58,53.41667,-1.05353,5
59,53.52908,-1.05,5
60,53.60266,-1.03238,5
61,53.6316,-1.16295,5
62,53.58874,-1.18418,5
63,53.62901,-1.17635,5
64,53.63065,-1.17588,5
65,53.47868,-1.22465,5
66,53.48879,-1.20323,5
67,53.43889,-1.07592,5
68,53.44724,-1.06853,5
69,53.46401,-1.05903,5
70,53.61924,-1.15872,5
71,53.59209,-0.95969,5
72,53.54032,-1.1802,5
73,53.50095,-1.06533,5
74,53.50324,-1.06017,5
75,53.50243,-1.07175,5
76,53.53893,-1.03964,5
77,53.50138,-1.06873,5
78,53.53828,-1.11032,5
79,53.52836,-1.11872,5
80,53.53146,-1.11241,5
81,53.58116,-1.01009,5
82,53.60327,-1.28399,5
83,53.49797,-1.28334,5
84,53.45228,-1.02697,5
85,53.49922,-1.07458,5
86,53.49876,-1.07999,5
87,53.49934,-1.07815,5
88,53.50651,-1.08482,5
89,53.42764,-1.11737,5
90,53.50304,-1.08119,5
91,53.50026,-1.07695,5
92,53.5771,-1.17519,5
93,53.58158,-1.17832,5
94,53.40743,-1.08942,5
95,53.42031,-1.06081,5
96,53.55698,-1.14977,5
97,53.54372,-1.16491,5
98,53.5129,-1.14594,5
99,53.51868,-1.16954,5
100,53.43152,-1.01917,5
101,53.43464,-1.01574,5
102,53.59405,-1.29303,5
103,53.47424,-1.07688,5
104,53.48487,-1.18884,5
105,53.48746,-1.02584,5
106,53.58762,-1.21364,5
107,53.59888,-1.03559,5
108,53.57697,-0.97601,5
109,53.60598,-1.16559,5
110,53.57808,-0.99329,5
111,53.59087,-0.96234,5
112,53.55822,-1.18383,5
113,53.61469,-1.28614,5
114,53.53299,-1.16876,5
115,53.53517,-1.16467,5
116,53.53128,-1.15046,5
117,53.53311,-1.15583,5
118,53.61334,-1.2833,5
119,53.61057,-1.01433,5
120,53.4878,-1.05293,5
121,53.53265,-1.09927,5
122,53.53343,-1.10273,5
123,53.53436,-1.05199,5
124,53.53496,-1.092,5
125,53.50491,-1.08314,5
126,53.59124,-1.0503,5
127,53.58881,-1.0544,5
128,53.57963,-1.06601,5
129,53.5894,-1.06616,5
130,53.59517,-1.06227,5
131,53.5184,-1.19173,5
132,53.61726,-1.18317,5
133,53.51571,-1.13934,5
134,53.51329,-1.14057,5
135,53.51665,-1.13042,5
136,53.51654,-1.12391,5
137,53.51578,-1.12735,5
138,53.51727,-1.11908,5
139,53.49564,-0.9852,5
140,53.49344,-1.01029,5
141,53.48727,-0.99118,5
142,53.49585,-0.99081,5
143,53.49019,-1.01545,5
144,53.4954,-0.98926,5
145,53.58986,-1.18873,5
146,53.40648,-1.02007,5
147,53.42813,-1.02074,5
148,53.52544,-1.11456,5
149,53.52951,-1.05447,5
150,53.52322,-1.11065,5
151,53.44662,-1.20288,5
152,53.44709,-1.22478,5
153,53.55641,-1.07227,5
154,53.63401,-0.95185,5
155,53.57798,-0.99899,5
156,53.53496,-1.04196,5
157,53.46937,-1.07096,5
