ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
67,127,2,2,3,2.274
67,127,2,2,3,2.274
67,127,2,2,3,2.274
67,127,2,2,3,2.274
67,307,2,2,4,2.962
67,307,2,2,4,2.962
67,307,2,2,4,2.962
67,307,2,2,4,2.962
92,127,2,2,2,1.947
92,127,2,2,2,1.947
92,127,2,2,2,1.947
92,127,2,2,2,1.947
127,67,2,2,3,2.274
127,67,2,2,3,2.274
127,67,2,2,3,2.274
127,67,2,2,3,2.274
127,92,2,2,3,1.947
127,92,2,2,3,1.947
127,92,2,2,3,1.947
127,92,2,2,3,1.947
152,306,2,2,5,3.187
152,306,2,2,5,3.187
152,306,2,2,5,3.187
152,306,2,2,5,3.187
271,306,2,2,5,5.978
271,306,2,2,5,5.978
271,306,2,2,5,5.978
271,306,2,2,5,5.978
271,307,2,2,3,2.364
271,307,2,2,3,2.364
271,307,2,2,3,2.364
271,307,2,2,3,2.364
306,152,2,2,5,3.187
306,152,2,2,5,3.187
306,152,2,2,5,3.187
306,152,2,2,5,3.187
306,271,2,2,5,5.978
306,271,2,2,5,5.978
306,271,2,2,5,5.978
306,271,2,2,5,5.978
307,67,2,2,1,2.962
307,67,2,2,1,2.962
307,67,2,2,1,2.962
307,67,2,2,1,2.962
307,271,2,2,2,2.364
307,271,2,2,2,2.364
307,271,2,2,2,2.364
307,271,2,2,2,2.364
143,300,4,4,6,3.571
143,300,4,4,6,3.571
143,300,4,4,6,3.571
143,300,4,4,6,3.571
143,397,4,4,14,6.505
143,397,4,4,14,6.505
143,397,4,4,14,6.505
143,397,4,4,14,6.505
300,143,4,4,7,3.571
300,143,4,4,7,3.571
300,143,4,4,7,3.571
300,143,4,4,7,3.571
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
300,423,4,4,2,0.665
397,143,4,4,15,6.505
397,143,4,4,15,6.505
397,143,4,4,15,6.505
397,143,4,4,15,6.505
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
397,423,4,4,10,6.106
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
423,300,4,4,2,0.665
1,319,5,5,1,0.282
1,408,5,5,1,0.064
2,197,5,5,1,0.132
2,198,5,5,1,0.329
2,230,5,5,1,0.206
3,91,5,5,1,0.105
3,283,5,5,1,0.314
4,44,5,5,1,0.227
4,284,5,5,1,0.276
5,32,5,5,1,0.293
5,44,5,5,1,0.319
6,170,5,5,1,0.339
6,286,5,5,1,0.145
6,305,5,5,1,0.335
6,375,5,5,1,0.298
7,7,5,5,1,0.0
7,71,5,5,1,0.287
7,98,5,5,1,0.277
7,119,5,5,1,0.254
7,272,5,5,1,0.469
7,305,5,5,1,0.525
8,4,5,5,2,0.457
8,151,5,5,1,0.173
8,284,5,5,1,0.5
9,10,5,5,1,0.351
9,11,5,5,1,0.326
9,247,5,5,2,0.239
10,9,5,5,1,0.351
10,12,5,5,1,0.34
10,75,5,5,1,0.254
10,246,5,5,1,0.14
10,279,5,5,1,0.316
11,9,5,5,1,0.326
11,124,5,5,1,0.253
12,126,5,5,1,0.295
12,349,5,5,1,0.263
13,253,5,5,1,0.199
13,339,5,5,1,0.36
13,340,5,5,1,0.18
14,84,5,5,1,0.298
14,150,5,5,1,0.486
14,167,5,5,1,0.569
14,324,5,5,1,0.514
14,463,5,5,1,0.223
15,128,5,5,1,0.257
15,256,5,5,1,0.182
16,16,5,5,1,0.0
16,92,5,5,4,2.29
16,92,5,5,4,2.29
16,153,5,5,1,1.155
16,424,5,5,1,0.569
16,452,5,5,2,1.049
17,284,5,5,1,0.132
17,285,5,5,1,0.19
18,38,5,5,1,0.192
18,40,5,5,1,0.293
19,26,5,5,1,0.1
19,149,5,5,1,0.242
19,254,5,5,1,0.3
20,93,5,5,1,0.206
20,168,5,5,1,0.408
20,177,5,5,1,0.308
21,110,5,5,1,0.198
21,162,5,5,1,0.275
21,441,5,5,1,0.347
22,78,5,5,1,0.278
22,79,5,5,1,0.16
23,140,5,5,1,0.125
23,352,5,5,1,0.123
24,25,5,5,1,0.369
24,229,5,5,1,0.228
24,441,5,5,1,0.276
25,24,5,5,1,0.369
25,161,5,5,1,0.355
25,229,5,5,2,0.568
26,19,5,5,1,0.1
26,23,5,5,1,0.199
26,27,5,5,1,0.217
27,26,5,5,1,0.217
27,33,5,5,1,0.148
27,185,5,5,1,0.174
27,272,5,5,1,0.206
28,221,5,5,1,0.169
28,397,5,5,1,0.222
28,397,5,5,1,0.222
29,73,5,5,1,0.317
29,171,5,5,1,0.277
30,171,5,5,1,0.195
30,231,5,5,1,0.221
31,53,5,5,1,0.631
31,299,5,5,1,0.206
31,405,5,5,2,0.606
31,422,5,5,10,4.001
32,5,5,5,1,0.293
32,251,5,5,1,0.483
32,302,5,5,1,0.223
32,424,5,5,1,0.214
33,27,5,5,1,0.148
33,46,5,5,1,0.23
33,185,5,5,1,0.177
34,152,5,5,1,0.688
34,152,5,5,1,0.688
34,239,5,5,1,0.586
34,456,5,5,2,0.345
35,157,5,5,1,0.3
35,403,5,5,1,0.252
36,135,5,5,1,0.197
36,136,5,5,1,0.222
37,294,5,5,1,0.084
37,307,5,5,1,0.519
37,307,5,5,1,0.519
38,18,5,5,1,0.192
38,160,5,5,1,0.171
39,72,5,5,1,0.201
39,101,5,5,1,0.187
40,18,5,5,1,0.293
40,191,5,5,1,0.399
41,35,5,5,1,0.338
41,233,5,5,1,0.707
41,306,5,5,1,0.523
41,306,5,5,1,0.523
41,401,5,5,1,0.277
41,431,5,5,1,0.487
42,59,5,5,1,0.224
42,130,5,5,1,0.248
42,330,5,5,2,0.138
43,96,5,5,1,0.314
43,107,5,5,1,0.134
44,4,5,5,1,0.227
