nodeid,lat,lon,layer
1,56.07857,-3.45658,5
2,56.08383,-3.37389,5
3,56.06081,-3.43185,5
4,56.05148,-3.41062,5
5,56.05373,-3.40296,5
6,56.07173,-3.42431,5
7,56.07253,-3.4128,5
8,56.04953,-3.41713,5
9,56.16077,-3.32092,5
10,56.15764,-3.3218,5
11,56.16369,-3.32157,5
12,56.15917,-3.32658,5
13,56.03736,-3.35551,5
14,56.02824,-3.43532,5
15,56.0667,-3.4388,5
16,56.05665,-3.39388,5
17,56.05461,-3.41401,5
18,56.07522,-3.47117,5
19,56.0673,-3.42194,5
20,56.06103,-3.49558,5
21,56.10224,-3.35697,5
22,56.05886,-3.45016,5
23,56.06542,-3.42242,5
24,56.09862,-3.36443,5
25,56.09957,-3.35871,5
26,56.06687,-3.42051,5
27,56.06715,-3.41704,5
28,56.02406,-3.40387,5
29,56.08006,-3.43435,5
30,56.08142,-3.43664,5
31,56.08198,-3.40191,5
32,56.05611,-3.40091,5
33,56.06736,-3.41467,5
34,56.14043,-3.31924,5
35,56.11817,-3.33854,5
36,56.12131,-3.32464,5
37,56.06704,-3.46066,5
38,56.07449,-3.46835,5
39,56.06852,-3.42967,5
40,56.07442,-3.47569,5
41,56.11679,-3.34341,5
42,56.03466,-3.41869,5
43,56.06998,-3.43309,5
44,56.05199,-3.40706,5
45,56.0424,-3.43429,5
46,56.06654,-3.41126,5
47,56.03003,-3.4048,5
48,56.03605,-3.4159,5
49,56.03613,-3.41893,5
50,56.03838,-3.41992,5
51,56.10564,-3.35885,5
52,56.14714,-3.32662,5
53,56.08322,-3.39196,5
54,56.0715,-3.47076,5
55,56.07597,-3.46135,5
56,56.07359,-3.46142,5
57,56.07374,-3.44679,5
58,56.04115,-3.43641,5
59,56.0357,-3.42179,5
60,56.13092,-3.3106,5
61,56.02887,-3.40045,5
62,56.03045,-3.36859,5
63,56.069,-3.44123,5
64,56.0311,-3.3533,5
65,56.06396,-3.44328,5
66,56.0613,-3.45123,5
67,56.04551,-3.42731,5
67,56.04551,-3.42731,2
68,56.10408,-3.36064,5
69,56.06399,-3.40773,5
70,56.06211,-3.4069,5
71,56.07285,-3.4082,5
72,56.06942,-3.42684,5
