ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
7,8,2,2,3,4.132
7,8,2,2,3,4.132
7,8,2,2,3,4.132
7,8,2,2,3,4.132
7,8,2,2,3,4.132
7,8,2,2,3,4.132
8,7,2,2,3,4.132
8,7,2,2,3,4.132
8,7,2,2,3,4.132
8,7,2,2,3,4.132
8,7,2,2,3,4.132
8,7,2,2,3,4.132
8,19,2,2,2,1.499
8,19,2,2,2,1.499
8,19,2,2,2,1.499
8,19,2,2,2,1.499
8,19,2,2,2,1.499
8,19,2,2,2,1.499
19,8,2,2,2,1.499
19,8,2,2,2,1.499
19,8,2,2,2,1.499
19,8,2,2,2,1.499
19,8,2,2,2,1.499
19,8,2,2,2,1.499
8,17,4,4,10,2.655
8,17,4,4,10,2.655
8,17,4,4,10,2.655
8,17,4,4,10,2.655
8,17,4,4,10,2.655
8,17,4,4,10,2.655
8,17,4,4,10,2.655
8,17,4,4,10,2.655
8,17,4,4,10,2.655
8,18,4,4,5,3.859
8,18,4,4,5,3.859
8,18,4,4,5,3.859
8,18,4,4,5,3.859
8,18,4,4,5,3.859
8,18,4,4,5,3.859
17,8,4,4,10,2.655
17,8,4,4,10,2.655
17,8,4,4,10,2.655
17,8,4,4,10,2.655
17,8,4,4,10,2.655
17,8,4,4,10,2.655
17,8,4,4,10,2.655
17,8,4,4,10,2.655
17,8,4,4,10,2.655
18,8,4,4,10,3.859
18,8,4,4,10,3.859
18,8,4,4,10,3.859
18,8,4,4,10,3.859
18,8,4,4,10,3.859
18,8,4,4,10,3.859
1,414,5,5,2,0.414
1,418,5,5,1,0.441
2,2,5,5,1,0.0
2,73,5,5,1,0.422
2,310,5,5,2,2.175
2,608,5,5,1,0.464
2,610,5,5,1,0.573
2,611,5,5,1,0.473
2,613,5,5,1,0.8
2,618,5,5,2,0.403
2,637,5,5,8,0.835
2,946,5,5,1,0.503
3,5,5,5,1,0.164
3,425,5,5,1,0.543
4,5,5,5,2,0.655
5,3,5,5,1,0.164
5,4,5,5,1,0.655
6,6,5,5,1,0.0
6,67,5,5,1,0.073
6,69,5,5,1,0.2
6,80,5,5,1,0.328
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,77,5,5,1,0.377
7,77,5,5,1,0.377
7,92,5,5,9,1.167
7,92,5,5,9,1.167
7,95,5,5,1,0.298
7,95,5,5,1,0.298
7,157,5,5,1,0.532
7,157,5,5,1,0.532
7,532,5,5,1,0.858
7,532,5,5,1,0.858
7,981,5,5,1,0.404
7,981,5,5,1,0.404
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,17,5,5,10,2.655
8,17,5,5,10,2.655
8,17,5,5,10,2.655
8,17,5,5,10,2.655
8,17,5,5,10,2.655
8,17,5,5,10,2.655
8,17,5,5,10,2.655
8,17,5,5,10,2.655
8,17,5,5,10,2.655
8,18,5,5,8,3.859
8,18,5,5,8,3.859
8,18,5,5,8,3.859
8,18,5,5,8,3.859
8,18,5,5,8,3.859
8,18,5,5,8,3.859
8,24,5,5,2,1.076
8,24,5,5,2,1.076
8,24,5,5,2,1.076
8,52,5,5,1,0.677
8,52,5,5,1,0.677
8,52,5,5,1,0.677
8,145,5,5,1,0.44
8,145,5,5,1,0.44
8,145,5,5,1,0.44
8,197,5,5,1,0.645
8,197,5,5,1,0.645
8,197,5,5,1,0.645
8,239,5,5,1,0.461
8,239,5,5,1,0.461
8,239,5,5,1,0.461
8,295,5,5,1,0.354
8,295,5,5,1,0.354
8,295,5,5,1,0.354
8,321,5,5,6,1.593
8,321,5,5,6,1.593
8,321,5,5,6,1.593
8,431,5,5,1,0.492
8,431,5,5,1,0.492
8,431,5,5,1,0.492
8,510,5,5,1,0.71
8,510,5,5,1,0.71
8,510,5,5,1,0.71
8,514,5,5,1,0.683
8,514,5,5,1,0.683
8,514,5,5,1,0.683
8,533,5,5,1,0.663
8,533,5,5,1,0.663
8,533,5,5,1,0.663
8,537,5,5,1,0.459
8,537,5,5,1,0.459
8,537,5,5,1,0.459
8,587,5,5,1,0.479
8,587,5,5,1,0.479
8,587,5,5,1,0.479
8,645,5,5,1,0.531
8,645,5,5,1,0.531
8,645,5,5,1,0.531
8,776,5,5,7,3.095
8,776,5,5,7,3.095
8,776,5,5,7,3.095
8,803,5,5,1,0.686
8,803,5,5,1,0.686
8,803,5,5,1,0.686
8,806,5,5,4,0.996
8,806,5,5,4,0.996
