nodeid,lat,lon,layer
1,51.91061,-0.50105,5
2,51.88571,-0.52061,5
3,51.89661,-0.36658,5
4,51.89676,-0.35707,5
5,51.89809,-0.36639,5
6,51.9033,-0.4982,5
7,51.90517,-0.45851,5
7,51.90517,-0.45851,2
8,51.88022,-0.41376,4
8,51.88022,-0.41376,2
8,51.88022,-0.41376,5
9,51.83666,-0.4581,5
10,51.83488,-0.46525,5
11,51.82914,-0.44605,5
12,51.8326,-0.45389,5
13,51.83828,-0.46306,5
14,51.83763,-0.46598,5
15,51.836,-0.46051,5
16,51.8943,-0.47527,5
17,51.88039,-0.37501,0
17,51.88039,-0.37501,4
17,51.88039,-0.37501,5
18,51.89284,-0.46624,4
18,51.89284,-0.46624,5
19,51.87244,-0.39588,5
19,51.87244,-0.39588,2
20,51.84919,-0.47594,5
21,51.84425,-0.45429,5
22,51.83616,-0.39439,5
23,51.84322,-0.40942,5
24,51.8847,-0.42769,5
25,51.8865,-0.43095,5
26,51.90698,-0.42363,5
27,51.90449,-0.48065,5
28,51.90432,-0.48014,5
29,51.9065,-0.48258,5
30,51.90168,-0.48463,5
31,51.90233,-0.48446,5
32,51.90273,-0.48154,5
33,51.90261,-0.48191,5
34,51.90651,-0.48582,5
35,51.90626,-0.48599,5
36,51.90231,-0.43585,5
37,51.90663,-0.44307,5
38,51.90342,-0.43801,5
39,51.90294,-0.43714,5
40,51.90733,-0.44301,5
41,51.92143,-0.42468,5
42,51.90198,-0.43228,5
43,51.90214,-0.43182,5
44,51.89881,-0.42753,5
45,51.90065,-0.42808,5
46,51.90287,-0.42596,5
47,51.90534,-0.47096,5
48,51.90572,-0.47128,5
49,51.9034,-0.46309,5
50,51.89135,-0.484,5
51,51.89151,-0.48446,5
52,51.88104,-0.42356,5
53,51.89188,-0.45135,5
54,51.93804,-0.47542,5
55,51.93793,-0.47512,5
56,51.94003,-0.47759,5
57,51.94022,-0.47734,5
58,51.93888,-0.48022,5
59,51.93857,-0.48051,5
60,51.93719,-0.48125,5
61,51.93679,-0.48083,5
62,51.9307,-0.47705,5
63,51.90444,-0.49242,5
64,51.90427,-0.49277,5
65,51.90537,-0.48863,5
66,51.90517,-0.48967,5
67,51.90288,-0.49737,5
68,51.90425,-0.49582,5
69,51.90435,-0.49581,5
70,51.88256,-0.53549,5
71,51.88206,-0.53701,5
72,51.88443,-0.52816,5
73,51.88468,-0.52654,5
74,51.88322,-0.53275,5
75,51.88361,-0.53082,5
76,51.87544,-0.41603,5
77,51.90321,-0.46301,5
78,51.86301,-0.46746,5
79,51.91175,-0.4471,5
80,51.90169,-0.50222,5
81,51.90175,-0.50252,5
82,51.89067,-0.48578,5
83,51.88138,-0.38815,5
84,51.8468,-0.41223,5
85,51.85238,-0.41401,5
86,51.84696,-0.41254,5
