ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,11,2,2,2,3.697
1,11,2,2,2,3.697
1,11,2,2,2,3.697
1,11,2,2,2,3.697
1,1564,2,2,1,2.873
1,1564,2,2,1,2.873
2,10,2,2,2,1.597
2,10,2,2,2,1.597
2,10,2,2,2,1.597
2,10,2,2,2,1.597
2,14,2,2,2,1.305
2,14,2,2,2,1.305
2,14,2,2,2,1.305
2,14,2,2,2,1.305
7,10,2,2,1,2.631
7,10,2,2,1,2.631
7,10,2,2,1,2.631
7,10,2,2,1,2.631
7,10,2,2,1,2.631
7,10,2,2,1,2.631
7,21,2,2,3,5.906
7,21,2,2,3,5.906
7,21,2,2,3,5.906
7,21,2,2,3,5.906
7,21,2,2,3,5.906
7,21,2,2,3,5.906
7,25,2,2,2,2.015
7,25,2,2,2,2.015
7,25,2,2,2,2.015
7,25,2,2,2,2.015
7,25,2,2,2,2.015
7,25,2,2,2,2.015
7,25,2,2,2,2.015
7,25,2,2,2,2.015
7,25,2,2,2,2.015
7,2585,2,2,4,5.145
7,2585,2,2,4,5.145
7,2585,2,2,4,5.145
10,2,2,2,2,1.597
10,2,2,2,2,1.597
10,2,2,2,2,1.597
10,2,2,2,2,1.597
10,7,2,2,3,2.631
10,7,2,2,3,2.631
10,7,2,2,3,2.631
10,7,2,2,3,2.631
10,7,2,2,3,2.631
10,7,2,2,3,2.631
11,1,2,2,3,3.697
11,1,2,2,3,3.697
11,1,2,2,3,3.697
11,1,2,2,3,3.697
11,25,2,2,7,7.449
11,25,2,2,7,7.449
11,25,2,2,7,7.449
11,25,2,2,7,7.449
11,25,2,2,7,7.449
11,25,2,2,7,7.449
14,2,2,2,1,1.305
14,2,2,2,1,1.305
14,2,2,2,1,1.305
14,2,2,2,1,1.305
14,2145,2,2,3,2.629
14,2145,2,2,3,2.629
21,7,2,2,4,5.906
21,7,2,2,4,5.906
21,7,2,2,4,5.906
21,7,2,2,4,5.906
21,7,2,2,4,5.906
21,7,2,2,4,5.906
25,7,2,2,1,2.015
25,7,2,2,1,2.015
25,7,2,2,1,2.015
25,7,2,2,1,2.015
25,7,2,2,1,2.015
25,7,2,2,1,2.015
25,7,2,2,1,2.015
25,7,2,2,1,2.015
25,7,2,2,1,2.015
25,11,2,2,3,7.449
25,11,2,2,3,7.449
25,11,2,2,3,7.449
25,11,2,2,3,7.449
25,11,2,2,3,7.449
25,11,2,2,3,7.449
25,28,2,2,6,5.532
25,28,2,2,6,5.532
25,28,2,2,6,5.532
25,28,2,2,6,5.532
25,28,2,2,6,5.532
25,28,2,2,6,5.532
28,25,2,2,7,5.532
28,25,2,2,7,5.532
28,25,2,2,7,5.532
28,25,2,2,7,5.532
28,25,2,2,7,5.532
28,25,2,2,7,5.532
28,32,2,2,3,0.991
28,32,2,2,3,0.991
28,32,2,2,3,0.991
28,32,2,2,3,0.991
32,28,2,2,3,0.991
32,28,2,2,3,0.991
32,28,2,2,3,0.991
32,28,2,2,3,0.991
1564,1,2,2,3,2.873
1564,1,2,2,3,2.873
2145,7,2,2,7,8.009
2145,7,2,2,7,8.009
2145,7,2,2,7,8.009
2145,14,2,2,3,2.629
2145,14,2,2,3,2.629
2585,7,2,2,6,5.145
2585,7,2,2,6,5.145
2585,7,2,2,6,5.145
7,15,4,4,2,0.69
7,15,4,4,2,0.69
