nodeid,lat,lon,layer
1,55.94028,-3.01494,2
1,55.94028,-3.01494,5
2,55.91881,-3.26496,2
2,55.91881,-3.26496,5
3,55.95157,-3.21179,5
4,55.86587,-3.20007,5
5,55.95283,-3.19693,5
6,55.88092,-3.1282,5
7,55.9458,-3.21844,4
7,55.9458,-3.21844,2
7,55.9458,-3.21844,5
8,55.88688,-3.07573,5
9,55.95406,-3.17371,5
10,55.92668,-3.24345,5
10,55.92668,-3.24345,2
11,55.93358,-3.07319,5
11,55.93358,-3.07319,2
12,55.95318,-3.19951,4
12,55.95318,-3.19951,5
13,55.95446,-3.19777,5
14,55.91431,-3.28434,5
14,55.91431,-3.28434,2
15,55.94955,-3.20958,4
15,55.94955,-3.20958,5
16,55.84233,-3.04687,5
17,55.84313,-3.04302,5
18,55.84803,-3.04576,5
19,55.82873,-3.23193,5
20,55.95248,-3.20009,5
21,55.92754,-3.30766,2
21,55.92754,-3.30766,5
22,55.85044,-3.05365,5
23,55.85799,-3.05443,5
24,55.84201,-3.04724,5
25,55.95239,-3.18822,2
25,55.95239,-3.18822,5
25,55.95239,-3.18822,4
26,55.94921,-3.36508,0
26,55.94921,-3.36508,5
27,55.94947,-3.20682,5
28,55.9425,-3.10098,2
28,55.9425,-3.10098,5
29,55.95219,-3.20522,5
30,55.85849,-3.07349,5
31,55.95074,-3.20926,4
31,55.95074,-3.20926,5
32,55.93485,-3.09276,2
32,55.93485,-3.09276,5
33,55.84942,-3.05554,5
34,55.95156,-2.991,5
35,55.89111,-3.20077,5
36,55.93713,-3.14384,5
37,55.94551,-2.95421,5
38,55.8687,-3.04901,5
39,55.94436,-3.10942,5
40,55.96072,-3.20001,5
41,55.94452,-3.02495,5
42,55.94327,-3.1833,5
43,55.97182,-3.30611,5
44,55.93273,-3.1347,5
45,55.94589,-3.23622,4
45,55.94589,-3.23622,4
45,55.94589,-3.23622,5
45,55.94589,-3.23622,5
46,55.94965,-3.21919,5
47,55.94978,-3.21617,5
48,55.94939,-3.2175,5
49,55.8413,-3.21977,5
50,55.87508,-3.16522,5
51,55.90635,-3.13379,5
52,55.94798,-3.20746,5
53,55.94648,-3.20594,5
54,55.91491,-3.32288,5
55,55.91292,-3.32333,5
56,55.95165,-3.11612,5
57,55.93888,-3.22847,5
58,55.95797,-3.19908,5
59,55.94322,-3.25167,5
60,55.95772,-3.2111,5
61,55.82751,-3.21893,5
62,55.94796,-3.12667,5
63,55.9516,-3.17907,5
64,55.9407,-3.07273,5
65,55.93189,-3.25049,5
66,55.9409,-3.20961,5
67,55.83638,-3.23546,5
68,55.87753,-3.14588,5
69,55.94084,-3.3117,4
69,55.94084,-3.3117,4
69,55.94084,-3.3117,5
69,55.94084,-3.3117,5
