ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,75,2,2,2,1.236
1,75,2,2,2,1.236
1,75,2,2,2,1.236
1,75,2,2,2,1.236
75,1,2,2,2,1.236
75,1,2,2,2,1.236
75,1,2,2,2,1.236
75,1,2,2,2,1.236
75,128,2,2,4,1.896
75,128,2,2,4,1.896
75,128,2,2,4,1.896
75,128,2,2,4,1.896
128,75,2,2,3,1.896
128,75,2,2,3,1.896
128,75,2,2,3,1.896
128,75,2,2,3,1.896
12,115,4,4,10,5.918
12,115,4,4,10,5.918
12,115,4,4,10,5.918
12,115,4,4,10,5.918
115,12,4,4,10,5.918
115,12,4,4,10,5.918
115,12,4,4,10,5.918
115,12,4,4,10,5.918
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,22,5,5,1,0.789
1,22,5,5,1,0.789
1,61,5,5,1,0.645
1,61,5,5,1,0.645
1,98,5,5,1,0.763
1,98,5,5,1,0.763
1,111,5,5,1,0.897
1,111,5,5,1,0.897
1,134,5,5,1,0.705
1,134,5,5,1,0.705
1,195,5,5,1,0.286
1,195,5,5,1,0.286
2,38,5,5,1,0.223
2,121,5,5,1,0.268
3,23,5,5,1,0.141
3,32,5,5,1,0.093
4,5,5,5,1,0.477
4,43,5,5,1,0.418
5,17,5,5,1,0.177
5,136,5,5,1,0.232
5,163,5,5,1,0.182
6,94,5,5,1,0.077
6,95,5,5,1,0.345
6,122,5,5,1,0.369
7,15,5,5,1,0.2
7,81,5,5,1,0.304
7,175,5,5,1,0.275
8,120,5,5,1,0.341
8,188,5,5,1,0.471
9,124,5,5,1,0.173
9,125,5,5,1,0.197
10,115,5,5,3,0.614
10,115,5,5,3,0.614
10,143,5,5,1,0.292
10,210,5,5,1,0.302
11,25,5,5,1,0.344
11,136,5,5,1,0.291
11,137,5,5,1,0.357
12,231,5,5,1,0.417
12,231,5,5,1,0.417
12,251,5,5,1,0.256
12,251,5,5,1,0.256
13,16,5,5,1,0.207
13,32,5,5,1,0.205
14,114,5,5,1,0.37
14,138,5,5,1,0.304
15,7,5,5,1,0.2
15,18,5,5,1,0.292
15,173,5,5,1,0.217
16,13,5,5,1,0.207
16,114,5,5,1,0.361
17,5,5,5,1,0.177
17,83,5,5,1,0.28
18,15,5,5,1,0.292
18,30,5,5,1,0.151
18,31,5,5,1,0.253
18,173,5,5,1,0.119
19,8,5,5,1,0.614
19,29,5,5,1,0.193
19,120,5,5,1,0.277
19,188,5,5,1,0.167
20,31,5,5,1,0.287
20,87,5,5,3,0.782
20,115,5,5,1,0.237
20,115,5,5,1,0.237
20,202,5,5,1,0.222
21,24,5,5,1,0.295
21,26,5,5,1,0.447
22,1,5,5,1,0.789
22,1,5,5,1,0.789
22,133,5,5,1,0.338
23,70,5,5,1,0.349
23,131,5,5,2,0.792
24,21,5,5,1,0.295
24,131,5,5,1,0.388
25,162,5,5,1,0.206
25,209,5,5,1,0.146
26,21,5,5,1,0.447
26,56,5,5,1,0.373
26,187,5,5,2,0.818
27,71,5,5,1,0.228
27,76,5,5,2,0.773
27,237,5,5,4,0.931
28,145,5,5,1,0.699
29,19,5,5,1,0.193
29,30,5,5,1,0.547
29,55,5,5,1,0.099
29,211,5,5,1,0.251
30,29,5,5,1,0.547
30,31,5,5,1,0.397
31,18,5,5,1,0.253
31,20,5,5,1,0.287
31,30,5,5,1,0.397
31,85,5,5,1,0.386
32,3,5,5,1,0.093
32,13,5,5,1,0.205
33,48,5,5,1,0.222
34,92,5,5,1,0.276
34,103,5,5,1,0.242
35,65,5,5,1,0.281
35,80,5,5,1,0.164
36,37,5,5,1,0.265
36,73,5,5,1,0.21
37,36,5,5,1,0.265
37,58,5,5,1,0.065
37,109,5,5,1,0.408
37,222,5,5,2,0.324
38,2,5,5,1,0.223
39,60,5,5,1,0.39
39,112,5,5,1,0.274
40,146,5,5,1,0.289
41,74,5,5,1,0.347
41,115,5,5,2,0.853
41,115,5,5,2,0.853
42,144,5,5,1,0.685
42,144,5,5,1,0.685
43,4,5,5,1,0.418
43,63,5,5,1,1.064
43,188,5,5,4,1.737
43,240,5,5,1,1.373
44,45,5,5,1,0.283
44,56,5,5,1,0.158
44,57,5,5,1,0.235
44,61,5,5,4,0.763
45,44,5,5,1,0.283
45,73,5,5,1,0.4
46,66,5,5,1,0.26
46,86,5,5,2,0.573
47,58,5,5,1,0.246
47,107,5,5,2,0.349
48,33,5,5,1,0.222
48,144,5,5,1,0.7
48,144,5,5,1,0.7
49,68,5,5,1,0.805
49,101,5,5,1,0.629
49,119,5,5,1,0.405
49,127,5,5,4,0.879
50,76,5,5,1,0.548
50,95,5,5,1,0.571
51,114,5,5,2,0.65
51,219,5,5,1,0.358
52,62,5,5,1,0.328
52,81,5,5,1,0.255
53,70,5,5,1,1.019
53,129,5,5,1,0.267
54,242,5,5,1,0.581
55,19,5,5,1,0.258
55,124,5,5,1,0.168
55,211,5,5,1,0.209
56,26,5,5,1,0.373
56,44,5,5,1,0.158
56,111,5,5,1,0.279
57,44,5,5,1,0.235
57,118,5,5,2,0.396
57,207,5,5,3,0.567
58,37,5,5,1,0.065
58,47,5,5,1,0.246
59,79,5,5,1,0.391
59,158,5,5,1,0.36
59,225,5,5,1,0.731
60,39,5,5,1,0.39
60,138,5,5,1,0.161
61,1,5,5,1,0.645
61,1,5,5,1,0.645
61,117,5,5,1,0.168
61,226,5,5,1,0.231
62,78,5,5,1,0.34
62,100,5,5,1,0.322
63,43,5,5,1,1.064
64,74,5,5,1,0.32
64,90,5,5,1,0.203
65,35,5,5,1,0.281
65,104,5,5,1,0.26
66,46,5,5,1,0.26
66,128,5,5,1,0.635
66,128,5,5,1,0.635
67,116,5,5,1,0.398
68,104,5,5,1,0.221
68,119,5,5,1,0.418
68,127,5,5,1,0.136
69,25,5,5,1,0.428
69,107,5,5,1,0.311
69,115,5,5,2,0.506
69,115,5,5,2,0.506
70,3,5,5,1,0.426
70,23,5,5,1,0.349
70,53,5,5,1,1.019
71,27,5,5,1,0.228
71,208,5,5,1,0.783
72,84,5,5,1,0.184
72,85,5,5,1,0.236
73,36,5,5,1,0.21
73,45,5,5,1,0.4
73,74,5,5,1,0.448
74,41,5,5,1,0.347
74,64,5,5,1,0.32
74,73,5,5,1,0.448
74,107,5,5,2,0.492
74,113,5,5,1,0.316
75,75,5,5,1,0.0
