nodeid,lat,lon,layer
1,53.28553,-2.9433,2
1,53.28553,-2.9433,5
2,53.295,-2.99547,5
3,53.25824,-2.92221,5
4,53.25933,-2.91052,5
5,53.26363,-2.91042,5
6,53.29232,-3.00712,5
7,53.27363,-2.89058,5
8,53.26092,-2.88251,5
9,53.26715,-2.88635,5
10,53.28031,-2.908,5
11,53.26833,-2.90975,5
12,53.31416,-2.96443,4
12,53.31416,-2.96443,5
13,53.25636,-2.91905,5
14,53.26191,-2.92302,5
15,53.27244,-2.89286,5
16,53.25727,-2.91632,5
17,53.26446,-2.90813,5
18,53.27106,-2.89661,5
19,53.26401,-2.89019,5
20,53.27458,-2.90222,5
21,53.2685,-2.93435,5
22,53.29052,-2.95178,5
23,53.25713,-2.92325,5
24,53.26597,-2.93299,5
25,53.27143,-2.90995,5
26,53.27232,-2.93651,5
27,53.2937,-3.04061,5
28,53.26318,-2.79102,5
29,53.26547,-2.89179,5
30,53.26981,-2.89569,5
31,53.27261,-2.89941,5
32,53.25778,-2.92103,5
33,53.29946,-3.05637,5
34,53.28262,-2.91099,5
35,53.27863,-3.06064,5
36,53.27508,-2.92273,5
37,53.27275,-2.9218,5
38,53.29578,-2.99236,5
39,53.26771,-2.91994,5
40,53.25186,-2.79062,5
41,53.27763,-2.91386,5
42,53.29249,-3.07411,5
43,53.25558,-2.90993,5
44,53.27447,-2.93547,5
45,53.27522,-2.93139,5
46,53.29012,-2.89893,5
47,53.27414,-2.918,5
48,53.29767,-3.05789,5
49,53.27637,-3.0482,5
50,53.29383,-3.0207,5
51,53.26534,-2.9232,5
52,53.27328,-2.88402,5
53,53.24684,-2.9119,5
54,53.24184,-2.95496,5
55,53.26627,-2.89113,5
56,53.27568,-2.93675,5
57,53.2745,-2.93901,5
58,53.2727,-2.92082,5
59,53.30038,-2.95734,5
60,53.26524,-2.92413,5
61,53.27972,-2.94289,5
62,53.27076,-2.88662,5
63,53.24624,-2.90632,5
64,53.27955,-2.91827,5
65,53.27713,-3.05722,5
66,53.28778,-2.89863,5
67,53.26312,-3.0217,5
68,53.28134,-3.05704,5
69,53.27517,-2.90835,5
70,53.25461,-2.92009,5
71,53.29466,-3.04365,5
72,53.26823,-2.89922,5
73,53.27601,-2.9255,5
74,53.27668,-2.91884,5
75,53.28415,-2.92482,2
75,53.28415,-2.92482,5
76,53.29388,-3.02896,5
77,53.28916,-3.00625,5
78,53.26889,-2.89068,5
79,53.29687,-2.95672,5
80,53.27927,-3.06288,5
81,53.27499,-2.8866,5
82,53.26971,-2.88188,5
83,53.26549,-2.90428,5
84,53.26704,-2.90116,5
85,53.2696,-2.89649,5
86,53.29103,-2.90744,5
87,53.27829,-2.89219,5
88,53.28737,-2.91845,5
89,53.28855,-2.91317,5
90,53.28093,-2.91626,5
91,53.25861,-3.02321,5
92,53.28286,-2.91513,5
93,53.2842,-3.0585,5
94,53.29171,-3.00655,5
95,53.29288,-3.01224,5
96,53.28397,-3.05302,5
97,53.28394,-3.06209,5
98,53.28645,-2.9319,5
99,53.28066,-2.96244,5
100,53.27266,-2.88294,5
101,53.27227,-3.04165,5
102,53.26467,-2.88056,5
103,53.28241,-2.90735,5
104,53.27943,-3.05799,5
105,53.28311,-3.06516,5
106,53.28857,-3.0552,5
107,53.27417,-2.91273,5
108,53.28149,-2.95639,5
109,53.26958,-2.91867,5
110,53.27941,-2.92347,5
111,53.27806,-2.93813,5
112,53.26753,-2.91582,5
113,53.27769,-2.9233,5
114,53.26035,-2.91808,5
115,53.27661,-2.90111,4
115,53.27661,-2.90111,5
116,53.26074,-3.0262,5
117,53.27861,-2.94462,5
118,53.27723,-2.94285,5
119,53.27938,-3.05165,5
120,53.26288,-2.88647,5
121,53.29422,-2.9993,5
122,53.29353,-3.00194,5
123,53.28707,-3.05425,5
124,53.26635,-2.8886,5
125,53.26741,-2.8834,5
126,53.28672,-3.06116,5
127,53.28253,-3.05652,5
128,53.28221,-2.89643,2
128,53.28221,-2.89643,5
129,53.24478,-2.90982,5
130,53.30756,-2.98114,5
130,53.30756,-2.98114,2
131,53.26281,-2.93049,5
132,53.26948,-3.03995,5
133,53.29343,-2.95329,5
134,53.2825,-2.95265,5
135,53.29018,-3.05589,5
136,53.26572,-2.91022,5
137,53.26541,-2.91203,5
138,53.26413,-2.92571,5
139,53.26264,-2.92837,5
140,53.29991,-2.95951,5
141,53.28103,-3.06492,5
142,53.28019,-2.96529,5
143,53.28075,-2.91234,5
144,53.29243,-3.06378,5
144,53.29243,-3.06378,2
145,53.25746,-2.78661,5
146,53.25432,-2.78919,5
147,53.31087,-2.96972,5
148,53.31109,-2.96935,5
149,53.31537,-2.97272,5
150,53.3128,-2.97799,5
151,53.31188,-2.96108,5
152,53.31231,-2.96067,5
153,53.31563,-2.96764,5
154,53.31588,-2.9677,5
155,53.31185,-2.9668,5
156,53.31543,-2.97213,5
157,53.31557,-2.97311,5
158,53.30336,-2.95951,5
159,53.31082,-2.96592,5
160,53.31046,-2.96614,5
161,53.31966,-2.95473,5
162,53.2696,-2.9094,5
163,53.26199,-2.91044,5
