ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
3,206,2,2,3,3.446
3,206,2,2,3,3.446
3,206,2,2,3,3.446
3,206,2,2,3,3.446
3,271,2,2,3,1.508
3,271,2,2,3,1.508
3,271,2,2,3,1.508
3,271,2,2,3,1.508
26,252,2,2,2,1.212
26,252,2,2,2,1.212
26,252,2,2,2,1.212
26,252,2,2,2,1.212
77,201,2,2,4,1.358
77,201,2,2,4,1.358
77,201,2,2,4,1.358
77,201,2,2,4,1.358
77,252,2,2,2,1.924
77,252,2,2,2,1.924
77,252,2,2,2,1.924
77,252,2,2,2,1.924
87,100,2,2,2,0.993
87,100,2,2,2,0.993
87,100,2,2,2,0.993
87,100,2,2,2,0.993
87,309,2,2,2,1.267
87,309,2,2,2,1.267
87,309,2,2,2,1.267
87,309,2,2,2,1.267
100,87,2,2,2,0.993
100,87,2,2,2,0.993
100,87,2,2,2,0.993
100,87,2,2,2,0.993
100,309,2,2,3,2.256
100,309,2,2,3,2.256
100,309,2,2,3,2.256
100,309,2,2,3,2.256
129,238,2,2,2,2.223
129,238,2,2,2,2.223
129,238,2,2,2,2.223
129,238,2,2,2,2.223
129,253,2,2,2,1.295
129,253,2,2,2,1.295
129,253,2,2,2,1.295
129,253,2,2,2,1.295
201,77,2,2,3,1.358
201,77,2,2,3,1.358
201,77,2,2,3,1.358
201,77,2,2,3,1.358
211,213,2,2,3,2.681
211,213,2,2,3,2.681
211,213,2,2,3,2.681
211,213,2,2,3,2.681
212,309,2,2,2,1.151
212,309,2,2,2,1.151
212,309,2,2,2,1.151
212,309,2,2,2,1.151
212,369,2,2,3,2.495
212,369,2,2,3,2.495
213,211,2,2,3,2.681
213,211,2,2,3,2.681
213,211,2,2,3,2.681
213,211,2,2,3,2.681
213,252,2,2,3,2.706
213,252,2,2,3,2.706
213,252,2,2,3,2.706
213,252,2,2,3,2.706
238,129,2,2,2,2.223
238,129,2,2,2,2.223
238,129,2,2,2,2.223
238,129,2,2,2,2.223
252,26,2,2,1,1.212
252,26,2,2,1,1.212
252,26,2,2,1,1.212
252,26,2,2,1,1.212
252,77,2,2,3,1.924
252,77,2,2,3,1.924
252,77,2,2,3,1.924
252,77,2,2,3,1.924
252,213,2,2,3,2.706
252,213,2,2,3,2.706
252,213,2,2,3,2.706
252,213,2,2,3,2.706
253,129,2,2,2,1.295
253,129,2,2,2,1.295
253,129,2,2,2,1.295
253,129,2,2,2,1.295
271,3,2,2,2,1.508
271,3,2,2,2,1.508
271,3,2,2,2,1.508
271,3,2,2,2,1.508
309,87,2,2,2,1.267
309,87,2,2,2,1.267
309,87,2,2,2,1.267
309,87,2,2,2,1.267
309,100,2,2,2,2.256
309,100,2,2,2,2.256
