nodeid,lat,lon,layer
1,51.63446,-0.04454,5
2,51.62755,0.01674,5
3,51.64226,-0.03507,5
3,51.64226,-0.03507,2
4,51.64357,-0.10454,5
5,51.67748,-0.09605,5
6,51.61853,-0.00167,5
7,51.61585,0.02548,5
8,51.64788,-0.03768,5
9,51.63684,-0.11608,5
10,51.64127,-0.18105,5
11,51.63851,-0.01214,5
12,51.63938,-0.05724,5
13,51.61698,-0.02776,5
14,51.63348,-0.01344,5
15,51.63744,-0.08078,5
16,51.65923,-0.20534,5
17,51.63109,-0.0436,5
18,51.62311,0.03025,5
19,51.62986,-0.07819,5
20,51.65899,-0.08788,5
21,51.61703,-0.01754,5
22,51.65916,-0.15377,5
23,51.62282,-0.04828,5
24,51.62124,-0.09575,5
25,51.64539,-0.15264,5
26,51.6147,-0.06723,2
26,51.6147,-0.06723,5
27,51.66268,-0.04553,5
28,51.643,-0.17946,5
29,51.67137,-0.16067,5
30,51.64367,-0.16556,5
31,51.63585,-0.08641,5
32,51.64469,-0.07496,5
33,51.64145,0.05549,5
33,51.64145,0.05549,3
34,51.64841,-0.18108,5
35,51.62705,0.00762,5
36,51.6539,-0.11322,5
37,51.63588,-0.01238,5
38,51.62831,-0.05192,5
39,51.64383,-0.17171,5
40,51.62807,-0.04873,5
41,51.64342,-0.0113,5
42,51.68874,-0.17369,5
43,51.69142,-0.17888,5
44,51.69335,-0.17824,5
45,51.69283,-0.18211,5
46,51.66088,-0.04634,5
47,51.65063,-0.0656,5
48,51.61626,-0.01745,5
49,51.61339,-0.07562,5
50,51.63222,-0.14296,5
51,51.65309,-0.20686,5
52,51.68108,-0.13888,5
53,51.62788,-0.04624,5
54,51.61781,0.00055,5
55,51.63812,-0.11146,5
56,51.64773,-0.13218,5
56,51.64773,-0.13218,3
57,51.63907,-0.07991,5
58,51.61585,-0.09622,5
59,51.63664,-0.12747,5
60,51.63098,-0.15375,5
61,51.62701,-0.04427,5
62,51.63232,-0.00586,5
63,51.64545,-0.04656,5
64,51.62876,-0.05549,5
65,51.62958,-0.00379,5
66,51.62359,-0.01076,5
67,51.64938,-0.12896,5
68,51.65482,-0.15226,5
69,51.65589,-0.03917,5
70,51.62818,0.03369,5
71,51.63157,0.03631,5
72,51.63781,0.0413,5
73,51.61322,0.00523,5
74,51.65279,-0.19895,5
75,51.62581,-0.01441,5
76,51.62759,-0.04118,5
77,51.64153,-0.06921,5
77,51.64153,-0.06921,2
78,51.64444,-0.18432,5
79,51.66452,-0.05704,5
80,51.6419,-0.13289,5
81,51.62797,0.01747,5
82,51.627,-0.00792,5
83,51.62548,-0.00371,5
84,51.64753,-0.01052,5
85,51.65271,-0.0067,5
86,51.65792,-0.00499,5
87,51.64262,-0.09735,2
87,51.64262,-0.09735,5
88,51.63716,-0.01609,5
89,51.63104,-0.01553,5
90,51.61788,-0.00715,5
91,51.6607,-0.07916,5
92,51.66036,-0.10106,5
93,51.66606,-0.07199,5
94,51.63571,-0.08161,5
95,51.62002,-0.01715,5
96,51.63441,-0.06972,5
97,51.67982,-0.13414,5
98,51.64503,-0.13151,5
99,51.63757,-0.04607,5
100,51.63395,-0.10089,2
100,51.63395,-0.10089,5
101,51.6214,0.00061,5
102,51.63309,0.00991,5
102,51.63309,0.00991,2
103,51.66218,-0.07042,5
104,51.63739,-0.05008,5
105,51.64348,-0.10855,5
106,51.66552,-0.19902,5
107,51.64509,-0.17774,5
108,51.63304,-0.05404,5
109,51.6229,-0.10461,5
110,51.62428,-0.00561,5
111,51.6277,-0.14064,5
112,51.66397,-0.08194,5
113,51.62743,-0.09852,5
114,51.61918,0.02722,5
115,51.66116,-0.05837,5
116,51.6859,-0.1794,5
117,51.68813,-0.17814,5
118,51.68461,-0.16946,5
119,51.6767,-0.18988,5
120,51.67231,-0.19336,5
121,51.6817,-0.18647,5
122,51.67905,-0.18761,5
123,51.63621,-0.13752,5
124,51.63452,-0.13422,5
125,51.62426,0.00007,5
126,51.66574,-0.03699,5
127,51.66839,-0.04143,5
128,51.62096,0.02348,5
129,51.64857,-0.17299,5
129,51.64857,-0.17299,2
130,51.63279,0.05339,5
131,51.63546,0.05571,5
132,51.62964,0.04963,5
133,51.63907,0.06198,5
134,51.63734,0.05855,5
135,51.63916,-0.13408,5
136,51.61745,-0.01176,5
137,51.63067,-0.14939,5
138,51.62898,-0.01748,5
139,51.62716,-0.01238,5
140,51.63436,-0.12277,5
141,51.65718,-0.09895,5
142,51.63555,-0.05203,5
143,51.66772,-0.15778,5
144,51.62483,-0.08116,5
145,51.64978,-0.06161,5
146,51.61743,-0.08617,5
147,51.61248,-0.07602,5
148,51.6359,-0.11922,5
149,51.62396,0.00167,5
150,51.64089,-0.02684,5
151,51.61383,-0.05762,5
152,51.64785,-0.1918,5
153,51.61628,-0.09234,5
154,51.66008,-0.05762,5
155,51.63026,-0.07909,5
156,51.64051,0.04525,5
157,51.64204,0.04881,5
158,51.63582,-0.01297,5
159,51.65269,-0.19911,5
160,51.65301,-0.20197,5
161,51.62279,-0.02388,5
162,51.64513,-0.10945,5
163,51.64667,-0.07878,5
164,51.66015,-0.03106,5
165,51.62215,-0.07482,5
166,51.63381,-0.00918,5
167,51.62748,0.01236,5
168,51.66537,-0.0316,5
169,51.61696,-0.016,5
170,51.61943,0.00868,5
171,51.63091,0.00225,5
172,51.64668,-0.18669,5
173,51.66328,-0.07814,5
174,51.68441,-0.16008,5
175,51.64445,-0.14609,5
176,51.62993,-0.12785,5
177,51.62491,-0.10067,5
178,51.61685,0.01034,5
179,51.6479,-0.14725,5
180,51.6541,-0.20154,5
181,51.63232,-0.12781,5
181,51.63232,-0.12781,3
182,51.62629,-0.12505,5
183,51.6662,-0.04004,5
184,51.62661,0.04677,5
184,51.62661,0.04677,3
185,51.68124,-0.15257,5
186,51.63565,-0.15548,5
187,51.62566,0.03193,5
188,51.62864,0.00296,5
189,51.66697,-0.10946,5
190,51.64175,-0.07919,5
191,51.64095,-0.14373,5
192,51.65054,-0.19429,5
192,51.65054,-0.19429,3
193,51.61299,-0.00209,5
194,51.65867,-0.20067,5
195,51.64668,-0.06567,5
196,51.6272,0.03873,5
197,51.62699,0.03378,5
198,51.64425,0.0521,5
199,51.66317,-0.03071,5
200,51.66332,-0.08649,5
201,51.65203,-0.07932,2
201,51.65203,-0.07932,5
202,51.64722,-0.03904,5
203,51.64267,-0.16313,5
204,51.63365,-0.07391,5
205,51.65601,-0.20431,5
206,51.61241,-0.04878,2
206,51.61241,-0.04878,5
207,51.64529,-0.14485,5
208,51.61297,-0.08344,5
209,51.65256,-0.04778,5
210,51.65626,-0.00532,5
211,51.67264,-0.04721,5
211,51.67264,-0.04721,2
212,51.66334,-0.0946,2
212,51.66334,-0.0946,5
213,51.64871,-0.05243,2
213,51.64871,-0.05243,5
214,51.66304,-0.20807,5
215,51.64417,-0.08094,5
216,51.67625,-0.12617,5
217,51.645,-0.06048,5
218,51.62675,0.01934,5
219,51.64555,-0.16399,5
220,51.66888,-0.05518,5
221,51.65337,-0.05849,5
222,51.6638,-0.08712,5
223,51.67184,-0.04004,5
224,51.63142,-0.06159,5
225,51.65172,-0.12385,5
226,51.66506,-0.07465,5
227,51.65837,-0.08432,5
228,51.65722,-0.07997,5
229,51.66205,-0.15459,5
230,51.66379,-0.06785,5
231,51.66132,-0.06314,5
232,51.65908,-0.05887,5
233,51.64696,-0.09107,5
234,51.63443,-0.15251,5
235,51.63598,-0.14717,5
236,51.65152,-0.14917,5
236,51.65152,-0.14917,3
237,51.62714,-0.02047,5
238,51.6685,-0.17617,5
238,51.6685,-0.17617,2
239,51.63103,-0.00169,5
240,51.64218,-0.04699,5
241,51.66834,-0.19648,5
242,51.63586,-0.09149,5
243,51.62434,-0.06835,5
244,51.67155,-0.03839,5
245,51.63263,-0.08033,5
246,51.62475,-0.12406,5
247,51.62466,-0.11044,5
248,51.65327,-0.18687,5
249,51.64036,-0.01152,5
250,51.64485,-0.157,5
251,51.61532,-0.08679,5
252,51.62494,-0.06111,5
252,51.62494,-0.06111,2
253,51.63769,-0.16621,2
253,51.63769,-0.16621,5
254,51.6238,0.00714,5
255,51.62564,-0.11524,5
256,51.63893,-0.17973,5
257,51.64613,-0.12786,5
258,51.64912,-0.10911,5
259,51.61639,-0.07814,5
260,51.61818,-0.07578,5
261,51.68065,-0.09739,5
262,51.61279,-0.03038,5
263,51.61309,-0.03889,5
264,51.65149,-0.06987,5
265,51.63042,-0.05618,5
266,51.66135,-0.08684,5
267,51.64643,-0.01033,5
268,51.6628,-0.19906,5
269,51.62429,0.0222,5
270,51.6414,-0.1116,5
271,51.65559,-0.03081,5
271,51.65559,-0.03081,2
272,51.65996,-0.04819,5
273,51.63965,-0.12878,5
274,51.66551,-0.04363,5
275,51.62895,-0.09784,5
276,51.61197,-0.07486,5
277,51.61208,-0.07773,5
278,51.64352,-0.17523,5
279,51.63851,-0.14104,5
280,51.63366,-0.0625,5
281,51.65319,-0.18984,5
282,51.67451,-0.09487,5
283,51.63988,-0.05196,5
284,51.67183,-0.08819,5
285,51.66837,-0.07626,5
286,51.65689,-0.04634,5
287,51.61507,-0.02891,5
288,51.65497,-0.10873,5
289,51.61876,0.00521,5
290,51.61529,0.00008,5
291,51.66454,-0.10479,5
292,51.61685,-0.02291,5
293,51.63339,-0.13139,5
294,51.65533,-0.10197,5
295,51.67484,-0.16249,5
296,51.64578,-0.13922,5
297,51.6403,-0.04767,5
298,51.65586,-0.20186,5
299,51.61612,-0.08579,5
300,51.64261,-0.13034,5
301,51.64917,-0.11435,5
302,51.62863,-0.05624,5
303,51.66003,-0.06016,5
304,51.62871,-0.1038,5
305,51.66511,-0.02749,5
306,51.62344,-0.01666,5
307,51.64646,-0.08025,5
308,51.62739,-0.07146,5
309,51.65326,-0.09069,2
309,51.65326,-0.09069,5
310,51.64592,-0.19008,5
311,51.64292,-0.11091,5
312,51.64918,-0.11081,5
313,51.65974,-0.0534,5
314,51.65383,-0.09758,5
315,51.64145,-0.01164,5
316,51.61697,-0.05113,5
317,51.64746,-0.18864,5
318,51.64769,-0.06044,5
319,51.69174,-0.19823,5
320,51.65464,-0.16626,5
321,51.65999,-0.05064,5
322,51.64205,-0.17197,5
323,51.61944,-0.09039,5
324,51.6578,-0.07418,5
325,51.65438,-0.05996,5
326,51.65601,-0.07557,5
327,51.63225,-0.15067,5
328,51.64017,-0.1698,5
329,51.65274,-0.20365,5
330,51.63072,-0.12314,5
331,51.6406,-0.00839,5
332,51.61354,-0.05448,5
333,51.63204,-0.0946,5
334,51.62256,-0.08244,5
335,51.64508,-0.03309,5
336,51.64516,-0.06618,5
337,51.63206,0.00558,5
338,51.65407,-0.20732,5
339,51.64332,-0.0489,5
340,51.64335,0.05356,5
341,51.64744,-0.07135,5
342,51.61985,-0.04994,5
343,51.64817,-0.04521,5
344,51.65222,-0.19858,5
345,51.61324,-0.05438,5
346,51.64739,-0.07108,5
347,51.65603,-0.20843,5
348,51.64788,-0.04171,5
349,51.65507,-0.00712,5
350,51.61418,-0.0715,5
351,51.61637,-0.0846,5
352,51.61854,-0.02669,5
353,51.68101,-0.09777,5
354,51.65647,-0.20447,5
355,51.6752,-0.04865,5
356,51.62292,-0.12232,5
357,51.61868,-0.02699,5
358,51.66484,-0.10193,5
359,51.66805,-0.07548,5
360,51.61548,0.00767,5
361,51.61747,-0.0273,5
362,51.66623,-0.17412,5
363,51.64599,-0.12246,5
364,51.6472,-0.03109,5
365,51.65287,-0.20528,5
366,51.65219,-0.15929,5
367,51.67213,-0.09105,5
368,51.61655,-0.08863,5
369,51.68449,-0.10688,2
370,51.66764,-0.15839,5
371,51.64864,-0.07186,5
372,51.6688,-0.15964,5
373,51.61815,-0.089,5
374,51.68008,-0.1039,5
375,51.67341,-0.09404,5
376,51.65493,-0.16565,5
377,51.66375,-0.17104,5
378,51.6581,-0.04718,5
379,51.65831,-0.04725,5
380,51.63404,-0.0681,5
381,51.61606,-0.05189,5
382,51.62134,-0.0828,5
383,51.64621,-0.11677,5
384,51.64182,-0.18059,5
385,51.69233,-0.16918,5
386,51.63955,0.06039,5
387,51.62591,-0.1049,5
388,51.65548,-0.04854,5
389,51.64031,-0.00874,5
390,51.64462,-0.05898,5
391,51.62882,-0.11742,5
392,51.64488,-0.11533,5
393,51.64354,-0.17164,5
394,51.65948,-0.07961,5
395,51.62465,-0.06996,5
396,51.65077,-0.16591,5
397,51.61303,-0.01808,5
398,51.64867,-0.06002,5
399,51.66028,-0.09011,5
400,51.62938,-0.07758,5
401,51.66149,-0.19461,5
402,51.63741,-0.00951,5
403,51.64618,-0.12108,5
404,51.6431,-0.1621,5
405,51.63247,-0.06297,5
406,51.6398,-0.16161,5
407,51.65274,-0.18095,5
408,51.65294,-0.18346,5
409,51.64602,-0.00951,5
410,51.64496,-0.11029,5
411,51.63604,-0.13873,5
412,51.64422,-0.00878,5
413,51.65014,-0.0723,5
414,51.63132,-0.12308,5
415,51.63843,0.06064,5
416,51.65298,-0.16703,5
417,51.65384,-0.09662,5
418,51.65293,-0.16086,5
419,51.61881,0.0261,5
420,51.64186,-0.00841,5
421,51.65886,-0.02942,5
422,51.64477,-0.12545,5
423,51.63779,-0.06099,5
424,51.61619,-0.08842,5
425,51.6646,-0.19021,5
426,51.64269,-0.00622,5
427,51.65868,-0.07271,5
428,51.61664,-0.08025,5
429,51.6362,-0.0736,5
430,51.62705,-0.01115,5
431,51.64833,-0.1641,5
432,51.64746,-0.07245,5
433,51.63837,-0.00914,5
434,51.63671,-0.00947,5
435,51.69038,-0.17274,5
436,51.64429,-0.15975,5
437,51.64414,-0.18937,5
438,51.64459,-0.05605,5
439,51.62809,-0.07357,5
440,51.64322,-0.00828,5
441,51.6345,-0.14064,5
442,51.64771,-0.11762,5
443,51.64813,-0.03012,5
444,51.64345,-0.16883,5
445,51.63145,0.00009,5
446,51.64554,-0.03156,5
447,51.66134,-0.07102,5
448,51.6201,-0.02509,5
449,51.65487,-0.09811,5
450,51.6122,-0.01784,5
451,51.64311,-0.18707,5
452,51.63128,-0.10297,5
453,51.64531,-0.00863,5
454,51.64424,-0.11246,5
455,51.63648,-0.06187,5
456,51.64079,-0.07323,5
457,51.68097,-0.09939,5
