ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
14,400,1,1,5,0.96
14,400,1,1,5,0.96
14,400,1,1,5,0.96
14,400,1,1,5,0.96
14,400,1,1,5,0.96
14,400,1,1,5,0.96
170,400,1,1,20,2.389
170,400,1,1,20,2.389
170,400,1,1,20,2.389
170,400,1,1,20,2.389
170,400,1,1,20,2.389
170,400,1,1,20,2.389
400,14,1,1,5,0.96
400,14,1,1,5,0.96
400,14,1,1,5,0.96
400,14,1,1,5,0.96
400,14,1,1,5,0.96
400,14,1,1,5,0.96
400,170,1,1,30,2.389
400,170,1,1,30,2.389
400,170,1,1,30,2.389
400,170,1,1,30,2.389
400,170,1,1,30,2.389
400,170,1,1,30,2.389
14,214,2,2,2,1.187
14,214,2,2,2,1.187
14,214,2,2,2,1.187
14,214,2,2,2,1.187
14,214,2,2,2,1.187
14,214,2,2,2,1.187
14,257,2,2,2,0.808
14,257,2,2,2,0.808
14,257,2,2,2,0.808
14,257,2,2,2,0.808
14,257,2,2,2,0.808
14,257,2,2,2,0.808
27,304,2,2,2,1.996
27,304,2,2,2,1.996
27,304,2,2,2,1.996
27,304,2,2,2,1.996
27,360,2,2,3,1.59
27,360,2,2,3,1.59
27,360,2,2,3,1.59
27,360,2,2,3,1.59
62,365,2,2,3,2.756
62,365,2,2,3,2.756
62,365,2,2,3,2.756
62,365,2,2,3,2.756
62,414,2,2,4,3.289
62,414,2,2,4,3.289
62,414,2,2,4,3.289
62,414,2,2,4,3.289
71,365,2,2,5,3.833
71,365,2,2,5,3.833
71,365,2,2,5,3.833
71,365,2,2,5,3.833
96,143,2,2,4,1.564
96,143,2,2,4,1.564
96,143,2,2,4,1.564
96,143,2,2,4,1.564
96,257,2,2,2,1.783
96,257,2,2,2,1.783
96,257,2,2,2,1.783
96,257,2,2,2,1.783
115,283,2,2,2,1.778
115,283,2,2,2,1.778
115,283,2,2,2,1.778
115,283,2,2,2,1.778
115,315,2,2,3,3.234
115,315,2,2,3,3.234
115,315,2,2,3,3.234
115,315,2,2,3,3.234
115,318,2,2,6,7.969
115,318,2,2,6,7.969
115,318,2,2,6,7.969
115,318,2,2,6,7.969
143,96,2,2,5,1.564
143,96,2,2,5,1.564
143,96,2,2,5,1.564
143,96,2,2,5,1.564
143,272,2,2,4,2.539
143,272,2,2,4,2.539
143,272,2,2,4,2.539
143,272,2,2,4,2.539
170,226,2,2,2,1.526
170,226,2,2,2,1.526
170,226,2,2,2,1.526
170,226,2,2,2,1.526
170,226,2,2,2,1.526
170,226,2,2,2,1.526
186,321,2,2,2,1.533
186,321,2,2,2,1.533
186,321,2,2,2,1.533
186,321,2,2,2,1.533
212,308,2,2,3,2.76
212,308,2,2,3,2.76
212,308,2,2,3,2.76
212,308,2,2,3,2.76
214,14,2,2,2,1.187
214,14,2,2,2,1.187
214,14,2,2,2,1.187
214,14,2,2,2,1.187
214,14,2,2,2,1.187
214,14,2,2,2,1.187
226,170,2,2,3,1.526
226,170,2,2,3,1.526
226,170,2,2,3,1.526
226,170,2,2,3,1.526
226,170,2,2,3,1.526
226,170,2,2,3,1.526
226,318,2,2,5,2.458
226,318,2,2,5,2.458
226,318,2,2,5,2.458
226,318,2,2,5,2.458
257,14,2,2,2,0.808
257,14,2,2,2,0.808
257,14,2,2,2,0.808
257,14,2,2,2,0.808
257,14,2,2,2,0.808
257,14,2,2,2,0.808
257,96,2,2,2,1.783
257,96,2,2,2,1.783
257,96,2,2,2,1.783
257,96,2,2,2,1.783
270,318,2,2,3,1.769
270,318,2,2,3,1.769
270,318,2,2,3,1.769
270,318,2,2,3,1.769
272,143,2,2,3,2.539
272,143,2,2,3,2.539
272,143,2,2,3,2.539
272,143,2,2,3,2.539
283,115,2,2,3,1.778
283,115,2,2,3,1.778
283,115,2,2,3,1.778
283,115,2,2,3,1.778
283,338,2,2,3,2.547
283,338,2,2,3,2.547
283,338,2,2,3,2.547
283,338,2,2,3,2.547
304,27,2,2,2,1.996
304,27,2,2,2,1.996
304,27,2,2,2,1.996
304,27,2,2,2,1.996
304,414,2,2,7,5.454
304,414,2,2,7,5.454
304,414,2,2,7,5.454
304,414,2,2,7,5.454
308,212,2,2,4,2.76
308,212,2,2,4,2.76
308,212,2,2,4,2.76
308,212,2,2,4,2.76
308,375,2,2,3,2.924
308,375,2,2,3,2.924
308,375,2,2,3,2.924
308,375,2,2,3,2.924
315,115,2,2,3,3.234
315,115,2,2,3,3.234
315,115,2,2,3,3.234
315,115,2,2,3,3.234
318,115,2,2,6,7.969
318,115,2,2,6,7.969
318,115,2,2,6,7.969
318,115,2,2,6,7.969
318,226,2,2,4,2.458
318,226,2,2,4,2.458
318,226,2,2,4,2.458
318,226,2,2,4,2.458
318,270,2,2,2,1.769
318,270,2,2,2,1.769
318,270,2,2,2,1.769
318,270,2,2,2,1.769
318,338,2,2,4,3.694
318,338,2,2,4,3.694
318,338,2,2,4,3.694
318,338,2,2,4,3.694
318,452,2,2,4,3.164
318,452,2,2,4,3.164
318,452,2,2,4,3.164
318,452,2,2,4,3.164
321,186,2,2,3,1.533
321,186,2,2,3,1.533
321,186,2,2,3,1.533
321,186,2,2,3,1.533
321,367,2,2,3,2.047
321,367,2,2,3,2.047
321,367,2,2,3,2.047
321,367,2,2,3,2.047
338,283,2,2,3,2.547
338,283,2,2,3,2.547
338,283,2,2,3,2.547
338,283,2,2,3,2.547
338,318,2,2,4,3.694
338,318,2,2,4,3.694
338,318,2,2,4,3.694
338,318,2,2,4,3.694
360,27,2,2,2,1.59
360,27,2,2,2,1.59
360,27,2,2,2,1.59
360,27,2,2,2,1.59
360,414,2,2,3,1.921
360,414,2,2,3,1.921
360,414,2,2,3,1.921
360,414,2,2,3,1.921
365,62,2,2,3,2.756
365,62,2,2,3,2.756
365,62,2,2,3,2.756
365,62,2,2,3,2.756
365,71,2,2,5,3.833
365,71,2,2,5,3.833
365,71,2,2,5,3.833
365,71,2,2,5,3.833
366,367,2,2,2,0.979
366,367,2,2,2,0.979
366,367,2,2,2,0.979
366,367,2,2,2,0.979
367,321,2,2,2,2.047
367,321,2,2,2,2.047
367,321,2,2,2,2.047
367,321,2,2,2,2.047
367,366,2,2,2,0.979
367,366,2,2,2,0.979
367,366,2,2,2,0.979
367,366,2,2,2,0.979
375,308,2,2,3,2.924
375,308,2,2,3,2.924
375,308,2,2,3,2.924
375,308,2,2,3,2.924
375,452,2,2,2,1.767
375,452,2,2,2,1.767
375,452,2,2,2,1.767
375,452,2,2,2,1.767
414,62,2,2,4,3.289
414,62,2,2,4,3.289
414,62,2,2,4,3.289
414,62,2,2,4,3.289
414,304,2,2,5,5.454
414,304,2,2,5,5.454
414,304,2,2,5,5.454
414,304,2,2,5,5.454
414,360,2,2,3,1.921
414,360,2,2,3,1.921
414,360,2,2,3,1.921
414,360,2,2,3,1.921
414,365,2,2,6,5.938
414,365,2,2,6,5.938
414,365,2,2,6,5.938
414,365,2,2,6,5.938
414,461,2,2,4,2.043
414,461,2,2,4,2.043
414,461,2,2,4,2.043
414,461,2,2,4,2.043
452,318,2,2,4,3.164
452,318,2,2,4,3.164
452,318,2,2,4,3.164
452,318,2,2,4,3.164
452,375,2,2,2,1.767
452,375,2,2,2,1.767
452,375,2,2,2,1.767
452,375,2,2,2,1.767
461,414,2,2,4,2.043
461,414,2,2,4,2.043
461,414,2,2,4,2.043
461,414,2,2,4,2.043
1,53,5,5,1,0.309
1,62,5,5,1,0.742
1,62,5,5,1,0.742
2,168,5,5,1,0.638
3,326,5,5,6,1.622
4,300,5,5,1,0.262
4,444,5,5,1,0.374
5,85,5,5,1,0.179
6,197,5,5,1,0.307
6,296,5,5,1,0.268
6,526,5,5,1,0.218
7,87,5,5,1,0.345
7,265,5,5,1,0.289
7,563,5,5,2,0.325
8,209,5,5,1,0.314
8,327,5,5,1,0.332
9,571,5,5,1,0.35
9,586,5,5,1,0.25
9,602,5,5,1,0.311
10,201,5,5,1,0.634
10,344,5,5,1,0.468
10,518,5,5,1,1.023
10,548,5,5,1,0.094
11,177,5,5,1,0.42
11,545,5,5,1,0.174
12,80,5,5,1,0.257
12,463,5,5,1,0.371
13,104,5,5,2,0.313
13,321,5,5,2,0.69
13,321,5,5,2,0.69
14,14,5,5,1,0.0
14,14,5,5,1,0.0
14,14,5,5,1,0.0
14,14,5,5,1,0.0
14,14,5,5,1,0.0
14,14,5,5,1,0.0
14,14,5,5,1,0.0
14,14,5,5,1,0.0
14,14,5,5,1,0.0
14,96,5,5,6,2.542
14,96,5,5,6,2.542
14,96,5,5,6,2.542
14,96,5,5,6,2.542
14,96,5,5,6,2.542
14,96,5,5,6,2.542
14,175,5,5,1,0.724
14,175,5,5,1,0.724
14,175,5,5,1,0.724
14,257,5,5,1,0.808
14,257,5,5,1,0.808
14,257,5,5,1,0.808
14,257,5,5,1,0.808
14,257,5,5,1,0.808
14,257,5,5,1,0.808
14,342,5,5,1,0.604
14,342,5,5,1,0.604
14,342,5,5,1,0.604
14,370,5,5,1,0.51
14,370,5,5,1,0.51
14,370,5,5,1,0.51
14,430,5,5,1,0.562
14,430,5,5,1,0.562
14,430,5,5,1,0.562
14,521,5,5,2,0.287
14,521,5,5,2,0.287
14,521,5,5,2,0.287
14,547,5,5,1,0.384
14,547,5,5,1,0.384
14,547,5,5,1,0.384
14,559,5,5,1,0.492
14,559,5,5,1,0.492
14,559,5,5,1,0.492
14,562,5,5,1,0.757
14,562,5,5,1,0.757
14,562,5,5,1,0.757
15,384,5,5,2,1.053
15,522,5,5,3,0.991
16,121,5,5,1,0.303
16,193,5,5,2,0.6
16,283,5,5,1,0.8
16,283,5,5,1,0.8
17,232,5,5,1,0.488
17,285,5,5,1,0.317
17,426,5,5,1,0.85
17,565,5,5,1,0.25
18,66,5,5,1,0.204
18,190,5,5,1,0.657
19,52,5,5,1,0.299
19,204,5,5,1,0.658
19,266,5,5,1,0.471
20,102,5,5,1,0.379
20,160,5,5,1,0.427
20,176,5,5,1,0.379
21,211,5,5,1,0.251
21,361,5,5,1,0.185
22,82,5,5,1,0.212
22,212,5,5,4,2.495
22,212,5,5,4,2.495
22,358,5,5,1,0.368
22,385,5,5,1,0.21
23,16,5,5,1,0.485
23,283,5,5,3,0.699
23,283,5,5,3,0.699
23,387,5,5,1,0.242
24,134,5,5,1,0.365
24,212,5,5,1,0.541
24,212,5,5,1,0.541
25,146,5,5,1,0.366
25,329,5,5,1,0.334
26,30,5,5,1,0.345
26,89,5,5,1,0.409
26,237,5,5,2,0.359
26,269,5,5,2,0.694
27,27,5,5,1,0.0
27,27,5,5,1,0.0
27,27,5,5,1,0.0
27,27,5,5,1,0.0
27,229,5,5,1,0.563
27,229,5,5,1,0.563
27,242,5,5,1,0.564
27,242,5,5,1,0.564
27,304,5,5,13,1.996
27,304,5,5,13,1.996
27,304,5,5,13,1.996
27,304,5,5,13,1.996
27,374,5,5,1,0.759
27,374,5,5,1,0.759
27,377,5,5,1,0.67
27,377,5,5,1,0.67
27,392,5,5,7,0.84
27,392,5,5,7,0.84
27,394,5,5,1,0.596
27,394,5,5,1,0.596
27,479,5,5,1,0.85
27,479,5,5,1,0.85
28,143,5,5,1,0.695
28,143,5,5,1,0.695
28,475,5,5,1,0.337
29,202,5,5,1,0.243
29,335,5,5,1,0.186
29,405,5,5,1,0.422
30,26,5,5,1,0.345
30,297,5,5,1,0.431
31,242,5,5,5,0.607
31,432,5,5,1,0.437
32,57,5,5,1,0.42
32,96,5,5,1,0.683
32,96,5,5,1,0.683
33,325,5,5,1,0.228
33,341,5,5,1,0.287
33,390,5,5,1,0.572
33,506,5,5,2,0.368
34,589,5,5,1,0.421
35,211,5,5,1,0.42
35,319,5,5,1,0.303
35,340,5,5,1,0.506
35,377,5,5,1,0.693
36,90,5,5,1,0.349
36,129,5,5,2,0.426
36,438,5,5,1,0.155
36,489,5,5,1,0.421
37,113,5,5,1,0.99
37,135,5,5,2,1.389
37,268,5,5,1,0.447
37,365,5,5,1,0.721
37,365,5,5,1,0.721
38,195,5,5,1,0.329
38,211,5,5,1,0.525
38,348,5,5,1,0.133
38,471,5,5,1,0.473
39,421,5,5,1,0.272
39,463,5,5,1,0.47
40,301,5,5,2,0.463
40,324,5,5,1,0.505
41,51,5,5,1,0.268
41,150,5,5,1,0.297
41,173,5,5,1,0.247
42,350,5,5,1,0.325
42,556,5,5,1,0.15
43,48,5,5,1,0.221
43,118,5,5,1,0.418
44,59,5,5,1,0.311
44,219,5,5,1,0.212
44,356,5,5,1,0.335
45,469,5,5,1,0.17
45,593,5,5,1,0.267
46,231,5,5,1,0.51
46,243,5,5,1,0.11
47,143,5,5,1,0.722
47,143,5,5,1,0.722
47,469,5,5,1,0.249
47,493,5,5,1,0.256
48,43,5,5,1,0.221
49,142,5,5,1,0.345
49,280,5,5,1,0.268
50,125,5,5,1,0.208
50,252,5,5,1,0.271
50,496,5,5,1,0.143
51,41,5,5,1,0.268
51,187,5,5,1,0.326
51,502,5,5,1,0.403
52,19,5,5,1,0.299
52,204,5,5,1,0.358
52,294,5,5,1,0.172
53,1,5,5,1,0.309
53,259,5,5,1,0.309
53,504,5,5,4,0.918
54,223,5,5,1,0.376
54,356,5,5,1,0.421
55,188,5,5,2,0.712
55,227,5,5,1,0.359
55,398,5,5,1,1.073
55,412,5,5,1,0.251
56,304,5,5,1,0.871
56,304,5,5,1,0.871
56,395,5,5,2,0.438
57,32,5,5,2,0.42
