ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,5,1,1,7,0.707
1,5,1,1,7,0.707
1,5,1,1,7,0.707
1,5,1,1,7,0.707
1,5,1,1,7,0.707
1,5,1,1,7,0.707
1,5,1,1,7,0.707
1,5,1,1,7,0.707
5,1,1,1,7,0.707
5,1,1,1,7,0.707
5,1,1,1,7,0.707
5,1,1,1,7,0.707
5,1,1,1,7,0.707
5,1,1,1,7,0.707
5,1,1,1,7,0.707
5,1,1,1,7,0.707
2,6,2,2,6,5.751
2,6,2,2,6,5.751
2,6,2,2,6,5.751
2,6,2,2,6,5.751
2,7,2,2,13,10.401
2,7,2,2,13,10.401
2,7,2,2,13,10.401
2,7,2,2,13,10.401
2,9,2,2,5,4.776
2,9,2,2,5,4.776
2,9,2,2,5,4.776
2,9,2,2,5,4.776
5,8,2,2,3,1.2
5,8,2,2,3,1.2
5,8,2,2,3,1.2
5,8,2,2,3,1.2
5,8,2,2,3,1.2
5,8,2,2,3,1.2
5,8,2,2,3,1.2
5,8,2,2,3,1.2
5,8,2,2,3,1.2
5,8,2,2,3,1.2
5,8,2,2,3,1.2
5,8,2,2,3,1.2
6,2,2,2,6,5.751
6,2,2,2,6,5.751
6,2,2,2,6,5.751
6,2,2,2,6,5.751
7,2,2,2,14,10.401
7,2,2,2,14,10.401
7,2,2,2,14,10.401
7,2,2,2,14,10.401
7,8,2,2,3,1.211
7,8,2,2,3,1.211
7,8,2,2,3,1.211
7,8,2,2,3,1.211
7,8,2,2,3,1.211
7,8,2,2,3,1.211
8,5,2,2,3,1.2
8,5,2,2,3,1.2
8,5,2,2,3,1.2
8,5,2,2,3,1.2
8,5,2,2,3,1.2
8,5,2,2,3,1.2
8,5,2,2,3,1.2
8,5,2,2,3,1.2
8,5,2,2,3,1.2
8,5,2,2,3,1.2
8,5,2,2,3,1.2
8,5,2,2,3,1.2
8,7,2,2,3,1.211
8,7,2,2,3,1.211
8,7,2,2,3,1.211
8,7,2,2,3,1.211
8,7,2,2,3,1.211
8,7,2,2,3,1.211
9,2,2,2,5,4.776
9,2,2,2,5,4.776
9,2,2,2,5,4.776
9,2,2,2,5,4.776
3,5,4,4,10,1.423
3,5,4,4,10,1.423
3,5,4,4,10,1.423
3,5,4,4,10,1.423
3,5,4,4,10,1.423
3,5,4,4,10,1.423
3,5,4,4,10,1.423
3,5,4,4,10,1.423
3,5,4,4,10,1.423
3,5,4,4,10,1.423
3,5,4,4,10,1.423
3,5,4,4,10,1.423
3,103,4,4,2,1.046
3,103,4,4,2,1.046
3,103,4,4,2,1.046
