nodeid,lat,lon,layer
1,50.79472,-1.11729,5
1,50.79472,-1.11729,1
2,50.85302,-1.19204,2
2,50.85302,-1.19204,5
3,50.78514,-1.09995,4
3,50.78514,-1.09995,5
3,50.78514,-1.09995,1
4,50.85177,-1.17936,4
4,50.85177,-1.17936,5
5,50.79695,-1.10784,2
5,50.79695,-1.10784,5
5,50.79695,-1.10784,4
5,50.79695,-1.10784,1
6,50.87566,-1.26586,2
6,50.87566,-1.26586,5
7,50.79633,-1.07398,2
7,50.79633,-1.07398,5
8,50.79848,-1.09091,4
8,50.79848,-1.09091,2
8,50.79848,-1.09091,5
9,50.84874,-1.12424,2
9,50.84874,-1.12424,5
10,50.8506,-1.15729,5
11,50.79368,-1.12088,5
12,50.79365,-1.12097,5
13,50.80027,-1.09306,5
14,50.80012,-1.09333,4
14,50.80012,-1.09333,5
15,50.94499,-1.16766,5
16,50.85998,-1.17802,5
17,50.8595,-1.17777,5
18,50.79983,-1.10253,5
19,50.79984,-1.09716,5
20,50.7997,-1.10218,5
21,50.79993,-1.09757,5
22,50.80282,-1.08784,5
23,50.80267,-1.0879,5
24,50.80268,-1.09192,5
25,50.88237,-1.18144,5
26,50.7902,-1.07885,5
27,50.85569,-1.18377,5
28,50.85978,-1.19337,5
29,50.8589,-1.18894,5
30,50.85889,-1.18841,5
31,50.85894,-1.18568,5
32,50.85904,-1.1853,5
33,50.85806,-1.18465,5
34,50.85787,-1.18449,5
35,50.85602,-1.18406,5
36,50.7946,-1.06622,5
37,50.86184,-1.29323,5
38,50.83405,-1.18759,5
39,50.83466,-1.18743,5
40,50.83688,-1.18668,5
41,50.83707,-1.18652,5
42,50.82608,-1.19218,5
43,50.8291,-1.19024,5
44,50.83976,-1.186,5
45,50.84084,-1.18583,5
46,50.818,-1.1727,5
47,50.81754,-1.17043,5
48,50.81729,-1.17027,5
49,50.81572,-1.17279,5
50,50.81564,-1.17253,5
51,50.85525,-1.21219,5
52,50.8558,-1.20833,5
53,50.85626,-1.21515,5
54,50.85518,-1.21244,5
55,50.85559,-1.20298,5
56,50.85574,-1.20813,5
57,50.85564,-1.20297,5
58,50.85539,-1.19835,5
59,50.85527,-1.19794,5
60,50.88415,-1.20331,5
61,50.79446,-1.12298,5
62,50.79437,-1.12243,5
63,50.79424,-1.12668,5
64,50.79464,-1.12663,5
65,50.79555,-1.12916,5
