ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,5,2,2,6,8.352
1,5,2,2,6,8.352
1,5,2,2,6,8.352
1,5,2,2,6,8.352
1,5,2,2,6,8.352
1,5,2,2,6,8.352
1,5,2,2,6,8.352
1,5,2,2,6,8.352
1,5,2,2,6,8.352
3,6,2,2,2,1.786
3,6,2,2,2,1.786
3,6,2,2,2,1.786
3,6,2,2,2,1.786
5,1,2,2,5,8.352
5,1,2,2,5,8.352
5,1,2,2,5,8.352
5,1,2,2,5,8.352
5,1,2,2,5,8.352
5,1,2,2,5,8.352
5,1,2,2,5,8.352
5,1,2,2,5,8.352
5,1,2,2,5,8.352
6,3,2,2,3,1.786
6,3,2,2,3,1.786
6,3,2,2,3,1.786
6,3,2,2,3,1.786
6,11,2,2,3,3.093
6,11,2,2,3,3.093
6,11,2,2,3,3.093
6,11,2,2,3,3.093
6,12,2,2,10,12.722
6,12,2,2,10,12.722
6,12,2,2,10,12.722
6,12,2,2,10,12.722
8,12,2,2,4,3.91
8,12,2,2,4,3.91
8,12,2,2,4,3.91
8,12,2,2,4,3.91
11,6,2,2,5,3.093
11,6,2,2,5,3.093
11,6,2,2,5,3.093
11,6,2,2,5,3.093
12,6,2,2,10,12.722
12,6,2,2,10,12.722
12,6,2,2,10,12.722
12,6,2,2,10,12.722
12,8,2,2,4,3.91
12,8,2,2,4,3.91
12,8,2,2,4,3.91
12,8,2,2,4,3.91
2,4,3,3,2,0.847
2,4,3,3,2,0.847
2,4,3,3,2,0.847
2,4,3,3,2,0.847
2,4,3,3,2,0.847
2,4,3,3,2,0.847
2,10,3,3,1,1.001
2,10,3,3,1,1.001
2,10,3,3,1,1.001
2,10,3,3,1,1.001
2,10,3,3,1,1.001
2,10,3,3,1,1.001
4,2,3,3,2,0.847
4,2,3,3,2,0.847
4,2,3,3,2,0.847
4,2,3,3,2,0.847
4,2,3,3,2,0.847
4,2,3,3,2,0.847
7,9,3,3,1,1.085
7,9,3,3,1,1.085
7,9,3,3,1,1.085
7,9,3,3,1,1.085
7,9,3,3,1,1.085
7,9,3,3,1,1.085
7,10,3,3,1,1.197
7,10,3,3,1,1.197
7,10,3,3,1,1.197
7,10,3,3,1,1.197
9,7,3,3,1,1.085
9,7,3,3,1,1.085
9,7,3,3,1,1.085
9,7,3,3,1,1.085
9,7,3,3,1,1.085
9,7,3,3,1,1.085
10,2,3,3,1,1.001
10,2,3,3,1,1.001
10,2,3,3,1,1.001
10,2,3,3,1,1.001
10,2,3,3,1,1.001
10,2,3,3,1,1.001
10,7,3,3,1,1.197
10,7,3,3,1,1.197
10,7,3,3,1,1.197
10,7,3,3,1,1.197
1,5,4,4,20,8.352
1,5,4,4,20,8.352
1,5,4,4,20,8.352
1,5,4,4,20,8.352
1,5,4,4,20,8.352
1,5,4,4,20,8.352
1,5,4,4,20,8.352
1,5,4,4,20,8.352
1,5,4,4,20,8.352
1,983,4,4,10,5.715
1,983,4,4,10,5.715
1,983,4,4,10,5.715
5,1,4,4,15,8.352
5,1,4,4,15,8.352
5,1,4,4,15,8.352
5,1,4,4,15,8.352
5,1,4,4,15,8.352
5,1,4,4,15,8.352
5,1,4,4,15,8.352
5,1,4,4,15,8.352
5,1,4,4,15,8.352
37,3730,4,4,2,0.387
37,3730,4,4,2,0.387
37,3730,4,4,2,0.387
37,3730,4,4,2,0.387
78,279,4,4,1,0.172
78,279,4,4,1,0.172
78,279,4,4,1,0.172
78,279,4,4,1,0.172
101,2497,4,4,1,0.61
101,2497,4,4,1,0.61
101,2497,4,4,1,0.61
101,2497,4,4,1,0.61
102,2228,4,4,1,0.324
102,2228,4,4,1,0.324
102,2228,4,4,1,0.324
102,2228,4,4,1,0.324
102,2497,4,4,2,0.798
102,2497,4,4,2,0.798
102,2497,4,4,2,0.798
102,2497,4,4,2,0.798
165,363,4,4,1,0.287
165,363,4,4,1,0.287
165,363,4,4,1,0.287
165,363,4,4,1,0.287
166,2393,4,4,1,0.267
166,2393,4,4,1,0.267
166,2393,4,4,1,0.267
166,2393,4,4,1,0.267
166,2723,4,4,1,0.3
166,2723,4,4,1,0.3
166,2723,4,4,1,0.3
166,2723,4,4,1,0.3
193,2489,4,4,1,0.605
193,2489,4,4,1,0.605
193,2489,4,4,1,0.605
193,2489,4,4,1,0.605
195,3726,4,4,1,0.272
195,3726,4,4,1,0.272
195,3726,4,4,1,0.272
195,3726,4,4,1,0.272
237,3730,4,4,1,0.247
237,3730,4,4,1,0.247
279,3206,4,4,1,0.347
279,3206,4,4,1,0.347
279,3206,4,4,1,0.347
279,3206,4,4,1,0.347
302,1339,4,4,20,9.049
302,1339,4,4,20,9.049
302,1339,4,4,20,9.049
302,1339,4,4,20,9.049
302,1925,4,4,10,5.24
302,1925,4,4,10,5.24
302,1925,4,4,10,5.24
302,1925,4,4,10,5.24
302,3524,4,4,10,7.974
302,3524,4,4,10,7.974
302,3524,4,4,10,7.974
302,3524,4,4,10,7.974
362,166,4,4,1,0.334
362,166,4,4,1,0.334
362,166,4,4,1,0.334
362,166,4,4,1,0.334
363,655,4,4,1,0.193
363,655,4,4,1,0.193
363,655,4,4,1,0.193
363,655,4,4,1,0.193
384,3339,4,4,1,0.348
384,3339,4,4,1,0.348
384,3339,4,4,1,0.348
384,3339,4,4,1,0.348
385,575,4,4,1,0.228
385,575,4,4,1,0.228
385,575,4,4,1,0.228
385,575,4,4,1,0.228
392,2352,4,4,1,0.096
392,2352,4,4,1,0.096
392,2352,4,4,1,0.096
392,2352,4,4,1,0.096
393,2885,4,4,1,0.399
393,2885,4,4,1,0.399
393,2885,4,4,1,0.399
393,2885,4,4,1,0.399
458,238,4,4,2,0.239
458,238,4,4,2,0.239
459,3220,4,4,1,0.32
459,3220,4,4,1,0.32
459,3220,4,4,1,0.32
459,3220,4,4,1,0.32
459,3338,4,4,1,0.221
459,3338,4,4,1,0.221
459,3338,4,4,1,0.221
459,3338,4,4,1,0.221
485,362,4,4,1,0.27
485,362,4,4,1,0.27
485,362,4,4,1,0.27
485,362,4,4,1,0.27
535,2330,4,4,2,0.305
535,2330,4,4,2,0.305
536,1360,4,4,1,0.179
575,195,4,4,1,0.103
575,195,4,4,1,0.103
575,195,4,4,1,0.103
575,195,4,4,1,0.103
575,767,4,4,2,0.41
575,767,4,4,2,0.41
575,767,4,4,2,0.41
575,767,4,4,2,0.41
576,195,4,4,1,0.123
576,195,4,4,1,0.123
576,195,4,4,1,0.123
576,195,4,4,1,0.123
576,384,4,4,1,0.365
576,384,4,4,1,0.365
576,384,4,4,1,0.365
576,384,4,4,1,0.365
580,1339,4,4,10,10.174
580,1339,4,4,10,10.174
580,1339,4,4,10,10.174
580,1339,4,4,10,10.174
592,1799,4,4,2,0.807
592,1799,4,4,2,0.807
592,1799,4,4,2,0.807
592,1799,4,4,2,0.807
655,1582,4,4,1,0.22
655,1582,4,4,1,0.22
655,1582,4,4,1,0.22
655,1582,4,4,1,0.22
688,2492,4,4,1,0.412
688,2492,4,4,1,0.412
688,2492,4,4,1,0.412
688,2492,4,4,1,0.412
689,2306,4,4,2,0.378
689,2306,4,4,2,0.378
716,921,4,4,5,1.251
718,1361,4,4,1,0.189
719,2727,4,4,1,0.393
719,2727,4,4,1,0.393
766,576,4,4,1,0.252
766,576,4,4,1,0.252
766,576,4,4,1,0.252
766,576,4,4,1,0.252
767,1695,4,4,2,0.763
767,1695,4,4,2,0.763
830,1035,4,4,1,0.168
920,1192,4,4,1,0.415
922,77,4,4,5,1.275
983,1,4,4,10,5.715
983,1,4,4,10,5.715
983,1,4,4,10,5.715
1035,2336,4,4,1,0.126
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1039,1925,4,4,10,5.24
1045,165,4,4,2,0.371
1045,165,4,4,2,0.371
1045,165,4,4,2,0.371
1045,165,4,4,2,0.371
1072,1905,4,4,1,0.648
1072,1905,4,4,1,0.648
1072,1905,4,4,1,0.648
1072,1905,4,4,1,0.648
