nodeid,lat,lon,layer
1,54.8546,-1.57802,4
1,54.8546,-1.57802,2
1,54.8546,-1.57802,5
2,54.95157,-1.55577,2
2,54.95157,-1.55577,5
2,54.95157,-1.55577,3
3,54.95005,-1.64205,5
3,54.95005,-1.64205,2
4,54.95264,-1.54261,5
4,54.95264,-1.54261,3
5,54.77939,-1.58176,4
5,54.77939,-1.58176,2
5,54.77939,-1.58176,5
6,54.95875,-1.66563,2
6,54.95875,-1.66563,5
7,54.95782,-1.58807,5
7,54.95782,-1.58807,3
8,54.94705,-1.91676,2
8,54.94705,-1.91676,5
9,54.96133,-1.60397,4
9,54.96133,-1.60397,5
9,54.96133,-1.60397,3
10,54.95297,-1.57129,5
10,54.95297,-1.57129,3
11,54.96579,-1.71259,2
11,54.96579,-1.71259,5
12,54.96583,-1.86486,5
12,54.96583,-1.86486,2
13,54.79293,-1.60445,5
14,54.7929,-1.6046,5
15,54.76576,-1.65282,5
16,54.76568,-1.65266,5
17,54.81932,-1.39277,5
18,54.81933,-1.39372,5
19,54.82803,-1.62957,5
20,54.76841,-1.64585,5
21,54.85152,-1.70985,5
22,54.85178,-1.70922,5
23,54.78095,-1.66425,5
24,54.78081,-1.6638,5
25,54.90491,-1.57855,5
26,54.92834,-1.60531,5
27,54.82824,-1.74801,5
28,54.93672,-1.6426,5
29,54.93826,-1.63437,5
30,54.93643,-1.6429,5
31,54.93626,-1.63777,5
32,54.93539,-1.63428,5
33,54.94208,-1.62426,5
34,54.78462,-1.6326,5
35,54.78463,-1.63253,5
36,54.85736,-1.59299,5
37,54.85708,-1.59326,4
37,54.85708,-1.59326,5
38,54.95069,-1.57896,5
39,54.95058,-1.58482,5
40,54.94529,-1.54005,5
41,54.94385,-1.54405,5
42,54.94619,-1.54627,5
43,54.94711,-1.55282,5
44,54.94729,-1.55656,5
45,54.948,-1.56297,5
46,54.94902,-1.57039,5
47,54.94976,-1.57395,5
48,54.96125,-1.85432,5
49,54.86264,-1.8546,5
50,54.8205,-1.3925,5
51,54.87982,-1.71019,5
52,54.88464,-1.7346,5
53,54.88457,-1.73485,5
54,54.937,-1.60048,5
55,54.94109,-1.64633,5
56,54.94298,-1.65056,5
57,54.94005,-1.63252,5
58,54.93961,-1.63676,5
59,54.94491,-1.67054,5
60,54.94523,-1.67224,5
61,54.94502,-1.65872,5
62,54.94531,-1.66445,5
63,54.94558,-1.67486,5
64,54.94545,-1.68193,5
65,54.86518,-1.71347,5
66,54.86468,-1.71455,5
67,54.94925,-1.60789,5
68,54.94729,-1.60691,5
69,54.94641,-1.60825,5
70,54.94586,-1.61008,5
71,54.9537,-1.60254,5
72,54.9524,-1.60721,5
73,54.95118,-1.60905,5
74,54.9443,-1.6106,5
75,54.94553,-1.61041,5
76,54.79602,-1.57193,5
77,54.83113,-1.79233,4
78,54.87083,-1.61896,4
78,54.87083,-1.61896,5
79,54.87119,-1.61785,5
80,54.86986,-1.68223,5
81,54.87663,-1.56219,5
82,54.87664,-1.56195,5
83,54.92814,-1.62305,5
84,54.92569,-1.62153,5
85,54.92632,-1.58741,5
86,54.92446,-1.58623,5
87,54.92432,-1.57915,5
88,54.92414,-1.58547,5
89,54.79967,-1.58967,5
90,54.80002,-1.58929,5
91,54.90686,-1.73536,5
92,54.90707,-1.73478,5
93,54.92032,-1.76554,5
94,54.87637,-1.75038,5
95,54.87599,-1.75069,5
96,54.95889,-1.84621,5
97,54.95781,-1.84635,5
98,54.95874,-1.8463,5
99,54.83729,-1.54181,5
100,54.77688,-1.71286,5
101,54.85977,-1.58304,4
101,54.85977,-1.58304,5
102,54.85979,-1.58614,4
102,54.85979,-1.58614,5
103,54.7725,-1.59234,5
104,54.77236,-1.59257,5
105,54.84666,-1.49664,5
106,54.84576,-1.50517,5
107,54.84433,-1.50166,5
108,54.84428,-1.50129,5
109,54.84591,-1.50527,5
110,54.88616,-1.47117,5
111,54.88247,-1.47696,5
112,54.87593,-1.48594,5
113,54.83957,-1.73391,5
114,54.84012,-1.7333,5
115,54.96622,-1.87326,5
116,54.96616,-1.87434,5
117,54.81447,-1.72291,5
118,54.81457,-1.72272,5
119,54.82457,-1.59397,5
120,54.82459,-1.59338,5
121,54.7686,-1.57514,5
122,54.85836,-1.69134,5
123,54.85873,-1.69145,5
124,54.89928,-1.53384,5
125,54.7694,-1.57337,5
126,54.92222,-1.76485,5
127,54.92223,-1.76626,5
128,54.9205,-1.75561,5
129,54.92208,-1.76081,5
130,54.91902,-1.75277,5
131,54.8107,-1.50395,5
132,54.80961,-1.50471,5
133,54.80998,-1.50546,5
134,54.96352,-1.8354,5
135,54.9633,-1.83532,5
136,54.7882,-1.70618,5
137,54.76912,-1.71325,5
138,54.76921,-1.71319,5
139,54.80626,-1.44062,5
140,54.80372,-1.44574,5
141,54.81532,-1.44303,5
142,54.80718,-1.43757,5
143,54.81217,-1.42504,5
144,54.80984,-1.43279,5
145,54.81043,-1.42979,5
146,54.8091,-1.43591,5
147,54.80921,-1.43571,5
148,54.76256,-1.46674,5
149,54.76265,-1.46649,5
150,54.96304,-1.8314,5
151,54.87437,-1.84243,5
152,54.87405,-1.84305,5
153,54.84756,-1.82151,5
154,54.84782,-1.82124,5
155,54.89072,-1.55652,5
156,54.89553,-1.53922,5
157,54.90431,-1.54915,5
158,54.90428,-1.54904,5
159,54.9067,-1.54842,5
160,54.90661,-1.54829,5
161,54.90395,-1.54595,5
162,54.90401,-1.54581,5
163,54.90514,-1.54346,5
164,54.90504,-1.54335,5
165,54.83466,-1.87427,4
165,54.83466,-1.87427,5
166,54.83441,-1.87603,4
166,54.83441,-1.87603,5
167,54.82072,-1.5972,5
168,54.8172,-1.38369,5
169,54.81735,-1.38393,5
170,54.82014,-1.7353,5
171,54.86182,-1.70303,5
172,54.86148,-1.70256,5
173,54.79163,-1.53559,5
174,54.7874,-1.54126,5
175,54.80689,-1.67342,5
176,54.80699,-1.67354,5
177,54.95972,-1.82921,5
178,54.75924,-1.72732,5
179,54.75938,-1.72715,5
180,54.93444,-1.78262,5
181,54.92516,-1.80548,5
182,54.74887,-1.63701,5
183,54.75275,-1.53974,5
184,54.86376,-1.74365,5
185,54.90255,-1.80413,5
186,54.94108,-1.5879,5
187,54.77569,-1.63418,5
188,54.89871,-1.51013,5
189,54.77547,-1.63378,5
190,54.94808,-1.59262,5
191,54.80822,-1.61648,5
192,54.80833,-1.61642,5
193,54.858,-1.61805,4
193,54.858,-1.61805,5
194,54.85066,-1.58633,5
