ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
390,390,1,1,5,0.0
390,390,1,1,5,0.0
390,390,1,1,5,0.0
390,390,1,1,5,0.0
17,1302,2,2,7,5.235
17,1302,2,2,7,5.235
17,1302,2,2,7,5.235
17,1302,2,2,7,5.235
17,1302,2,2,7,5.235
17,1302,2,2,7,5.235
17,1362,2,2,2,0.906
17,1362,2,2,2,0.906
17,1362,2,2,2,0.906
17,1362,2,2,2,0.906
45,169,2,2,4,4.687
45,169,2,2,4,4.687
45,169,2,2,4,4.687
45,169,2,2,4,4.687
45,426,2,2,2,0.805
45,426,2,2,2,0.805
45,426,2,2,2,0.805
45,426,2,2,2,0.805
45,1200,2,2,2,1.503
45,1200,2,2,2,1.503
45,1200,2,2,2,1.503
45,1200,2,2,2,1.503
51,169,2,2,7,5.767
51,169,2,2,7,5.767
51,169,2,2,7,5.767
51,169,2,2,7,5.767
51,187,2,2,15,7.051
51,187,2,2,15,7.051
51,187,2,2,15,7.051
51,187,2,2,15,7.051
51,187,2,2,15,7.051
51,187,2,2,15,7.051
51,187,2,2,15,7.051
51,187,2,2,15,7.051
51,497,2,2,2,1.376
51,497,2,2,2,1.376
51,497,2,2,2,1.376
51,497,2,2,2,1.376
51,992,2,2,3,1.886
51,992,2,2,3,1.886
51,992,2,2,3,1.886
51,992,2,2,3,1.886
51,992,2,2,3,1.886
51,992,2,2,3,1.886
51,1221,2,2,2,1.742
51,1221,2,2,2,1.742
51,1221,2,2,2,1.742
51,1221,2,2,2,1.742
53,282,2,2,2,0.971
53,282,2,2,2,0.971
53,282,2,2,2,0.971
53,282,2,2,2,0.971
53,679,2,2,1,0.585
53,679,2,2,1,0.585
53,679,2,2,1,0.585
53,679,2,2,1,0.585
66,199,2,2,4,2.839
66,199,2,2,4,2.839
66,199,2,2,4,2.839
66,199,2,2,4,2.839
66,528,2,2,1,0.63
66,528,2,2,1,0.63
66,528,2,2,1,0.63
66,528,2,2,1,0.63
66,1136,2,2,1,1.193
66,1136,2,2,1,1.193
66,1136,2,2,1,1.193
66,1136,2,2,1,1.193
70,369,2,2,5,2.988
70,369,2,2,5,2.988
70,369,2,2,5,2.988
70,369,2,2,5,2.988
70,369,2,2,5,2.988
70,369,2,2,5,2.988
70,496,2,2,2,0.982
70,496,2,2,2,0.982
70,496,2,2,2,0.982
70,496,2,2,2,0.982
70,496,2,2,2,0.982
70,496,2,2,2,0.982
117,169,2,2,3,1.864
117,169,2,2,3,1.864
117,169,2,2,3,1.864
117,169,2,2,3,1.864
117,1200,2,2,2,1.377
117,1200,2,2,2,1.377
117,1200,2,2,2,1.377
117,1200,2,2,2,1.377
