nodeid,lat,lon,layer
1,55.89195,-4.17978,5
2,55.78566,-4.29458,5
3,55.8695,-3.96151,5
4,55.86987,-4.12662,5
5,55.79087,-4.1022,5
6,55.79274,-4.08836,5
7,55.87246,-4.28457,5
8,55.81948,-4.29073,5
9,55.89672,-4.4419,5
10,55.90215,-4.43991,5
11,55.89978,-4.4367,5
12,55.90301,-4.44286,5
13,55.86834,-4.24385,5
14,55.77367,-4.28053,5
15,55.8702,-4.2984,5
16,55.94125,-4.33601,5
17,55.85255,-4.34069,2
17,55.85255,-4.34069,5
18,55.84651,-4.15591,5
19,55.84809,-4.15641,5
20,55.77655,-3.9262,5
21,55.90167,-4.29524,5
22,55.90101,-4.34546,5
23,55.89581,-4.43696,5
24,55.82059,-4.21351,5
25,55.75651,-4.17207,5
26,55.74538,-4.19819,5
27,55.74795,-4.19293,5
28,55.75018,-4.18295,5
29,55.74918,-4.17726,5
30,55.74916,-4.17023,5
31,55.74999,-4.165,5
32,55.75116,-4.16051,5
33,55.75384,-4.175,5
34,55.80884,-4.1893,5
35,55.81009,-4.18765,5
36,55.80653,-4.18647,5
37,55.8069,-4.18903,5
38,55.77046,-4.05525,5
39,55.89569,-4.35424,5
40,55.7583,-4.06022,5
41,55.75778,-4.0574,5
42,55.85458,-4.30467,5
42,55.85458,-4.30467,3
43,55.76382,-4.05606,5
44,55.76561,-4.05515,5
45,55.88768,-4.365,5
45,55.88768,-4.365,2
46,55.82343,-4.04988,5
47,55.82512,-4.05629,5
48,55.82772,-4.06591,5
49,55.82679,-4.06245,5
50,55.80734,-4.23285,5
51,55.90479,-4.33487,2
51,55.90479,-4.33487,5
52,55.86122,-4.30655,5
53,55.8292,-4.29234,5
53,55.8292,-4.29234,2
54,55.89825,-4.39361,5
55,55.81229,-4.25966,5
56,55.89496,-4.22835,5
57,55.88868,-4.23059,5
58,55.85038,-4.11902,5
59,55.85095,-4.10888,5
60,55.8522,-4.10649,5
61,55.88265,-4.33871,5
62,55.90565,-4.07932,5
63,55.78687,-3.90717,5
64,55.78982,-3.90973,5
65,55.81246,-4.22633,5
66,55.89715,-4.30194,2
66,55.89715,-4.30194,5
67,55.79224,-4.09948,5
68,55.79162,-4.08397,5
69,55.80429,-4.22268,5
70,55.78282,-3.99418,2
70,55.78282,-3.99418,5
71,55.91099,-4.3364,5
72,55.8915,-4.35153,5
73,55.89585,-4.34701,5
74,55.89689,-4.34564,5
75,55.85684,-4.17072,5
76,55.85879,-4.16365,5
77,55.85816,-4.16833,5
78,55.75282,-4.18026,5
79,55.88441,-4.00143,5
80,55.79719,-3.98925,5
81,55.85346,-4.28078,5
82,55.87512,-4.30441,5
83,55.87626,-4.30598,5
84,55.87853,-4.19524,5
85,55.87971,-4.18792,5
86,55.87846,-4.19234,5
87,55.87276,-3.96258,5
88,55.77735,-3.90899,5
89,55.91835,-4.07739,5
90,55.91916,-4.07255,5
91,55.9155,-4.09108,5
92,55.87201,-4.2805,5
93,55.75905,-4.05434,5
94,55.76579,-4.05978,5
95,55.76376,-4.07351,5
96,55.75914,-4.06407,5
97,55.89092,-4.37446,5
98,55.89265,-4.19112,5
99,55.89264,-4.0502,5
100,55.89324,-4.05502,5
101,55.89342,-4.04581,5
102,55.90323,-4.37505,5
103,55.81484,-4.29006,5
104,55.74217,-4.196,5
105,55.95697,-4.58832,5
106,55.88604,-3.89456,5
107,55.79086,-3.91198,5
108,55.85665,-4.28852,5
109,55.867,-3.96501,5
110,55.86225,-4.3106,5
110,55.86225,-4.3106,3
111,55.76041,-4.15952,5
112,55.74467,-4.20769,5
113,56.00137,-4.57231,5
114,55.94995,-4.59593,5
115,55.77393,-4.06461,5
116,55.7887,-4.0771,5
117,55.90068,-4.40441,2
117,55.90068,-4.40441,5
118,55.87847,-3.96885,5
119,55.87003,-3.98597,5
120,55.80542,-4.31896,5
121,55.80165,-4.321,5
122,55.82332,-4.2087,5
123,55.81672,-3.98748,5
124,55.80344,-3.9764,5
125,55.88292,-4.26533,5
126,55.8839,-4.265,5
127,55.88339,-4.25965,5
128,55.88248,-4.26366,5
129,55.87533,-4.26108,5
130,55.87274,-4.26109,5
131,55.91641,-4.44941,5
132,55.91633,-4.44474,5
133,55.82646,-4.2377,5
134,55.82717,-4.23948,5
135,55.82628,-4.22951,5
136,55.82628,-4.2339,5
137,55.87242,-4.12967,5
138,55.76677,-4.31624,5
139,55.86686,-4.38829,5
140,55.86375,-4.37814,5
141,55.86267,-4.3735,5
142,55.92886,-4.38603,5
143,55.90547,-4.19966,5
144,55.78044,-4.09634,5
145,55.79901,-3.91793,5
146,55.84626,-4.27823,5
147,55.84278,-4.28908,5
148,55.81661,-4.21785,5
149,55.90499,-4.20558,5
150,55.76823,-3.94285,5
151,55.9037,-4.46021,5
152,55.90564,-4.46177,5
153,55.90987,-4.46244,5
154,55.88785,-4.27379,5
155,55.85014,-4.24727,5
156,55.84377,-4.24428,5
157,55.81643,-3.95633,5
158,55.81256,-3.9565,5
