nodeid,lat,lon,layer
1,51.87361,-2.21173,4
1,51.87361,-2.21173,5
2,51.9913,-2.15971,4
2,51.9913,-2.15971,5
3,51.86542,-2.23866,4
3,51.86542,-2.23866,2
3,51.86542,-2.23866,5
4,51.74457,-2.21939,4
4,51.74457,-2.21939,2
4,51.74457,-2.21939,5
5,51.74589,-2.27951,5
5,51.74589,-2.27951,2
6,51.89598,-2.17217,0
6,51.89598,-2.17217,5
7,51.99917,-2.10906,2
7,51.99917,-2.10906,5
8,51.8974,-2.09963,5
8,51.8974,-2.09963,2
9,51.72161,-2.15661,4
9,51.72161,-2.15661,5
10,51.8852,-2.11671,5
11,51.91194,-2.1014,5
12,51.758,-2.3375,5
13,51.81853,-2.28128,5
14,51.85869,-2.12508,5
15,51.93345,-2.14855,5
16,51.90311,-2.07388,5
17,52.00058,-2.1497,5
18,51.81137,-2.28496,5
19,51.81124,-2.28457,5
20,51.81727,-2.27995,5
21,51.81865,-2.27921,5
22,51.82104,-2.27805,5
23,51.82102,-2.2779,5
24,51.82543,-2.27714,5
25,51.74707,-2.13772,5
26,51.74708,-2.13761,5
27,51.74513,-2.21101,5
28,51.75435,-2.14357,5
29,51.74521,-2.21099,5
30,51.73579,-2.12594,5
31,51.73362,-2.12193,5
32,51.84883,-2.21024,5
33,51.8769,-2.20407,5
34,51.87686,-2.20441,5
35,51.87807,-2.21775,5
36,51.95236,-2.12198,5
37,51.68994,-2.22327,5
38,51.68749,-2.22573,5
39,51.74679,-2.24327,5
40,51.89497,-2.12784,4
40,51.89497,-2.12784,5
41,51.91351,-2.04895,5
42,51.90815,-2.05393,5
43,51.80174,-2.19204,5
44,51.80693,-2.1849,5
45,51.80675,-2.18503,5
46,51.80998,-2.18068,5
47,51.80982,-2.18072,5
48,51.81307,-2.17696,5
49,51.81248,-2.17754,5
50,51.77357,-2.21268,5
51,51.88811,-2.18497,5
52,51.88655,-2.17985,5
53,51.87988,-2.16848,5
54,51.88787,-2.1835,5
55,51.87821,-2.16342,5
56,51.87997,-2.16852,5
57,51.88767,-2.18545,5
58,51.87803,-2.16363,5
59,51.81665,-2.29174,5
60,51.84392,-2.23634,5
61,51.90832,-2.10705,5
62,51.83725,-2.25626,5
63,51.85084,-2.26837,5
64,51.86388,-2.11984,5
65,51.86298,-2.11921,5
66,51.86169,-2.12163,5
67,51.86165,-2.12147,5
68,51.86395,-2.1199,5
69,51.88429,-2.08683,5
70,51.86673,-2.11649,5
71,51.86669,-2.11643,5
