ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
119,120,1,1,5,0.94
119,120,1,1,5,0.94
119,120,1,1,5,0.94
119,120,1,1,5,0.94
119,120,1,1,5,0.94
119,120,1,1,5,0.94
120,119,1,1,5,0.94
120,119,1,1,5,0.94
120,119,1,1,5,0.94
120,119,1,1,5,0.94
120,119,1,1,5,0.94
120,119,1,1,5,0.94
5,8,2,2,3,2.709
5,8,2,2,3,2.709
5,8,2,2,3,2.709
5,8,2,2,3,2.709
5,22,2,2,4,2.591
5,22,2,2,4,2.591
5,22,2,2,4,2.591
5,22,2,2,4,2.591
8,5,2,2,2,2.709
8,5,2,2,2,2.709
8,5,2,2,2,2.709
8,5,2,2,2,2.709
9,22,2,2,3,4.051
9,22,2,2,3,4.051
9,22,2,2,3,4.051
9,22,2,2,3,4.051
22,5,2,2,4,2.591
22,5,2,2,4,2.591
22,5,2,2,4,2.591
22,5,2,2,4,2.591
22,9,2,2,3,4.051
22,9,2,2,3,4.051
22,9,2,2,3,4.051
22,9,2,2,3,4.051
29,119,2,2,3,3.087
29,119,2,2,3,3.087
29,119,2,2,3,3.087
29,119,2,2,3,3.087
29,119,2,2,3,3.087
29,119,2,2,3,3.087
29,124,2,2,2,1.042
29,124,2,2,2,1.042
29,124,2,2,2,1.042
29,124,2,2,2,1.042
119,29,2,2,3,3.087
119,29,2,2,3,3.087
119,29,2,2,3,3.087
119,29,2,2,3,3.087
119,29,2,2,3,3.087
119,29,2,2,3,3.087
124,29,2,2,2,1.042
124,29,2,2,2,1.042
124,29,2,2,2,1.042
124,29,2,2,2,1.042
1,23,5,5,1,0.181
1,61,5,5,1,0.299
2,5,5,5,2,0.675
2,5,5,5,2,0.675
2,46,5,5,1,0.185
3,83,5,5,1,0.341
3,127,5,5,1,0.243
4,26,5,5,1,0.172
4,81,5,5,1,0.257
4,95,5,5,1,0.311
4,236,5,5,1,0.453
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,12,5,5,2,0.611
5,12,5,5,2,0.611
5,34,5,5,1,0.892
5,34,5,5,1,0.892
5,76,5,5,4,1.397
5,76,5,5,4,1.397
5,131,5,5,1,0.583
5,131,5,5,1,0.583
5,167,5,5,1,0.427
5,167,5,5,1,0.427
6,18,5,5,1,0.351
6,84,5,5,1,0.479
6,185,5,5,1,0.154
6,450,5,5,1,0.365
7,88,5,5,1,0.401
7,93,5,5,1,0.471
7,220,5,5,4,1.043
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,83,5,5,1,0.725
8,83,5,5,1,0.725
8,96,5,5,1,0.667
8,96,5,5,1,0.667
8,133,5,5,1,0.362
8,133,5,5,1,0.362
9,9,5,5,1,0.0
9,9,5,5,1,0.0
9,9,5,5,1,0.0
9,9,5,5,1,0.0
9,62,5,5,1,0.519
9,62,5,5,1,0.519
9,90,5,5,2,0.835
9,90,5,5,2,0.835
9,98,5,5,1,0.786
9,98,5,5,1,0.786
9,102,5,5,1,0.653
9,102,5,5,1,0.653
10,21,5,5,1,1.047
10,30,5,5,1,0.438
10,75,5,5,1,0.391
11,70,5,5,2,0.391
12,82,5,5,1,0.196
12,308,5,5,1,0.255
13,56,5,5,1,0.323
13,88,5,5,1,0.779
13,100,5,5,2,0.612
13,105,5,5,1,0.202
13,273,5,5,2,0.75
13,276,5,5,2,0.771
13,286,5,5,3,0.757
13,389,5,5,2,0.721
13,390,5,5,2,0.736
14,276,5,5,1,0.6
14,300,5,5,3,0.586
14,366,5,5,1,0.69
14,389,5,5,2,0.656
15,66,5,5,1,0.148
15,70,5,5,1,0.367
16,141,5,5,1,0.319
16,201,5,5,1,0.286
16,232,5,5,2,0.757
16,295,5,5,1,0.29
16,371,5,5,1,0.221
16,401,5,5,1,0.226
16,434,5,5,3,0.904
17,63,5,5,2,1.082
17,69,5,5,1,0.504
17,81,5,5,2,0.493
17,407,5,5,1,0.366
18,6,5,5,1,0.351
18,90,5,5,1,0.253
18,98,5,5,1,0.303
18,185,5,5,2,0.505
19,116,5,5,1,0.268
19,118,5,5,1,0.278
20,24,5,5,1,0.334
20,45,5,5,1,0.278
21,10,5,5,2,1.047
21,102,5,5,1,1.063
21,114,5,5,1,0.308
21,189,5,5,1,0.264
22,22,5,5,1,0.0
22,22,5,5,1,0.0
22,22,5,5,1,0.0
22,22,5,5,1,0.0
22,91,5,5,2,0.632
22,91,5,5,2,0.632
22,218,5,5,1,0.877
22,218,5,5,1,0.877
22,273,5,5,5,0.625
22,273,5,5,5,0.625
23,1,5,5,1,0.181
23,26,5,5,1,0.287
23,61,5,5,1,0.317
24,20,5,5,1,0.334
24,78,5,5,1,0.365
24,113,5,5,1,0.279
25,67,5,5,1,0.377
25,86,5,5,1,0.277
26,4,5,5,1,0.172
26,23,5,5,2,0.287
27,59,5,5,1,0.681
27,80,5,5,1,0.355
27,304,5,5,1,0.199
28,41,5,5,5,0.187
28,259,5,5,1,0.276
29,130,5,5,1,0.692
29,130,5,5,1,0.692
29,166,5,5,1,1.128
29,166,5,5,1,1.128
29,331,5,5,1,0.559
29,331,5,5,1,0.559
30,10,5,5,1,0.438
30,53,5,5,1,0.486
31,93,5,5,1,0.524
31,193,5,5,1,0.253
32,99,5,5,1,0.567
32,231,5,5,2,0.834
33,94,5,5,1,0.563
33,118,5,5,1,0.979
34,5,5,5,1,0.892
34,5,5,5,1,0.892
34,106,5,5,1,0.267
35,92,5,5,1,0.285
35,117,5,5,1,0.365
36,76,5,5,2,0.524
36,100,5,5,2,1.049
37,123,5,5,1,0.82
37,129,5,5,1,0.539
38,77,5,5,1,0.444
38,106,5,5,1,0.396
39,46,5,5,1,0.521
39,80,5,5,1,0.463
40,83,5,5,1,0.826
40,120,5,5,4,1.555
40,120,5,5,4,1.555
41,28,5,5,4,0.187
41,107,5,5,1,0.424
42,85,5,5,1,0.269
42,92,5,5,1,0.242
43,7,5,5,1,0.476
43,104,5,5,1,0.387
43,380,5,5,1,0.422
44,66,5,5,1,0.659
44,111,5,5,1,0.093
44,330,5,5,1,0.262
45,18,5,5,1,0.411
45,20,5,5,1,0.278
46,2,5,5,1,0.185
46,39,5,5,1,0.521
47,115,5,5,1,0.316
47,131,5,5,1,0.423
48,89,5,5,1,0.201
48,117,5,5,1,0.213
49,428,5,5,1,0.385
50,58,5,5,1,0.144
50,92,5,5,1,0.343
50,292,5,5,1,0.3
51,52,5,5,1,0.259
51,106,5,5,1,0.357
52,51,5,5,1,0.259
52,69,5,5,1,0.379
52,283,5,5,1,0.191
53,30,5,5,1,0.486
53,214,5,5,1,0.338
54,61,5,5,1,0.253
54,89,5,5,1,0.301
54,95,5,5,1,0.2
55,85,5,5,5,2.28
55,109,5,5,2,0.915
55,121,5,5,5,2.01
55,199,5,5,2,0.849
55,311,5,5,2,0.866
55,313,5,5,2,1.916
56,13,5,5,1,0.323
56,88,5,5,1,0.479
56,300,5,5,3,1.047
57,69,5,5,4,0.997
57,99,5,5,1,0.125
57,115,5,5,1,0.381
57,283,5,5,3,0.756
58,50,5,5,1,0.144
58,186,5,5,1,0.209
59,315,5,5,1,0.165
60,63,5,5,2,1.328
60,126,5,5,1,0.105
60,128,5,5,1,0.634
61,1,5,5,1,0.299
61,95,5,5,1,0.138
62,9,5,5,1,0.519
62,9,5,5,1,0.519
62,31,5,5,1,0.696
63,17,5,5,2,1.082
63,60,5,5,2,1.328
64,107,5,5,1,0.284
64,122,5,5,1,0.178
65,27,5,5,1,0.387
65,274,5,5,4,1.282
65,275,5,5,3,1.28
65,288,5,5,3,1.263
65,289,5,5,3,1.266
65,390,5,5,4,1.253
66,15,5,5,1,0.148
66,44,5,5,2,0.659
66,111,5,5,2,0.631
67,25,5,5,2,0.377
67,82,5,5,1,0.192
68,127,5,5,1,0.193
68,241,5,5,1,0.312
69,17,5,5,1,0.504
69,52,5,5,1,0.379
69,57,5,5,3,0.997
69,81,5,5,1,0.218
69,407,5,5,1,0.307
70,11,5,5,1,0.391
70,15,5,5,1,0.367
70,71,5,5,2,1.192
70,444,5,5,1,0.357
71,68,5,5,2,0.496
71,284,5,5,1,0.514
72,78,5,5,1,0.099
72,104,5,5,1,0.346
73,103,5,5,1,0.259
73,340,5,5,2,0.507
74,74,5,5,1,0.0
74,87,5,5,1,0.676
74,279,5,5,1,0.537
74,318,5,5,3,1.524
74,364,5,5,1,0.173
75,10,5,5,1,0.391
75,114,5,5,1,0.352
76,5,5,5,4,1.397
76,5,5,5,4,1.397
76,385,5,5,1,0.171
77,38,5,5,1,0.444
77,111,5,5,1,0.388
78,24,5,5,1,0.365
78,72,5,5,1,0.099
78,123,5,5,1,0.329
79,70,5,5,2,0.803
79,157,5,5,1,0.2
80,27,5,5,1,0.355
80,435,5,5,1,0.231
81,4,5,5,1,0.257
81,69,5,5,1,0.218
81,407,5,5,1,0.459
82,12,5,5,1,0.196
82,67,5,5,1,0.192
83,3,5,5,1,0.341
83,8,5,5,1,0.725
83,8,5,5,1,0.725
83,40,5,5,1,0.826
84,6,5,5,2,0.479
84,104,5,5,1,0.367
85,42,5,5,1,0.269
85,55,5,5,3,2.28
85,92,5,5,1,0.349
85,100,5,5,4,1.739
85,121,5,5,1,0.281
85,433,5,5,1,0.266
86,25,5,5,2,0.277
86,269,5,5,4,0.909
87,74,5,5,1,0.676
87,147,5,5,1,0.431
87,250,5,5,1,0.504
87,320,5,5,1,0.383
87,363,5,5,1,0.703
87,372,5,5,1,0.393
88,7,5,5,1,0.401
88,13,5,5,2,0.779
88,56,5,5,1,0.479
88,105,5,5,3,0.847
88,194,5,5,1,0.42
88,220,5,5,2,0.82
89,48,5,5,1,0.201
89,54,5,5,1,0.301
90,18,5,5,1,0.253
90,301,5,5,1,0.273
91,105,5,5,1,0.305
91,420,5,5,1,0.318
92,35,5,5,1,0.285
92,42,5,5,1,0.242
92,50,5,5,1,0.343
92,85,5,5,1,0.349
92,117,5,5,1,0.645
92,231,5,5,1,0.841
93,7,5,5,1,0.471
93,31,5,5,1,0.524
94,33,5,5,1,0.563
94,128,5,5,1,0.326
95,4,5,5,1,0.311
95,54,5,5,1,0.2
95,61,5,5,1,0.138
96,83,5,5,1,0.101
96,403,5,5,1,0.334
97,406,5,5,1,0.382
98,9,5,5,1,0.786
98,9,5,5,1,0.786
98,18,5,5,1,0.303
99,57,5,5,1,0.125
99,278,5,5,1,0.271
100,13,5,5,1,0.612
100,36,5,5,2,1.049
100,85,5,5,4,1.739
101,115,5,5,1,0.146
101,122,5,5,1,0.393
102,9,5,5,1,0.653
102,9,5,5,1,0.653
102,21,5,5,1,1.063
103,73,5,5,1,0.259
103,440,5,5,2,0.576
104,43,5,5,1,0.387
104,72,5,5,1,0.346
105,7,5,5,3,1.237
105,13,5,5,1,0.202
105,88,5,5,4,0.847
105,91,5,5,1,0.305
106,34,5,5,1,0.267
106,38,5,5,1,0.396
106,51,5,5,1,0.357
107,41,5,5,2,0.424
107,64,5,5,1,0.284
108,44,5,5,1,0.369
108,253,5,5,1,0.31
109,55,5,5,1,0.915
109,173,5,5,1,0.206
109,311,5,5,1,0.18
110,53,5,5,2,0.994
111,17,5,5,1,0.8
111,44,5,5,1,0.093
111,69,5,5,2,0.939
111,77,5,5,1,0.388
111,128,5,5,4,3.21
112,176,5,5,1,0.724
112,431,5,5,1,0.253
113,6,5,5,1,0.323
113,24,5,5,1,0.279
114,21,5,5,1,0.308
114,75,5,5,1,0.352
115,47,5,5,1,0.316
115,57,5,5,1,0.381
115,101,5,5,1,0.146
116,19,5,5,1,0.268
117,35,5,5,1,0.365
117,48,5,5,1,0.213
117,92,5,5,2,0.645
117,243,5,5,1,0.095
118,19,5,5,1,0.278
118,33,5,5,1,0.979
119,119,5,5,1,0.0
119,119,5,5,1,0.0
119,119,5,5,1,0.0
119,119,5,5,1,0.0
119,119,5,5,1,0.0
119,119,5,5,1,0.0
119,119,5,5,1,0.0
119,119,5,5,1,0.0
119,119,5,5,1,0.0
119,143,5,5,2,0.899
119,143,5,5,2,0.899
119,143,5,5,2,0.899
119,154,5,5,1,1.067
119,154,5,5,1,1.067
119,154,5,5,1,1.067
119,161,5,5,3,1.011
119,161,5,5,3,1.011
119,161,5,5,3,1.011
119,183,5,5,2,0.699
119,183,5,5,2,0.699
119,183,5,5,2,0.699
119,210,5,5,1,0.567
119,210,5,5,1,0.567
119,210,5,5,1,0.567
119,213,5,5,1,0.517
119,213,5,5,1,0.517
119,213,5,5,1,0.517
119,257,5,5,1,0.9
119,257,5,5,1,0.9
119,257,5,5,1,0.9
119,270,5,5,4,1.445
119,270,5,5,4,1.445
119,270,5,5,4,1.445
119,344,5,5,7,1.477
119,344,5,5,7,1.477
119,344,5,5,7,1.477
119,386,5,5,1,0.45
119,386,5,5,1,0.45
119,386,5,5,1,0.45
119,402,5,5,1,0.564
119,402,5,5,1,0.564
119,402,5,5,1,0.564
119,402,5,5,1,0.564
119,402,5,5,1,0.564
119,402,5,5,1,0.564
119,405,5,5,1,0.579
119,405,5,5,1,0.579
119,405,5,5,1,0.579
120,40,5,5,3,1.555
120,40,5,5,3,1.555
121,55,5,5,4,2.01
121,243,5,5,1,0.22
122,64,5,5,1,0.178
122,101,5,5,1,0.393
123,37,5,5,1,0.82
123,78,5,5,1,0.329
