nodeid,lat,lon,layer
1,51.49706,0.34548,5
2,51.47656,0.31207,5
3,51.46278,0.36901,5
4,51.49336,0.34011,5
5,51.47625,0.32183,2
5,51.47625,0.32183,5
6,51.51019,0.2838,5
7,51.50266,0.29392,5
8,51.46236,0.35404,5
8,51.46236,0.35404,2
9,51.522,0.29047,5
9,51.522,0.29047,2
10,51.54447,0.29411,5
11,51.48102,0.37348,5
12,51.47688,0.33061,5
13,51.49236,0.29342,5
14,51.48973,0.27409,5
15,51.4815,0.3626,5
16,51.41254,0.38411,5
17,51.4909,0.34783,5
18,51.51335,0.28395,5
19,51.51209,0.41244,5
20,51.51051,0.27603,5
21,51.5354,0.29831,5
22,51.48556,0.28746,5
22,51.48556,0.28746,2
23,51.49543,0.34567,5
24,51.5075,0.27628,5
25,51.4767,0.34155,5
26,51.49452,0.34177,5
27,51.47639,0.29058,5
28,51.49083,0.31229,5
29,51.44441,0.32263,5
29,51.44441,0.32263,2
30,51.54322,0.28809,5
31,51.5116,0.29306,5
32,51.49457,0.32039,5
33,51.50869,0.39507,5
34,51.48114,0.33208,5
35,51.49895,0.32707,5
36,51.49328,0.31725,5
37,51.49949,0.26195,5
38,51.48416,0.34037,5
39,51.4778,0.3022,5
40,51.46326,0.37609,5
41,51.48924,0.3132,5
42,51.49981,0.32086,5
43,51.50255,0.28703,5
44,51.48505,0.35244,5
45,51.51266,0.2781,5
46,51.4764,0.3094,5
47,51.48387,0.32486,5
48,51.50103,0.33452,5
49,51.50606,0.24823,5
50,51.49785,0.32808,5
51,51.48555,0.33588,5
52,51.48789,0.336,5
53,51.54249,0.28114,5
54,51.49787,0.33861,5
55,51.50847,0.35489,5
56,51.49491,0.29568,5
57,51.48992,0.32675,5
58,51.49719,0.32627,5
59,51.47583,0.28077,5
60,51.50456,0.37409,5
61,51.49633,0.34131,5
62,51.51785,0.29395,5
63,51.49861,0.35741,5
64,51.49243,0.32024,5
65,51.47919,0.28723,5
66,51.48195,0.36057,5
67,51.47628,0.33614,5
68,51.46669,0.3697,5
69,51.48912,0.34112,5
70,51.48167,0.36791,5
71,51.47093,0.36743,5
72,51.50332,0.27651,5
73,51.46841,0.36446,5
74,51.42942,0.40227,5
75,51.54113,0.29593,5
76,51.48856,0.31763,5
77,51.48491,0.34668,5
78,51.50421,0.27641,5
79,51.48823,0.37283,5
80,51.47687,0.29567,5
81,51.49107,0.3407,5
82,51.47663,0.33342,5
83,51.46159,0.36445,5
84,51.506,0.28213,5
85,51.50125,0.324,5
86,51.4773,0.34545,5
87,51.43234,0.39369,5
88,51.49923,0.29576,5
89,51.50046,0.33729,5
90,51.51563,0.28404,5
91,51.49049,0.29203,5
92,51.49815,0.32314,5
93,51.50688,0.29311,5
94,51.50683,0.38748,5
95,51.49612,0.33934,5
96,51.46237,0.36369,5
97,51.47992,0.27894,5
98,51.51523,0.28713,5
99,51.49101,0.32629,5
100,51.49357,0.30207,5
101,51.48791,0.32381,5
102,51.52583,0.29766,5
103,51.47062,0.3657,5
104,51.50272,0.28143,5
105,51.4916,0.29608,5
106,51.48234,0.33544,5
107,51.48995,0.31923,5
108,51.48819,0.35068,5
109,51.51248,0.36647,5
110,51.54094,0.26695,5
111,51.48422,0.35219,5
112,51.49016,0.30363,5
113,51.50847,0.28002,5
114,51.53815,0.29767,5
115,51.48672,0.32473,5
116,51.51335,0.41575,5
117,51.5008,0.33145,5
118,51.51138,0.40857,5
119,51.44226,0.36711,5
119,51.44226,0.36711,2
119,51.44226,0.36711,1
120,51.45071,0.36608,5
120,51.45071,0.36608,1
121,51.50149,0.32805,5
122,51.49128,0.32205,5
123,51.5021,0.27306,5
124,51.44907,0.30955,5
124,51.44907,0.30955,2
125,51.50981,0.37071,5
126,51.50529,0.37312,5
127,51.46496,0.36941,5
128,51.50583,0.38304,5
129,51.49913,0.25417,5
130,51.44461,0.33263,5
131,51.48033,0.32714,5
132,51.41822,0.3829,5
133,51.46466,0.35032,5
134,51.43466,0.35449,5
135,51.42432,0.37477,5
136,51.43311,0.36451,5
137,51.41008,0.46069,5
138,51.43539,0.35798,5
139,51.43108,0.37515,5
140,51.4125,0.38697,5
141,51.41537,0.38498,5
142,51.42157,0.35248,5
143,51.43969,0.37944,5
144,51.49063,0.37508,5
145,51.48604,0.35006,5
146,51.48689,0.36766,5
147,51.43186,0.39987,5
148,51.44325,0.33609,5
149,51.43019,0.36575,5
150,51.49165,0.37478,5
151,51.42958,0.39742,5
152,51.41462,0.38247,5
153,51.42398,0.35332,5
154,51.43277,0.36465,5
155,51.41908,0.43467,5
156,51.42915,0.40957,5
157,51.48657,0.37397,5
158,51.42224,0.34997,5
159,51.43896,0.38306,5
160,51.4278,0.39259,5
161,51.43525,0.35778,5
162,51.41949,0.43538,5
163,51.44218,0.34978,5
164,51.43626,0.34376,5
165,51.43717,0.33261,5
166,51.43703,0.33385,5
167,51.47697,0.31575,5
168,51.41839,0.44004,5
169,51.42944,0.36438,5
170,51.42666,0.37816,5
171,51.42466,0.37961,5
172,51.44229,0.35353,5
173,51.51264,0.36945,5
174,51.41938,0.43424,5
175,51.44204,0.34104,5
176,51.48394,0.30047,5
177,51.43586,0.35724,5
178,51.41121,0.37842,5
179,51.41778,0.4418,5
180,51.4275,0.36341,5
181,51.431,0.35608,5
182,51.43287,0.34398,5
183,51.43668,0.36242,5
184,51.44225,0.35472,5
185,51.5088,0.28391,5
186,51.49597,0.32859,5
187,51.41224,0.37985,5
188,51.43653,0.36673,5
189,51.53307,0.29913,5
190,51.42429,0.39959,5
191,51.42944,0.36041,5
192,51.42438,0.38988,5
193,51.51388,0.29292,5
194,51.50243,0.2925,5
195,51.43591,0.36903,5
196,51.44223,0.35177,5
197,51.43222,0.33713,5
198,51.43017,0.33942,5
199,51.51089,0.36655,5
200,51.40729,0.43324,5
201,51.41172,0.38019,5
202,51.49928,0.29681,5
203,51.49785,0.25608,5
204,51.41921,0.36882,5
205,51.42928,0.36009,5
206,51.42077,0.38286,5
207,51.44197,0.33824,5
208,51.42265,0.3808,5
209,51.42083,0.38162,5
210,51.43882,0.36105,5
211,51.42549,0.3975,5
212,51.42739,0.35774,5
213,51.4414,0.37446,5
214,51.54185,0.27635,5
215,51.42148,0.35275,5
216,51.43054,0.40521,5
217,51.42699,0.35719,5
218,51.48138,0.29823,5
219,51.41099,0.3787,5
220,51.49867,0.30759,5
221,51.42191,0.38352,5
222,51.48229,0.37414,5
223,51.43955,0.36221,5
224,51.48537,0.37607,5
225,51.48666,0.37274,5
226,51.42648,0.38541,5
227,51.42643,0.347,5
228,51.48995,0.36915,5
229,51.43233,0.36909,5
230,51.41241,0.37436,5
231,51.49938,0.31112,5
232,51.41931,0.3828,5
233,51.43419,0.37501,5
234,51.43196,0.3984,5
235,51.43898,0.34694,5
236,51.4954,0.33443,5
237,51.42862,0.33894,5
238,51.42942,0.38564,5
239,51.4271,0.34962,5
240,51.41911,0.36013,5
241,51.46945,0.36885,5
242,51.43045,0.36843,5
243,51.5002,0.33047,5
244,51.41648,0.37024,5
245,51.43117,0.34657,5
246,51.42882,0.37452,5
247,51.44605,0.31052,5
248,51.4321,0.37463,5
249,51.42923,0.33998,5
250,51.43114,0.38666,5
251,51.41338,0.38718,5
252,51.42471,0.3988,5
253,51.49099,0.3507,5
254,51.44134,0.35431,5
255,51.43892,0.3473,5
256,51.43551,0.34196,5
257,51.44113,0.35423,5
258,51.45121,0.30123,5
259,51.49273,0.30971,5
260,51.44165,0.37115,5
261,51.40745,0.43296,5
262,51.50962,0.2504,5
263,51.41598,0.39456,5
264,51.44367,0.33601,5
265,51.42302,0.39932,5
266,51.41441,0.37091,5
267,51.42435,0.36823,5
268,51.43006,0.36543,5
269,51.46911,0.34533,5
270,51.43361,0.35151,5
271,51.43019,0.36813,5
272,51.41511,0.38534,5
273,51.49046,0.283,5
274,51.49048,0.28332,5
275,51.49049,0.28355,5
276,51.49041,0.28271,5
277,51.42546,0.39766,5
278,51.49286,0.32373,5
279,51.42924,0.41003,5
280,51.46463,0.35065,5
281,51.45017,0.31831,5
282,51.4238,0.38492,5
283,51.48928,0.33764,5
284,51.47553,0.36654,5
285,51.42754,0.39214,5
286,51.49032,0.28296,5
287,51.49016,0.28275,5
288,51.49034,0.28354,5
289,51.49033,0.28329,5
290,51.43621,0.35727,5
291,51.41668,0.4603,5
292,51.50019,0.33026,5
293,51.41203,0.45607,5
294,51.42278,0.35373,5
295,51.41273,0.38829,5
296,51.42596,0.39996,5
297,51.41903,0.369,5
298,51.40323,0.42143,5
299,51.41622,0.38031,5
300,51.49022,0.28254,5
301,51.51799,0.28515,5
302,51.42698,0.38932,5
303,51.41456,0.43076,5
304,51.47705,0.28789,5
305,51.41659,0.44699,5
306,51.42113,0.38873,5
307,51.42683,0.38953,5
308,51.47789,0.32729,5
309,51.41639,0.37056,5
310,51.51462,0.37602,5
311,51.51087,0.36682,5
312,51.4296,0.39453,5
313,51.50239,0.32893,5
314,51.41426,0.43054,5
315,51.47612,0.28312,5
316,51.42411,0.38958,5
317,51.41649,0.44689,5
318,51.41573,0.40065,5
319,51.42672,0.34763,5
320,51.43202,0.38818,5
321,51.4128,0.38069,5
322,51.51494,0.37503,5
323,51.42492,0.36813,5
324,51.40333,0.42129,5
325,51.43374,0.35158,5
326,51.41983,0.43186,5
327,51.43511,0.33406,5
328,51.42069,0.39839,5
329,51.49024,0.3717,5
330,51.48689,0.35005,5
331,51.44938,0.32128,5
332,51.4159,0.4012,5
333,51.41226,0.45641,5
334,51.43389,0.39194,5
335,51.43037,0.3402,5
336,51.42659,0.35355,5
337,51.42863,0.34936,5
338,51.43243,0.3885,5
339,51.42767,0.36781,5
340,51.46386,0.36375,5
341,51.42885,0.3768,5
342,51.44536,0.32954,5
343,51.429,0.38566,5
344,51.42905,0.36449,5
345,51.44213,0.3416,5
346,51.42019,0.43238,5
347,51.43465,0.33308,5
348,51.44929,0.3216,5
349,51.42718,0.40038,5
350,51.43113,0.37475,5
351,51.41521,0.45107,5
352,51.43363,0.3452,5
353,51.42646,0.35309,5
354,51.42614,0.34529,5
355,51.41559,0.45913,5
356,51.41179,0.37657,5
357,51.42292,0.34889,5
358,51.42641,0.38563,5
359,51.44225,0.34984,5
360,51.43139,0.38676,5
361,51.42245,0.42458,5
362,51.49205,0.37312,5
363,51.43737,0.38751,5
364,51.42797,0.40133,5
365,51.42394,0.35319,5
366,51.4843,0.27897,5
367,51.42138,0.38554,5
368,51.42317,0.34765,5
369,51.42341,0.38485,5
370,51.4228,0.42482,5
371,51.41108,0.38628,5
372,51.43505,0.39003,5
373,51.42238,0.3538,5
374,51.48187,0.37163,5
375,51.42238,0.3878,5
376,51.48064,0.28323,5
377,51.44241,0.35959,5
378,51.43836,0.38746,5
379,51.43048,0.40579,5
380,51.50327,0.28103,5
381,51.43912,0.38312,5
382,51.43166,0.40213,5
383,51.4309,0.39546,5
384,51.43533,0.3956,5
385,51.49,0.31673,5
386,51.44214,0.37362,5
387,51.45031,0.31837,5
388,51.42741,0.39864,5
389,51.49025,0.28355,5
390,51.49022,0.28333,5
391,51.41742,0.37965,5
392,51.42687,0.34945,5
393,51.42164,0.37673,5
394,51.42113,0.38893,5
395,51.42641,0.37586,5
396,51.49794,0.3038,5
397,51.42259,0.38822,5
398,51.43173,0.40231,5
399,51.4198,0.35532,5
400,51.42993,0.39464,5
401,51.41266,0.38084,5
402,51.43733,0.36913,4
402,51.43733,0.36913,5
403,51.46538,0.36348,5
404,51.43114,0.39544,5
405,51.4423,0.35874,5
406,51.48222,0.28306,5
407,51.48803,0.34521,5
408,51.43764,0.36899,5
409,51.43124,0.34411,5
410,51.4335,0.36958,5
411,51.42412,0.3803,5
412,51.42682,0.39862,5
413,51.48862,0.36572,5
414,51.49581,0.33652,5
415,51.42743,0.36764,5
416,51.41933,0.39369,5
417,51.41545,0.45917,5
418,51.42611,0.41693,5
419,51.43616,0.36888,5
420,51.4884,0.28887,5
421,51.42227,0.37399,5
422,51.4206,0.39869,5
423,51.43406,0.37513,5
424,51.40961,0.46114,5
425,51.43904,0.37155,5
426,51.43658,0.37341,5
427,51.51465,0.36941,5
428,51.50742,0.25337,5
429,51.43201,0.33759,5
430,51.42849,0.3589,5
431,51.49215,0.30543,5
432,51.41928,0.35988,5
433,51.49985,0.32086,5
434,51.4185,0.39301,5
435,51.47757,0.29883,5
436,51.41821,0.3836,5
437,51.42085,0.3967,5
438,51.41384,0.45248,5
439,51.43988,0.37804,5
440,51.47581,0.36607,5
441,51.42918,0.35803,5
442,51.43407,0.35325,5
443,51.42129,0.38153,5
444,51.48481,0.36908,5
445,51.48801,0.27407,5
446,51.4413,0.3743,5
447,51.44261,0.33705,5
448,51.4315,0.33461,5
449,51.42936,0.39779,5
450,51.51332,0.28215,5
451,51.42632,0.4174,5
452,51.48098,0.2975,5
