ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
28,109,2,2,4,2.414
28,109,2,2,4,2.414
28,109,2,2,4,2.414
28,109,2,2,4,2.414
28,109,2,2,4,2.414
28,109,2,2,4,2.414
28,241,2,2,2,1.085
28,241,2,2,2,1.085
28,241,2,2,2,1.085
28,241,2,2,2,1.085
42,109,2,2,9,3.814
42,109,2,2,9,3.814
42,109,2,2,9,3.814
42,109,2,2,9,3.814
42,109,2,2,9,3.814
42,109,2,2,9,3.814
42,109,2,2,9,3.814
42,109,2,2,9,3.814
42,109,2,2,9,3.814
42,241,2,2,2,1.358
42,241,2,2,2,1.358
42,241,2,2,2,1.358
42,241,2,2,2,1.358
42,241,2,2,2,1.358
42,241,2,2,2,1.358
42,244,2,2,4,3.132
42,244,2,2,4,3.132
42,244,2,2,4,3.132
42,244,2,2,4,3.132
42,244,2,2,4,3.132
42,244,2,2,4,3.132
109,28,2,2,3,2.414
109,28,2,2,3,2.414
109,28,2,2,3,2.414
109,28,2,2,3,2.414
109,28,2,2,3,2.414
109,28,2,2,3,2.414
109,42,2,2,6,3.814
109,42,2,2,6,3.814
109,42,2,2,6,3.814
109,42,2,2,6,3.814
109,42,2,2,6,3.814
109,42,2,2,6,3.814
109,42,2,2,6,3.814
109,42,2,2,6,3.814
109,42,2,2,6,3.814
109,241,2,2,5,3.355
109,241,2,2,5,3.355
109,241,2,2,5,3.355
109,241,2,2,5,3.355
109,241,2,2,5,3.355
109,241,2,2,5,3.355
241,28,2,2,2,1.085
241,28,2,2,2,1.085
241,28,2,2,2,1.085
241,28,2,2,2,1.085
241,42,2,2,3,1.358
241,42,2,2,3,1.358
241,42,2,2,3,1.358
241,42,2,2,3,1.358
241,42,2,2,3,1.358
241,42,2,2,3,1.358
241,109,2,2,6,3.355
241,109,2,2,6,3.355
241,109,2,2,6,3.355
241,109,2,2,6,3.355
241,109,2,2,6,3.355
241,109,2,2,6,3.355
244,42,2,2,5,3.132
244,42,2,2,5,3.132
244,42,2,2,5,3.132
244,42,2,2,5,3.132
244,42,2,2,5,3.132
244,42,2,2,5,3.132
42,109,4,4,10,3.814
42,109,4,4,10,3.814
42,109,4,4,10,3.814
42,109,4,4,10,3.814
42,109,4,4,10,3.814
42,109,4,4,10,3.814
42,109,4,4,10,3.814
42,109,4,4,10,3.814
42,109,4,4,10,3.814
90,109,4,4,7,4.93
90,109,4,4,7,4.93
90,109,4,4,7,4.93
90,109,4,4,7,4.93
90,109,4,4,7,4.93
90,109,4,4,7,4.93
109,42,4,4,10,3.814
109,42,4,4,10,3.814
109,42,4,4,10,3.814
109,42,4,4,10,3.814
109,42,4,4,10,3.814
109,42,4,4,10,3.814
109,42,4,4,10,3.814
109,42,4,4,10,3.814
109,42,4,4,10,3.814
109,90,4,4,10,4.93
109,90,4,4,10,4.93
109,90,4,4,10,4.93
109,90,4,4,10,4.93
109,90,4,4,10,4.93
109,90,4,4,10,4.93
1,2,5,5,1,0.154
1,159,5,5,1,0.58
2,1,5,5,1,0.154
2,89,5,5,1,0.16
3,6,5,5,1,0.245
3,184,5,5,1,0.244
4,5,5,5,1,0.198
4,109,5,5,1,0.583
4,109,5,5,1,0.583
4,109,5,5,1,0.583
5,4,5,5,1,0.198
5,184,5,5,1,0.315
6,3,5,5,1,0.245
6,7,5,5,1,0.266
7,6,5,5,1,0.266
7,28,5,5,1,0.657
7,28,5,5,1,0.657
7,271,5,5,2,0.682
8,52,5,5,2,0.474
8,132,5,5,1,0.274
8,136,5,5,1,0.294
8,278,5,5,1,0.333
9,10,5,5,1,0.344
9,108,5,5,1,0.159
10,9,5,5,1,0.344
10,98,5,5,1,0.149
11,37,5,5,1,0.32
11,222,5,5,1,0.19
12,89,5,5,1,0.202
12,91,5,5,1,0.296
12,170,5,5,1,0.149
13,35,5,5,1,0.271
13,42,5,5,1,0.774
13,42,5,5,1,0.774
13,42,5,5,1,0.774
13,99,5,5,1,0.166
13,275,5,5,2,0.49
13,282,5,5,1,0.181
14,16,5,5,1,0.254
14,139,5,5,1,0.296
15,82,5,5,1,0.222
15,272,5,5,2,0.227
15,290,5,5,3,0.809
16,14,5,5,1,0.254
16,240,5,5,1,0.22
17,19,5,5,1,0.124
17,82,5,5,1,0.145
18,81,5,5,1,0.184
18,240,5,5,1,0.304
19,17,5,5,1,0.124
19,125,5,5,1,0.076
20,39,5,5,1,0.26
20,40,5,5,1,0.258
20,269,5,5,3,2.479
21,22,5,5,1,0.287
21,25,5,5,1,0.263
21,108,5,5,1,0.315
22,21,5,5,1,0.287
22,23,5,5,1,0.204
22,246,5,5,1,0.13
23,22,5,5,1,0.204
23,56,5,5,1,0.154
24,25,5,5,1,0.215
24,112,5,5,1,0.169
25,21,5,5,1,0.263
25,24,5,5,1,0.215
26,96,5,5,1,0.382
26,180,5,5,1,0.333
27,217,5,5,1,0.145
27,248,5,5,1,0.213
28,7,5,5,2,0.657
28,7,5,5,2,0.657
28,28,5,5,1,0.0
28,28,5,5,1,0.0
28,28,5,5,1,0.0
28,28,5,5,1,0.0
28,241,5,5,1,1.085
28,241,5,5,1,1.085
28,241,5,5,1,1.085
28,241,5,5,1,1.085
28,273,5,5,3,0.249
28,273,5,5,3,0.249
28,290,5,5,1,0.414
28,290,5,5,1,0.414
29,30,5,5,1,0.158
29,32,5,5,1,0.167
30,29,5,5,1,0.158
30,74,5,5,1,0.163
30,156,5,5,2,0.345
31,32,5,5,1,0.133
31,34,5,5,1,0.232
32,29,5,5,1,0.167
32,31,5,5,1,0.133
33,34,5,5,1,0.194
33,35,5,5,1,0.292
34,31,5,5,1,0.232
34,33,5,5,1,0.194
35,33,5,5,1,0.292
35,274,5,5,1,0.121
36,196,5,5,2,0.191
36,245,5,5,1,0.186
37,11,5,5,1,0.32
37,38,5,5,1,0.227
37,41,5,5,1,0.18
38,37,5,5,1,0.227
38,39,5,5,1,0.284
39,20,5,5,1,0.26
39,38,5,5,1,0.284
39,253,5,5,1,0.357
40,20,5,5,1,0.258
40,260,5,5,1,0.069
41,37,5,5,1,0.18
41,42,5,5,1,0.663
41,42,5,5,1,0.663
41,42,5,5,1,0.663
42,13,5,5,1,0.774
42,13,5,5,1,0.774
42,13,5,5,1,0.774
42,41,5,5,1,0.663
42,41,5,5,1,0.663
42,41,5,5,1,0.663
42,42,5,5,1,0.0
42,42,5,5,1,0.0
42,42,5,5,1,0.0
42,42,5,5,1,0.0
42,42,5,5,1,0.0
42,42,5,5,1,0.0
42,42,5,5,1,0.0
42,42,5,5,1,0.0
42,42,5,5,1,0.0
42,50,5,5,3,0.598
42,50,5,5,3,0.598
42,50,5,5,3,0.598
42,52,5,5,6,1.066
42,52,5,5,6,1.066
42,52,5,5,6,1.066
42,99,5,5,4,0.938
42,99,5,5,4,0.938
42,99,5,5,4,0.938
42,101,5,5,1,0.724
42,101,5,5,1,0.724
42,101,5,5,1,0.724
42,103,5,5,1,0.639
42,103,5,5,1,0.639
42,103,5,5,1,0.639
42,109,5,5,15,3.814
42,109,5,5,15,3.814
42,109,5,5,15,3.814
42,109,5,5,15,3.814
42,109,5,5,15,3.814
42,109,5,5,15,3.814
42,109,5,5,15,3.814
42,109,5,5,15,3.814
