nodeid,lat,lon,layer
1,53.52185,-0.09323,5
2,53.52046,-0.09335,5
3,53.5681,-0.0453,5
4,53.56289,-0.03792,5
5,53.56431,-0.03975,5
6,53.56913,-0.04859,5
7,53.57023,-0.05218,5
8,53.55247,-0.09693,5
9,53.54662,-0.04679,5
10,53.54564,-0.04184,5
11,53.57083,-0.08398,5
12,53.5176,-0.09572,5
13,53.56732,-0.07651,5
14,53.53575,-0.02257,5
15,53.56493,-0.06133,5
16,53.53628,-0.01882,5
17,53.56352,-0.06638,5
18,53.53663,-0.01089,5
19,53.56304,-0.06809,5
20,53.57397,-0.09703,5
21,53.54957,-0.04172,5
22,53.55076,-0.04559,5
23,53.5523,-0.0473,5
24,53.55185,-0.03557,5
25,53.55071,-0.03822,5
26,53.55049,-0.13263,5
27,53.53066,-0.10212,5
28,53.57446,-0.05915,2
28,53.57446,-0.05915,5
29,53.55593,-0.07509,5
30,53.55454,-0.07454,5
31,53.55856,-0.0762,5
32,53.55739,-0.07572,5
33,53.56237,-0.07607,5
34,53.56064,-0.07654,5
35,53.56497,-0.07539,5
36,53.55395,-0.08694,5
37,53.57097,-0.08883,5
38,53.57107,-0.09227,5
39,53.57165,-0.09647,5
40,53.57358,-0.10089,5
41,53.57009,-0.08652,5
42,53.56412,-0.08695,4
42,53.56412,-0.08695,2
42,53.56412,-0.08695,5
43,53.55013,-0.11876,5
44,53.55141,-0.1071,5
45,53.55707,-0.10623,5
46,53.55634,-0.09444,5
47,53.56871,-0.09611,5
48,53.56804,-0.09481,5
49,53.56961,-0.09833,5
50,53.56752,-0.094,5
51,53.5536,-0.05313,5
52,53.5548,-0.09089,5
53,53.55697,-0.03144,5
54,53.5556,-0.04595,5
55,53.55192,-0.04978,5
56,53.55366,-0.0468,5
57,53.51517,-0.10302,5
58,53.54953,-0.09579,5
59,53.54977,-0.09952,5
60,53.54923,-0.10346,5
61,53.55789,-0.03732,5
62,53.56351,-0.04285,5
63,53.56136,-0.04012,5
64,53.56027,-0.03875,5
65,53.56834,-0.1004,5
66,53.52679,-0.06089,5
67,53.53437,-0.09994,5
68,53.53631,-0.09388,5
69,53.53584,-0.09586,5
70,53.54304,-0.00961,5
71,53.54541,-0.01267,5
72,53.53997,-0.00725,5
73,53.55353,-0.05743,5
74,53.55379,-0.0724,5
75,53.55325,-0.06649,5
76,53.55882,-0.10751,5
77,53.56514,-0.04523,5
78,53.56432,-0.04827,5
79,53.5504,-0.02402,5
80,53.55104,-0.02097,5
81,53.53674,-0.0081,5
82,53.56407,-0.06438,5
83,53.53718,-0.00535,5
84,53.55806,-0.05269,5
85,53.564,-0.05703,5
86,53.56221,-0.05566,5
87,53.56009,-0.05405,5
88,53.52184,-0.0738,5
89,53.51904,-0.09383,5
90,53.52327,-0.06603,4
90,53.52327,-0.06603,5
91,53.51855,-0.09152,5
92,53.51987,-0.08442,5
93,53.52393,-0.06263,5
94,53.52237,-0.07097,5
95,53.55148,-0.12455,5
96,53.55053,-0.12683,5
97,53.54291,-0.04368,5
98,53.54433,-0.0413,5
99,53.56825,-0.07453,5
100,53.56751,-0.13135,5
101,53.55828,-0.09185,5
102,53.56523,-0.13587,5
103,53.56398,-0.09664,5
104,53.56723,-0.10678,5
105,53.57356,-0.12345,5
106,53.57057,-0.12588,5
107,53.56946,-0.12774,5
108,53.54783,-0.0455,5
109,53.56192,-0.02922,4
109,53.56192,-0.02922,2
109,53.56192,-0.02922,5
110,53.55398,-0.03141,5
111,53.55493,-0.02901,5
112,53.55299,-0.03386,5
113,53.56489,-0.09939,5
114,53.52824,-0.10317,5
115,53.52698,-0.10086,5
116,53.52823,-0.0978,5
117,53.51357,-0.11511,5
118,53.5143,-0.11129,5
119,53.51497,-0.10802,5
120,53.51565,-0.10446,5
121,53.55657,-0.06445,5
122,53.55812,-0.06544,5
123,53.5549,-0.06348,5
124,53.56077,-0.06728,5
125,53.56344,-0.06903,5
126,53.55799,-0.0251,5
127,53.55725,-0.02922,5
128,53.54944,-0.13827,5
129,53.55066,-0.12151,5
130,53.55065,-0.1152,5
131,53.5511,-0.11326,5
132,53.55235,-0.10108,5
