ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
17,40,2,2,5,4.728
17,40,2,2,5,4.728
17,40,2,2,5,4.728
17,40,2,2,5,4.728
17,48,2,2,4,2.687
17,48,2,2,4,2.687
17,48,2,2,4,2.687
17,48,2,2,4,2.687
17,73,2,2,6,6.2
17,73,2,2,6,6.2
17,73,2,2,6,6.2
17,73,2,2,6,6.2
17,118,2,2,3,1.143
17,118,2,2,3,1.143
17,118,2,2,3,1.143
17,118,2,2,3,1.143
17,241,2,2,6,6.116
17,241,2,2,6,6.116
17,241,2,2,6,6.116
17,241,2,2,6,6.116
40,17,2,2,5,4.728
40,17,2,2,5,4.728
40,17,2,2,5,4.728
40,17,2,2,5,4.728
40,73,2,2,2,1.539
40,73,2,2,2,1.539
40,73,2,2,2,1.539
40,73,2,2,2,1.539
48,17,2,2,4,2.687
48,17,2,2,4,2.687
48,17,2,2,4,2.687
48,17,2,2,4,2.687
48,89,2,2,3,2.921
48,89,2,2,3,2.921
48,89,2,2,3,2.921
48,89,2,2,3,2.921
73,17,2,2,7,6.2
73,17,2,2,7,6.2
73,17,2,2,7,6.2
73,17,2,2,7,6.2
73,40,2,2,2,1.539
73,40,2,2,2,1.539
73,40,2,2,2,1.539
73,40,2,2,2,1.539
73,564,2,2,4,2.874
73,564,2,2,4,2.874
89,48,2,2,3,2.921
89,48,2,2,3,2.921
89,48,2,2,3,2.921
89,48,2,2,3,2.921
118,17,2,2,4,1.143
118,17,2,2,4,1.143
118,17,2,2,4,1.143
118,17,2,2,4,1.143
118,184,2,2,5,5.046
118,184,2,2,5,5.046
118,184,2,2,5,5.046
118,184,2,2,5,5.046
184,118,2,2,5,5.046
184,118,2,2,5,5.046
184,118,2,2,5,5.046
184,118,2,2,5,5.046
241,17,2,2,7,6.116
241,17,2,2,7,6.116
241,17,2,2,7,6.116
241,17,2,2,7,6.116
325,564,2,2,4,3.403
325,564,2,2,4,3.403
564,73,2,2,3,2.874
564,73,2,2,3,2.874
564,325,2,2,4,3.403
564,325,2,2,4,3.403
1,23,5,5,1,0.28
1,139,5,5,1,0.255
1,270,5,5,1,0.332
2,3,5,5,1,0.119
2,27,5,5,1,0.173
2,73,5,5,1,0.702
2,73,5,5,1,0.702
3,2,5,5,1,0.119
3,73,5,5,2,0.737
3,73,5,5,2,0.737
3,329,5,5,1,0.332
4,122,5,5,1,0.288
4,271,5,5,1,0.231
4,295,5,5,1,0.2
5,38,5,5,1,0.253
5,98,5,5,1,0.195
5,309,5,5,1,0.234
6,142,5,5,1,0.321
6,226,5,5,1,0.215
7,119,5,5,1,0.305
7,143,5,5,1,0.213
8,9,5,5,1,0.176
8,321,5,5,4,0.981
9,8,5,5,1,0.176
9,10,5,5,1,0.133
10,9,5,5,1,0.133
10,11,5,5,1,0.094
11,10,5,5,1,0.094
11,183,5,5,1,0.131
12,223,5,5,2,0.46
12,443,5,5,1,0.437
12,543,5,5,3,0.73
13,110,5,5,2,0.556
13,110,5,5,2,0.556
13,111,5,5,1,0.796
13,111,5,5,1,0.796
13,112,5,5,15,3.526
13,112,5,5,15,3.526
13,123,5,5,1,0.347
13,123,5,5,1,0.347
13,136,5,5,1,0.122
13,136,5,5,1,0.122
13,284,5,5,1,0.584
13,284,5,5,1,0.584
13,423,5,5,2,0.705
13,423,5,5,2,0.705
13,444,5,5,4,0.673
13,444,5,5,4,0.673
14,138,5,5,1,0.527
14,243,5,5,1,0.447
15,109,5,5,1,0.473
15,304,5,5,1,0.286
16,86,5,5,1,0.324
16,322,5,5,2,0.401
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,32,5,5,1,0.537
17,32,5,5,1,0.537
17,33,5,5,4,1.932
17,33,5,5,4,1.932
17,58,5,5,2,0.901
17,58,5,5,2,0.901
17,78,5,5,1,0.611
17,78,5,5,1,0.611
17,102,5,5,1,0.573
17,102,5,5,1,0.573
17,104,5,5,7,1.706
17,104,5,5,7,1.706
17,118,5,5,1,1.143
17,118,5,5,1,1.143
17,118,5,5,1,1.143
17,118,5,5,1,1.143
17,170,5,5,1,0.603
17,170,5,5,1,0.603
17,187,5,5,1,0.556
17,187,5,5,1,0.556
17,226,5,5,1,0.719
17,226,5,5,1,0.719
17,333,5,5,1,0.591
17,333,5,5,1,0.591
17,337,5,5,4,0.48
17,337,5,5,4,0.48
17,342,5,5,1,0.542
17,342,5,5,1,0.542
17,418,5,5,7,1.327
17,418,5,5,7,1.327
17,442,5,5,1,0.663
17,442,5,5,1,0.663
17,476,5,5,7,1.87
17,476,5,5,7,1.87
18,63,5,5,1,0.725
18,150,5,5,1,0.245
19,257,5,5,1,0.377
19,428,5,5,1,0.301
20,530,5,5,1,0.995
21,33,5,5,1,0.27
21,253,5,5,1,0.361
21,268,5,5,2,0.475
21,282,5,5,1,0.422
22,29,5,5,1,0.317
22,230,5,5,1,0.157
22,313,5,5,1,0.212
23,1,5,5,1,0.28
23,65,5,5,1,0.558
23,272,5,5,1,0.278
24,65,5,5,1,0.383
24,272,5,5,2,0.686
24,317,5,5,1,0.352
25,68,5,5,1,0.311
25,275,5,5,1,0.104
26,85,5,5,1,0.521
26,157,5,5,1,0.166
27,2,5,5,1,0.173
27,147,5,5,1,0.442
27,247,5,5,1,0.547
27,620,5,5,1,0.449
28,84,5,5,2,1.949
28,428,5,5,2,1.289
28,429,5,5,5,1.313
29,22,5,5,1,0.317
29,61,5,5,1,0.236
29,313,5,5,1,0.357
30,108,5,5,2,0.954
30,432,5,5,2,0.275
31,92,5,5,1,0.079
31,163,5,5,1,0.177
31,185,5,5,1,0.116
31,335,5,5,1,0.398
32,17,5,5,1,0.537
32,17,5,5,1,0.537
32,338,5,5,1,0.055
33,21,5,5,1,0.27
33,165,5,5,1,0.26
34,237,5,5,1,0.35
34,292,5,5,2,0.828
35,95,5,5,3,0.375
35,167,5,5,1,0.456
35,227,5,5,1,0.627
35,277,5,5,1,0.29
35,330,5,5,11,3.567
36,62,5,5,1,0.382
36,225,5,5,1,0.205
37,82,5,5,1,0.161
37,214,5,5,1,0.893
38,5,5,5,1,0.253
38,375,5,5,1,0.33
39,174,5,5,1,0.505
39,257,5,5,1,0.325
40,40,5,5,1,0.0
40,40,5,5,1,0.0
40,40,5,5,1,0.0
40,40,5,5,1,0.0
40,67,5,5,1,0.584
40,67,5,5,1,0.584
40,72,5,5,1,0.753
40,72,5,5,1,0.753
40,73,5,5,2,1.539
40,73,5,5,2,1.539
40,73,5,5,2,1.539
40,73,5,5,2,1.539
40,79,5,5,1,0.505
40,79,5,5,1,0.505
40,105,5,5,3,0.986
40,105,5,5,3,0.986
40,183,5,5,1,0.548
40,183,5,5,1,0.548
40,207,5,5,1,0.655
40,207,5,5,1,0.655
40,239,5,5,1,0.8
40,239,5,5,1,0.8
40,276,5,5,1,0.65
40,276,5,5,1,0.65
40,488,5,5,4,0.693
40,488,5,5,4,0.693
40,520,5,5,1,0.386
40,520,5,5,1,0.386
40,592,5,5,1,0.311
