nodeid,lat,lon,layer
1,51.26409,-0.63908,5
2,51.18094,-0.62345,5
3,51.18026,-0.62211,5
4,51.25021,-0.59238,5
5,51.24613,-0.53151,5
6,51.23311,-0.59233,5
7,51.26181,-0.54073,5
8,51.2044,-0.59976,5
9,51.2029,-0.59892,5
10,51.20208,-0.59751,5
11,51.20206,-0.59887,5
12,51.18661,-0.6005,5
13,51.24005,-0.60373,4
13,51.24005,-0.60373,5
14,51.28088,-0.63477,5
15,51.25312,-0.504,5
16,51.25201,-0.58655,5
17,51.23697,-0.58042,2
17,51.23697,-0.58042,5
18,51.18596,-0.54883,5
19,51.15981,-0.64873,5
20,51.09583,-0.51845,5
21,51.24058,-0.54946,5
22,51.25845,-0.57559,5
23,51.2616,-0.6398,5
24,51.25324,-0.64141,5
25,51.25998,-0.5489,5
26,51.2687,-0.39524,5
27,51.18065,-0.6259,5
28,51.17402,-0.65003,5
29,51.25917,-0.58001,5
30,51.24565,-0.55336,5
31,51.25249,-0.60337,5
32,51.2325,-0.58338,5
33,51.23946,-0.55291,5
34,51.25662,-0.66837,5
35,51.19964,-0.54096,5
36,51.17435,-0.60227,5
37,51.20143,-0.56691,5
38,51.24763,-0.53426,5
39,51.1536,-0.64708,5
40,51.19715,-0.60455,5
40,51.19715,-0.60455,2
41,51.2589,-0.59504,5
42,51.17408,-0.63208,5
43,51.26577,-0.58593,5
44,51.24356,-0.5875,5
45,51.25639,-0.55416,5
46,51.21372,-0.53684,5
47,51.23867,-0.59239,5
48,51.21432,-0.5668,2
48,51.21432,-0.5668,5
49,51.22237,-0.66584,5
50,51.22483,-0.66321,5
51,51.18675,-0.528,5
52,51.27067,-0.384,5
53,51.24372,-0.60295,5
54,51.22871,-0.6165,5
55,51.10786,-0.4314,5
56,51.18425,-0.60959,5
57,51.20147,-0.59565,5
58,51.23061,-0.57237,5
59,51.22188,-0.66807,5
60,51.23612,-0.55261,5
61,51.26128,-0.58046,5
62,51.17454,-0.60776,5
63,51.17962,-0.54629,5
64,51.2522,-0.57352,5
65,51.25669,-0.64152,5
66,51.2029,-0.54454,5
67,51.19286,-0.59967,5
68,51.25788,-0.54593,5
69,51.21503,-0.58193,5
70,51.26352,-0.57312,5
71,51.2631,-0.57344,5
72,51.19109,-0.60942,5
73,51.18658,-0.61886,5
73,51.18658,-0.61886,2
74,51.21341,-0.54207,5
75,51.25249,-0.60896,5
76,51.18423,-0.62849,5
77,51.21494,-0.63409,5
78,51.24182,-0.57625,5
79,51.19979,-0.59863,5
80,51.1333,-0.63017,5
81,51.26974,-0.60587,5
82,51.20031,-0.56544,5
83,51.18075,-0.63098,5
84,51.15844,-0.66293,5
85,51.26932,-0.3878,5
86,51.24909,-0.5868,5
87,51.27843,-0.5094,5
88,51.24511,-0.54951,5
89,51.21521,-0.52482,2
89,51.21521,-0.52482,5
90,51.28169,-0.51318,5
91,51.1888,-0.52951,5
92,51.25227,-0.60228,5
93,51.13969,-0.64538,5
94,51.205,-0.52733,5
95,51.20147,-0.53642,5
96,51.26556,-0.59202,5
97,51.245,-0.57176,5
98,51.24625,-0.52871,5
99,51.14289,-0.64583,5
100,51.25752,-0.65782,5
101,51.2089,-0.584,5
102,51.23698,-0.57217,5
103,51.25031,-0.63225,5
104,51.24157,-0.557,5
105,51.19226,-0.61639,5
106,51.21057,-0.62179,5
107,51.16842,-0.6263,5
108,51.23791,-0.55935,5
109,51.25735,-0.50318,5
110,51.23928,-0.61164,5
111,51.2442,-0.59438,5
112,51.21299,-0.6303,5
113,51.14789,-0.61808,5
114,51.13968,-0.61879,5
115,51.13695,-0.62446,5
116,51.22075,-0.57985,5
117,51.26549,-0.56944,5
118,51.24065,-0.56506,2
118,51.24065,-0.56506,5
119,51.26044,-0.54454,5
120,51.20201,-0.61199,5
121,51.19484,-0.55839,5
122,51.24971,-0.59645,5
123,51.24042,-0.60869,5
124,51.24515,-0.60516,5
125,51.20391,-0.58708,5
126,51.25331,-0.5922,5
127,51.25801,-0.61146,5
128,51.28021,-0.55936,5
129,51.17065,-0.64385,5
130,51.26689,-0.57312,5
131,51.1375,-0.6438,5
132,51.1727,-0.64711,5
133,51.25774,-0.55246,5
134,51.26222,-0.5853,5
135,51.24058,-0.67195,5
136,51.24049,-0.60534,5
137,51.19912,-0.64123,5
138,51.28266,-0.62772,5
139,51.26492,-0.63565,5
140,51.22926,-0.6648,5
141,51.24661,-0.59631,5
142,51.23188,-0.59652,5
143,51.26052,-0.53846,5
144,51.26729,-0.56802,5
145,51.26928,-0.56631,5
146,51.17447,-0.59723,5
147,51.18213,-0.63181,5
148,51.19095,-0.53062,5
149,51.24928,-0.52614,5
150,51.18807,-0.5499,5
151,51.16902,-0.64783,5
152,51.17553,-0.61411,5
153,51.22,-0.56992,5
154,51.25036,-0.63367,5
155,51.17622,-0.62182,5
156,51.24142,-0.67418,5
157,51.26802,-0.39738,5
158,51.23389,-0.56122,5
159,51.25728,-0.57186,5
160,51.19697,-0.59193,5
161,51.25419,-0.58602,5
162,51.25119,-0.57143,5
163,51.25246,-0.60592,5
164,51.27389,-0.50786,5
165,51.23849,-0.55632,5
166,51.24808,-0.58327,5
167,51.19715,-0.54618,5
168,51.19481,-0.59584,5
169,51.25662,-0.59558,5
170,51.23735,-0.58908,5
171,51.25338,-0.57225,5
172,51.26429,-0.59754,5
173,51.20303,-0.60789,5
174,51.14905,-0.64687,5
175,51.13172,-0.63319,5
176,51.27589,-0.52276,5
177,51.26357,-0.61664,5
178,51.11086,-0.43223,5
179,51.27767,-0.60708,5
180,51.19773,-0.65676,5
181,51.19675,-0.64831,5
182,51.19891,-0.64231,5
183,51.20133,-0.60035,5
184,51.264,-0.50276,2
184,51.264,-0.50276,5
185,51.25319,-0.60213,5
186,51.22994,-0.60696,5
187,51.23369,-0.57436,5
188,51.25263,-0.57835,5
189,51.25046,-0.62488,5
190,51.25487,-0.53639,5
191,51.22975,-0.61184,5
192,51.24763,-0.55466,5
193,51.17783,-0.60265,5
194,51.26505,-0.57399,5
195,51.27649,-0.60933,5
196,51.2431,-0.5394,5
197,51.20931,-0.54916,5
198,51.21778,-0.63522,5
199,51.26791,-0.60111,5
200,51.19883,-0.62174,5
201,51.27648,-0.56472,5
202,51.1781,-0.61973,5
203,51.17441,-0.61756,5
204,51.16973,-0.61979,5
205,51.17236,-0.61577,5
206,51.25681,-0.58682,5
207,51.20006,-0.61275,5
208,51.22858,-0.57836,5
209,51.24269,-0.58635,5
210,51.24307,-0.5256,5
211,51.26338,-0.5958,5
212,51.22682,-0.6621,5
213,51.24576,-0.5573,5
214,51.2093,-0.5696,5
215,51.22848,-0.61685,5
216,51.24362,-0.61009,5
217,51.24887,-0.50421,5
218,51.18229,-0.60807,5
219,51.25024,-0.62771,5
220,51.2453,-0.57716,5
221,51.20604,-0.61146,5
222,51.24443,-0.58937,5
223,51.18921,-0.59535,5
224,51.19622,-0.61843,5
225,51.17469,-0.59937,5
226,51.23379,-0.58943,5
227,51.19506,-0.53568,5
228,51.12873,-0.63026,5
229,51.22184,-0.67645,5
230,51.25707,-0.57509,5
231,51.24386,-0.60707,5
232,51.19834,-0.56236,5
233,51.22336,-0.37801,5
234,51.26802,-0.57591,5
235,51.08308,-0.65548,5
236,51.20147,-0.58825,5
237,51.25734,-0.66346,5
238,51.19634,-0.55502,5
239,51.20148,-0.61375,5
240,51.21253,-0.54637,5
241,51.24452,-0.66759,2
241,51.24452,-0.66759,5
242,51.19061,-0.55451,5
243,51.28049,-0.64118,5
244,51.25139,-0.5333,5
245,51.25637,-0.59431,5
246,51.25879,-0.56844,5
247,51.17601,-0.62855,5
248,51.25895,-0.58733,5
249,51.25671,-0.57788,5
250,51.25537,-0.55152,5
251,51.26834,-0.61476,5
252,51.22652,-0.57964,5
253,51.24372,-0.54808,5
254,51.26466,-0.62604,5
255,51.17359,-0.54075,5
256,51.17791,-0.54449,5
257,51.15642,-0.64837,5
258,51.18447,-0.52498,5
259,51.17788,-0.6154,5
260,51.27266,-0.40017,5
261,51.19985,-0.62805,5
262,51.1956,-0.66473,5
263,51.20074,-0.63095,5
264,51.19004,-0.60747,5
265,51.26619,-0.57083,5
266,51.26113,-0.57275,5
267,51.28363,-0.62031,5
268,51.23637,-0.54822,5
269,51.19816,-0.55187,5
270,51.26526,-0.64349,5
271,51.24982,-0.58911,5
272,51.25942,-0.64179,5
273,51.25767,-0.53955,5
274,51.23122,-0.66435,5
275,51.25952,-0.55022,5
276,51.19134,-0.60335,5
277,51.20223,-0.54041,5
278,51.25591,-0.54815,5
279,51.24631,-0.57797,5
280,51.19076,-0.59691,5
281,51.17642,-0.65022,5
282,51.24204,-0.54385,5
283,51.27074,-0.50633,5
284,51.24037,-0.59533,5
285,51.26392,-0.58495,5
286,51.25167,-0.61505,5
287,51.27993,-0.61447,5
288,51.25621,-0.60024,5
289,51.26074,-0.59555,5
290,51.17403,-0.64674,5
291,51.25618,-0.53387,5
292,51.24917,-0.66767,5
293,51.26298,-0.57929,5
294,51.2487,-0.61121,5
295,51.25043,-0.59525,5
296,51.24865,-0.60601,5
297,51.26091,-0.61484,5
298,51.21127,-0.57373,5
299,51.1898,-0.6067,5
300,51.26606,-0.58851,5
301,51.25264,-0.53799,5
302,51.2608,-0.58615,5
303,51.17279,-0.64983,5
304,51.25059,-0.50484,5
305,51.25125,-0.61887,5
306,51.25488,-0.59631,5
307,51.25114,-0.55263,5
308,51.27212,-0.61009,5
309,51.24444,-0.53354,5
310,51.25085,-0.60749,5
311,51.26346,-0.64812,5
312,51.15653,-0.65619,5
313,51.26035,-0.57523,5
314,51.25132,-0.54421,5
315,51.21212,-0.62568,5
316,51.25519,-0.59312,5
317,51.25154,-0.63712,5
318,51.22528,-0.36704,5
319,51.17709,-0.61122,5
320,51.17744,-0.60548,5
321,51.20577,-0.58582,5
322,51.2556,-0.5872,5
323,51.25484,-0.58834,5
324,51.24443,-0.59707,5
325,51.13316,-0.64578,2
325,51.13316,-0.64578,5
326,51.26798,-0.55884,5
327,51.17497,-0.65089,5
328,51.25151,-0.58957,5
329,51.17857,-0.61817,5
330,51.22562,-0.57115,5
331,51.17223,-0.64056,5
332,51.24573,-0.6118,5
333,51.23171,-0.57906,5
334,51.24908,-0.5018,5
335,51.25548,-0.60655,5
336,51.27396,-0.39514,5
337,51.23268,-0.58137,5
338,51.2321,-0.58386,5
339,51.2339,-0.58355,5
340,51.10286,-0.43882,5
341,51.18595,-0.61046,5
342,51.23387,-0.58645,5
343,51.23378,-0.59556,5
344,51.25006,-0.60201,5
345,51.23548,-0.56461,5
346,51.02701,-0.59378,5
347,51.09573,-0.39792,5
348,51.09577,-0.39807,5
349,51.08632,-0.43237,5
350,51.09796,-0.44423,5
351,51.09731,-0.44427,5
352,51.09175,-0.44752,5
353,51.08997,-0.44903,5
354,51.09024,-0.44906,5
355,51.08563,-0.45772,5
356,51.08544,-0.45722,5
357,51.08588,-0.45309,5
358,51.08606,-0.46174,5
359,51.03083,-0.44558,5
360,51.03007,-0.44632,5
361,51.03119,-0.55121,5
362,51.03065,-0.55044,5
363,51.23643,-0.59536,5
364,51.08576,-0.45332,5
365,51.04416,-0.43553,5
366,51.04423,-0.43572,5
367,51.04541,-0.43486,5
368,51.04535,-0.43465,5
369,51.07838,-0.41105,5
370,51.07838,-0.4108,5
371,51.08598,-0.41703,5
372,51.26242,-0.54122,5
