ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,2,2,4,2.324
1,2,2,2,4,2.324
1,2,2,2,4,2.324
1,2,2,2,4,2.324
2,1,2,2,3,2.324
2,1,2,2,3,2.324
2,1,2,2,3,2.324
2,1,2,2,3,2.324
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,94,5,5,1,0.445
1,94,5,5,1,0.445
1,282,5,5,1,0.553
1,282,5,5,1,0.553
1,287,5,5,1,0.441
1,287,5,5,1,0.441
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,198,5,5,1,0.384
2,198,5,5,1,0.384
2,213,5,5,1,0.272
2,213,5,5,1,0.272
2,262,5,5,1,0.394
2,262,5,5,1,0.394
2,356,5,5,2,0.302
2,356,5,5,2,0.302
3,26,5,5,1,0.273
4,230,5,5,1,0.16
5,26,5,5,1,0.214
5,230,5,5,1,0.288
6,149,5,5,1,0.161
7,158,5,5,1,0.351
8,93,5,5,1,0.305
8,162,5,5,2,0.556
9,33,5,5,1,0.489
10,34,5,5,1,0.238
10,250,5,5,2,0.485
11,92,5,5,2,0.495
11,339,5,5,1,0.358
12,280,5,5,1,0.328
13,15,5,5,1,0.178
14,15,5,5,1,0.255
14,138,5,5,1,0.164
15,14,5,5,1,0.255
15,288,5,5,1,0.177
16,283,5,5,1,0.217
17,186,5,5,1,0.433
18,291,5,5,1,0.195
19,277,5,5,1,0.16
21,332,5,5,1,0.391
22,369,5,5,1,0.306
23,282,5,5,3,0.854
23,370,5,5,1,0.301
24,141,5,5,1,0.313
24,190,5,5,1,0.261
25,49,5,5,1,0.37
25,52,5,5,1,0.137
25,208,5,5,1,0.369
25,209,5,5,2,0.342
25,351,5,5,1,0.338
26,219,5,5,1,0.334
27,4,5,5,1,0.356
29,59,5,5,1,0.223
29,295,5,5,1,0.164
30,220,5,5,1,0.191
31,28,5,5,1,0.087
31,200,5,5,1,0.281
32,152,5,5,1,0.205
33,50,5,5,1,0.531
33,268,5,5,2,0.703
33,354,5,5,1,0.552
34,10,5,5,1,0.238
34,225,5,5,1,0.177
35,10,5,5,1,0.232
36,38,5,5,1,0.061
37,85,5,5,1,0.127
38,213,5,5,1,0.379
39,323,5,5,1,0.311
40,223,5,5,1,0.206
40,301,5,5,1,0.106
41,243,5,5,1,0.288
42,294,5,5,1,0.3
43,41,5,5,1,0.179
43,248,5,5,1,0.242
44,103,5,5,1,0.198
45,59,5,5,1,0.258
46,295,5,5,1,0.06
47,31,5,5,1,0.362
47,122,5,5,1,0.477
48,170,5,5,1,0.083
48,188,5,5,1,0.172
49,132,5,5,1,0.438
50,212,5,5,3,0.438
50,226,5,5,2,0.399
51,277,5,5,1,0.059
52,208,5,5,1,0.276
52,210,5,5,1,0.259
52,211,5,5,1,0.252
53,265,5,5,1,0.266
54,227,5,5,1,0.211
55,114,5,5,5,0.361
55,242,5,5,1,0.34
56,100,5,5,1,0.256
57,326,5,5,1,0.837
58,221,5,5,1,0.203
59,46,5,5,1,0.28
59,158,5,5,1,0.085
59,295,5,5,1,0.275
59,321,5,5,4,0.889
59,349,5,5,1,0.127
60,191,5,5,1,0.574
61,185,5,5,1,0.311
62,173,5,5,1,0.302
63,14,5,5,1,0.17
64,163,5,5,1,0.196
65,139,5,5,1,0.376
66,82,5,5,1,0.307
67,66,5,5,1,0.392
68,32,5,5,1,0.191
68,253,5,5,1,0.178
69,48,5,5,1,0.205
69,168,5,5,2,0.402
69,188,5,5,2,0.368
71,234,5,5,1,0.483
72,244,5,5,1,0.213
73,145,5,5,1,0.283
73,162,5,5,1,0.222
74,298,5,5,1,0.343
75,36,5,5,1,0.223
76,284,5,5,1,0.244
77,58,5,5,1,0.815
78,207,5,5,1,0.54
78,208,5,5,1,0.54
78,210,5,5,1,0.562
78,212,5,5,1,0.582
78,235,5,5,1,0.361
78,331,5,5,2,0.669
79,62,5,5,1,0.334
80,169,5,5,1,0.149
80,170,5,5,1,0.185
80,181,5,5,1,0.235
80,188,5,5,1,0.187
81,29,5,5,1,0.202
82,196,5,5,1,0.569
83,148,5,5,1,0.196
83,321,5,5,1,0.224
84,92,5,5,1,0.184
85,74,5,5,1,0.261
86,294,5,5,1,0.349
87,99,5,5,1,0.349
88,212,5,5,3,0.474
89,179,5,5,1,0.368
90,224,5,5,1,0.259
90,289,5,5,1,0.583
91,23,5,5,2,0.535
91,141,5,5,1,0.235
91,344,5,5,1,0.236
92,201,5,5,1,0.116
92,339,5,5,1,0.364
92,359,5,5,1,0.315
93,186,5,5,2,0.814
93,247,5,5,1,0.247
93,249,5,5,2,0.593
94,109,5,5,1,0.352
94,160,5,5,1,0.386
95,287,5,5,1,0.205
95,318,5,5,1,0.221
96,266,5,5,1,0.44
97,116,5,5,1,0.137
98,268,5,5,1,0.105
99,274,5,5,1,0.198
100,86,5,5,1,0.36
101,330,5,5,1,0.345
101,366,5,5,1,0.437
102,270,5,5,1,0.128
103,279,5,5,1,0.171
104,199,5,5,1,0.345
104,222,5,5,1,0.337
105,290,5,5,1,0.483
105,305,5,5,7,2.986
106,113,5,5,1,0.236
107,35,5,5,1,0.168
108,95,5,5,1,0.368
110,242,5,5,1,0.334
111,131,5,5,1,0.203
112,311,5,5,1,0.293
113,117,5,5,1,0.11
113,311,5,5,1,0.284
114,197,5,5,1,0.212
115,96,5,5,3,0.346
115,242,5,5,2,0.638
116,112,5,5,1,0.096
116,113,5,5,1,0.106
116,133,5,5,2,0.21
117,98,5,5,1,0.184
118,217,5,5,1,0.131
118,234,5,5,1,0.349
119,285,5,5,1,0.518
120,136,5,5,1,0.173
121,214,5,5,1,0.226
122,319,5,5,3,0.285
122,336,5,5,1,0.225
123,69,5,5,1,0.253
124,136,5,5,1,0.191
125,306,5,5,1,0.14
126,363,5,5,1,0.407
127,174,5,5,1,0.139
128,359,5,5,1,0.606
129,246,5,5,1,0.443
130,110,5,5,1,0.215
132,8,5,5,1,0.539
132,251,5,5,1,0.205
133,146,5,5,1,0.309
135,331,5,5,1,0.335
136,121,5,5,1,0.212
136,262,5,5,1,0.168
136,357,5,5,1,0.353
137,297,5,5,1,0.251
137,338,5,5,1,0.06
138,368,5,5,1,0.457
139,340,5,5,1,0.3
140,144,5,5,1,0.65
140,199,5,5,1,0.328
140,264,5,5,1,0.363
141,23,5,5,1,0.302
141,92,5,5,1,0.282
142,154,5,5,1,0.195
143,299,5,5,1,0.338
144,140,5,5,1,0.65
144,199,5,5,1,0.974
145,171,5,5,2,0.516
146,72,5,5,2,0.372
146,162,5,5,1,0.123
147,205,5,5,1,0.267
148,30,5,5,1,0.23
148,59,5,5,4,0.88
148,270,5,5,1,0.138
150,7,5,5,1,0.169
151,107,5,5,1,0.136
151,250,5,5,1,0.491
152,237,5,5,1,0.18
153,123,5,5,1,0.22
154,352,5,5,1,0.197
155,143,5,5,1,0.184
156,277,5,5,1,0.133
157,302,5,5,3,0.465
158,6,5,5,1,0.338
158,59,5,5,1,0.085
160,337,5,5,1,0.214
161,95,5,5,1,0.395
162,76,5,5,1,0.303
163,60,5,5,1,0.401
164,177,5,5,1,0.264
165,9,5,5,2,0.542
165,72,5,5,1,0.342
166,342,5,5,1,0.511
167,161,5,5,1,0.22
168,233,5,5,1,0.329
169,80,5,5,1,0.149
169,188,5,5,1,0.16
170,68,5,5,1,0.18
171,364,5,5,1,0.279
172,146,5,5,2,0.564
173,90,5,5,1,0.251
174,341,5,5,1,0.319
175,126,5,5,1,0.204
176,182,5,5,3,0.317
177,53,5,5,1,0.241
178,77,5,5,1,0.403
179,183,5,5,1,0.282
180,168,5,5,2,0.374
180,188,5,5,1,0.411
180,233,5,5,1,0.404
181,243,5,5,1,0.264
183,78,5,5,1,0.338
184,57,5,5,1,0.163
184,192,5,5,1,0.255
185,18,5,5,1,0.313
185,249,5,5,1,0.129
185,260,5,5,2,0.725
186,273,5,5,1,0.216
186,313,5,5,1,0.224
187,310,5,5,1,0.402
188,47,5,5,1,0.186
188,48,5,5,1,0.172
188,80,5,5,1,0.187
188,168,5,5,1,0.082
188,169,5,5,1,0.16
189,23,5,5,1,0.249
190,314,5,5,1,0.3
191,65,5,5,2,0.305
192,286,5,5,1,0.427
193,221,5,5,1,0.288
194,304,5,5,1,0.21
195,350,5,5,1,0.39
196,16,5,5,1,0.395
197,148,5,5,1,0.378
197,270,5,5,1,0.301
198,43,5,5,1,0.229
199,105,5,5,1,0.225
199,140,5,5,1,0.328
200,188,5,5,1,0.266
201,275,5,5,1,0.304
202,124,5,5,1,0.421
203,148,5,5,1,0.108
203,270,5,5,1,0.141
204,124,5,5,1,0.442
205,40,5,5,1,0.098
206,164,5,5,1,0.191
207,79,5,5,1,0.54
207,331,5,5,1,0.324
208,226,5,5,1,0.449
208,236,5,5,1,0.203
209,331,5,5,1,0.335
210,176,5,5,5,0.503
210,226,5,5,1,0.425
210,355,5,5,1,0.331
211,79,5,5,1,0.567
211,331,5,5,1,0.312
212,236,5,5,2,0.243
212,331,5,5,1,0.322
213,2,5,5,1,0.272
213,2,5,5,1,0.272
213,37,5,5,1,0.298
213,120,5,5,1,0.181
214,228,5,5,1,0.296
215,120,5,5,1,0.283
216,271,5,5,1,0.226
216,287,5,5,1,0.155
218,119,5,5,1,0.094
218,234,5,5,1,0.254
219,83,5,5,1,0.138
220,27,5,5,1,0.234
222,140,5,5,1,0.338
222,144,5,5,1,0.981
223,89,5,5,1,0.198
223,289,5,5,1,0.37
224,39,5,5,1,0.276
224,301,5,5,1,0.291
225,19,5,5,1,0.118
226,49,5,5,1,0.402
226,178,5,5,2,0.512
226,309,5,5,1,0.328
227,147,5,5,1,0.176
228,241,5,5,1,0.374
229,215,5,5,1,0.229
230,24,5,5,2,0.737
230,287,5,5,1,0.085
230,318,5,5,1,0.228
231,25,5,5,1,0.497
231,369,5,5,1,0.107
232,153,5,5,1,0.146
233,70,5,5,2,0.504
233,119,5,5,1,0.378
233,217,5,5,1,0.31
234,169,5,5,1,0.304
234,181,5,5,1,0.423
235,159,5,5,1,0.153
235,209,5,5,1,0.204
236,255,5,5,1,0.328
237,269,5,5,1,0.114
238,125,5,5,2,0.529
238,348,5,5,1,0.412
239,125,5,5,1,0.503
240,229,5,5,1,0.352
241,166,5,5,1,0.221
242,96,5,5,1,0.303
242,111,5,5,1,0.344
242,114,5,5,1,0.699
242,365,5,5,1,0.748
243,180,5,5,1,0.274
243,312,5,5,1,0.265
244,93,5,5,1,0.281
245,73,5,5,1,0.312
246,260,5,5,1,0.209
247,128,5,5,1,0.247
248,257,5,5,1,0.191
249,10,5,5,2,0.47
249,258,5,5,1,0.131
250,186,5,5,1,0.219
250,260,5,5,3,0.631
251,172,5,5,1,0.361
252,69,5,5,1,0.26
252,336,5,5,1,0.883
253,267,5,5,1,0.301
254,235,5,5,1,0.362
255,259,5,5,1,0.253
256,324,5,5,1,0.192
257,42,5,5,1,0.258
258,19,5,5,2,0.374
259,146,5,5,1,0.611
259,254,5,5,1,0.224
259,268,5,5,1,0.082
260,9,5,5,1,0.23
260,245,5,5,1,0.258
261,104,5,5,5,2.755
261,345,5,5,1,0.283
262,2,5,5,1,0.394
262,2,5,5,1,0.394
262,136,5,5,1,0.168
263,256,5,5,1,0.264
264,54,5,5,1,0.269
265,199,5,5,1,0.172
266,252,5,5,1,0.226
267,55,5,5,1,0.44
268,97,5,5,1,0.156
268,132,5,5,1,0.681
268,259,5,5,1,0.082
269,232,5,5,1,0.133
269,356,5,5,1,0.069
270,101,5,5,1,0.131
270,148,5,5,1,0.138
270,204,5,5,1,0.103
270,315,5,5,1,0.254
271,137,5,5,1,0.187
272,5,5,5,2,0.479
272,216,5,5,1,0.258
273,327,5,5,1,0.165
274,41,5,5,1,0.247
275,292,5,5,2,0.333
276,84,5,5,1,0.24
277,51,5,5,1,0.059
277,151,5,5,1,0.151
277,157,5,5,1,0.163
278,293,5,5,1,0.237
279,2,5,5,1,0.25
279,2,5,5,1,0.25
280,360,5,5,1,0.217
281,11,5,5,1,0.297
282,3,5,5,1,0.161
282,5,5,5,1,0.219
283,345,5,5,1,0.719
284,308,5,5,1,0.226
284,323,5,5,1,0.101
285,193,5,5,1,0.269
286,118,5,5,1,0.355
287,94,5,5,1,0.201
287,216,5,5,1,0.155
287,282,5,5,1,0.152
287,318,5,5,1,0.188
289,104,5,5,1,0.367
290,89,5,5,1,0.467
290,224,5,5,1,0.321
291,276,5,5,1,0.295
292,17,5,5,1,0.134
293,87,5,5,1,0.364
293,263,5,5,1,0.293
294,187,5,5,1,0.248
295,167,5,5,1,0.254
296,46,5,5,1,0.042
296,59,5,5,1,0.273
297,75,5,5,1,0.301
298,361,5,5,1,0.2
299,208,5,5,3,0.561
300,336,5,5,1,0.154
301,106,5,5,1,0.193
303,156,5,5,4,0.486
303,314,5,5,1,0.349
305,334,5,5,1,0.37
305,345,5,5,2,0.319
308,165,5,5,1,0.323
309,278,5,5,1,0.416
310,25,5,5,1,0.415
310,226,5,5,1,0.34
311,325,5,5,1,0.201
312,44,5,5,1,0.189
312,56,5,5,1,0.216
313,189,5,5,1,0.269
313,302,5,5,1,0.398
314,185,5,5,1,0.322
315,115,5,5,1,0.322
316,304,5,5,1,0.132
317,329,5,5,1,0.229
318,1,5,5,1,0.26
318,1,5,5,1,0.26
320,31,5,5,2,0.341
321,202,5,5,1,0.092
321,204,5,5,1,0.083
321,270,5,5,1,0.107
321,315,5,5,1,0.302
322,240,5,5,1,0.335
323,40,5,5,1,0.288
323,206,5,5,1,0.29
323,284,5,5,1,0.101
324,44,5,5,1,0.256
325,223,5,5,1,0.175
326,231,5,5,1,0.469
327,343,5,5,1,0.263
328,61,5,5,1,0.162
329,102,5,5,1,0.394
330,316,5,5,1,0.255
331,22,5,5,1,0.357
331,79,5,5,2,0.661
331,345,5,5,1,0.251
331,346,5,5,1,0.278
332,79,5,5,2,0.623
332,135,5,5,1,0.319
332,207,5,5,1,0.305
332,210,5,5,1,0.311
333,261,5,5,1,0.479
334,305,5,5,1,0.37
334,347,5,5,1,0.551
334,348,5,5,2,0.347
335,67,5,5,1,0.296
336,31,5,5,1,0.34
336,253,5,5,1,0.889
336,300,5,5,1,0.154
337,296,5,5,1,0.299
338,12,5,5,2,0.396
338,91,5,5,2,0.5
338,359,5,5,1,0.489
339,361,5,5,1,0.143
340,367,5,5,2,0.44
341,322,5,5,1,0.455
342,175,5,5,1,0.329
343,92,5,5,1,0.343
344,328,5,5,1,0.28
345,305,5,5,1,0.319
345,331,5,5,1,0.251
345,332,5,5,1,0.277
346,64,5,5,1,0.761
346,305,5,5,1,0.292
347,239,5,5,1,0.237
348,238,5,5,1,0.412
348,333,5,5,1,0.351
348,334,5,5,2,0.347
349,194,5,5,1,0.361
350,59,5,5,1,0.128
351,142,5,5,1,0.336
352,362,5,5,1,0.185
353,155,5,5,1,0.165
354,207,5,5,1,0.342
354,210,5,5,2,0.33
355,132,5,5,2,0.457
356,2,5,5,1,0.302
356,2,5,5,1,0.302
356,269,5,5,1,0.069
357,203,5,5,1,0.255
358,24,5,5,1,0.35
359,281,5,5,1,0.189
360,91,5,5,1,0.364
360,129,5,5,2,0.423
361,272,5,5,1,0.124
362,127,5,5,1,0.513
363,353,5,5,1,0.188
364,33,5,5,1,0.28
365,102,5,5,1,0.404
366,20,5,5,1,0.293
366,242,5,5,3,0.732
367,63,5,5,1,0.355
368,335,5,5,1,0.384
369,21,5,5,1,0.323
369,25,5,5,1,0.468
369,178,5,5,1,0.174
369,309,5,5,1,0.238
370,134,5,5,1,0.214
1,1,2,5,1,0.081
1,1,2,5,1,0.081
1,1,2,5,1,0.081
1,1,2,5,1,0.081
1,1,5,2,1,0.081
1,1,5,2,1,0.081
1,1,5,2,1,0.081
1,1,5,2,1,0.081
2,2,2,5,2,0.163
2,2,2,5,2,0.163
2,2,2,5,2,0.163
2,2,2,5,2,0.163
2,2,5,2,2,0.163
2,2,5,2,2,0.163
2,2,5,2,2,0.163
2,2,5,2,2,0.163
