nodeid,lat,lon,layer
1,52.46966,-2.09049,2
1,52.46966,-2.09049,5
2,52.47094,-2.05619,2
2,52.47094,-2.05619,5
3,52.47265,-2.08115,5
4,52.47221,-2.0819,5
5,52.47301,-2.08052,5
6,52.4849,-2.0822,5
7,52.48505,-2.0818,5
8,52.45488,-2.06971,5
9,52.45491,-2.07036,5
10,52.45289,-2.0806,5
11,52.46624,-2.0716,5
12,52.46638,-2.07126,5
13,52.4135,-2.05972,5
14,52.41626,-2.06424,5
15,52.41472,-2.06144,5
16,52.43813,-2.04488,5
17,52.45715,-2.07834,5
18,52.45719,-2.07846,5
19,52.45404,-2.08724,5
20,52.4845,-2.06415,5
21,52.4491,-2.04497,5
22,52.44929,-2.04514,5
23,52.4643,-2.08571,5
24,52.46478,-2.08546,5
25,52.45133,-2.05066,5
26,52.47434,-2.07821,5
27,52.47432,-2.07793,5
28,52.48168,-2.04178,5
29,52.4814,-2.08461,5
30,52.47664,-2.07298,5
31,52.4809,-2.04197,5
32,52.47469,-2.04748,5
33,52.45356,-2.06347,5
34,52.45287,-2.08413,5
35,52.45296,-2.08403,5
36,52.4701,-2.06655,5
37,52.47046,-2.06458,5
38,52.47039,-2.06577,5
39,52.4422,-2.07496,5
40,52.4424,-2.07508,5
41,52.46925,-2.04743,5
42,52.46172,-2.04947,5
43,52.46788,-2.04884,5
44,52.46799,-2.04872,5
45,52.48059,-2.08506,5
46,52.48041,-2.08531,5
47,52.47784,-2.04011,5
48,52.47573,-2.04139,5
49,52.45225,-2.05593,5
50,52.45236,-2.05586,5
51,52.45477,-2.09027,5
52,52.45011,-2.05028,5
53,52.43879,-2.08415,5
54,52.43886,-2.0842,5
55,52.47982,-2.05647,5
56,52.46752,-2.04741,5
57,52.46107,-2.02991,5
58,52.46114,-2.03016,5
59,52.48113,-2.08134,5
60,52.43496,-2.04809,5
61,52.46018,-2.08594,5
62,52.4441,-2.06268,5
63,52.41685,-2.06192,5
64,52.43962,-2.04381,5
65,52.42754,-2.0525,5
66,52.42781,-2.05268,5
67,52.42428,-2.05291,5
68,52.47576,-2.04526,5
69,52.47583,-2.04442,5
70,52.46893,-2.03942,5
71,52.46873,-2.03926,5
72,52.45271,-2.07018,5
73,52.4519,-2.07121,5
74,52.4697,-2.07018,5
75,52.46996,-2.06985,5
76,52.448,-2.07554,5
77,52.45561,-2.0381,5
78,52.44447,-2.05797,5
79,52.44437,-2.05775,5
80,52.47478,-2.04022,5
81,52.48297,-2.08613,5
82,52.43021,-2.05042,5
83,52.47686,-2.07257,5
84,52.46208,-2.07618,5
85,52.47011,-2.06638,5
86,52.4621,-2.0481,5
87,52.4622,-2.04814,5
88,52.45304,-2.05234,5
89,52.4405,-2.07045,5
90,52.44113,-2.06923,5
91,52.46284,-2.07817,5
92,52.46355,-2.07745,5
93,52.45461,-2.07421,5
94,52.47224,-2.08545,5
95,52.47232,-2.08533,5
96,52.47973,-2.05567,5
97,52.44625,-2.06594,5
98,52.44653,-2.06534,5
99,52.46526,-2.04691,5
