ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
59,124,2,2,11,15.169
59,124,2,2,11,15.169
59,124,2,2,11,15.169
59,124,2,2,11,15.169
59,190,2,2,4,4.537
59,190,2,2,4,4.537
59,190,2,2,4,4.537
59,190,2,2,4,4.537
59,190,2,2,4,4.537
59,190,2,2,4,4.537
59,198,2,2,6,4.327
59,198,2,2,6,4.327
59,198,2,2,6,4.327
59,198,2,2,6,4.327
59,198,2,2,6,4.327
59,198,2,2,6,4.327
59,198,2,2,6,4.327
59,198,2,2,6,4.327
59,248,2,2,3,2.873
59,248,2,2,3,2.873
59,248,2,2,3,2.873
59,248,2,2,3,2.873
88,124,2,2,5,5.809
88,124,2,2,5,5.809
88,124,2,2,5,5.809
88,124,2,2,5,5.809
88,169,2,2,3,3.288
88,169,2,2,3,3.288
88,169,2,2,3,3.288
88,169,2,2,3,3.288
88,190,2,2,7,5.82
88,190,2,2,7,5.82
88,190,2,2,7,5.82
88,190,2,2,7,5.82
88,190,2,2,7,5.82
88,190,2,2,7,5.82
124,59,2,2,11,15.169
124,59,2,2,11,15.169
124,59,2,2,11,15.169
124,59,2,2,11,15.169
124,88,2,2,5,5.809
124,88,2,2,5,5.809
124,88,2,2,5,5.809
124,88,2,2,5,5.809
124,169,2,2,3,2.754
124,169,2,2,3,2.754
124,169,2,2,3,2.754
124,169,2,2,3,2.754
124,190,2,2,8,10.644
124,190,2,2,8,10.644
124,190,2,2,8,10.644
124,190,2,2,8,10.644
124,190,2,2,8,10.644
124,190,2,2,8,10.644
124,198,2,2,18,16.626
124,198,2,2,18,16.626
124,198,2,2,18,16.626
124,198,2,2,18,16.626
124,198,2,2,18,16.626
124,198,2,2,18,16.626
124,198,2,2,18,16.626
124,198,2,2,18,16.626
169,88,2,2,3,3.288
169,88,2,2,3,3.288
169,88,2,2,3,3.288
169,88,2,2,3,3.288
169,124,2,2,3,2.754
169,124,2,2,3,2.754
169,124,2,2,3,2.754
169,124,2,2,3,2.754
190,59,2,2,4,4.537
190,59,2,2,4,4.537
190,59,2,2,4,4.537
190,59,2,2,4,4.537
190,59,2,2,4,4.537
