nodeid,lat,lon,layer
1,51.87145,0.26577,5
2,51.91491,0.22883,5
3,51.87605,0.14182,5
4,51.87407,0.14799,5
5,51.87531,0.15865,5
6,51.87741,0.17076,5
7,51.87478,0.16973,5
8,51.87196,0.15403,5
9,51.75264,0.09355,5
10,51.75105,0.10171,5
11,51.74697,0.09329,5
12,51.74885,0.08805,5
13,51.74689,0.08749,5
14,51.74845,0.09657,5
15,51.75105,0.09432,5
16,51.7487,0.10331,5
17,51.75212,0.08782,5
18,51.76929,0.08413,5
19,51.82781,0.18729,5
20,51.82439,0.18981,5
21,51.80401,0.18595,5
22,51.86797,0.30585,5
23,51.86781,0.29146,5
24,51.80949,0.16262,5
25,51.80656,0.16208,5
26,51.81454,0.20311,5
27,51.80492,0.19003,5
28,51.85383,0.19307,5
29,51.77137,0.10444,5
30,51.86967,0.26623,5
31,51.77721,0.12231,5
32,51.77848,0.12577,5
33,51.77503,0.10417,5
34,51.77674,0.1153,5
35,51.78082,0.15196,5
36,51.78243,0.14872,5
37,51.76583,0.13121,5
38,51.76281,0.11424,5
39,51.77381,0.10072,5
40,51.9318,0.19926,5
41,51.92848,0.20099,5
42,51.94133,0.19932,5
43,51.83835,0.15671,5
44,51.82954,0.15523,5
45,51.84164,0.15741,5
46,51.82474,0.15339,5
47,51.81886,0.1496,5
48,51.88045,0.24897,5
49,51.76924,0.11467,5
50,51.76848,0.10656,5
51,51.75596,0.0993,5
52,51.75788,0.09035,5
53,51.75695,0.11175,5
54,51.75436,0.10119,5
55,51.7553,0.09099,5
56,51.75959,0.08861,5
57,51.75761,0.086,5
58,51.75615,0.08137,5
59,51.90144,0.19978,2
59,51.90144,0.19978,5
60,51.8698,0.1744,5
61,51.86341,0.18012,5
62,51.87239,0.18681,5
63,51.87239,0.18398,5
64,51.87256,0.19368,5
65,51.86715,0.17857,5
66,51.8657,0.1794,5
67,51.87017,0.18133,5
68,51.86871,0.17745,5
69,51.87112,0.20471,5
70,51.87062,0.20948,5
71,51.86902,0.235,5
72,51.86863,0.24069,5
73,51.86987,0.22102,5
74,51.86956,0.22719,5
75,51.86842,0.26061,5
76,51.76703,0.08559,5
77,51.74566,0.08467,5
78,51.76749,0.07112,5
79,51.76754,0.06892,5
80,51.76841,0.11114,5
81,51.7558,0.05294,5
82,51.74676,0.05999,5
83,51.8791,0.17546,5
84,51.778,0.1114,5
85,51.86827,0.24632,5
86,51.90778,0.19611,5
87,51.88648,0.18645,5
88,51.81435,0.16043,2
88,51.81435,0.16043,5
89,51.89435,0.20701,5
90,51.9144,0.23005,5
91,51.85288,0.15433,5
92,51.86113,0.16413,5
93,51.89555,0.2023,5
94,51.89485,0.19904,5
95,51.81619,0.14873,5
96,51.8129,0.14736,5
97,51.80681,0.14073,5
98,51.80712,0.13675,5
99,51.91433,0.23534,5
100,51.86978,0.17165,5
101,51.77191,0.07108,5
102,51.77601,0.07663,5
103,51.76912,0.11655,5
104,51.77042,0.119,5
105,51.77561,0.12445,5
106,51.77308,0.12384,5
107,51.77794,0.0842,5
108,51.88284,0.25906,5
109,51.86143,0.2106,5
110,51.86832,0.20739,5
111,51.85801,0.20539,5
112,51.85943,0.21147,5
113,51.8568,0.19972,5
114,51.88215,0.25156,5
115,51.87393,0.21378,5
116,51.87552,0.23713,5
117,51.87845,0.24168,5
118,51.87164,0.16167,5
119,51.95796,0.20747,5
120,51.96196,0.21589,5
121,51.94939,0.19995,5
122,51.95416,0.20292,5
123,51.77635,0.10944,5
124,51.78107,0.09514,5
124,51.78107,0.09514,2
125,51.85411,0.14553,5
126,51.85417,0.14886,5
127,51.85862,0.16301,5
128,51.85898,0.16423,5
129,51.85603,0.16344,5
130,51.85258,0.16099,5
131,51.86151,0.1569,5
132,51.86207,0.15792,5
133,51.86023,0.15928,5
134,51.75015,0.10719,5
135,51.75224,0.11234,5
136,51.75458,0.11101,5
137,51.78546,0.11788,5
138,51.7864,0.12178,5
139,51.78376,0.11083,5
140,51.77048,0.09554,5
141,51.77487,0.08023,5
142,51.77499,0.07731,5
143,51.77262,0.07717,5
144,51.80191,0.17232,5
145,51.81276,0.20895,5
146,51.8124,0.21728,5
147,51.83065,0.18335,5
148,51.84569,0.17369,5
149,51.84152,0.17349,5
150,51.83831,0.1743,5
151,51.83545,0.17839,5
152,51.82106,0.19338,5
153,51.81763,0.19768,5
154,51.73696,0.05279,5
155,51.88302,0.19159,5
156,51.9373,0.19842,5
157,51.78421,0.14553,5
158,51.78442,0.14877,5
159,51.7834,0.14008,5
160,51.78219,0.13257,5
161,51.77967,0.13051,5
162,51.78338,0.13517,5
163,51.7854,0.13293,5
164,51.75665,0.12915,5
165,51.75167,0.13406,5
166,51.75797,0.13246,5
167,51.86744,0.27604,5
168,51.91353,0.2274,5
169,51.79037,0.13232,5
169,51.79037,0.13232,2
170,51.85419,0.15249,5
171,51.84843,0.16002,5
172,51.74552,0.05958,5
173,51.7563,0.1238,5
174,51.75625,0.11479,5
175,51.7534,0.10316,5
176,51.75354,0.08883,5
177,51.7525,0.07897,5
178,51.75372,0.08116,5
179,51.75697,0.07847,5
180,51.759,0.08093,5
181,51.77266,0.10296,5
182,51.77021,0.10528,5
183,51.87725,0.17316,5
184,51.87734,0.18129,5
185,51.87511,0.18041,5
186,51.87976,0.1712,5
187,51.88339,0.17333,5
188,51.87885,0.17895,5
189,51.78749,0.15543,5
190,51.8667,0.16491,2
190,51.8667,0.16491,5
190,51.8667,0.16491,4
191,51.90483,0.19407,5
192,51.88274,0.16548,5
193,51.88538,0.16886,5
194,51.88092,0.1627,5
195,51.88571,0.17665,5
196,51.87821,0.15984,5
197,51.94722,0.19603,5
198,51.89058,0.26044,0
198,51.89058,0.26044,5
198,51.89058,0.26044,2
198,51.89058,0.26044,4
199,51.76714,0.0996,5
200,51.7404,0.07446,5
201,51.79953,0.1324,5
202,51.80692,0.12245,5
203,51.80746,0.12573,5
204,51.80289,0.13584,5
205,51.77292,0.13363,5
206,51.86232,0.1432,5
207,51.86267,0.14553,5
208,51.86597,0.14012,5
209,51.86688,0.14853,5
210,51.86517,0.135,5
211,51.74869,0.08429,5
212,51.74723,0.08499,5
213,51.75114,0.08136,5
214,51.75053,0.08298,5
215,51.75043,0.07011,5
216,51.74934,0.07223,5
217,51.76424,0.0677,5
218,51.75518,0.06911,5
219,51.76906,0.06798,5
220,51.76614,0.06778,5
221,51.8983,0.19024,5
222,51.90125,0.19214,5
223,51.90788,0.19748,5
224,51.88553,0.16859,5
225,51.96986,0.21596,5
226,51.88,0.19594,5
227,51.87709,0.19903,5
228,51.88985,0.18423,5
229,51.89418,0.18662,5
230,51.91408,0.19992,5
231,51.92392,0.20177,5
232,51.86142,0.1542,5
233,51.86104,0.15146,5
234,51.86058,0.14873,5
235,51.85619,0.14862,5
236,51.85841,0.1466,5
237,51.85633,0.14267,5
238,51.86056,0.14228,5
239,51.86691,0.27568,5
240,51.76355,0.11777,5
241,51.76323,0.12042,5
242,51.76218,0.10593,5
243,51.75829,0.1211,5
244,51.75736,0.11613,5
245,51.75932,0.12187,5
246,51.75959,0.10732,5
247,51.76533,0.10475,5
248,51.92055,0.22807,2
248,51.92055,0.22807,5
249,51.86458,0.26685,5
250,51.86814,0.26602,5
251,51.86745,0.2866,5
252,51.86799,0.28624,5
253,51.86976,0.28348,5
254,51.86906,0.28179,5
255,51.86836,0.27792,5
256,51.74013,0.05557,5
257,51.78485,0.15356,5
258,51.76258,0.08514,5
259,51.77147,0.0911,5
260,51.777,0.08843,5
261,51.76588,0.08456,5
262,51.76836,0.08651,5
263,51.7749,0.08409,5
264,51.77087,0.07874,5
265,51.7757,0.08818,5
266,51.74791,0.0491,5
267,51.76092,0.12167,5
268,51.77188,0.08895,5
269,51.92796,0.22704,5
270,51.9336,0.22853,5
271,51.92211,0.20545,5
272,51.89237,0.19222,5
273,51.77285,0.11555,5
274,51.77091,0.11655,5
275,51.76915,0.11543,5
276,51.77216,0.11333,5
277,51.77483,0.11239,5
278,51.77472,0.11471,5
279,51.76459,0.11945,5
280,51.74958,0.05791,5
281,51.75336,0.0699,5
282,51.76343,0.08901,5
283,51.94846,0.19382,5
284,51.94931,0.1983,5
285,51.87272,0.15737,5
286,51.8031,0.18133,5
287,51.87929,0.24313,5
288,51.75801,0.07112,5
289,51.75603,0.11792,5
290,51.77425,0.09464,5
291,51.88236,0.17232,5
292,51.78457,0.11443,5
293,51.76529,0.13852,5
