ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,2,2,5,2.273
1,2,2,2,5,2.273
1,2,2,2,5,2.273
1,2,2,2,5,2.273
1,2,2,2,5,2.273
1,2,2,2,5,2.273
1,4,2,2,4,2.466
1,4,2,2,4,2.466
1,4,2,2,4,2.466
1,4,2,2,4,2.466
1,4,2,2,4,2.466
1,4,2,2,4,2.466
2,1,2,2,3,2.273
2,1,2,2,3,2.273
2,1,2,2,3,2.273
2,1,2,2,3,2.273
2,1,2,2,3,2.273
2,1,2,2,3,2.273
3,5,2,2,3,2.43
3,5,2,2,3,2.43
3,5,2,2,3,2.43
3,5,2,2,3,2.43
4,1,2,2,3,2.466
4,1,2,2,3,2.466
4,1,2,2,3,2.466
4,1,2,2,3,2.466
4,1,2,2,3,2.466
4,1,2,2,3,2.466
4,5,2,2,2,1.636
4,5,2,2,2,1.636
4,5,2,2,2,1.636
4,5,2,2,2,1.636
4,5,2,2,2,1.636
4,5,2,2,2,1.636
5,3,2,2,4,2.43
5,3,2,2,4,2.43
5,3,2,2,4,2.43
5,3,2,2,4,2.43
5,4,2,2,3,1.636
5,4,2,2,3,1.636
5,4,2,2,3,1.636
5,4,2,2,3,1.636
5,4,2,2,3,1.636
5,4,2,2,3,1.636
2,4,4,4,15,4.708
2,4,4,4,15,4.708
2,4,4,4,15,4.708
2,4,4,4,15,4.708
2,4,4,4,15,4.708
2,4,4,4,15,4.708
2,4,4,4,15,4.708
2,4,4,4,15,4.708
2,4,4,4,15,4.708
4,2,4,4,10,4.708
4,2,4,4,10,4.708
4,2,4,4,10,4.708
4,2,4,4,10,4.708
4,2,4,4,10,4.708
4,2,4,4,10,4.708
4,2,4,4,10,4.708
4,2,4,4,10,4.708
4,2,4,4,10,4.708
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,33,5,5,1,0.711
1,33,5,5,1,0.711
1,155,5,5,1,0.322
1,155,5,5,1,0.322
1,350,5,5,1,0.654
1,350,5,5,1,0.654
1,464,5,5,1,0.28
1,464,5,5,1,0.28
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,61,5,5,1,0.289
2,61,5,5,1,0.289
2,61,5,5,1,0.289
2,153,5,5,1,0.268
2,153,5,5,1,0.268
2,153,5,5,1,0.268
2,229,5,5,1,0.936
2,229,5,5,1,0.936
2,229,5,5,1,0.936
2,231,5,5,1,0.609
2,231,5,5,1,0.609
2,231,5,5,1,0.609
2,385,5,5,1,0.298
2,385,5,5,1,0.298
2,385,5,5,1,0.298
3,86,5,5,1,0.475
3,86,5,5,1,0.475
3,343,5,5,1,0.452
3,343,5,5,1,0.452
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,20,5,5,2,0.339
4,20,5,5,2,0.339
4,20,5,5,2,0.339
4,107,5,5,5,1.279
4,107,5,5,5,1.279
4,107,5,5,5,1.279
4,178,5,5,3,0.752
4,178,5,5,3,0.752
4,178,5,5,3,0.752
4,205,5,5,2,0.541
4,205,5,5,2,0.541
4,205,5,5,2,0.541
4,312,5,5,1,0.751
4,312,5,5,1,0.751
4,312,5,5,1,0.751
4,337,5,5,1,0.264
4,337,5,5,1,0.264
4,337,5,5,1,0.264
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,365,5,5,1,0.221
4,387,5,5,1,0.501
4,387,5,5,1,0.501
4,387,5,5,1,0.501
4,436,5,5,1,0.283
4,436,5,5,1,0.283
4,436,5,5,1,0.283
4,479,5,5,1,0.314
4,479,5,5,1,0.314
4,479,5,5,1,0.314
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,34,5,5,1,0.686
5,34,5,5,1,0.686
5,37,5,5,1,0.269
5,37,5,5,1,0.269
5,53,5,5,1,0.409
5,53,5,5,1,0.409
5,271,5,5,1,0.358
5,271,5,5,1,0.358
5,356,5,5,2,0.71
5,356,5,5,2,0.71
6,126,5,5,1,0.107
7,341,5,5,1,0.315
8,3,5,5,1,0.441
8,3,5,5,1,0.441
9,135,5,5,2,0.308
9,466,5,5,1,0.091
10,245,5,5,3,0.665
10,406,5,5,1,0.37
11,256,5,5,1,0.388
12,31,5,5,1,0.131
13,93,5,5,1,0.407
14,430,5,5,1,0.332
15,97,5,5,1,0.525
15,305,5,5,1,0.313
16,473,5,5,1,0.425
17,476,5,5,2,0.99
18,259,5,5,1,0.13
18,369,5,5,5,0.958
18,478,5,5,1,0.401
19,81,5,5,1,0.326
19,178,5,5,5,0.976
20,453,5,5,1,0.217
20,457,5,5,2,0.631
20,479,5,5,1,0.254
21,480,5,5,1,0.091
22,483,5,5,1,0.129
23,339,5,5,1,0.371
23,434,5,5,1,0.842
24,41,5,5,1,0.219
24,455,5,5,1,0.584
25,357,5,5,1,0.148
26,178,5,5,5,0.72
27,9,5,5,1,0.136
28,268,5,5,1,0.269
29,10,5,5,1,0.337
