nodeid,lat,lon,layer
1,53.99901,-1.50114,5
1,53.99901,-1.50114,2
2,54.00877,-1.4705,4
2,54.00877,-1.4705,2
2,54.00877,-1.4705,5
3,53.95834,-1.53346,2
3,53.95834,-1.53346,5
4,53.99319,-1.53762,4
4,53.99319,-1.53762,2
4,53.99319,-1.53762,5
5,53.97988,-1.52683,5
5,53.97988,-1.52683,2
6,53.97512,-1.52783,5
7,53.98762,-1.50322,5
8,53.96121,-1.52878,5
9,54.01206,-1.52535,5
10,54.00548,-1.4559,5
11,54.00687,-1.54772,5
12,54.01107,-1.54244,5
13,54.01363,-1.55744,5
14,54.01234,-1.46685,5
15,53.99693,-1.54082,5
16,53.9892,-1.54884,5
17,54.00596,-1.43145,5
18,53.97491,-1.55375,5
19,53.99588,-1.51414,5
20,53.99045,-1.53993,5
21,53.99601,-1.51026,5
22,54.01288,-1.5279,5
23,53.99584,-1.59522,5
24,54.00569,-1.45025,5
25,53.97714,-1.52954,5
26,54.00335,-1.53386,5
27,54.01126,-1.52376,5
28,53.98732,-1.5021,5
29,54.00372,-1.45168,5
30,54.00653,-1.44201,5
31,54.01009,-1.54356,5
32,53.99957,-1.53985,5
33,53.9963,-1.51102,5
34,53.98421,-1.51932,5
35,54.00722,-1.53043,5
36,54.02187,-1.60202,5
37,53.97843,-1.53014,5
38,54.01058,-1.5209,5
39,54.0106,-1.52189,5
40,53.98822,-1.50509,5
41,54.00747,-1.4488,5
42,54.00729,-1.4359,5
43,54.01655,-1.46578,5
44,53.97998,-1.56577,5
45,53.97829,-1.56614,5
46,54.02294,-1.50206,5
47,53.98488,-1.54936,5
48,53.98068,-1.56273,5
49,54.00615,-1.5502,5
50,53.98633,-1.52403,5
51,54.00609,-1.53328,5
52,53.99669,-1.50939,5
53,53.9778,-1.53201,5
54,53.97504,-1.55338,5
55,53.96379,-1.46592,5
56,53.99534,-1.50451,5
57,54.01768,-1.4847,5
58,53.97758,-1.53417,5
59,54.0092,-1.54647,5
60,54.00863,-1.539,5
61,54.01067,-1.47353,5
62,54.00787,-1.52164,5
63,53.97786,-1.5321,5
64,53.96885,-1.54662,5
65,53.9779,-1.52188,5
66,53.98938,-1.50284,5
67,53.98972,-1.50994,5
68,54.03405,-1.56368,5
69,54.01488,-1.57283,5
70,54.00626,-1.43202,5
71,54.00513,-1.57085,5
72,54.00895,-1.59571,5
73,54.0091,-1.5958,5
74,54.02911,-1.50357,5
75,54.00317,-1.53709,5
76,54.00371,-1.55988,5
77,53.98393,-1.55051,5
78,53.99123,-1.55678,5
79,54.02645,-1.56448,5
80,53.9691,-1.55087,5
81,53.99513,-1.51898,5
82,53.98666,-1.55013,5
83,53.988,-1.50758,5
84,53.99698,-1.53054,5
85,53.99596,-1.51464,5
86,53.9616,-1.52873,5
87,54.01656,-1.48121,5
88,54.00347,-1.56716,5
89,53.99557,-1.54473,5
90,54.00636,-1.5222,5
91,53.99787,-1.54641,5
92,53.99066,-1.51284,5
93,54.01684,-1.56046,5
94,54.00002,-1.42053,5
95,54.00317,-1.57313,5
96,54.02787,-1.50415,5
97,54.00141,-1.53823,5
98,54.00278,-1.55652,5
99,54.00311,-1.55944,5
100,53.9832,-1.55311,5
101,54.034,-1.56353,5
102,53.96729,-1.54917,5
103,54.00132,-1.54776,5
104,53.98512,-1.54963,5
105,53.98571,-1.51479,5
106,53.9912,-1.55687,5
107,53.99535,-1.51837,5
108,53.97136,-1.53092,5
109,54.00794,-1.52827,5
110,54.01814,-1.56948,5
111,53.97339,-1.53178,5
112,54.00373,-1.54883,5
113,53.99171,-1.51611,5
114,54.02254,-1.5648,5
115,54.01967,-1.56341,5
116,54.00129,-1.57472,5
117,54.01538,-1.4615,5
118,53.98801,-1.52572,5
119,54.01858,-1.48665,5
120,53.99297,-1.50426,5
121,53.98213,-1.55695,5
122,54.01696,-1.46013,5
123,54.01541,-1.59103,5
124,54.03717,-1.56498,5
125,53.99326,-1.49106,5
126,53.97609,-1.52791,5
127,53.9924,-1.53084,5
128,53.99792,-1.54659,5
129,53.99244,-1.54551,5
130,53.99037,-1.5608,5
131,53.99388,-1.5238,5
132,54.03187,-1.50199,5
133,53.97382,-1.53217,5
134,54.00233,-1.46739,5
135,54.01466,-1.52703,5
136,54.02067,-1.56753,5
137,53.98598,-1.42977,5
138,54.00355,-1.4514,5
139,54.02617,-1.50254,5
140,54.00527,-1.52732,5
141,53.99257,-1.5188,5
142,54.04449,-1.5567,5
143,54.00121,-1.45427,5
144,54.00347,-1.56962,5
145,54.01769,-1.48444,5
146,53.98127,-1.56,5
147,54.00611,-1.53064,5
148,54.04001,-1.56747,5
149,53.9951,-1.48431,5
150,53.99264,-1.55927,5
151,53.98285,-1.49134,5
152,54.01,-1.46388,5
153,54.00843,-1.46642,5
154,53.98959,-1.54832,5
155,54.00075,-1.49718,5
156,54.03503,-1.49302,5
157,53.99801,-1.59686,5
158,54.01467,-1.52932,5
159,54.02263,-1.566,5
160,53.97426,-1.49692,5
161,54.02302,-1.50218,5
162,54.00866,-1.47549,5
163,54.00491,-1.52941,5
164,54.00625,-1.5501,5
165,54.00189,-1.45333,5
166,54.01432,-1.53216,5
167,54.02172,-1.49865,5
168,54.00234,-1.49516,5
169,53.9772,-1.55336,5
170,54.04421,-1.55722,5
171,53.99151,-1.49659,5
172,53.99766,-1.54463,5
173,54.00303,-1.55969,5
174,54.01002,-1.52887,5
175,53.98521,-1.49517,5
176,53.99565,-1.53683,5
177,53.98217,-1.55687,5
178,53.99757,-1.52883,5
179,54.02298,-1.60526,5
180,54.01939,-1.60199,5
181,53.99892,-1.4922,5
182,53.98066,-1.53568,5
183,53.98761,-1.52554,5
184,54.0165,-1.60007,5
185,53.96831,-1.48367,5
186,54.02164,-1.49873,5
187,54.00725,-1.43465,5
188,54.00837,-1.552,5
189,54.03732,-1.56533,5
190,54.00178,-1.45099,5
191,54.00319,-1.56382,5
192,54.01226,-1.46692,5
193,53.98388,-1.53731,5
194,53.96879,-1.54656,5
195,54.01946,-1.48893,5
196,54.00498,-1.57099,5
197,54.00666,-1.56565,5
198,54.00725,-1.55385,5
199,54.00863,-1.52711,5
200,54.0087,-1.52734,5
201,54.01851,-1.48672,5
202,53.99248,-1.49347,5
203,53.96826,-1.48376,5
204,53.98151,-1.55928,5
205,53.99016,-1.53111,5
206,53.99686,-1.52606,5
207,54.00332,-1.56735,5
208,54.01001,-1.52905,5
209,54.01363,-1.46742,5
210,53.98338,-1.53719,5
211,54.01058,-1.5239,5
212,54.01538,-1.59101,5
213,53.96781,-1.48052,5
214,53.99396,-1.51123,5
215,54.00909,-1.45522,5
216,54.01962,-1.49019,5
217,54.00065,-1.54737,5
218,53.97123,-1.53065,5
219,54.00658,-1.56582,5
220,54.01448,-1.46381,5
221,54.00649,-1.48342,5
222,54.02601,-1.50239,5
223,53.99131,-1.56652,5
224,54.0012,-1.49363,5
225,53.99122,-1.5666,5
226,53.99186,-1.43348,5
227,53.97295,-1.5536,5
228,54.00064,-1.46842,5
229,54.01672,-1.4657,5
230,53.98418,-1.5499,5
231,54.01378,-1.47431,5
232,53.98693,-1.54998,5
233,54.01046,-1.53726,5
234,53.99714,-1.50619,5
235,53.98777,-1.53967,5
236,54.00992,-1.52194,5
237,54.01686,-1.58483,5
238,53.96604,-1.47886,5
