ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
30,73,2,2,3,3.188
30,73,2,2,3,3.188
30,73,2,2,3,3.188
30,73,2,2,3,3.188
30,73,2,2,3,3.188
30,73,2,2,3,3.188
73,30,2,2,4,3.188
73,30,2,2,4,3.188
73,30,2,2,4,3.188
73,30,2,2,4,3.188
73,30,2,2,4,3.188
73,30,2,2,4,3.188
73,205,4,4,15,11.528
73,205,4,4,15,11.528
73,205,4,4,15,11.528
73,205,4,4,15,11.528
73,205,4,4,15,11.528
73,205,4,4,15,11.528
73,217,4,4,10,6.277
73,217,4,4,10,6.277
73,217,4,4,10,6.277
73,217,4,4,10,6.277
73,217,4,4,10,6.277
73,217,4,4,10,6.277
205,73,4,4,15,11.528
205,73,4,4,15,11.528
205,73,4,4,15,11.528
205,73,4,4,15,11.528
205,73,4,4,15,11.528
205,73,4,4,15,11.528
205,285,4,4,5,1.198
205,285,4,4,5,1.198
205,285,4,4,5,1.198
205,285,4,4,5,1.198
217,286,4,4,5,4.621
217,286,4,4,5,4.621
217,286,4,4,5,4.621
217,286,4,4,5,4.621
218,73,4,4,10,6.169
218,73,4,4,10,6.169
218,73,4,4,10,6.169
218,73,4,4,10,6.169
218,73,4,4,10,6.169
218,73,4,4,10,6.169
285,218,4,4,5,4.757
285,218,4,4,5,4.757
285,218,4,4,5,4.757
285,218,4,4,5,4.757
286,205,4,4,5,1.171
286,205,4,4,5,1.171
286,205,4,4,5,1.171
286,205,4,4,5,1.171
1,71,5,5,2,0.346
1,90,5,5,1,0.271
2,101,5,5,1,0.425
2,111,5,5,1,0.638
2,114,5,5,1,0.373
3,33,5,5,1,0.558
3,74,5,5,1,1.021
3,111,5,5,1,0.627
4,110,5,5,1,0.224
4,114,5,5,1,0.243
5,77,5,5,1,0.391
5,112,5,5,1,0.242
5,306,5,5,1,0.356
5,308,5,5,5,0.318
6,6,5,5,1,0.0
6,8,5,5,1,0.383
6,34,5,5,1,0.287
7,34,5,5,1,0.577
7,112,5,5,2,0.465
8,6,5,5,1,0.383
8,77,5,5,1,0.122
9,23,5,5,1,0.215
9,100,5,5,1,1.055
9,124,5,5,1,0.551
10,11,5,5,1,0.173
10,113,5,5,1,0.234
11,10,5,5,1,0.173
11,82,5,5,1,0.249
12,13,5,5,1,0.35
12,129,5,5,1,0.317
13,12,5,5,1,0.35
13,18,5,5,1,0.193
14,15,5,5,1,0.253
14,93,5,5,1,0.291
15,14,5,5,1,0.253
15,16,5,5,1,0.719
16,15,5,5,1,0.719
16,127,5,5,1,0.176
17,124,5,5,1,0.278
17,125,5,5,1,0.296
18,9,5,5,1,0.707
18,13,5,5,1,0.193
18,67,5,5,2,0.504
18,80,5,5,1,0.2
18,100,5,5,1,0.36
18,124,5,5,1,0.357
19,30,5,5,1,0.7
19,30,5,5,1,0.7
19,54,5,5,1,0.358
19,56,5,5,1,0.744
20,63,5,5,1,0.359
20,134,5,5,1,0.293
21,131,5,5,1,0.36
21,153,5,5,1,0.368
22,61,5,5,1,0.23
22,63,5,5,1,0.377
23,9,5,5,1,0.215
23,18,5,5,1,0.922
24,142,5,5,1,0.248
24,174,5,5,1,0.419
25,27,5,5,1,0.181
25,284,5,5,1,0.136
26,69,5,5,1,0.466
27,25,5,5,1,0.181
27,28,5,5,1,0.288
28,27,5,5,1,0.288
28,45,5,5,1,0.126
29,52,5,5,1,0.277
29,84,5,5,1,0.398
30,19,5,5,1,0.7
30,19,5,5,1,0.7
30,30,5,5,1,0.0
30,30,5,5,1,0.0
30,30,5,5,1,0.0
30,30,5,5,1,0.0
30,84,5,5,1,0.758
30,84,5,5,1,0.758
30,93,5,5,1,0.639
30,93,5,5,1,0.639
30,94,5,5,1,0.692
30,94,5,5,1,0.692
31,95,5,5,1,0.152
31,96,5,5,1,0.244
32,87,5,5,1,0.364
32,122,5,5,1,0.402
33,3,5,5,1,0.558
34,6,5,5,1,0.287
34,122,5,5,1,0.246
34,126,5,5,1,0.343
34,686,5,5,1,0.376
35,126,5,5,2,1.805
35,198,5,5,2,0.377
35,217,5,5,3,2.525
35,217,5,5,3,2.525
35,275,5,5,1,0.584
36,40,5,5,1,0.308
36,197,5,5,1,0.256
37,140,5,5,1,0.419
37,198,5,5,1,0.61
38,143,5,5,1,0.221
38,699,5,5,1,0.414
39,3,5,5,3,2.078
39,69,5,5,1,0.899
39,141,5,5,1,0.757
40,36,5,5,1,0.308
40,41,5,5,1,0.292
40,140,5,5,1,1.444
41,40,5,5,1,0.292
41,112,5,5,1,0.457
42,155,5,5,1,0.177
42,162,5,5,1,0.27
43,44,5,5,1,0.99
43,50,5,5,1,0.49
44,43,5,5,1,0.99
45,28,5,5,1,0.126
45,246,5,5,1,0.157
46,48,5,5,1,0.384
46,49,5,5,1,0.233
