nodeid,lat,lon,layer
1,54.67955,-1.2179,5
2,54.68903,-1.25173,5
3,54.69163,-1.27082,5
4,54.68613,-1.24663,5
5,54.70862,-1.22818,5
6,54.70461,-1.22335,5
7,54.70642,-1.22799,5
8,54.70806,-1.22319,5
9,54.69873,-1.25206,5
10,54.68571,-1.23863,5
11,54.68588,-1.23594,5
12,54.69637,-1.23612,5
13,54.69473,-1.24079,5
14,54.65685,-1.20822,5
15,54.65467,-1.20704,5
16,54.64874,-1.20253,5
17,54.69914,-1.24003,5
18,54.69452,-1.24379,5
19,54.65585,-1.19038,5
20,54.66805,-1.21892,5
21,54.67036,-1.21281,5
22,54.66195,-1.22261,5
23,54.69994,-1.25469,5
24,54.70068,-1.2074,5
25,54.68168,-1.20279,5
26,54.66812,-1.29925,5
27,54.68133,-1.20555,5
28,54.68079,-1.20994,5
29,54.6646,-1.19007,5
30,54.65832,-1.20042,2
30,54.65832,-1.20042,5
31,54.69454,-1.22663,5
32,54.69648,-1.2204,5
33,54.6899,-1.279,5
34,54.70202,-1.22318,5
35,54.71284,-1.24572,5
36,54.71501,-1.24408,5
37,54.71848,-1.25458,5
38,54.71216,-1.24945,5
39,54.67381,-1.28073,5
40,54.71277,-1.24122,5
41,54.7114,-1.23733,5
42,54.65961,-1.24374,5
43,54.63307,-1.2049,5
44,54.62499,-1.21142,5
45,54.67981,-1.21094,5
46,54.66855,-1.23415,5
47,54.6609,-1.23963,5
48,54.66519,-1.23561,5
49,54.669,-1.23059,5
50,54.6367,-1.20055,5
51,54.6406,-1.19305,5
52,54.66252,-1.18766,5
53,54.66056,-1.18751,5
54,54.65809,-1.18635,5
55,54.64451,-1.18884,5
56,54.64918,-1.18916,5
57,54.6998,-1.23164,5
58,54.67004,-1.24597,5
59,54.66082,-1.24862,5
60,54.658,-1.24886,5
61,54.66246,-1.22609,5
62,54.66589,-1.2433,5
63,54.66483,-1.21947,5
64,54.66353,-1.24289,5
65,54.6477,-1.19966,5
66,54.67715,-1.22124,5
67,54.69852,-1.24752,5
68,54.70032,-1.2451,5
69,54.66917,-1.29221,5
70,54.67924,-1.21881,5
71,54.67948,-1.22329,5
72,54.67399,-1.22406,5
73,54.68676,-1.20731,5
73,54.68676,-1.20731,2
73,54.68676,-1.20731,4
74,54.68243,-1.27082,5
75,54.70146,-1.19405,5
76,54.70066,-1.19113,5
77,54.70897,-1.2221,5
78,54.70456,-1.20898,5
79,54.70258,-1.24147,5
80,54.69386,-1.2467,5
81,54.68611,-1.21677,5
82,54.68806,-1.23498,5
83,54.68898,-1.21647,5
84,54.66472,-1.19627,5
85,54.70255,-1.2023,5
86,54.69499,-1.22077,5
87,54.69377,-1.21718,5
88,54.66791,-1.19003,5
89,54.70206,-1.19914,5
90,54.68183,-1.21639,5
91,54.65829,-1.21656,5
92,54.66572,-1.18842,5
93,54.65919,-1.21027,5
94,54.66121,-1.19086,5
95,54.69472,-1.22428,5
96,54.69236,-1.22718,5
97,54.69038,-1.22719,5
98,54.69069,-1.23247,5
99,54.69129,-1.23757,5
