ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
6,35,2,2,3,2.202
6,35,2,2,3,2.202
6,35,2,2,3,2.202
6,35,2,2,3,2.202
6,305,2,2,7,10.881
6,305,2,2,7,10.881
6,305,2,2,7,10.881
6,305,2,2,7,10.881
6,417,2,2,4,5.414
6,417,2,2,4,5.414
6,417,2,2,4,5.414
6,417,2,2,4,5.414
15,261,2,2,4,3.47
15,261,2,2,4,3.47
15,261,2,2,4,3.47
15,261,2,2,4,3.47
15,261,2,2,4,3.47
15,261,2,2,4,3.47
15,261,2,2,4,3.47
15,261,2,2,4,3.47
15,261,2,2,4,3.47
35,6,2,2,2,2.202
35,6,2,2,2,2.202
35,6,2,2,2,2.202
35,6,2,2,2,2.202
35,397,2,2,3,3.358
35,397,2,2,3,3.358
35,397,2,2,3,3.358
35,397,2,2,3,3.358
35,417,2,2,6,7.612
35,417,2,2,6,7.612
35,417,2,2,6,7.612
35,417,2,2,6,7.612
125,261,2,2,5,3.289
125,261,2,2,5,3.289
125,261,2,2,5,3.289
125,261,2,2,5,3.289
125,261,2,2,5,3.289
125,261,2,2,5,3.289
125,261,2,2,5,3.289
125,261,2,2,5,3.289
125,261,2,2,5,3.289
261,15,2,2,6,3.47
261,15,2,2,6,3.47
261,15,2,2,6,3.47
261,15,2,2,6,3.47
261,15,2,2,6,3.47
261,15,2,2,6,3.47
261,15,2,2,6,3.47
261,15,2,2,6,3.47
261,15,2,2,6,3.47
261,125,2,2,4,3.289
261,125,2,2,4,3.289
261,125,2,2,4,3.289
261,125,2,2,4,3.289
261,125,2,2,4,3.289
261,125,2,2,4,3.289
261,125,2,2,4,3.289
261,125,2,2,4,3.289
261,125,2,2,4,3.289
305,6,2,2,7,10.881
305,6,2,2,7,10.881
305,6,2,2,7,10.881
305,6,2,2,7,10.881
305,35,2,2,6,8.903
305,35,2,2,6,8.903
305,35,2,2,6,8.903
305,35,2,2,6,8.903
305,397,2,2,4,5.546
305,397,2,2,4,5.546
305,397,2,2,4,5.546
305,397,2,2,4,5.546
305,417,2,2,9,15.871
305,417,2,2,9,15.871
305,417,2,2,9,15.871
305,417,2,2,9,15.871
397,6,2,2,4,5.377
397,6,2,2,4,5.377
397,6,2,2,4,5.377
397,6,2,2,4,5.377
397,35,2,2,3,3.358
397,35,2,2,3,3.358
397,35,2,2,3,3.358
397,35,2,2,3,3.358
397,305,2,2,4,5.546
397,305,2,2,4,5.546
397,305,2,2,4,5.546
397,305,2,2,4,5.546
417,6,2,2,3,5.414
417,6,2,2,3,5.414
417,6,2,2,3,5.414
417,6,2,2,3,5.414
15,21,3,3,4,3.051
15,21,3,3,4,3.051
15,21,3,3,4,3.051
15,261,3,3,4,3.47
15,261,3,3,4,3.47
15,261,3,3,4,3.47
15,261,3,3,4,3.47
15,261,3,3,4,3.47
15,261,3,3,4,3.47
15,261,3,3,4,3.47
15,261,3,3,4,3.47
15,261,3,3,4,3.47
15,418,3,3,4,2.301
15,418,3,3,4,2.301
15,418,3,3,4,2.301
