nodeid,lat,lon,layer
1,51.73992,-0.45824,5
2,51.73672,-0.44668,5
3,51.74342,-0.46765,5
4,51.74498,-0.46278,5
5,51.66028,-0.50982,5
6,51.74234,-0.49076,2
6,51.74234,-0.49076,5
7,51.75399,-0.54613,5
8,51.75539,-0.5495,5
9,51.74811,-0.57697,5
10,51.74588,-0.58183,5
11,51.75027,-0.57174,5
12,51.75275,-0.57732,5
13,51.74825,-0.53061,5
14,51.7504,-0.53691,5
15,51.64025,-0.47327,5
15,51.64025,-0.47327,2
15,51.64025,-0.47327,3
16,51.74816,-0.4329,5
17,51.75232,-0.44945,5
18,51.62698,-0.5065,5
19,51.62452,-0.50882,5
20,51.63047,-0.47245,5
21,51.6298,-0.43231,3
22,51.74151,-0.46856,5
23,51.74194,-0.4625,5
24,51.64021,-0.39945,5
25,51.64331,-0.39319,5
26,51.7714,-0.4475,5
27,51.73799,-0.45328,5
28,51.7406,-0.4467,5
29,51.73831,-0.44817,5
30,51.74298,-0.44536,5
31,51.74246,-0.44777,5
32,51.65188,-0.48374,5
33,51.72086,-0.54975,5
34,51.76359,-0.44774,5
35,51.73252,-0.46292,2
35,51.73252,-0.46292,5
36,51.75644,-0.5723,5
37,51.76292,-0.57243,5
38,51.75532,-0.56377,5
39,51.75397,-0.5677,5
40,51.75541,-0.56061,5
41,51.65438,-0.40575,5
42,51.65266,-0.40798,5
43,51.65084,-0.41144,5
44,51.65549,-0.41125,5
45,51.7161,-0.41186,5
46,51.71775,-0.43061,5
47,51.76453,-0.48933,5
48,51.76147,-0.49949,5
49,51.76028,-0.4953,5
50,51.69488,-0.42984,5
51,51.69639,-0.43065,5
52,51.69552,-0.4332,5
53,51.69346,-0.43511,5
54,51.68705,-0.40469,5
55,51.69398,-0.43215,5
56,51.68994,-0.40696,5
57,51.69801,-0.4336,5
58,51.68914,-0.39923,5
59,51.67466,-0.40008,5
60,51.75317,-0.4504,5
61,51.7515,-0.44624,5
62,51.75028,-0.46148,5
63,51.6437,-0.4633,5
64,51.63283,-0.47083,5
65,51.62697,-0.47204,5
66,51.63641,-0.46722,5
67,51.77377,-0.59706,5
68,51.77562,-0.60262,5
69,51.69243,-0.39833,5
70,51.76247,-0.57676,5
71,51.64696,-0.42587,5
72,51.64993,-0.43541,5
73,51.64748,-0.42756,5
74,51.75744,-0.49283,5
75,51.77614,-0.44195,5
76,51.77756,-0.43021,5
77,51.77742,-0.43461,5
78,51.77986,-0.43708,5
79,51.77988,-0.44251,5
80,51.7782,-0.4445,5
81,51.77342,-0.44265,5
82,51.77548,-0.43604,5
83,51.68198,-0.42928,5
84,51.67729,-0.42418,5
85,51.71375,-0.4422,5
86,51.71226,-0.44474,5
87,51.72117,-0.45134,5
88,51.73231,-0.45466,5
89,51.71421,-0.44738,5
90,51.71215,-0.44968,5
91,51.73065,-0.45201,5
92,51.67828,-0.39665,5
93,51.67642,-0.39949,5
94,51.673,-0.39707,5
95,51.67335,-0.39626,5
96,51.7568,-0.49841,5
97,51.76556,-0.48467,5
98,51.75663,-0.49504,5
99,51.76132,-0.49652,5
100,51.76188,-0.48807,5
101,51.66074,-0.40323,5
102,51.73108,-0.52314,5
103,51.72886,-0.52694,5
104,51.71956,-0.53262,5
105,51.72556,-0.53344,5
106,51.72404,-0.53398,5
107,51.6603,-0.40042,5
108,51.65704,-0.39526,5
109,51.75134,-0.46343,5
110,51.75396,-0.47256,5
111,51.75573,-0.46763,5
112,51.75871,-0.46598,5
113,51.65499,-0.49307,5
114,51.65214,-0.52559,5
115,51.64855,-0.52191,5
116,51.79767,-0.39973,5
117,51.79685,-0.39664,5
118,51.79955,-0.39595,5
119,51.79716,-0.40395,5
120,51.77098,-0.47866,5
121,51.74784,-0.45166,5
122,51.7508,-0.459,5
123,51.75975,-0.46667,5
124,51.76181,-0.46615,5
125,51.66811,-0.56052,5
125,51.66811,-0.56052,2
125,51.66811,-0.56052,3
126,51.62037,-0.46913,5
127,51.77274,-0.44902,5
128,51.7757,-0.44902,5
129,51.77004,-0.45727,5
130,51.76961,-0.44881,5
131,51.77353,-0.45314,5
132,51.77249,-0.45819,5
133,51.75779,-0.44653,5
134,51.75647,-0.45377,5
135,51.75166,-0.47223,5
136,51.75269,-0.4737,4
136,51.75269,-0.4737,5
137,51.74545,-0.46492,5
138,51.74449,-0.46103,5
139,51.74871,-0.47379,5
140,51.71227,-0.45267,5
141,51.71199,-0.45705,5
142,51.7125,-0.44104,5
143,51.71501,-0.44163,5
144,51.70885,-0.44755,5
145,51.71765,-0.45018,5
146,51.71925,-0.44487,5
147,51.68985,-0.417,5
148,51.75342,-0.45852,5
149,51.78532,-0.41463,5
150,51.78346,-0.41789,5
151,51.79084,-0.40765,5
152,51.79219,-0.40447,5
153,51.79532,-0.40113,5
154,51.7428,-0.50166,5
155,51.73619,-0.50489,5
156,51.73444,-0.51066,5
157,51.74602,-0.52177,5
158,51.74551,-0.51414,5
159,51.7438,-0.50829,5
160,51.72261,-0.53157,5
161,51.72034,-0.52704,5
162,51.65337,-0.42137,5
163,51.65378,-0.41579,5
164,51.65666,-0.4213,5
165,51.66255,-0.40798,5
166,51.66481,-0.40437,5
167,51.67367,-0.41826,5
168,51.66236,-0.41196,5
169,51.75105,-0.43544,5
170,51.74602,-0.42454,5
171,51.74521,-0.4281,5
172,51.74699,-0.42823,5
173,51.75531,-0.43278,5
174,51.7398,-0.45652,5
175,51.64202,-0.52042,5
176,51.64404,-0.52333,5
177,51.65863,-0.52209,5
178,51.66729,-0.52104,5
179,51.6455,-0.52656,5
180,51.64623,-0.52482,5
181,51.64884,-0.53015,5
182,51.65015,-0.52934,5
183,51.70411,-0.43082,5
184,51.70198,-0.42473,5
185,51.702,-0.41859,5
186,51.70414,-0.41171,5
