ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,39,5,5,1,0.569
1,39,5,5,1,0.569
1,39,5,5,1,0.569
1,115,5,5,2,0.319
1,115,5,5,2,0.319
1,115,5,5,2,0.319
1,121,5,5,1,0.312
1,121,5,5,1,0.312
1,121,5,5,1,0.312
1,122,5,5,2,0.3
1,122,5,5,2,0.3
1,122,5,5,2,0.3
1,208,5,5,2,0.304
1,208,5,5,2,0.304
1,208,5,5,2,0.304
1,209,5,5,2,0.287
1,209,5,5,2,0.287
1,209,5,5,2,0.287
1,226,5,5,1,0.382
1,226,5,5,1,0.382
1,226,5,5,1,0.382
1,227,5,5,4,0.306
1,227,5,5,4,0.306
1,227,5,5,4,0.306
1,244,5,5,1,0.359
1,244,5,5,1,0.359
1,244,5,5,1,0.359
1,260,5,5,2,0.426
1,260,5,5,2,0.426
1,260,5,5,2,0.426
1,317,5,5,1,0.327
1,317,5,5,1,0.327
1,317,5,5,1,0.327
2,223,5,5,1,0.422
3,83,5,5,1,0.148
3,277,5,5,1,0.437
3,382,5,5,2,0.478
4,16,5,5,1,0.017
4,242,5,5,1,0.383
5,213,5,5,1,0.184
6,7,5,5,1,0.188
7,193,5,5,1,0.2
8,10,5,5,1,0.157
9,392,5,5,1,0.25
10,9,5,5,1,0.123
11,102,5,5,1,0.965
11,137,5,5,1,0.258
12,14,5,5,1,0.24
13,11,5,5,1,1.066
13,78,5,5,2,1.041
13,137,5,5,2,1.312
14,44,5,5,1,0.582
14,152,5,5,1,0.54
15,13,5,5,1,0.204
16,242,5,5,1,0.4
16,386,5,5,1,0.24
17,18,5,5,1,0.098
18,21,5,5,1,0.148
19,171,5,5,2,0.671
20,17,5,5,1,0.406
21,168,5,5,1,0.122
22,140,5,5,1,0.12
23,255,5,5,2,0.536
23,288,5,5,1,0.22
24,13,5,5,1,0.734
24,15,5,5,1,0.529
25,287,5,5,1,0.223
26,28,5,5,1,0.302
26,231,5,5,1,0.166
27,25,5,5,1,0.141
28,322,5,5,2,0.638
28,382,5,5,2,0.173
29,27,5,5,1,0.314
29,245,5,5,1,0.164
30,33,5,5,1,0.263
30,273,5,5,1,0.603
31,236,5,5,1,0.168
32,31,5,5,1,0.222
33,34,5,5,1,0.223
34,289,5,5,1,0.194
35,302,5,5,1,0.323
36,350,5,5,1,0.115
36,352,5,5,1,0.161
37,36,5,5,1,0.222
38,73,5,5,1,0.363
38,367,5,5,1,0.301
38,382,5,5,6,0.94
39,79,5,5,2,0.303
39,94,5,5,2,0.4
39,390,5,5,1,0.358
40,54,5,5,1,0.221
41,56,5,5,1,0.182
41,296,5,5,1,0.145
42,46,5,5,1,0.115
43,45,5,5,1,0.112
