nodeid,lat,lon,layer
1,52.06117,-2.70822,4
1,52.06117,-2.70822,2
1,52.06117,-2.70822,5
2,52.04627,-2.72536,5
3,52.04597,-2.72565,5
4,52.03808,-2.72423,5
5,52.04168,-2.72998,5
6,52.05715,-2.73126,5
7,52.05564,-2.73253,5
8,52.0563,-2.7348,5
9,52.05672,-2.73188,5
10,52.05573,-2.73269,5
11,52.07904,-2.78199,5
12,52.08659,-2.79056,5
13,52.08684,-2.79112,5
14,52.08748,-2.79378,5
15,52.08736,-2.794,5
16,52.03798,-2.72403,5
17,52.05164,-2.68049,5
18,52.05083,-2.67989,5
19,52.07646,-2.74433,5
20,52.05412,-2.68487,5
21,52.04957,-2.67917,5
22,52.06564,-2.7224,5
23,52.06686,-2.72211,5
24,52.08887,-2.80137,5
25,52.0467,-2.7322,5
26,52.04632,-2.7334,5
27,52.04605,-2.73399,5
28,52.04374,-2.73196,5
29,52.0435,-2.732,5
30,52.05275,-2.7067,5
31,52.05264,-2.70678,5
32,52.05379,-2.70411,5
33,52.05424,-2.70369,5
34,52.05512,-2.70074,5
35,52.06332,-2.6994,5
36,52.03919,-2.71291,5
37,52.04095,-2.71135,5
38,52.04299,-2.71637,5
39,52.05803,-2.71482,5
40,52.05621,-2.69688,5
41,52.05559,-2.69789,5
42,52.08592,-2.80517,5
43,52.08659,-2.80394,5
44,52.08813,-2.80225,5
45,52.08584,-2.80504,5
46,52.08669,-2.80403,5
47,52.06508,-2.75118,5
48,52.05997,-2.74911,5
49,52.06973,-2.70885,5
50,52.04394,-2.73004,5
51,52.0376,-2.73428,5
52,52.03951,-2.73416,5
53,52.05883,-2.69174,5
54,52.05748,-2.69438,5
55,52.05895,-2.69167,5
56,52.05502,-2.70039,5
57,52.05722,-2.69456,5
58,52.0738,-2.70817,5
59,52.04177,-2.73041,5
60,52.0585,-2.68765,5
61,52.0587,-2.68801,5
62,52.04095,-2.70354,5
63,52.01152,-2.70552,5
64,52.05815,-2.71784,5
65,52.06032,-2.72126,5
66,52.03664,-2.75725,5
67,52.04167,-2.7435,5
68,52.03646,-2.75732,5
69,52.08046,-2.70829,5
70,52.08034,-2.70836,5
71,52.04385,-2.71615,5
72,52.0448,-2.72041,5
73,52.04487,-2.72073,5
74,52.04346,-2.71752,5
75,52.04977,-2.69744,5
76,52.04062,-2.70216,5
77,52.07836,-2.78487,5
78,52.07824,-2.78502,5
79,52.05756,-2.7192,5
80,52.06122,-2.72037,5
81,52.03982,-2.65684,5
82,52.04596,-2.72769,5
83,52.04585,-2.72782,5
84,52.04077,-2.70537,5
85,52.04605,-2.71482,5
86,52.04523,-2.71578,5
87,52.04187,-2.71112,5
88,52.05234,-2.71035,5
89,52.0389,-2.71758,5
90,52.03944,-2.71617,5
91,52.04422,-2.71367,5
92,52.04594,-2.71406,5
93,52.05528,-2.72424,5
94,52.05607,-2.71975,5
95,52.07326,-2.74305,5
96,52.05383,-2.73597,5
97,52.03927,-2.69271,5
98,52.04931,-2.68963,5
99,52.03786,-2.71607,5
100,52.0389,-2.71549,5
101,52.07134,-2.77508,5
102,52.07149,-2.77498,5
103,52.05608,-2.71345,5
104,52.02472,-2.70723,5
105,52.04242,-2.70842,5
106,52.07338,-2.73974,5
107,52.07389,-2.81379,5
108,52.08484,-2.75715,5
109,52.074,-2.79068,5
110,52.07402,-2.79041,5
111,52.05124,-2.71082,5
112,52.06118,-2.7184,5
113,52.03923,-2.7485,5
114,52.0389,-2.74914,5
115,52.05837,-2.7093,5
116,52.07528,-2.72318,5
117,52.07268,-2.73536,5
118,52.03821,-2.7391,5
119,52.04696,-2.73036,5
120,52.06128,-2.68832,5
121,52.05842,-2.70917,5
122,52.0585,-2.70896,5
123,52.05974,-2.74282,5
124,52.07456,-2.7446,5
125,52.07315,-2.74264,5
126,52.07662,-2.74372,5
127,52.07422,-2.74257,5
128,52.06349,-2.69946,5
129,52.05711,-2.72332,5
130,52.05087,-2.70925,5
131,52.05696,-2.72348,5
132,52.04258,-2.74506,5
133,52.05097,-2.70919,5
134,52.07003,-2.70817,5
135,52.06724,-2.72963,5
136,52.07301,-2.73619,5
137,52.07679,-2.78099,5
138,52.06109,-2.7419,5
139,52.0426,-2.70861,5
140,52.0658,-2.72066,5
141,52.06707,-2.72777,5
142,52.06614,-2.72395,5
143,52.06627,-2.72435,5
144,52.03583,-2.73576,5
145,52.06155,-2.74128,5
146,52.06158,-2.7397,5
147,52.06719,-2.70493,5
148,52.06713,-2.70513,5
149,52.07397,-2.71356,5
150,52.03799,-2.71777,5
151,52.04128,-2.74581,5
152,52.08866,-2.80147,5
153,52.06105,-2.74362,5
154,52.06497,-2.73629,5
155,52.05839,-2.73599,5
156,52.06917,-2.77321,5
157,52.07268,-2.79831,5
158,52.07379,-2.81384,5
159,52.07543,-2.72512,5
160,52.08295,-2.80916,5
161,52.07084,-2.73562,5
162,52.06719,-2.73273,5
163,52.058,-2.71428,5
164,52.05114,-2.71856,5
165,52.04148,-2.74035,5
166,52.04849,-2.67834,5
167,52.04491,-2.6657,5
168,52.04868,-2.6781,5
169,52.04484,-2.66597,5
170,52.07441,-2.74438,5
171,52.07701,-2.75413,5
172,52.06185,-2.69037,5
173,52.04305,-2.72712,5
174,52.06692,-2.73441,5
175,52.07087,-2.74413,5
176,52.06682,-2.73436,5
177,52.06704,-2.74418,5
178,52.07092,-2.74432,5
179,52.03892,-2.69164,5
180,52.04073,-2.65768,5
181,52.05165,-2.71839,5
182,52.06438,-2.74806,5
183,52.05334,-2.7107,5
184,52.05133,-2.71069,5
185,52.0583,-2.73591,5
186,52.05613,-2.7132,5
187,52.03595,-2.76081,5
188,52.03579,-2.76087,5
189,52.04182,-2.71197,5
190,52.08082,-2.82154,5
191,52.03762,-2.7076,5
192,52.06361,-2.7076,5
193,52.05636,-2.73523,5
194,52.05842,-2.73949,5
195,52.05854,-2.74043,5
196,52.05913,-2.74203,5
197,52.05773,-2.682,5
198,52.06901,-2.73549,5
199,52.02184,-2.70572,5
200,52.02183,-2.70595,5
201,52.01829,-2.70535,5
202,52.01839,-2.70517,5
203,52.05097,-2.70708,5
204,52.05112,-2.70711,5
205,52.06302,-2.71758,5
206,52.06347,-2.71711,5
207,52.06088,-2.71834,5
208,52.0585,-2.70921,5
209,52.05864,-2.70911,5
210,52.05857,-2.70926,5
211,52.05857,-2.70904,5
212,52.04028,-2.73305,5
213,52.04003,-2.73031,5
214,52.04024,-2.7303,5
215,52.04004,-2.69771,5
216,52.0643,-2.74834,5
217,52.07413,-2.71381,5
218,52.03797,-2.73296,5
219,52.04004,-2.73793,5
220,52.07511,-2.73869,5
221,52.03652,-2.70541,5
222,52.04789,-2.72151,5
223,52.04862,-2.72049,5
224,52.04833,-2.71946,5
225,52.0491,-2.71907,5
226,52.05819,-2.71103,5
227,52.05851,-2.70943,5
228,52.05881,-2.70989,5
229,52.05865,-2.70886,5
230,52.07103,-2.73542,5
231,52.04486,-2.73284,5
232,52.0624,-2.74136,5
233,52.07045,-2.6964,5
234,52.06792,-2.69711,5
235,52.06796,-2.69728,5
236,52.05347,-2.70885,5
237,52.05405,-2.68499,5
238,52.07544,-2.73472,5
239,52.07557,-2.7269,5
240,52.07595,-2.73197,5
241,52.07579,-2.7319,5
242,52.04032,-2.7285,5
243,52.06342,-2.71059,5
244,52.0639,-2.71105,5
245,52.04483,-2.73305,5
246,52.05478,-2.68429,5
247,52.06871,-2.70829,5
248,52.04313,-2.71024,5
249,52.05859,-2.68191,5
250,52.0587,-2.68184,5
251,52.06158,-2.68879,5
252,52.05407,-2.71136,5
253,52.06804,-2.72211,5
254,52.07092,-2.72216,5
255,52.07169,-2.72229,5
256,52.0718,-2.69626,5
257,52.05156,-2.68075,5
258,52.07405,-2.72447,5
259,52.05595,-2.71318,5
260,52.05771,-2.70551,5
261,52.02956,-2.70719,5
262,52.02473,-2.70699,5
263,52.03935,-2.70432,5
264,52.0616,-2.69912,5
265,52.06109,-2.6985,5
266,52.04036,-2.73254,5
267,52.06326,-2.73919,5
268,52.06542,-2.74004,5
269,52.06577,-2.74232,5
270,52.07622,-2.7222,5
271,52.05095,-2.70199,5
272,52.05083,-2.70196,5
273,52.05028,-2.69883,5
274,52.07804,-2.78257,5
275,52.04368,-2.73925,5
276,52.03947,-2.7213,5
277,52.04349,-2.73063,5
278,52.07277,-2.79825,5
279,52.07118,-2.73935,5
280,52.07392,-2.73762,5
281,52.07158,-2.73988,5
